contract_id	capability_ids	current_route	status_code	ordinary_library_derivation_sketch	ownership_exit_drop_argument	asymptotic_argument	structural_costs_and_pathology	fact_channels_and_invalidators	negative_canaries	family_lock_or_deferral	evidence_refs
ARR-VIEW-01	ST-FULL,BR-PROV,BR-REBORROW,BR-RESULT	Unproved generic route: current Copy-only array views do not establish the full result-borrow contract.	U	Current Copy-only operations cover fixed-full validity and local provenance, but an ordinary no-unsafe library cannot yet derive the generic result-borrow contract; no full-contract route is claimed. The route additionally requires bounded parent reborrowing.	No payload owner transfers. Input: Shared or unique borrow of array. Success: Borrowed runtime-length view of all elements. Failure/exit: No failure; no ownership transfer. Returned borrows remain tied to the source, and the operation drops no payload.	Required bound: O(1). A stronger-cost simulation does not cover this contract.	Preserve: Preserves contiguous order and element addresses for borrow lifetime. Account allocations, initialized bytes, moved bytes, metadata, checks, branches, code size; reject unchecked privilege or a stronger-cost simulation.	provenance facts remain tied to the source owner and expire on incompatible mutation or owner death. Facts-off retains checks and identical semantics. Every mutable result is a bounded reborrow of the exact unique parent; it cannot outlive, retarget, or permanently consume that parent, which becomes usable again only after all child results end.	exercise the census boundary 'No failure; no ownership transfer' and preserve 'Preserve provenance, length N, bounds checks, and unique-view exclusivity'. Reject child-borrow retargeting, escape beyond the parent region, incompatible parent reuse, and use after parent death.	Unresolved: access/reborrow Family Lock A/prerequisite must freeze the generic result-borrow contract.	RUST-1.97.0-API-INVENTORY.tsv item_path=std::array members=as_slice,as_mut_slice; https://doc.rust-lang.org/1.97.0/std/primitive.array.html; RUST-DATA-CONTRACT-CENSUS.tsv:ARR-VIEW-01; CAPABILITY-OBLIGATION-REGISTRY.tsv:ST-FULL,BR-PROV,BR-REBORROW,BR-RESULT
ARR-EACH-01	ST-FULL,ST-AOS,BR-PROV,BR-REBORROW,BR-RESULT,BR-DISJOINT	Current capability gap: X for general aggregate borrow results; literal-index disjoint borrows are narrower.	X	An ordinary no-unsafe library needs checked fixed-full validity, contiguous record ownership, owner-tied borrow provenance, result-borrow provenance, checked multi-place disjointness, bounded parent reborrowing to produce [N] references, with pairwise-disjoint unique references in the mutable case; the exact public route remains unresolved until the named lock.	No payload owner transfers. Input: Shared or unique borrow. Success: [N] references, with pairwise-disjoint unique references in the mutable case. Failure/exit: No failure; N references are produced together. Returned borrows remain tied to the source, and the operation drops no payload.	Required bound: O(N) reference construction or O(1) aggregate formation subject to lowering. A stronger-cost simulation does not cover this contract.	Preserve: Fixed index order; element identity retained. Account allocations, initialized bytes, moved bytes, metadata, checks, branches, code size; reject unchecked privilege or a stronger-cost simulation.	disjointness facts arise from the operation's exact structural, progression, validated-distinctness, or reviewed-precondition proof and expire with the scoped borrows; pointer inequality alone never proves them; provenance facts remain tied to the source owner and expire on incompatible mutation or owner death. Facts-off retains checks and identical semantics. Every mutable result is a bounded reborrow of the exact unique parent; it cannot outlive, retarget, or permanently consume that parent, which becomes usable again only after all child results end.	reject duplicate/overlapping mutable outputs before any borrow escapes. Reject child-borrow retargeting, escape beyond the parent region, incompatible parent reuse, and use after parent death.	Unresolved: access/reborrow Family Lock A/prerequisite must freeze exact semantics, costs, canaries, and evidence.	RUST-1.97.0-API-INVENTORY.tsv item_path=std::array members=each_ref,each_mut; src/core/array/mod.rs.html#688; RUST-DATA-CONTRACT-CENSUS.tsv:ARR-EACH-01; CAPABILITY-OBLIGATION-REGISTRY.tsv:ST-FULL,ST-AOS,BR-PROV,BR-REBORROW,BR-RESULT,BR-DISJOINT
ARR-MAP-01	ST-FULL,ST-AOS,ST-HOLE,OW-INIT,OW-MOVEOUT,OW-DROP,EX-NORMAL,EX-ABORT,BR-PROV,BR-RESULT,FL-CALLBACK,AB-BEHAVIOR,AB-STATEFUL,AB-GENERIC,NT-FIXED	Current capability gap: X for affine T/U; U for Copy-only fixed arrays.	X	An ordinary no-unsafe library needs checked fixed-full validity, contiguous record ownership, contained transient-hole state, single-owner initialization, atomic affine move-out, exact live-value destruction, validity on every normal exit, memory-safe abort edges, invoked-behavior containment, static behavior dispatch, ordinary generic instantiation, fixed-buffer no-tax protection to produce Owned [U;N] in source order; the exact public route remains unresolved until the named lock. Validity on every normal exit remains an independent obligation. Memory-safe abort edges remain an independent obligation. The selected callable member additionally needs owned stateful behavior with exact zero-or-more invocation and destruction; its region-free/borrow-free base environment must not be silently widened to a borrow-bearing capture.	Input: Consumes every T and a mutable callable. Success: Owned [U;N] in source order. Rust failure evidence: If callback unwinds, initialized outputs and unconsumed inputs are dropped exactly once. Every moved value reaches one owner; only live values are dropped, dead/moved locations are skipped, and each reachable owner is valid on normal exit. Under xlang [EFF-4], an invoked-behavior trap aborts immediately: no post-state or cleanup is promised, but no invalid read or other undefined behavior may occur before abort. Normal behavior Result/error and early-return paths retain the stated owner-validity and exact-drop duties. The owned behavior environment remains valid through every selected invocation and is destroyed exactly once, including a one-shot environment on an uninvoked branch. The input [T;N], output [U;N], and FnMut environment are three distinct ownership roles: each input T moves once, each produced U becomes live once, and the environment is destroyed once after its exact call count.	Required bound: O(N), no heap allocation. A stronger-cost simulation does not cover this contract.	Preserve: Fixed contiguous result; source order retained. Account allocations, initialized bytes, moved bytes, metadata, checks, branches, code size; reject unchecked privilege or a stronger-cost simulation.	Input-T, output-U, and callable-capture borrow leaves retain their independent source roots across partial progress. No U result is attributed to the consumed array or to callable storage unless the callable result relation authorizes that root. Facts-off retains checks and identical semantics.	detect moved-from read, lost owner, and double ownership; verify exact live-value drops and zero dead-slot drops; trap/fail the invoked behavior at every call index without corrupting state. Exercise a stateful environment that captures an external borrow, every permitted call count including zero, and every early normal exit; reject double destruction, capture retargeting, or an escaping temporary reborrow. Use independently borrow-bearing T, U, and callable captures in isolation and combination; reject their union into one result role, wrong-source U provenance, a lost input, a double-live output, or a double-dropped environment.	Unresolved: behavior, ownership-transition Family Lock A/prerequisite must freeze exact semantics, costs, canaries, and evidence.	RUST-1.97.0-API-INVENTORY.tsv item_path=std::array member=map; src/core/array/mod.rs.html#592; RUST-DATA-CONTRACT-CENSUS.tsv:ARR-MAP-01; spec/kernel-spec-v0.6.md [EFF-4]; CAPABILITY-OBLIGATION-REGISTRY.tsv:ST-FULL,ST-AOS,ST-HOLE,OW-INIT,OW-MOVEOUT,OW-DROP,EX-NORMAL,EX-ABORT,BR-PROV,BR-RESULT,FL-CALLBACK,AB-BEHAVIOR,AB-STATEFUL,AB-GENERIC,NT-FIXED
VIEW-META-01	ST-FULL,BR-PROV	Unproved current subset: fixed Copy-buffer metadata is expressible, but the complete coarse-cluster ordinary-library route and structural evidence are not recorded.	U	Current checked operations plausibly cover the fixed Copy-buffer subset, but no exact generic ordinary-library witness, local source/test route, or structural-cost account establishes the complete coarse obligation envelope; no full route is claimed.	No payload owner transfers. Input: Shared borrow. Success: Length or emptiness result; view unchanged. Failure/exit: Total. Returned borrows remain tied to the source, and the operation drops no payload.	Required bound: O(1). A stronger-cost simulation does not cover this contract.	Required evidence must show zero allocation, direct metadata access, retained checked provenance, exact owner shape, branches/checks, and code size; those costs are not yet established for the complete contract.	provenance facts remain tied to the source owner and expire on incompatible mutation or owner death. Facts-off retains checks and identical semantics.	exercise the census boundary 'Total' and preserve 'Length must describe exactly the accessible initialized range'.	Unresolved: fixed-view/access evidence must freeze the exact ordinary-library route, source/tests, structural costs, and non-regression proof before E or P is claimed.	RUST-1.97.0-API-INVENTORY.tsv item_path=std::slice members=len,is_empty; https://doc.rust-lang.org/1.97.0/std/primitive.slice.html; RUST-DATA-CONTRACT-CENSUS.tsv:VIEW-META-01; CAPABILITY-OBLIGATION-REGISTRY.tsv:ST-FULL,BR-PROV
VIEW-GET-01	ST-FULL,BR-PROV,BR-RESULT	Unproved current workaround: E for scalar Copy index; U for generic range result.	U	An ordinary no-unsafe library needs checked fixed-full validity, owner-tied borrow provenance, result-borrow provenance to produce Option containing shared element/subview on in-bounds input; the exact public route remains unresolved until the named lock.	No payload owner transfers. Input: Shared borrow. Success: Option containing shared element/subview on in-bounds input. Failure/exit: Out-of-bounds returns None; no mutation. Returned borrows remain tied to the source, and the operation drops no payload.	Required bound: O(1) for scalar/range bounds. A stronger-cost simulation does not cover this contract.	Preserve: Preserves address, contiguity, and order. Account allocations, initialized bytes, moved bytes, metadata, checks, branches, code size; reject unchecked privilege or a stronger-cost simulation.	provenance facts remain tied to the source owner and expire on incompatible mutation or owner death. Facts-off retains checks and identical semantics.	exercise the census boundary 'Out-of-bounds returns None; no mutation' and preserve 'Bounds proof, provenance, and no unchecked access'.	Unresolved: access/reborrow Family Lock A/prerequisite must freeze exact semantics, costs, canaries, and evidence.	RUST-1.97.0-API-INVENTORY.tsv item_path=std::slice member=get; src/core/slice/mod.rs.html#572; RUST-DATA-CONTRACT-CENSUS.tsv:VIEW-GET-01; CAPABILITY-OBLIGATION-REGISTRY.tsv:ST-FULL,BR-PROV,BR-RESULT
VIEW-GET-02	ST-FULL,BR-PROV,BR-REBORROW,BR-RESULT	Unproved current workaround: U; current dynamic-index overlap rules do not support the general returned borrow.	U	An ordinary no-unsafe library needs checked fixed-full validity, owner-tied borrow provenance, bounded reborrowing, result-borrow provenance to produce Option containing unique element/subview on in-bounds input; the exact public route remains unresolved until the named lock.	No payload owner transfers. Input: Unique borrow. Success: Option containing unique element/subview on in-bounds input. Failure/exit: Out-of-bounds returns None; source unchanged. Returned borrows remain tied to the source, and the operation drops no payload.	Required bound: O(1) for scalar/range bounds. A stronger-cost simulation does not cover this contract.	Preserve: Preserves address and order. Account allocations, initialized bytes, moved bytes, metadata, checks, branches, code size; reject unchecked privilege or a stronger-cost simulation.	provenance facts remain tied to the source owner and expire on incompatible mutation or owner death. Facts-off retains checks and identical semantics.	exercise the census boundary 'Out-of-bounds returns None; source unchanged' and preserve 'Prove returned-range provenance and exclusive overlap rules'.	Unresolved: access/reborrow Family Lock A/prerequisite must freeze exact semantics, costs, canaries, and evidence.	RUST-1.97.0-API-INVENTORY.tsv item_path=std::slice member=get_mut; src/core/slice/mod.rs.html#599; RUST-DATA-CONTRACT-CENSUS.tsv:VIEW-GET-02; CAPABILITY-OBLIGATION-REGISTRY.tsv:ST-FULL,BR-PROV,BR-REBORROW,BR-RESULT
VIEW-END-01	ST-FULL,BR-PROV,BR-REBORROW,BR-RESULT	Unproved current workaround: E for shared Copy access; U for general unique returned borrow.	U	An ordinary no-unsafe library needs checked fixed-full validity, owner-tied borrow provenance, bounded reborrowing, result-borrow provenance to produce Option containing the selected end element; the exact public route remains unresolved until the named lock.	No payload owner transfers. Input: Shared or unique borrow. Success: Option containing the selected end element. Failure/exit: Empty returns None; no mutation. Returned borrows remain tied to the source, and the operation drops no payload.	Required bound: O(1). A stronger-cost simulation does not cover this contract.	Preserve: Preserves address and order. Account allocations, initialized bytes, moved bytes, metadata, checks, branches, code size; reject unchecked privilege or a stronger-cost simulation.	provenance facts remain tied to the source owner and expire on incompatible mutation or owner death. Facts-off retains checks and identical semantics.	exercise the census boundary 'Empty returns None; no mutation' and preserve 'Endpoint bounds proof and returned-borrow provenance'.	Unresolved: access/reborrow Family Lock A/prerequisite must freeze exact semantics, costs, canaries, and evidence.	RUST-1.97.0-API-INVENTORY.tsv item_path=std::slice members=first,last,first_mut,last_mut; RUST-DATA-CONTRACT-CENSUS.tsv:VIEW-END-01; CAPABILITY-OBLIGATION-REGISTRY.tsv:ST-FULL,BR-PROV,BR-REBORROW,BR-RESULT
VIEW-ARRAY-01	ST-FULL,BR-PROV,BR-REBORROW,BR-RESULT	Current capability gap: X; no runtime view-to-array refinement result.	X	An ordinary no-unsafe library needs checked fixed-full validity, owner-tied borrow provenance, result-borrow provenance, bounded parent reborrowing to produce Option containing fixed-length array borrow iff len=N; the exact public route remains unresolved until the named lock.	No payload owner transfers. Input: Shared or unique borrow. Success: Option containing fixed-length array borrow iff len=N. Failure/exit: Length mismatch returns None. Returned borrows remain tied to the source, and the operation drops no payload.	Required bound: O(1). A stronger-cost simulation does not cover this contract.	Preserve: Same bytes and addresses; strengthens shape only. Account allocations, initialized bytes, moved bytes, metadata, checks, branches, code size; reject unchecked privilege or a stronger-cost simulation.	provenance facts remain tied to the source owner and expire on incompatible mutation or owner death. Facts-off retains checks and identical semantics. Every mutable result is a bounded reborrow of the exact unique parent; it cannot outlive, retarget, or permanently consume that parent, which becomes usable again only after all child results end.	reject length-mismatch refinement and any returned borrow detached from the source. Reject child-borrow retargeting, escape beyond the parent region, incompatible parent reuse, and use after parent death.	Unresolved: access/reborrow Family Lock A/prerequisite must freeze exact semantics, costs, canaries, and evidence.	RUST-1.97.0-API-INVENTORY.tsv item_path=std::slice members=as_array,as_mut_array; RUST-DATA-CONTRACT-CENSUS.tsv:VIEW-ARRAY-01; CAPABILITY-OBLIGATION-REGISTRY.tsv:ST-FULL,BR-PROV,BR-REBORROW,BR-RESULT
VIEW-END-CHUNK-01	ST-FULL,BR-PROV,BR-REBORROW,BR-RESULT,BR-DISJOINT	Current capability gap: X for aggregate dynamic partitions.	X	An ordinary no-unsafe library needs checked fixed-full validity, owner-tied borrow provenance, result-borrow provenance, checked multi-place disjointness to produce Option containing N-element endpoint and optionally disjoint remainder; the exact public route remains unresolved until the named lock. The mutable-result member branch additionally requires bounded parent reborrowing.	No payload owner transfers. Input: Shared or unique borrow. Success: Option containing N-element endpoint and optionally disjoint remainder. Failure/exit: len<N returns None. Returned borrows remain tied to the source, and the operation drops no payload. Only the *_mut endpoint/chunk members return bounded mutable children; shared members do not.	Required bound: O(1). A stronger-cost simulation does not cover this contract.	Preserve: Same storage; source order retained. Account allocations, initialized bytes, moved bytes, metadata, checks, branches, code size; reject unchecked privilege or a stronger-cost simulation.	disjointness facts arise from the operation's exact structural, progression, validated-distinctness, or reviewed-precondition proof and expire with the scoped borrows; pointer inequality alone never proves them; provenance facts remain tied to the source owner and expire on incompatible mutation or owner death. Facts-off retains checks and identical semantics. Every mutable result is a bounded reborrow of the exact unique parent; it cannot outlive, retarget, or permanently consume that parent, which becomes usable again only after all child results end.	reject duplicate/overlapping mutable outputs before any borrow escapes. Reject child-borrow retargeting, escape beyond the parent region, incompatible parent reuse, and use after parent death.	Unresolved: access/reborrow Family Lock A/prerequisite must freeze exact semantics, costs, canaries, and evidence.	RUST-1.97.0-API-INVENTORY.tsv item_path=std::slice members=first_chunk,last_chunk,first_chunk_mut,last_chunk_mut,split_first_chunk,split_last_chunk,split_first_chunk_mut,split_last_chunk_mut; RUST-DATA-CONTRACT-CENSUS.tsv:VIEW-END-CHUNK-01; CAPABILITY-OBLIGATION-REGISTRY.tsv:ST-FULL,BR-PROV,BR-REBORROW,BR-RESULT,BR-DISJOINT
VIEW-END-SPLIT-01	ST-FULL,BR-PROV,BR-REBORROW,BR-RESULT,BR-DISJOINT	Unproved current workaround: U; literal structure is expressible but returned aggregate borrows are not established.	U	An ordinary no-unsafe library needs checked fixed-full validity, owner-tied borrow provenance, result-borrow provenance, checked multi-place disjointness to produce Option of endpoint element plus disjoint remainder; the exact public route remains unresolved until the named lock. The mutable-result member branch additionally requires bounded parent reborrowing.	No payload owner transfers. Input: Shared or unique borrow. Success: Option of endpoint element plus disjoint remainder. Failure/exit: Empty returns None. Returned borrows remain tied to the source, and the operation drops no payload. Only split_first_mut and split_last_mut return bounded mutable children; shared members do not.	Required bound: O(1). A stronger-cost simulation does not cover this contract.	Preserve: Same storage and order. Account allocations, initialized bytes, moved bytes, metadata, checks, branches, code size; reject unchecked privilege or a stronger-cost simulation.	disjointness facts arise from the operation's exact structural, progression, validated-distinctness, or reviewed-precondition proof and expire with the scoped borrows; pointer inequality alone never proves them; provenance facts remain tied to the source owner and expire on incompatible mutation or owner death. Facts-off retains checks and identical semantics. Every mutable result is a bounded reborrow of the exact unique parent; it cannot outlive, retarget, or permanently consume that parent, which becomes usable again only after all child results end.	reject duplicate/overlapping mutable outputs before any borrow escapes. Reject child-borrow retargeting, escape beyond the parent region, incompatible parent reuse, and use after parent death.	Unresolved: access/reborrow Family Lock A/prerequisite must freeze exact semantics, costs, canaries, and evidence.	RUST-1.97.0-API-INVENTORY.tsv item_path=std::slice members=split_first,split_last,split_first_mut,split_last_mut; RUST-DATA-CONTRACT-CENSUS.tsv:VIEW-END-SPLIT-01; CAPABILITY-OBLIGATION-REGISTRY.tsv:ST-FULL,BR-PROV,BR-REBORROW,BR-RESULT,BR-DISJOINT
