obligation_id	record_kind	registry_subject_id	workload_or_operation	role	primary_canary_id	required_crosscut_canary_ids	c_fail_applicability	crosscut_canary_contract	crosscut_canary_source_sha256	closure_owner_or_gate_stage	required_predecessor_family_ids	implicated_family_ids	implicated_rebind_policy	required_efficient_property	g0_status	current_workaround_or_blocker	closure_policy	owner_lock_allowed_dispositions	implicated_rebind_allowed_dispositions	canary_contract	linked_registry_ids	source_identity	source_row_sha256	canary_source_sha256	vocabulary_authority_sha256
G0-ROLE-742C30A07931DF19	CAPABILITY_MATRIX	G0-ROLE-742C30A07931DF19	Fixed buffer of Copy scalars	B	C-FIX	C-FAIL	REQUIRED_OWNING_CANARY	every owning canary repeated through early `Result`, checked capacity failure, partial construction, and each recoverable allocation point	19f02393da541de5fb44b5aec311af516ac8caddf53abbb3af49a92f6c34903d	ALL-FAMILY-LOCKS	NONE	ALL-FAMILY-LOCKS	EVERY_CANDIDATE_EXECUTES	Full initialization, checked index, one allocation	E	Current `buffer<T>`	PROTECTED_NO_REGRESSION_IN_EVERY_FAMILY_LOCK	PROTECTED_CONTROL	PROTECTED_CONTROL	unchanged scalar-buffer source/IR plus fixed AoS record indexing	B-FIX	general-purpose-data-structure-capability-RESEARCH.md:section-4:line-203	5a82a5370b4b3dafdc536eb54ed04ae4bc7d7a12a16060010d8ce86b77eccb47	1cea3dfce3ff2683100c0e25a181a4c9be8eb7dc47c5084e2a6e0d0520324427	9174a2aa7c51b79f36b7ca4280072dea431ba3eeb1b67b58d873ba6b49ff0fad
G0-ROLE-4D63ABD62AE8F235	CAPABILITY_MATRIX	G0-ROLE-4D63ABD62AE8F235	Fixed AoS record buffer	M	C-FIX	C-FAIL	REQUIRED_OWNING_CANARY	every owning canary repeated through early `Result`, checked capacity failure, partial construction, and each recoverable allocation point	19f02393da541de5fb44b5aec311af516ac8caddf53abbb3af49a92f6c34903d	F-DENSE	NONE	F-DENSE	OWNER_OR_GATE_CLOSES_IMPLICATED_REOPEN	Contiguous records and scalar field access	X	Record elements are not admitted	BLOCKS_ASSIGNED_FAMILY_AND_COMPLETE_FLOOR	REQUIRED_IN_LOCK,EXCLUDED_BLOCKS_FAMILY_AND_FLOOR	NOT_APPLICABLE_REOPENING_ONLY	unchanged scalar-buffer source/IR plus fixed AoS record indexing	H-FLATSET	general-purpose-data-structure-capability-RESEARCH.md:section-4:line-204	9ccc203e1e0c0dde7e7d08cec76e7f900db9df9147fb980a5e133f9482418b5d	1cea3dfce3ff2683100c0e25a181a4c9be8eb7dc47c5084e2a6e0d0520324427	9174a2aa7c51b79f36b7ca4280072dea431ba3eeb1b67b58d873ba6b49ff0fad
G0-ROLE-F5CADFB4D644C236	CAPABILITY_MATRIX	G0-ROLE-F5CADFB4D644C236	Unknown-length append	M	C-SEQ	C-FAIL	REQUIRED_OWNING_CANARY	every owning canary repeated through early `Result`, checked capacity failure, partial construction, and each recoverable allocation point	19f02393da541de5fb44b5aec311af516ac8caddf53abbb3af49a92f6c34903d	F-DENSE	NONE	F-DENSE	OWNER_OR_GATE_CLOSES_IMPLICATED_REOPEN	Initialized prefix, capacity, reserve/grow	X	Prefill worst-case capacity and maintain an unrelated count	BLOCKS_ASSIGNED_FAMILY_AND_COMPLETE_FLOOR	REQUIRED_IN_LOCK,EXCLUDED_BLOCKS_FAMILY_AND_FLOOR	NOT_APPLICABLE_REOPENING_ONLY	unknown-length affine construction, reserve/grow/shrink, bulk extend/move-append, split, ordered insert/remove, O(1) `swap_remove`, pop, dynamic swap, truncate/clear, explicit deep clone, and destruction	H-FLATSET	general-purpose-data-structure-capability-RESEARCH.md:section-4:line-205	b86ac5b658f28805ed6ccdb5138b56b51ca78177a479c572f42b3de45582da5b	861c14964d0e402e5b1fae1bc370851691ea15b6ef398b649c7691e58f1e0963	9174a2aa7c51b79f36b7ca4280072dea431ba3eeb1b67b58d873ba6b49ff0fad
G0-ROLE-DF3265C016EE8C06	CAPABILITY_MATRIX	G0-ROLE-DF3265C016EE8C06	Append affine value	M	C-SEQ	C-FAIL	REQUIRED_OWNING_CANARY	every owning canary repeated through early `Result`, checked capacity failure, partial construction, and each recoverable allocation point	19f02393da541de5fb44b5aec311af516ac8caddf53abbb3af49a92f6c34903d	F-DENSE	NONE	F-DENSE	OWNER_OR_GATE_CLOSES_IMPLICATED_REOPEN	Move once into tail; rejected push returns ownership	X	Buffers are Copy-only	BLOCKS_ASSIGNED_FAMILY_AND_COMPLETE_FLOOR	REQUIRED_IN_LOCK,EXCLUDED_BLOCKS_FAMILY_AND_FLOOR	NOT_APPLICABLE_REOPENING_ONLY	unknown-length affine construction, reserve/grow/shrink, bulk extend/move-append, split, ordered insert/remove, O(1) `swap_remove`, pop, dynamic swap, truncate/clear, explicit deep clone, and destruction	H-FLATSET	general-purpose-data-structure-capability-RESEARCH.md:section-4:line-206	01a9a9902e4a0e96b3129bcd048319548fd4d810f023557a0248f7c0b1cc0b48	861c14964d0e402e5b1fae1bc370851691ea15b6ef398b649c7691e58f1e0963	9174a2aa7c51b79f36b7ca4280072dea431ba3eeb1b67b58d873ba6b49ff0fad
G0-ROLE-72D36A5F3282DF41	CAPABILITY_MATRIX	G0-ROLE-72D36A5F3282DF41	Grow/shrink contiguous sequence	M	C-SEQ	C-FAIL	REQUIRED_OWNING_CANARY	every owning canary repeated through early `Result`, checked capacity failure, partial construction, and each recoverable allocation point	19f02393da541de5fb44b5aec311af516ac8caddf53abbb3af49a92f6c34903d	F-DENSE	NONE	F-DENSE	OWNER_OR_GATE_CLOSES_IMPLICATED_REOPEN	Failure-atomic allocation and direct relocation	X	Cannot replace backing or suppress moved-from drops	BLOCKS_ASSIGNED_FAMILY_AND_COMPLETE_FLOOR	REQUIRED_IN_LOCK,EXCLUDED_BLOCKS_FAMILY_AND_FLOOR	NOT_APPLICABLE_REOPENING_ONLY	unknown-length affine construction, reserve/grow/shrink, bulk extend/move-append, split, ordered insert/remove, O(1) `swap_remove`, pop, dynamic swap, truncate/clear, explicit deep clone, and destruction	H-FLATSET	general-purpose-data-structure-capability-RESEARCH.md:section-4:line-207	6e9afa4f416ad0bdab2c9daef48c1bc1fa55285308909ba40c584a78210cfce0	861c14964d0e402e5b1fae1bc370851691ea15b6ef398b649c7691e58f1e0963	9174a2aa7c51b79f36b7ca4280072dea431ba3eeb1b67b58d873ba6b49ff0fad
G0-ROLE-D056CF94DE68B8B8	CAPABILITY_MATRIX	G0-ROLE-D056CF94DE68B8B8	Pop affine value	M	C-SEQ	C-FAIL	REQUIRED_OWNING_CANARY	every owning canary repeated through early `Result`, checked capacity failure, partial construction, and each recoverable allocation point	19f02393da541de5fb44b5aec311af516ac8caddf53abbb3af49a92f6c34903d	F-DENSE	NONE	F-DENSE	OWNER_OR_GATE_CLOSES_IMPLICATED_REOPEN	Move last value out and shorten live prefix	X	No affine elements or move-out transition	BLOCKS_ASSIGNED_FAMILY_AND_COMPLETE_FLOOR	REQUIRED_IN_LOCK,EXCLUDED_BLOCKS_FAMILY_AND_FLOOR	NOT_APPLICABLE_REOPENING_ONLY	unknown-length affine construction, reserve/grow/shrink, bulk extend/move-append, split, ordered insert/remove, O(1) `swap_remove`, pop, dynamic swap, truncate/clear, explicit deep clone, and destruction	H-FLATSET	general-purpose-data-structure-capability-RESEARCH.md:section-4:line-208	bb35901045bf1974fa7b2af34403012f523e8787d8efaeef0e758a465ca91b86	861c14964d0e402e5b1fae1bc370851691ea15b6ef398b649c7691e58f1e0963	9174a2aa7c51b79f36b7ca4280072dea431ba3eeb1b67b58d873ba6b49ff0fad
G0-ROLE-605AC2188112D67D	CAPABILITY_MATRIX	G0-ROLE-605AC2188112D67D	Ordered insert/remove and unordered `swap_remove`	M	C-SEQ	C-FAIL	REQUIRED_OWNING_CANARY	every owning canary repeated through early `Result`, checked capacity failure, partial construction, and each recoverable allocation point	19f02393da541de5fb44b5aec311af516ac8caddf53abbb3af49a92f6c34903d	F-DENSE	NONE	F-DENSE	OWNER_OR_GATE_CLOSES_IMPLICATED_REOPEN	Frozen O(n-i) ordered and O(1) unordered contracts	X	No affine move-out; swap simulation can add traffic	BLOCKS_ASSIGNED_FAMILY_AND_COMPLETE_FLOOR	REQUIRED_IN_LOCK,EXCLUDED_BLOCKS_FAMILY_AND_FLOOR	NOT_APPLICABLE_REOPENING_ONLY	unknown-length affine construction, reserve/grow/shrink, bulk extend/move-append, split, ordered insert/remove, O(1) `swap_remove`, pop, dynamic swap, truncate/clear, explicit deep clone, and destruction	H-FLATSET	general-purpose-data-structure-capability-RESEARCH.md:section-4:line-209	40a4a1585f6dfcc7e7447103b906bb88c87c78f4ee33b9a35ac40bd5d4518443	861c14964d0e402e5b1fae1bc370851691ea15b6ef398b649c7691e58f1e0963	9174a2aa7c51b79f36b7ca4280072dea431ba3eeb1b67b58d873ba6b49ff0fad
G0-ROLE-B5540625EAF6FBE2	CAPABILITY_MATRIX	G0-ROLE-B5540625EAF6FBE2	Swap two dynamic elements	M	C-SEQ	C-FAIL	REQUIRED_OWNING_CANARY	every owning canary repeated through early `Result`, checked capacity failure, partial construction, and each recoverable allocation point	19f02393da541de5fb44b5aec311af516ac8caddf53abbb3af49a92f6c34903d	F-DENSE	NONE	F-DENSE	OWNER_OR_GATE_CLOSES_IMPLICATED_REOPEN	Runtime distinctness plus two exclusive places	X	OWN-7 conservatively overlaps dynamic indexed places	BLOCKS_ASSIGNED_FAMILY_AND_COMPLETE_FLOOR	REQUIRED_IN_LOCK,EXCLUDED_BLOCKS_FAMILY_AND_FLOOR	NOT_APPLICABLE_REOPENING_ONLY	unknown-length affine construction, reserve/grow/shrink, bulk extend/move-append, split, ordered insert/remove, O(1) `swap_remove`, pop, dynamic swap, truncate/clear, explicit deep clone, and destruction	NONE	general-purpose-data-structure-capability-RESEARCH.md:section-4:line-210	7227f3abd5c5a2a44b6a8f533a343a641accd784b112633c4b70dccb30c71e66	861c14964d0e402e5b1fae1bc370851691ea15b6ef398b649c7691e58f1e0963	9174a2aa7c51b79f36b7ca4280072dea431ba3eeb1b67b58d873ba6b49ff0fad
G0-ROLE-7D51E1A35939B08B	CAPABILITY_MATRIX	G0-ROLE-7D51E1A35939B08B	Clear/truncate	M	C-SEQ	C-FAIL	REQUIRED_OWNING_CANARY	every owning canary repeated through early `Result`, checked capacity failure, partial construction, and each recoverable allocation point	19f02393da541de5fb44b5aec311af516ac8caddf53abbb3af49a92f6c34903d	F-DENSE	NONE	F-DENSE	OWNER_OR_GATE_CLOSES_IMPLICATED_REOPEN	Drop exactly the removed initialized range	U	Copy tapes can reset a count, but the physical buffer remains fully live	BLOCKS_ASSIGNED_FAMILY_AND_COMPLETE_FLOOR	REQUIRED_IN_LOCK,EXCLUDED_BLOCKS_FAMILY_AND_FLOOR	NOT_APPLICABLE_REOPENING_ONLY	unknown-length affine construction, reserve/grow/shrink, bulk extend/move-append, split, ordered insert/remove, O(1) `swap_remove`, pop, dynamic swap, truncate/clear, explicit deep clone, and destruction	H-FLATSET	general-purpose-data-structure-capability-RESEARCH.md:section-4:line-211	5733ca451652c744bb14dd392efa611cc020ea810f456f1ef9ae9e6f74977786	861c14964d0e402e5b1fae1bc370851691ea15b6ef398b649c7691e58f1e0963	9174a2aa7c51b79f36b7ca4280072dea431ba3eeb1b67b58d873ba6b49ff0fad
G0-ROLE-ED91500D67BFD4C8	CAPABILITY_MATRIX	G0-ROLE-ED91500D67BFD4C8	Deep clone and bulk move-append	M	C-SEQ	C-FAIL	REQUIRED_OWNING_CANARY	every owning canary repeated through early `Result`, checked capacity failure, partial construction, and each recoverable allocation point	19f02393da541de5fb44b5aec311af516ac8caddf53abbb3af49a92f6c34903d	F-DENSE	NONE	F-DENSE	OWNER_OR_GATE_CLOSES_IMPLICATED_REOPEN	Explicit duplication versus ownership transfer	X	Copy-only loops cover only narrow concrete cases	BLOCKS_ASSIGNED_FAMILY_AND_COMPLETE_FLOOR	REQUIRED_IN_LOCK,EXCLUDED_BLOCKS_FAMILY_AND_FLOOR	NOT_APPLICABLE_REOPENING_ONLY	unknown-length affine construction, reserve/grow/shrink, bulk extend/move-append, split, ordered insert/remove, O(1) `swap_remove`, pop, dynamic swap, truncate/clear, explicit deep clone, and destruction	NONE	general-purpose-data-structure-capability-RESEARCH.md:section-4:line-212	4ff866daa3dd5b0d6e91a58c9b231e5342fe25889b017c016e464cfa23abcdfe	861c14964d0e402e5b1fae1bc370851691ea15b6ef398b649c7691e58f1e0963	9174a2aa7c51b79f36b7ca4280072dea431ba3eeb1b67b58d873ba6b49ff0fad
