domain_id	domain	caller_safety	surface_evidence_status	need_route_kind	canonical_stable_declarations
D01	numeric values and algorithms	safe	rust_surface_only	NO_INDEPENDENT_NEED	22
D01	numeric values and algorithms	safe	safe_contract_anchor	LATER_FAMILY	2032
D01	numeric values and algorithms	unsafe	unsafe_boundary_evidence	LATER_FAMILY	69
D01	scalar and aggregate values	safe	safe_contract_anchor	G0_CONTRACT	3
D01	scalar and aggregate values	safe	safe_contract_anchor	LATER_FAMILY	2
D02	language organization and abstraction	safe	rust_surface_only	G0_CONTRACT	1
D02	language organization and abstraction	safe	rust_surface_only	NO_INDEPENDENT_NEED	2
D02	language organization and abstraction	safe	safe_contract_anchor	LATER_FAMILY	5
D02	language organization and abstraction	safe	safe_contract_anchor	LIB_CONTRACT	9
D03	conversion and behavior	safe	rust_surface_only	LIB_CONTRACT	1
D03	conversion and behavior	safe	rust_surface_only	NO_INDEPENDENT_NEED	4
D03	conversion and behavior	safe	safe_contract_anchor	LIB_CONTRACT	18
D03	ownership and borrowing	safe	safe_contract_anchor	G0_CONTRACT	1
D03	ownership and capability predicates	safe	rust_surface_only	G0_CONTRACT	1
D03	ownership and capability predicates	safe	rust_surface_only	NO_INDEPENDENT_NEED	2
D03	ownership and capability predicates	safe	safe_contract_anchor	G0_CONTRACT	2
D03	ownership and capability predicates	safe	safe_contract_anchor	LATER_FAMILY	5
D03	static behavior and views	safe	rust_surface_only	NO_INDEPENDENT_NEED	2
D03	static behavior and views	safe	safe_contract_anchor	G0_CONTRACT	4
D03	static behavior contracts	safe	rust_surface_only	G0_CONTRACT	6
D03	static behavior contracts	safe	rust_surface_only	NO_INDEPENDENT_NEED	6
D03	static behavior contracts	safe	safe_contract_anchor	G0_CONTRACT	76
D03	static behavior contracts	safe	safe_contract_anchor	LATER_FAMILY	56
D04	raw pointers and provenance	safe	rust_surface_only	LATER_FAMILY	1
D04	raw pointers and provenance	safe	rust_surface_only	NO_INDEPENDENT_NEED	4
D04	raw pointers and provenance	safe	safe_boundary_evidence	G0_CONTRACT	7
D04	raw pointers and provenance	safe	safe_boundary_evidence	LATER_FAMILY	103
D04	raw pointers and provenance	safe	safe_contract_anchor	G0_CONTRACT	6
D04	raw pointers and provenance	safe	safe_contract_anchor	LATER_FAMILY	9
D04	raw pointers and provenance	unsafe	unsafe_boundary_evidence	G0_CONTRACT	7
D04	raw pointers and provenance	unsafe	unsafe_boundary_evidence	LATER_FAMILY	92
D05	error presentation and chaining	safe	rust_surface_only	NO_INDEPENDENT_NEED	2
D05	error presentation and chaining	safe	safe_contract_anchor	LIB_CONTRACT	7
D05	recoverable results and variants	safe	rust_surface_only	NO_INDEPENDENT_NEED	4
D05	recoverable results and variants	safe	safe_contract_anchor	G0_CONTRACT	89
D05	recoverable results and variants	unsafe	unsafe_boundary_evidence	G0_CONTRACT	3
D06	trap, panic, and diagnostics	safe	rust_surface_only	G0_CONTRACT	12
D06	trap, panic, and diagnostics	safe	rust_surface_only	LATER_FAMILY	1
D06	trap, panic, and diagnostics	safe	rust_surface_only	NO_INDEPENDENT_NEED	3
D06	trap, panic, and diagnostics	safe	safe_contract_anchor	LATER_FAMILY	29
D06	trap, panic, and diagnostics	safe	safe_contract_anchor	NG	2
D07	heap allocation and runtime	safe	rust_surface_only	NO_INDEPENDENT_NEED	3
