crate	module_path	mode	direct_modules	direct_items	direct_stable_items	direct_unstable_items	entry_digest	docs_path
alloc	alloc	detailed	15	17	15	2	c3ec6849c504e9ef9df4039c5c7dba02dff312f3e0a82cf5e74cd43329aefda0	alloc/index.html
alloc	alloc::alloc	detailed	0	12	9	3	9a0fc07f962eef1d45e7fa433f96681f97dec36f75670d1cd8e9aa89b789414b	alloc/alloc/index.html
alloc	alloc::borrow	detailed	0	4	4	0	0b9979680f0a55ea529e4259beb983d3b4acda2a4e83cd0be867bafc3705a86b	alloc/borrow/index.html
alloc	alloc::boxed	detailed	0	2	1	1	13ebde64c3859bb7b9ddd9212ba76c0aa46c2056d31ba714bebf30743c73b73e	alloc/boxed/index.html
alloc	alloc::bstr	detailed	0	2	0	2	432a92386dd7804037d355dd196f75d626981e241d73035e551f2470b4bb7016	alloc/bstr/index.html
alloc	alloc::collections	detailed	5	7	6	1	960efab4fa0e1e17d68ad89afeba265cb39cfc97b215c71d53558876c2e2057a	alloc/collections/index.html
alloc	alloc::collections::binary_heap	detailed	0	7	5	2	43b6c7f7246c8355197c20485a5dbf49fd602c779cfa85efc1b1448d48fb6580	alloc/collections/binary_heap/index.html
alloc	alloc::collections::btree_map	detailed	0	20	15	5	2704f99d251c7ce85f88427d6e1dbbeb68ebb56069fe80ff67f252e9f11a79e3	alloc/collections/btree_map/index.html
alloc	alloc::collections::btree_set	detailed	0	16	9	7	b4d9198be8af7a7b039965bd9c8859daf23e326fadb0c06c1cef3a57332fca50	alloc/collections/btree_set/index.html
alloc	alloc::collections::linked_list	detailed	0	7	5	2	faa86c590cbcd9e4b8e78ff52a4467f541afa9a617cf77145a9eaf37f48f6c7c	alloc/collections/linked_list/index.html
alloc	alloc::collections::vec_deque	detailed	0	7	5	2	7ad8b148d3709fabc9a165d2f08403fd1b5845a3a3a40f51ed07785086f9c3bb	alloc/collections/vec_deque/index.html
alloc	alloc::ffi	detailed	1	5	5	0	a2e3a74520419d9f08def3805b3debd4329b6edf98ab4639bafeb5223e67550e	alloc/ffi/index.html
alloc	alloc::ffi::c_str	detailed	0	4	4	0	3855ce3d542b89fef95faf07635f4c202442033331366d5fa2fc45e0e65339d6	alloc/ffi/c_str/index.html
alloc	alloc::fmt	detailed	0	28	25	3	c9d269198ed8732301ed161582f3f0bda36e4dc827889b41efe434e8e10cd6b6	alloc/fmt/index.html
alloc	alloc::intrinsics	detailed	0	1	0	1	ee0fb959dfd022da2a097f650025ea2aaa589fd123635f996c4de8fd9eeca0ad	alloc/intrinsics/index.html
alloc	alloc::rc	detailed	0	3	2	1	f6706522724513ce20c7d1061356bc3efda4e9483f717abca76c1badfcbda098	alloc/rc/index.html
alloc	alloc::slice	detailed	0	37	31	6	63c9bcc83170b3eb7029b830b3b1d8124f1761025e0e0a75cf100a581bf01380	alloc/slice/index.html
alloc	alloc::str	detailed	1	35	32	3	a245c4ec655f6ba18daa5d5767b7cd1c3f9f0f36072893b270f9d4b8e2a71546	alloc/str/index.html
alloc	alloc::str::pattern	detailed	0	12	0	12	efd7467e3d24d835a06471aca2139aa6f7a74fe5f732c90444f52835abf533c3	alloc/str/pattern/index.html
alloc	alloc::string	detailed	0	7	6	1	5ecc19825f90707bc64bab49e1c414e2e670124fb32451d3cacd3d53d4295f40	alloc/string/index.html
alloc	alloc::sync	detailed	0	3	2	1	d4008ea2ba80d01e7878362d2f3135cfc015c4bd4a4c4d5891f256bbcabc9fa4	alloc/sync/index.html
alloc	alloc::task	detailed	0	4	1	3	33a681679fe9ca7390ee6d5a0718c7f8aede9e19376128c30fa43011ecb45609	alloc/task/index.html
alloc	alloc::vec	detailed	0	6	5	1	e556a4af7d167af7aea3675bf075dc0eb2025057daeb7082ae507b4e44979fd7	alloc/vec/index.html
core	core	detailed	71	136	107	29	97400fc364e790b14edfd2b3232ec5ee47d01451d14dbbcd5a309f90e6147296	core/index.html
core	core::alloc	detailed	0	6	4	2	fb6fc4c4c33ef1b3f3e2107e4b0aeda4a27d200ee59db7afbda2b756457190e2	core/alloc/index.html
core	core::any	detailed	0	6	4	2	54309e12158e93bb49d8776cac5beb0451b0bab95822dcb4f5cd8a76e5e5e574	core/any/index.html
core	core::arch	collapsed	19	24	7	17	99c7ba449547843ddc6a30c9d127df00ce553ec62c2b691c54f45c5ade46fab2	core/arch/index.html
core	core::arch::aarch64	collapsed	0	10014	4033	5981	1fe68402b2513961b7b897db647c46601eabfafba357964d23e1c13461246e8e	core/arch/aarch64/index.html
core	core::arch::amdgpu	collapsed	0	53	0	53	8e539d9de7fa28f34aeefc9ed54fd36e69ccd64b62efcb0556691881011b24aa	core/arch/amdgpu/index.html
core	core::arch::arm	collapsed	0	2565	0	2565	2177860ab489b63813827be3183d164db00bf6e5b03728c3070734bc279bea98	core/arch/arm/index.html
core	core::arch::hexagon	collapsed	3	3	0	3	92495acd522e40cac3456621208b9d166bec72948136773e0002f03001d2ec6f	core/arch/hexagon/index.html
core	core::arch::hexagon::scalar	collapsed	0	901	0	901	3f57b85895e10ad1c62e4523ad5a755d4e1b3240cd964c504bd0e6e386e123b0	core/arch/hexagon/scalar/index.html
core	core::arch::hexagon::v128	collapsed	0	479	0	479	7ec8e95a809117892458c38078ac3e7727e86d93863b64ef58145daf76ed6fb3	core/arch/hexagon/v128/index.html
core	core::arch::hexagon::v64	collapsed	0	479	0	479	1447a980fe9e5eacd934a7aa5553bb6bae89b4a2edde111a5e67eea7b3a906f1	core/arch/hexagon/v64/index.html
core	core::arch::loongarch32	collapsed	0	29	0	29	0052ea061e4e54f9cb7879f05eab15b948ceac09ca37b55314d2bb12d5fcbca7	core/arch/loongarch32/index.html
core	core::arch::loongarch64	collapsed	0	1542	0	1542	05533186a961ed4bf1765e5b6eaf25bf6e96e4394893f7cdc36041a9a2ec3a69	core/arch/loongarch64/index.html
core	core::arch::mips	collapsed	0	1	0	1	1887c5bb8f4cd6b756600ac84f0e7d056c4ab16a0a1874578f470c0cea96acd1	core/arch/mips/index.html
core	core::arch::mips64	collapsed	0	1	0	1	5521f97da3c252028fe6a476f2be4c31791b5dcf4ddc090e18eb5249196b8785	core/arch/mips64/index.html
core	core::arch::nvptx	collapsed	0	28	0	28	05377f25c1da48edd8d82d019252bd971c42c0a41b5b8299304fbd5dec464102	core/arch/nvptx/index.html
core	core::arch::powerpc	collapsed	0	132	0	132	5e72255dd6479a44fd21acb167acccaed594d36ea0b3f39d1fedcbff3b34a11a	core/arch/powerpc/index.html
core	core::arch::powerpc64	collapsed	0	134	0	134	4e1c659d4ddc5e42a9a9a7bd77656bf058a04e79ec49ac94fa025ec54e543d32	core/arch/powerpc64/index.html
core	core::arch::riscv32	collapsed	0	172	0	172	2f471d089a3a73bf42338bb688d524a2d71952a07f4bd669d9b734e1f4c86ab5	core/arch/riscv32/index.html
core	core::arch::riscv64	collapsed	0	174	0	174	1fe6f21ce45ae13dbc1765341d6efb087337be88190cafcdc865a7581fe06e07	core/arch/riscv64/index.html
