crate	module_path	mode	rule_id	domain_id	domain	module_route_kind	module_route_id	entry_digest
alloc	alloc	detailed	DOM-MODULE-ROOT	D25	prelude and reexports	NO_INDEPENDENT_NEED	NAMESPACE:DOM-MODULE-ROOT	c3ec6849c504e9ef9df4039c5c7dba02dff312f3e0a82cf5e74cd43329aefda0
alloc	alloc::alloc	detailed	DOM-ALLOC-ALLOC	D07	heap allocation and runtime	NO_INDEPENDENT_NEED	NAMESPACE:DOM-ALLOC-ALLOC	9a0fc07f962eef1d45e7fa433f96681f97dec36f75670d1cd8e9aa89b789414b
alloc	alloc::borrow	detailed	DOM-BEHAVIOR-BORROW-ALLOC	D08	shared ownership and conversions	NO_INDEPENDENT_NEED	NAMESPACE:DOM-BEHAVIOR-BORROW-ALLOC	0b9979680f0a55ea529e4259beb983d3b4acda2a4e83cd0be867bafc3705a86b
alloc	alloc::boxed	detailed	DOM-DATA-BOX-ALLOC	D07	unique ownership and data structures	NO_INDEPENDENT_NEED	NAMESPACE:DOM-DATA-BOX-ALLOC	13ebde64c3859bb7b9ddd9212ba76c0aa46c2056d31ba714bebf30743c73b73e
alloc	alloc::bstr	detailed	DOM-TEXT-BSTR-ALLOC	D11	bytes and text	NO_INDEPENDENT_NEED	NAMESPACE:DOM-TEXT-BSTR-ALLOC	432a92386dd7804037d355dd196f75d626981e241d73035e551f2470b4bb7016
alloc	alloc::collections	detailed	DOM-DATA-COLLECTIONS-ALLOC	D09	sequential and associative data structures	NO_INDEPENDENT_NEED	NAMESPACE:DOM-DATA-COLLECTIONS-ALLOC	960efab4fa0e1e17d68ad89afeba265cb39cfc97b215c71d53558876c2e2057a
alloc	alloc::collections::binary_heap	detailed	DOM-DATA-COLLECTIONS-ALLOC	D09	sequential and associative data structures	NO_INDEPENDENT_NEED	NAMESPACE:DOM-DATA-COLLECTIONS-ALLOC	43b6c7f7246c8355197c20485a5dbf49fd602c779cfa85efc1b1448d48fb6580
alloc	alloc::collections::btree_map	detailed	DOM-DATA-COLLECTIONS-ALLOC	D09	sequential and associative data structures	NO_INDEPENDENT_NEED	NAMESPACE:DOM-DATA-COLLECTIONS-ALLOC	2704f99d251c7ce85f88427d6e1dbbeb68ebb56069fe80ff67f252e9f11a79e3
alloc	alloc::collections::btree_set	detailed	DOM-DATA-COLLECTIONS-ALLOC	D09	sequential and associative data structures	NO_INDEPENDENT_NEED	NAMESPACE:DOM-DATA-COLLECTIONS-ALLOC	b4d9198be8af7a7b039965bd9c8859daf23e326fadb0c06c1cef3a57332fca50
alloc	alloc::collections::linked_list	detailed	DOM-DATA-COLLECTIONS-ALLOC	D09	sequential and associative data structures	NO_INDEPENDENT_NEED	NAMESPACE:DOM-DATA-COLLECTIONS-ALLOC	faa86c590cbcd9e4b8e78ff52a4467f541afa9a617cf77145a9eaf37f48f6c7c
alloc	alloc::collections::vec_deque	detailed	DOM-DATA-COLLECTIONS-ALLOC	D09	sequential and associative data structures	NO_INDEPENDENT_NEED	NAMESPACE:DOM-DATA-COLLECTIONS-ALLOC	7ad8b148d3709fabc9a165d2f08403fd1b5845a3a3a40f51ed07785086f9c3bb
alloc	alloc::ffi	detailed	DOM-FFI-ALLOC	D18	FFI, ABI, and OS resources	NO_INDEPENDENT_NEED	NAMESPACE:DOM-FFI-ALLOC	a2e3a74520419d9f08def3805b3debd4329b6edf98ab4639bafeb5223e67550e
alloc	alloc::ffi::c_str	detailed	DOM-FFI-ALLOC	D18	FFI, ABI, and OS resources	NO_INDEPENDENT_NEED	NAMESPACE:DOM-FFI-ALLOC	3855ce3d542b89fef95faf07635f4c202442033331366d5fa2fc45e0e65339d6
alloc	alloc::fmt	detailed	DOM-FMT-ALLOC	D12	formatting and presentation	NO_INDEPENDENT_NEED	NAMESPACE:DOM-FMT-ALLOC	c9d269198ed8732301ed161582f3f0bda36e4dc827889b41efe434e8e10cd6b6
alloc	alloc::intrinsics	detailed	DOM-TARGET-INTRINSICS-ALLOC	D24	target intrinsics and dispatch	NO_INDEPENDENT_NEED	NAMESPACE:DOM-TARGET-INTRINSICS-ALLOC	ee0fb959dfd022da2a097f650025ea2aaa589fd123635f996c4de8fd9eeca0ad
alloc	alloc::rc	detailed	DOM-SHARED-RC-ALLOC	D08	shared ownership and weak identity	NO_INDEPENDENT_NEED	NAMESPACE:DOM-SHARED-RC-ALLOC	f6706522724513ce20c7d1061356bc3efda4e9483f717abca76c1badfcbda098
alloc	alloc::slice	detailed	DOM-DATA-SLICE-ALLOC	D09	sequential data structures	NO_INDEPENDENT_NEED	NAMESPACE:DOM-DATA-SLICE-ALLOC	63c9bcc83170b3eb7029b830b3b1d8124f1761025e0e0a75cf100a581bf01380
alloc	alloc::str	detailed	DOM-TEXT-STR-ALLOC	D11	bytes and text	NO_INDEPENDENT_NEED	NAMESPACE:DOM-TEXT-STR-ALLOC	a245c4ec655f6ba18daa5d5767b7cd1c3f9f0f36072893b270f9d4b8e2a71546
alloc	alloc::str::pattern	detailed	DOM-TEXT-STR-ALLOC	D11	bytes and text	NO_INDEPENDENT_NEED	NAMESPACE:DOM-TEXT-STR-ALLOC	efd7467e3d24d835a06471aca2139aa6f7a74fe5f732c90444f52835abf533c3
alloc	alloc::string	detailed	DOM-TEXT-STRING-ALLOC	D11	bytes and text	NO_INDEPENDENT_NEED	NAMESPACE:DOM-TEXT-STRING-ALLOC	5ecc19825f90707bc64bab49e1c414e2e670124fb32451d3cacd3d53d4295f40
alloc	alloc::sync	detailed	DOM-SHARED-ARC-ALLOC	D08	shared ownership and weak identity	NO_INDEPENDENT_NEED	NAMESPACE:DOM-SHARED-ARC-ALLOC	d4008ea2ba80d01e7878362d2f3135cfc015c4bd4a4c4d5891f256bbcabc9fa4
alloc	alloc::task	detailed	DOM-LANG-TASK-ALLOC	D23	async, tasks, and pinning	NO_INDEPENDENT_NEED	NAMESPACE:DOM-LANG-TASK-ALLOC	33a681679fe9ca7390ee6d5a0718c7f8aede9e19376128c30fa43011ecb45609
alloc	alloc::vec	detailed	DOM-DATA-VEC-ALLOC	D09	sequential data structures	NO_INDEPENDENT_NEED	NAMESPACE:DOM-DATA-VEC-ALLOC	e556a4af7d167af7aea3675bf075dc0eb2025057daeb7082ae507b4e44979fd7
core	core	detailed	DOM-MODULE-ROOT	D25	prelude and reexports	NO_INDEPENDENT_NEED	NAMESPACE:DOM-MODULE-ROOT	97400fc364e790b14edfd2b3232ec5ee47d01451d14dbbcd5a309f90e6147296
core	core::alloc	detailed	DOM-ALLOC-CORE	D07	heap allocation and runtime	NO_INDEPENDENT_NEED	NAMESPACE:DOM-ALLOC-CORE	fb6fc4c4c33ef1b3f3e2107e4b0aeda4a27d200ee59db7afbda2b756457190e2
core	core::any	detailed	DOM-REFLECT-CORE	D13	runtime type identity and reflection	NO_INDEPENDENT_NEED	NAMESPACE:DOM-REFLECT-CORE	54309e12158e93bb49d8776cac5beb0451b0bab95822dcb4f5cd8a76e5e5e574
