impl_key	selection_family	owning_contract_ids	trait_path	trait_application	implementer	impl_signature	associated_bindings	required_method_shapes	stability	stable_since	stable_surface_reachable	stable_surface_note	ownership_shape	rustdoc_identity	rustdoc_aliases	source_identity	source_snippet_sha256
fed72e1c8cfbec88519fbcb69f6b6bc145f044e12627a9fce313df90826d2ce3	BORROW_PROJECTION	TRAIT-BORROW-01	alloc::borrow::Borrow	Borrow<str>	String	impl Borrow<str> for String	NONE	fn borrow(&self) -> &str	stable	1.0.0	YES	stable direct implementation on a stable selected surface	NOT_CLASSIFIED_BY_THIS_CROSSWALK	alloc/string/struct.String.html#impl-Borrow%3Cstr%3E-for-String	NONE	library/alloc/src/str.rs:229-234	52bbd95493829de175a2dc590b6c05deff0054728e82afe288c92a344036557a
389ccd2776da9a23a23e6bc3533a66366ce63be8c3ca6fc56cf97f7bcedf4027	BORROW_PROJECTION	TRAIT-BORROW-01	alloc::borrow::Borrow	Borrow<[T]>	Vec<T, A>	impl<T, A: Allocator> Borrow<[T]> for Vec<T, A>	NONE	fn borrow(&self) -> &[T]	stable	1.0.0	YES	stable direct implementation on a stable selected surface	NOT_CLASSIFIED_BY_THIS_CROSSWALK	alloc/vec/struct.Vec.html#impl-Borrow%3C%5BT%5D%3E-for-Vec%3CT,+A%3E	NONE	library/alloc/src/slice.rs:791-795	146b43ffc1850da117bc4c3fdeea4accd2fe916c0e0afc3e86c533e8d8257a9e
abf17965079a7146554f8c4986018db4dc25ad3a942e2b3c182d1e00837ac257	BORROW_PROJECTION	TRAIT-BORROW-01	alloc::borrow::Borrow	Borrow<T>	Box<T, A>	impl<T: ?Sized, A: Allocator> Borrow<T> for Box<T, A>	NONE	fn borrow(&self) -> &T	stable	1.1.0	YES	stable direct implementation on a stable selected surface	NOT_CLASSIFIED_BY_THIS_CROSSWALK	alloc/boxed/struct.Box.html#impl-Borrow%3CT%3E-for-Box%3CT,+A%3E	NONE	library/alloc/src/boxed.rs:2335-2339	2116aa88a428cc7c712e058547b43bc4466451355379567e1f3d3e82c8b11aa8
e182fb7041d04da44caee6f5bfb7a9aa867ca5d0dd2ae961dac029080940b923	BORROW_PROJECTION	TRAIT-BORROW-01	alloc::borrow::Borrow	Borrow<T>	Rc<T, A>	impl<T: ?Sized, A: Allocator> Borrow<T> for Rc<T, A>	NONE	fn borrow(&self) -> &T	stable	1.0.0	YES	stable direct implementation on a stable selected surface	NOT_CLASSIFIED_BY_THIS_CROSSWALK	alloc/rc/struct.Rc.html#impl-Borrow%3CT%3E-for-Rc%3CT,+A%3E	NONE	library/alloc/src/rc.rs:3849-3853	ad841991849a291c9998e3c4c1553579b60fcd71f048d8e3c8fec9ec7aa10e72
f022bd4a04d35d49b0256b14e6cf855fd6ef52fb5ae41f6c90c7a47082b20681	BORROW_PROJECTION	TRAIT-BORROW-01	alloc::borrow::BorrowMut	BorrowMut<str>	String	impl BorrowMut<str> for String	NONE	fn borrow_mut(&mut self) -> &mut str	stable	1.36.0	YES	stable direct implementation on a stable selected surface	NOT_CLASSIFIED_BY_THIS_CROSSWALK	alloc/string/struct.String.html#impl-BorrowMut%3Cstr%3E-for-String	NONE	library/alloc/src/str.rs:237-242	7e83661202bf72593290333fc4f2f37674af4b57361ab4adf52459fa547da12a
0cf93b97fe0e7cabf36eefa59a3c8aa9575265b27958ff0f8f7753f3d27f31cd	BORROW_PROJECTION	TRAIT-BORROW-01	alloc::borrow::BorrowMut	BorrowMut<[T]>	Vec<T, A>	impl<T, A: Allocator> BorrowMut<[T]> for Vec<T, A>	NONE	fn borrow_mut(&mut self) -> &mut [T]	stable	1.0.0	YES	stable direct implementation on a stable selected surface	NOT_CLASSIFIED_BY_THIS_CROSSWALK	alloc/vec/struct.Vec.html#impl-BorrowMut%3C%5BT%5D%3E-for-Vec%3CT,+A%3E	NONE	library/alloc/src/slice.rs:798-802	49bde5794f859f5c9be6bf6863c1dc485920d61bbcf9c28b99bee658e6786cb6
2d60c2d201295dbfafdb1fb952f1e0bbc6260cd2d01d1efddf5ebd8f6a590370	BORROW_PROJECTION	TRAIT-BORROW-01	alloc::borrow::BorrowMut	BorrowMut<T>	Box<T, A>	impl<T: ?Sized, A: Allocator> BorrowMut<T> for Box<T, A>	NONE	fn borrow_mut(&mut self) -> &mut T	stable	1.1.0	YES	stable direct implementation on a stable selected surface	NOT_CLASSIFIED_BY_THIS_CROSSWALK	alloc/boxed/struct.Box.html#impl-BorrowMut%3CT%3E-for-Box%3CT,+A%3E	NONE	library/alloc/src/boxed.rs:2342-2346	73fde1a1b419d564c8c331f28f108fb6f27f1867acbf03cf9350ac8e4feffecc
b4bf9f09cc0dd897e111519be35b632ea04b984c9f2fc90c02c736fcf9004995	BORROW_PROJECTION	TRAIT-BORROW-01	core::borrow::Borrow	Borrow<[T]>	[T; N]	impl<T, const N: usize> Borrow<[T]> for [T; N]	NONE	fn borrow(&self) -> &[T]	stable	1.4.0	YES	stable direct implementation on a stable selected surface	NOT_CLASSIFIED_BY_THIS_CROSSWALK	core/primitive.array.html#impl-Borrow%3C%5BT%5D%3E-for-%5BT;+N%5D	core/primitive.slice.html#impl-Borrow%3C%5BT%5D%3E-for-%5BT;+N%5D	library/core/src/array/mod.rs:224-228	b3205a8950a8e4a5d43b4bcb311127f00b94f9f52bace062f36506bd816316ea
7a376bf72a9fcd2120c9adb1d94751a3a6e3984b9188a59eda49e9c5033cce58	BORROW_PROJECTION	TRAIT-BORROW-01	core::borrow::BorrowMut	BorrowMut<[T]>	[T; N]	impl<T, const N: usize> BorrowMut<[T]> for [T; N]	NONE	fn borrow_mut(&mut self) -> &mut [T]	stable	1.4.0	YES	stable direct implementation on a stable selected surface	NOT_CLASSIFIED_BY_THIS_CROSSWALK	core/primitive.array.html#impl-BorrowMut%3C%5BT%5D%3E-for-%5BT;+N%5D	core/primitive.slice.html#impl-BorrowMut%3C%5BT%5D%3E-for-%5BT;+N%5D	library/core/src/array/mod.rs:232-236	594af4f90118fca7c7fa4a4d19a973a4ef3baaacc572a2d797e99a0c801f136b
767c11ffe55b863373d6e87c40dcaa20c8364af57de9c11ac2f8096b29a2aa82	BORROW_PROJECTION	TRAIT-BORROW-01	core::convert::AsMut	AsMut<str>	String	impl AsMut<str> for String	NONE	fn as_mut(&mut self) -> &mut str	stable	1.43.0	YES	stable direct implementation on a stable selected surface	NOT_CLASSIFIED_BY_THIS_CROSSWALK	alloc/string/struct.String.html#impl-AsMut%3Cstr%3E-for-String	NONE	library/alloc/src/string.rs:3104-3109	4f09c350fce00ee8b816ec244f9608a705776a30c6bd08f6f71dba16599dd3b7
df7098b7ad605ebeb890fc4c8c7efd808751f1ce434c2fd18a87cd1aee00db49	BORROW_PROJECTION	TRAIT-BORROW-01	core::convert::AsMut	AsMut<str>	str	impl AsMut<str> for str	NONE	fn as_mut(&mut self) -> &mut str	stable	1.51.0	YES	stable direct implementation on a stable selected surface	NOT_CLASSIFIED_BY_THIS_CROSSWALK	core/primitive.str.html#impl-AsMut%3Cstr%3E-for-str	NONE	library/core/src/convert/mod.rs:873-878	7622b70e11d7e2170625419f1405d84e01254f6387947657e9b2dc47cbaa2f2c
517b70b52a3f780563c00a4a8962c1618766b82a59c155f88d063d4cd7de4356	BORROW_PROJECTION	TRAIT-BORROW-01	core::convert::AsMut	AsMut<[T]>	Vec<T, A>	impl<T, A: Allocator> AsMut<[T]> for Vec<T, A>	NONE	fn as_mut(&mut self) -> &mut [T]	stable	1.5.0	YES	stable direct implementation on a stable selected surface	NOT_CLASSIFIED_BY_THIS_CROSSWALK	alloc/vec/struct.Vec.html#impl-AsMut%3C%5BT%5D%3E-for-Vec%3CT,+A%3E	NONE	library/alloc/src/vec/mod.rs:4331-4335	706b3499db8f05234d2fcfc3f75ec58b8495a353e18d35d435b6379388aba851
6bb1e7b8d127efb4373bbde577d9fd92efde710e9786bed75331b067db23bce8	BORROW_PROJECTION	TRAIT-BORROW-01	core::convert::AsMut	AsMut<[T]>	[T; N]	impl<T, const N: usize> AsMut<[T]> for [T; N]	NONE	fn as_mut(&mut self) -> &mut [T]	stable	1.0.0	YES	stable direct implementation on a stable selected surface	NOT_CLASSIFIED_BY_THIS_CROSSWALK	core/primitive.array.html#impl-AsMut%3C%5BT%5D%3E-for-%5BT;+N%5D	core/primitive.slice.html#impl-AsMut%3C%5BT%5D%3E-for-%5BT;+N%5D	library/core/src/array/mod.rs:215-220	e71ffc76467dec81987cb62cd1a50a25ea7ee577b6ec318af45177ed014c883e
995f342ef50eba9228aef715ceff6105c4406af9575e7a1ea39db3a8b7940f85	BORROW_PROJECTION	TRAIT-BORROW-01	core::convert::AsMut	AsMut<T>	Box<T, A>	impl<T: ?Sized, A: Allocator> AsMut<T> for Box<T, A>	NONE	fn as_mut(&mut self) -> &mut T	stable	1.5.0	YES	stable direct implementation on a stable selected surface	NOT_CLASSIFIED_BY_THIS_CROSSWALK	alloc/boxed/struct.Box.html#impl-AsMut%3CT%3E-for-Box%3CT,+A%3E	NONE	library/alloc/src/boxed.rs:2356-2360	684541dc48de3c69d88e4f8124ea39d9af8551b36d0102188a44c977cc9ed9b9
ee1956536213bab3a345d6a26c5574db092eaaac75caa7f15739aa743742c172	BORROW_PROJECTION	TRAIT-BORROW-01	core::convert::AsMut	AsMut<[T]>	[T]	impl<T> AsMut<[T]> for [T]	NONE	fn as_mut(&mut self) -> &mut [T]	stable	1.0.0	YES	stable direct implementation on a stable selected surface	NOT_CLASSIFIED_BY_THIS_CROSSWALK	core/primitive.slice.html#impl-AsMut%3C%5BT%5D%3E-for-%5BT%5D	NONE	library/core/src/convert/mod.rs:855-860	e1fd27e4e3c06ceae3cc6ee86ce38fa3379ca582018c77ec3cc94c6ad73bb5ba
602bc62c4ccfedcf6ff42b1a898c544ddbfe01afdd91fc6ad58c3446c26afcd3	BORROW_PROJECTION	TRAIT-BORROW-01	core::convert::AsRef	AsRef<[u8]>	String	impl AsRef<[u8]> for String	NONE	fn as_ref(&self) -> &[u8]	stable	1.0.0	YES	stable direct implementation on a stable selected surface	NOT_CLASSIFIED_BY_THIS_CROSSWALK	alloc/string/struct.String.html#impl-AsRef%3C%5Bu8%5D%3E-for-String	NONE	library/alloc/src/string.rs:3112-3117	777cb6280d5b0623150c7716aa6cb23bbac56127dc12bbe4b00b43ae057cee11
