canonical_key	item_path	member_name	source_path	primary_contract_id	markers
src/alloc/boxed/convert.rs.html#333|provided_or_inherent_method|downcast	alloc::boxed::Box	downcast	src/alloc/boxed/convert.rs.html#333	BOX-DOWNCAST-01	stable_safe_seed
src/alloc/boxed/convert.rs.html#392|provided_or_inherent_method|downcast	alloc::boxed::Box	downcast	src/alloc/boxed/convert.rs.html#392	BOX-DOWNCAST-01	stable_safe_seed
src/alloc/boxed/convert.rs.html#451|provided_or_inherent_method|downcast	alloc::boxed::Box	downcast	src/alloc/boxed/convert.rs.html#451	BOX-DOWNCAST-01	stable_safe_seed
src/alloc/boxed.rs.html#1934|provided_or_inherent_method|into_pin	alloc::boxed::Box	into_pin	src/alloc/boxed.rs.html#1934	BOX-PIN-01	stable_safe_seed
src/alloc/boxed.rs.html#1430|provided_or_inherent_method|into_raw	alloc::boxed::Box	into_raw	src/alloc/boxed.rs.html#1430	RAW-SAFE-OWNERSHIP-01	stable_safe_seed;raw_obligation
src/alloc/boxed.rs.html#1894|provided_or_inherent_method|leak	alloc::boxed::Box	leak	src/alloc/boxed.rs.html#1894	RAW-SAFE-LEAK-01	stable_safe_seed;raw_obligation
src/alloc/boxed.rs.html#284|provided_or_inherent_method|new	alloc::boxed::Box	new	src/alloc/boxed.rs.html#284	BOX-NEW-01	stable_safe_seed
src/alloc/boxed.rs.html#311|provided_or_inherent_method|new_uninit	alloc::boxed::Box	new_uninit	src/alloc/boxed.rs.html#311	BOX-INIT-01	stable_safe_seed;initialization_cross_cut
src/alloc/boxed.rs.html#916|provided_or_inherent_method|new_uninit_slice	alloc::boxed::Box	new_uninit_slice	src/alloc/boxed.rs.html#916	BOX-INIT-01	stable_safe_seed;initialization_cross_cut
src/alloc/boxed.rs.html#340|provided_or_inherent_method|new_zeroed	alloc::boxed::Box	new_zeroed	src/alloc/boxed.rs.html#340	BOX-INIT-01	stable_safe_seed;initialization_cross_cut
src/alloc/boxed.rs.html#939|provided_or_inherent_method|new_zeroed_slice	alloc::boxed::Box	new_zeroed_slice	src/alloc/boxed.rs.html#939	BOX-INIT-01	stable_safe_seed;initialization_cross_cut
src/alloc/boxed.rs.html#355|provided_or_inherent_method|pin	alloc::boxed::Box	pin	src/alloc/boxed.rs.html#355	BOX-PIN-01	stable_safe_seed
src/alloc/boxed.rs.html#1231|provided_or_inherent_method|write	alloc::boxed::Box	write	src/alloc/boxed.rs.html#1231	BOX-INIT-01	stable_safe_seed;initialization_cross_cut
src/alloc/collections/binary_heap/mod.rs.html#999|provided_or_inherent_method|append	alloc::collections::binary_heap::BinaryHeap	append	src/alloc/collections/binary_heap/mod.rs.html#999	HEAP-APPEND-01	stable_safe_seed
src/alloc/collections/binary_heap/mod.rs.html#1363|provided_or_inherent_method|as_slice	alloc::collections::binary_heap::BinaryHeap	as_slice	src/alloc/collections/binary_heap/mod.rs.html#1363	HEAP-VIEW-01	stable_safe_seed
src/alloc/collections/binary_heap/mod.rs.html#1165|provided_or_inherent_method|capacity	alloc::collections::binary_heap::BinaryHeap	capacity	src/alloc/collections/binary_heap/mod.rs.html#1165	HEAP-META-01	stable_safe_seed
src/alloc/collections/binary_heap/mod.rs.html#1517|provided_or_inherent_method|clear	alloc::collections::binary_heap::BinaryHeap	clear	src/alloc/collections/binary_heap/mod.rs.html#1517	HEAP-DRAIN-01	stable_safe_seed;one_hop_protocol
src/alloc/collections/binary_heap/mod.rs.html#1496|provided_or_inherent_method|drain	alloc::collections::binary_heap::BinaryHeap	drain	src/alloc/collections/binary_heap/mod.rs.html#1496	HEAP-DRAIN-01	stable_safe_seed;one_hop_protocol;one_hop_helper_return
src/alloc/collections/binary_heap/mod.rs.html#774|provided_or_inherent_method|into_sorted_vec	alloc::collections::binary_heap::BinaryHeap	into_sorted_vec	src/alloc/collections/binary_heap/mod.rs.html#774	HEAP-CONVERT-01	stable_safe_seed
src/alloc/collections/binary_heap/mod.rs.html#1417|provided_or_inherent_method|into_vec	alloc::collections::binary_heap::BinaryHeap	into_vec	src/alloc/collections/binary_heap/mod.rs.html#1417	HEAP-CONVERT-01	stable_safe_seed
src/alloc/collections/binary_heap/mod.rs.html#1467|provided_or_inherent_method|is_empty	alloc::collections::binary_heap::BinaryHeap	is_empty	src/alloc/collections/binary_heap/mod.rs.html#1467	HEAP-META-01	stable_safe_seed
src/alloc/collections/binary_heap/mod.rs.html#1100|provided_or_inherent_method|iter	alloc::collections::binary_heap::BinaryHeap	iter	src/alloc/collections/binary_heap/mod.rs.html#1100	HEAP-VIEW-01	stable_safe_seed;one_hop_helper_return
src/alloc/collections/binary_heap/mod.rs.html#1443|provided_or_inherent_method|len	alloc::collections::binary_heap::BinaryHeap	len	src/alloc/collections/binary_heap/mod.rs.html#1443	HEAP-META-01	stable_safe_seed
src/alloc/collections/binary_heap/mod.rs.html#514|provided_or_inherent_method|new	alloc::collections::binary_heap::BinaryHeap	new	src/alloc/collections/binary_heap/mod.rs.html#514	HEAP-META-01	stable_safe_seed
src/alloc/collections/binary_heap/mod.rs.html#1147|provided_or_inherent_method|peek	alloc::collections::binary_heap::BinaryHeap	peek	src/alloc/collections/binary_heap/mod.rs.html#1147	HEAP-PEEK-01	stable_safe_seed
src/alloc/collections/binary_heap/mod.rs.html#651|provided_or_inherent_method|peek_mut	alloc::collections::binary_heap::BinaryHeap	peek_mut	src/alloc/collections/binary_heap/mod.rs.html#651	HEAP-PEEK-01	stable_safe_seed;one_hop_helper_return
