canonical_key	representative_surface_crate	representative_module_path	representative_item_path	member_kind	member_name	source_path	representative_docs_path	seed_surface_paths	selected_seed_rendering_count	canonical_rendering_count	stability	caller_safety	evidence_cluster_id	evidence_disposition	markers
src/alloc/boxed.rs.html#1197|provided_or_inherent_method|assume_init	alloc	alloc::boxed	alloc::boxed::Box	provided_or_inherent_method	assume_init	src/alloc/boxed.rs.html#1197	alloc/boxed/struct.Box.html#method.assume_init	alloc::boxed::Box	1	3	stable	unsafe	RAW-UNSAFE-INIT-01	RAW_EVIDENCE_ONLY_NO_XLANG_SURFACE	canonical_stable_unsafe;unsafe_evidence_only
src/alloc/boxed.rs.html#1266|provided_or_inherent_method|assume_init	alloc	alloc::boxed	alloc::boxed::Box	provided_or_inherent_method	assume_init	src/alloc/boxed.rs.html#1266	alloc/boxed/struct.Box.html#method.assume_init-1	alloc::boxed::Box;std::slice	2	3	stable	unsafe	RAW-UNSAFE-INIT-01	RAW_EVIDENCE_ONLY_NO_XLANG_SURFACE	canonical_stable_unsafe;unsafe_evidence_only
src/alloc/boxed.rs.html#1320|provided_or_inherent_method|from_raw	alloc	alloc::boxed	alloc::boxed::Box	provided_or_inherent_method	from_raw	src/alloc/boxed.rs.html#1320	alloc/boxed/struct.Box.html#method.from_raw	alloc::boxed::Box	1	2	stable	unsafe	RAW-UNSAFE-RECONSTRUCT-01	RAW_EVIDENCE_ONLY_NO_XLANG_SURFACE	canonical_stable_unsafe;unsafe_evidence_only
src/alloc/rc.rs.html#1306|provided_or_inherent_method|assume_init	alloc	alloc::rc	alloc::rc::Rc	provided_or_inherent_method	assume_init	src/alloc/rc.rs.html#1306	alloc/rc/struct.Rc.html#method.assume_init	alloc::rc::Rc	1	2	stable	unsafe	RAW-UNSAFE-INIT-01	RAW_EVIDENCE_ONLY_NO_XLANG_SURFACE	canonical_stable_unsafe;unsafe_evidence_only
src/alloc/rc.rs.html#1442|provided_or_inherent_method|assume_init	alloc	alloc::rc	alloc::rc::Rc	provided_or_inherent_method	assume_init	src/alloc/rc.rs.html#1442	alloc/rc/struct.Rc.html#method.assume_init-1	alloc::rc::Rc	1	2	stable	unsafe	RAW-UNSAFE-INIT-01	RAW_EVIDENCE_ONLY_NO_XLANG_SURFACE	canonical_stable_unsafe;unsafe_evidence_only
src/alloc/rc.rs.html#1515|provided_or_inherent_method|from_raw	alloc	alloc::rc	alloc::rc::Rc	provided_or_inherent_method	from_raw	src/alloc/rc.rs.html#1515	alloc/rc/struct.Rc.html#method.from_raw	alloc::rc::Rc	1	2	stable	unsafe	RAW-UNSAFE-RECONSTRUCT-01	RAW_EVIDENCE_ONLY_NO_XLANG_SURFACE	canonical_stable_unsafe;unsafe_evidence_only
src/alloc/rc.rs.html#1575|provided_or_inherent_method|increment_strong_count	alloc	alloc::rc	alloc::rc::Rc	provided_or_inherent_method	increment_strong_count	src/alloc/rc.rs.html#1575	alloc/rc/struct.Rc.html#method.increment_strong_count	alloc::rc::Rc	1	2	stable	unsafe	RAW-UNSAFE-RC-01	RAW_EVIDENCE_ONLY_NO_XLANG_SURFACE	canonical_stable_unsafe;unsafe_evidence_only
src/alloc/rc.rs.html#1612|provided_or_inherent_method|decrement_strong_count	alloc	alloc::rc	alloc::rc::Rc	provided_or_inherent_method	decrement_strong_count	src/alloc/rc.rs.html#1612	alloc/rc/struct.Rc.html#method.decrement_strong_count	alloc::rc::Rc	1	2	stable	unsafe	RAW-UNSAFE-RC-01	RAW_EVIDENCE_ONLY_NO_XLANG_SURFACE	canonical_stable_unsafe;unsafe_evidence_only
src/alloc/rc.rs.html#3322|provided_or_inherent_method|from_raw	alloc	alloc::rc	alloc::rc::Weak	provided_or_inherent_method	from_raw	src/alloc/rc.rs.html#3322	alloc/rc/struct.Weak.html#method.from_raw	alloc::rc::Weak	1	2	stable	unsafe	RAW-UNSAFE-RECONSTRUCT-01	RAW_EVIDENCE_ONLY_NO_XLANG_SURFACE	canonical_stable_unsafe;unsafe_evidence_only
src/alloc/string.rs.html#1022|provided_or_inherent_method|from_utf8_unchecked	alloc	alloc::string	alloc::string::String	provided_or_inherent_method	from_utf8_unchecked	src/alloc/string.rs.html#1022	alloc/string/struct.String.html#method.from_utf8_unchecked	alloc::string::String	1	2	stable	unsafe	RAW-UNSAFE-TEXT-01	RAW_EVIDENCE_ONLY_NO_XLANG_SURFACE	canonical_stable_unsafe;unsafe_evidence_only
