schema_version	candidate_id	meta5_delta_id	cumulative_meta5_delta_ids	operation_id	signature	precondition	owner_result	allocation_result	borrow_result	fact_result	normal_exit_effect	authorization_status
dense-contract-registry-v1	C-ATOMIC-TRANSITIONS	META-C-ATOMIC	META-DENSE-COMMON,META-DENSE-OD0-COMMON-SUBSTRATE,META-DENSE-OD4-SCOPED-CONSUME,META-C-ATOMIC	OP-ATOMIC_TRANSITIONS-BEGIN	begin<T>(move Dense<T>) -> Transition<T>	Input is one ValidDense owner with no incompatible borrow.	STATE becomes sole owner of the master allocation and all payload owners.	Master allocation authority transfers unchanged.	Every old payload borrow is absent.	Facts transfer only with the same root/version and STATE owner.	Move into partial-state authority.	DESCRIPTION_ONLY_CONSTRUCTION_NOT_AUTHORIZED
dense-contract-registry-v1	C-ATOMIC-TRANSITIONS	META-C-ATOMIC	META-DENSE-COMMON,META-DENSE-OD0-COMMON-SUBSTRATE,META-DENSE-OD4-SCOPED-CONSUME,META-C-ATOMIC	OP-ATOMIC_TRANSITIONS-INIT	init<T>(move Transition<T>,index:usize,move value:T) -> Transition<T>	index is dead, in capacity, and uniquely authorized.	value becomes the sole live owner at index; caller value binding is dead.	Allocation unchanged.	No incompatible borrow may exist.	Affected live-range facts invalidate before initialization; successor facts follow after completion.	Initialize one dead slot.	DESCRIPTION_ONLY_CONSTRUCTION_NOT_AUTHORIZED
dense-contract-registry-v1	C-ATOMIC-TRANSITIONS	META-C-ATOMIC	META-DENSE-COMMON,META-DENSE-OD0-COMMON-SUBSTRATE,META-DENSE-OD4-SCOPED-CONSUME,META-C-ATOMIC	OP-ATOMIC_TRANSITIONS-MOVE_OUT	move_out<T>(move Transition<T>,index:usize) -> (Transition<T>,T)	index is live and uniquely authorized.	Slot becomes dead before returned T becomes live.	Allocation unchanged.	Every overlapping borrow is absent.	Affected live/range facts invalidate before the move.	Return exactly one payload owner.	DESCRIPTION_ONLY_CONSTRUCTION_NOT_AUTHORIZED
dense-contract-registry-v1	C-ATOMIC-TRANSITIONS	META-C-ATOMIC	META-DENSE-COMMON,META-DENSE-OD0-COMMON-SUBSTRATE,META-DENSE-OD4-SCOPED-CONSUME,META-C-ATOMIC	OP-ATOMIC_TRANSITIONS-RELOCATE	relocate<T>(move Transition<T>,source:[usize,usize),destination:usize) -> Transition<T>	Source range is live; destination range is dead or exact overlap-safe successor; permutation is proved.	Each source owner has exactly one destination and source is dead before destination liveness.	Allocation unchanged unless invoked as the committed transfer phase after ALLOCATE.	Every overlapping borrow is absent.	Source/destination facts invalidate before the first payload operation; successor facts follow after the full transition.	Direct overlap-safe relocation; no clone or source drop.	DESCRIPTION_ONLY_CONSTRUCTION_NOT_AUTHORIZED
dense-contract-registry-v1	C-ATOMIC-TRANSITIONS	META-C-ATOMIC	META-DENSE-COMMON,META-DENSE-OD0-COMMON-SUBSTRATE,META-DENSE-OD4-SCOPED-CONSUME,META-C-ATOMIC	OP-ATOMIC_TRANSITIONS-DESTROY	destroy<T>(move Transition<T>,range:[usize,usize)) -> Transition<T>	Range is exactly live and uniquely authorized.	Every owner in range is destroyed once and range becomes dead.	Allocation unchanged.	Every overlapping borrow is absent.	Range facts invalidate before the first destructor.	Destroy exact live range in increasing logical index order.	DESCRIPTION_ONLY_CONSTRUCTION_NOT_AUTHORIZED
dense-contract-registry-v1	C-ATOMIC-TRANSITIONS	META-C-ATOMIC	META-DENSE-COMMON,META-DENSE-OD0-COMMON-SUBSTRATE,META-DENSE-OD4-SCOPED-CONSUME,META-C-ATOMIC	OP-ATOMIC_TRANSITIONS-REPLACE	replace<T>(move Transition<T>,index:usize,move value:T) -> (Transition<T>,T)	index is live and uniquely authorized; value is owned.	value becomes sole slot owner and former owner is returned atomically.	Allocation unchanged.	Every overlapping borrow is absent.	Slot facts invalidate before replacement and reestablish after.	No placeholder, clone, double-live state, or implicit destruction.	DESCRIPTION_ONLY_CONSTRUCTION_NOT_AUTHORIZED
dense-contract-registry-v1	C-ATOMIC-TRANSITIONS	META-C-ATOMIC	META-DENSE-COMMON,META-DENSE-OD0-COMMON-SUBSTRATE,META-DENSE-OD4-SCOPED-CONSUME,META-C-ATOMIC	OP-ATOMIC_TRANSITIONS-SWAP	swap<T>(move Transition<T>,left:usize,right:usize) -> Transition<T>	Both positions are live and checked; equal is legal no-op.	Unequal positions exchange sole owners; equal preserves one owner.	Allocation unchanged.	Unique authority covers the union footprint.	Affected position facts invalidate then reestablish; equal preserves facts.	Checked dynamic swap.	DESCRIPTION_ONLY_CONSTRUCTION_NOT_AUTHORIZED
dense-contract-registry-v1	C-ATOMIC-TRANSITIONS	META-C-ATOMIC	META-DENSE-COMMON,META-DENSE-OD0-COMMON-SUBSTRATE,META-DENSE-OD4-SCOPED-CONSUME,META-C-ATOMIC	OP-ATOMIC_TRANSITIONS-ALLOCATE_DIVERGENT	allocate_divergent<T>(move Transition<T>,capacity:usize) -> Transition<T>	Checked arithmetic succeeds and no payload owner has moved.	STATE retains every payload owner until relocation begins.	Success acquires one new block owner; failure aborts with pre-abort invariant and no normal result.	No payload borrow is live.	Old-root facts remain only until committed transfer; new-root facts require ownership.	OD-1 reserve-first allocation edge.	DESCRIPTION_ONLY_CONSTRUCTION_NOT_AUTHORIZED
dense-contract-registry-v1	C-ATOMIC-TRANSITIONS	META-C-ATOMIC	META-DENSE-COMMON,META-DENSE-OD0-COMMON-SUBSTRATE,META-DENSE-OD4-SCOPED-CONSUME,META-C-ATOMIC	OP-ATOMIC_TRANSITIONS-ALLOCATE_RECOVERABLE	allocate_recoverable<T>(move Transition<T>,capacity:usize) -> Result<Transition<T>,(Transition<T>,AllocationError)>	No payload owner has moved, been destroyed, or passed to behavior.	Success returns prepared STATE; failure returns unchanged STATE and all offered owners remain external.	Failure retains old allocation and releases any failed provisional acquisition internally.	No payload borrow is live.	Failure preserves prior facts exactly; success creates no payload-access fact until commit.	OD-1 recoverable precommit edge.	DESCRIPTION_ONLY_CONSTRUCTION_NOT_AUTHORIZED
dense-contract-registry-v1	C-ATOMIC-TRANSITIONS	META-C-ATOMIC	META-DENSE-COMMON,META-DENSE-OD0-COMMON-SUBSTRATE,META-DENSE-OD4-SCOPED-CONSUME,META-C-ATOMIC	OP-ATOMIC_TRANSITIONS-RELEASE	release<T>(move Transition<T>) -> Unit	STATE owns zero live payload ranges and sole master allocation authority.	STATE becomes dead.	Release allocation exactly once; ZST virtual root performs no allocator call.	No borrow is live.	Delete every STATE/root fact.	Final allocation release.	DESCRIPTION_ONLY_CONSTRUCTION_NOT_AUTHORIZED
