schema_version	contract_id	member_contract_id	outcome_id	cluster_id	policy_variant_id	profile_id	status	evidence_identity_ids	trigger	pre_state	offered_owners	behavior_call_count_order_effects	commitment_point	post_state	result_owners	returned_owners	retained_owners	destroyed_owners	allocation_disposition	borrow_invalidation	fact_invalidation	normal_exit_cleanup	pre_abort_invariant	resource_ceiling	capability_ids	payload_branch_ids	scenario_ids	commit_phase	owners_before	owners_after	allocation_before	allocation_after	borrows_before	borrows_after	facts_before	facts_after	behavior_calls	result_schema	state_equation	member_declaration_sha256	owner_role_foreign_key	stored_borrow_route_ids	od4_policy_options	zst_policy_foreign_key	candidate_execution_authorized
dense-contract-registry-v1	DENSE-ALIGN-EVIDENCE::RAW-UNSAFE-ALIGN-01::COMMON-NON-OD1::EXCLUDED_NO_CALL	DENSE-ALIGN-EVIDENCE	DENSE-ALIGN-EVIDENCE.RAW-UNSAFE-ALIGN-01.OUT.EXCLUDED_NO_CALL	RAW-UNSAFE-ALIGN-01	COMMON-NON-OD1	EXCLUDED_SURFACE	EXCLUDED_BLOCKS_NAMED_CLAIM	16c0a450296bcffa29d4be5d2c516292ac60cc51b9a868f0140f67249f4c9170,378db355c63dd299e77697af6e0024250e52ee3310dc2f65a9132c322c3185f2,7e88e82e26b1e5dc8b6bf4a4319f45de0419d6a2fe3b83375e697683ce70b84f,d82439b7b117c3216cfe93f56cd1e3d92d9649902707a99bb30c1782f7fe9b94,d83c17a4fc5a2241783ec1edaeadff5b18d2835ce5ea2b61413cc8949b95ad77,f98d8387aff3ac4838ebd4dc35ec5ec1a944ddcae5ee9a2186423f0f0060834a	Any attempt to spell or invoke this evidence-only surface.	Writer requests unchecked alignment/type-punning authority.	NONE	ZERO Outcome branch calls: ZERO.	NO_CALL	STATIC_REJECTION	Exactly the ownership-bearing results named here, and no others: STATIC_REJECTION	Exactly the caller-owned results named by post_state; NONE when post_state names only borrows or scalars.	Pre-state owners not explicitly returned, destroyed, or consumed remain in the exact post_state role; set difference is total and duplicate-free.	Exactly the owners explicitly named destroyed by post_state; NONE otherwise.	NONE	NONE	NONE	The normal branch reaches the declared post_state directly; any earlier normal exit follows the selected candidate lifecycle row, never writer discipline.	NOT_APPLICABLE_NORMAL_RESULT	No runtime path.	NONE	NONE_REGION_FREE_BORROW_FREE_BASE	S-RAW-SURFACE-NEGATIVE	NO_CALL	NO_ADMITTED_INPUT	NO_ADMITTED_RESULT	NONE	NONE	NONE	NONE	NONE	NONE	ZERO	STATIC_REJECTION	No accepted program reaches a payload or allocation transition.	d1ea51bfbacac256659b916a5a0e4695d3d72f497066f471a68593561f5c85c3	OWNER-ROLE::DENSE-ALIGN-EVIDENCE::RAW-UNSAFE-ALIGN-01::COMMON-NON-OD1::EXCLUDED_NO_CALL	NONE	NOT_APPLICABLE	OD-3-INCLUDE-ZST,OD-3-DEFER-ZST	NO
dense-contract-registry-v1	DENSE-APPEND-MOVE::SEQ-APPEND-01::OD-1-RESERVE-FIRST::SUCCESS_NO_GROW	DENSE-APPEND-MOVE	DENSE-APPEND-MOVE.SEQ-APPEND-01.OUT.SUCCESS_NO_GROW	SEQ-APPEND-01	OD-1-RESERVE-FIRST	OD1_MUTATOR	REQUIRED_IN_LOCK	1ed7d2e2b88b1c9f4bfe26e00b93dd8632e053c0f43337b72acd41ed0a5cdeb1,30171c509b7e1518f8092ba59f419250bba061d8899ad323ca63e5da4590f38a,be908e27754994b93405b6073cfb3761e53790f0967806be5f8e5fe49f4c681d,f156958e3c5dee6922ce7b414299be7fd788945176c3222dba2733b0d4611d93	Required capacity is already available.	DEST and SRC are valid dense owners; no incompatible borrow is live.	DEST owner; SRC owner	ZERO Outcome branch calls: ZERO.	VALUE_OR_RANGE_COMMIT	DEST contains old DEST followed by every old SRC owner; SRC is valid empty and retains its allocation unless transferred by the frozen capacity rule.	Exactly the ownership-bearing results named here, and no others: DEST contains old DEST followed by every old SRC owner; SRC is valid empty and retains its allocation unless transferred by the frozen capacity rule.	Exactly the caller-owned results named by post_state; NONE when post_state names only borrows or scalars.	Pre-state owners not explicitly returned, destroyed, or consumed remain in the exact post_state role; set difference is total and duplicate-free.	Exactly the owners explicitly named destroyed by post_state; NONE otherwise.	ALLOC(BASE')=A0	BORROWS=declared result only	old facts invalid;new facts valid(A0,V1)	The normal branch reaches the declared post_state directly; any earlier normal exit follows the selected candidate lifecycle row, never writer discipline.	NOT_APPLICABLE_NORMAL_RESULT	O(len(SRC)) direct owner transfers; at most one growth allocation; no clone or per-item allocation.	ST-DENSE,EX-NORMAL,EX-ABORT,AB-SEAL,AB-GENERIC,OW-INIT,OW-RELOCATE,OW-DROP,FL-ARITH,FL-ALLOC,BR-INVALIDATE,EX-ABANDON,FL-ATOMIC,FL-CAPACITY,FT-STATE,ST-AOS,ST-HOLE	BORROW_BEARING_STORED_TRANSITION	S-GROW-SAME-ADDRESS,S-GROW-MOVED,S-GROW-FAIL,S-NESTED-OWNER,S-ZST-AFFINE	VALUE_OR_RANGE_COMMIT	BASE=live;OFFERED=live	BASE'=live;OFFERED consumed as declared	ALLOC(BASE)=A0	ALLOC(BASE')=A0	BORROWS=none	BORROWS=declared result only	FACTS=valid(A0,V0)	old facts invalid;new facts valid(A0,V1)	ZERO	Success(BASE', declared result)	Every offered owner has exactly one declared destination.	bd74ee65415f194337752423ed8119028c9ee48861c67172d8439c8373be4fc2	OWNER-ROLE::DENSE-APPEND-MOVE::SEQ-APPEND-01::OD-1-RESERVE-FIRST::SUCCESS_NO_GROW	NONE	NOT_APPLICABLE	OD-3-INCLUDE-ZST,OD-3-DEFER-ZST	NO
dense-contract-registry-v1	DENSE-APPEND-MOVE::SEQ-APPEND-01::OD-1-RESERVE-FIRST::SUCCESS_GROW	DENSE-APPEND-MOVE	DENSE-APPEND-MOVE.SEQ-APPEND-01.OUT.SUCCESS_GROW	SEQ-APPEND-01	OD-1-RESERVE-FIRST	OD1_MUTATOR	REQUIRED_IN_LOCK	1ed7d2e2b88b1c9f4bfe26e00b93dd8632e053c0f43337b72acd41ed0a5cdeb1,30171c509b7e1518f8092ba59f419250bba061d8899ad323ca63e5da4590f38a,be908e27754994b93405b6073cfb3761e53790f0967806be5f8e5fe49f4c681d,f156958e3c5dee6922ce7b414299be7fd788945176c3222dba2733b0d4611d93	Growth arithmetic succeeds and divergent allocation succeeds.	DEST and SRC are valid dense owners; no incompatible borrow is live.	DEST owner; SRC owner	ZERO Outcome branch calls: ZERO.	NEW_ALLOCATION_OWNED_BEFORE_RELOCATION;OFFERED_COMMIT_AFTER_CAPACITY	DEST contains old DEST followed by every old SRC owner; SRC is valid empty and retains its allocation unless transferred by the frozen capacity rule.	Exactly the ownership-bearing results named here, and no others: DEST contains old DEST followed by every old SRC owner; SRC is valid empty and retains its allocation unless transferred by the frozen capacity rule.	Exactly the caller-owned results named by post_state; NONE when post_state names only borrows or scalars.	Pre-state owners not explicitly returned, destroyed, or consumed remain in the exact post_state role; set difference is total and duplicate-free.	Exactly the owners explicitly named destroyed by post_state; NONE otherwise.	ALLOC(BASE')=A1;A0 released once	BORROWS=declared result only	old facts invalid;new facts valid(A1,V1)	The normal branch reaches the declared post_state directly; any earlier normal exit follows the selected candidate lifecycle row, never writer discipline.	NOT_APPLICABLE_NORMAL_RESULT	O(len(SRC)) direct owner transfers; at most one growth allocation; no clone or per-item allocation.	ST-DENSE,EX-NORMAL,EX-ABORT,AB-SEAL,AB-GENERIC,OW-INIT,OW-RELOCATE,OW-DROP,FL-ARITH,FL-ALLOC,BR-INVALIDATE,EX-ABANDON,FL-ATOMIC,FL-CAPACITY,FT-STATE,ST-AOS,ST-HOLE	BORROW_BEARING_STORED_TRANSITION	S-GROW-SAME-ADDRESS,S-GROW-MOVED,S-GROW-FAIL,S-NESTED-OWNER,S-ZST-AFFINE	NEW_ALLOCATION_OWNED_BEFORE_RELOCATION;OFFERED_COMMIT_AFTER_CAPACITY	BASE=live;OFFERED=live	BASE'=live;OFFERED consumed as declared	ALLOC(BASE)=A0	ALLOC(BASE')=A1;A0 released once	BORROWS=none	BORROWS=declared result only	FACTS=valid(A0,V0)	old facts invalid;new facts valid(A1,V1)	ZERO	Success(BASE', declared result)	All old and offered owners reach exactly one post-state role.	bd74ee65415f194337752423ed8119028c9ee48861c67172d8439c8373be4fc2	OWNER-ROLE::DENSE-APPEND-MOVE::SEQ-APPEND-01::OD-1-RESERVE-FIRST::SUCCESS_GROW	NONE	NOT_APPLICABLE	OD-3-INCLUDE-ZST,OD-3-DEFER-ZST	NO
dense-contract-registry-v1	DENSE-APPEND-MOVE::SEQ-APPEND-01::OD-1-RESERVE-FIRST::CAPACITY_OVERFLOW_TRAP	DENSE-APPEND-MOVE	DENSE-APPEND-MOVE.SEQ-APPEND-01.OUT.CAPACITY_OVERFLOW_TRAP	SEQ-APPEND-01	OD-1-RESERVE-FIRST	OD1_MUTATOR	REQUIRED_IN_LOCK	1ed7d2e2b88b1c9f4bfe26e00b93dd8632e053c0f43337b72acd41ed0a5cdeb1,30171c509b7e1518f8092ba59f419250bba061d8899ad323ca63e5da4590f38a,be908e27754994b93405b6073cfb3761e53790f0967806be5f8e5fe49f4c681d,f156958e3c5dee6922ce7b414299be7fd788945176c3222dba2733b0d4611d93	Checked element, byte, or layout arithmetic fails.	DEST and SRC are valid dense owners; no incompatible borrow is live.	DEST owner; SRC owner	ZERO Outcome branch calls: ZERO.	PRE_ABORT_NO_NORMAL_RESULT	NO_RECOVERABLE_POSTSTATE	NONE_NO_NORMAL_RESULT	NONE_NO_NORMAL_RESULT	NONE_NO_NORMAL_RESULT	NONE_CREDITED_AFTER_ABORT	NO_RECOVERABLE_POSTSTATE	NO_RECOVERABLE_POSTSTATE	NO_RECOVERABLE_POSTSTATE	NONE_AFTER_ABORT	ValidDense or the candidate lifecycle's exact partial-state invariant; every owner has one role and no dead slot is accessed before abort.	O(len(SRC)) direct owner transfers; at most one growth allocation; no clone or per-item allocation.	ST-DENSE,EX-NORMAL,EX-ABORT,AB-SEAL,AB-GENERIC,OW-INIT,OW-RELOCATE,OW-DROP,FL-ARITH,FL-ALLOC,BR-INVALIDATE,EX-ABANDON,FL-ATOMIC,FL-CAPACITY,FT-STATE,ST-AOS,ST-HOLE	BORROW_BEARING_STORED_TRANSITION	S-GROW-SAME-ADDRESS,S-GROW-MOVED,S-GROW-FAIL,S-NESTED-OWNER,S-ZST-AFFINE	PRE_ABORT_NO_NORMAL_RESULT	DECLARED_PRESTATE_OWNERS=live	NO_RECOVERABLE_POSTSTATE	ALLOCATIONS=declared_prestate	NO_RECOVERABLE_POSTSTATE	BORROWS=declared_prestate	NO_RECOVERABLE_POSTSTATE	FACTS=declared_prestate	NO_RECOVERABLE_POSTSTATE	ZERO	TRAP_OR_ABORT	ValidDense and every partial-state invariant hold immediately before abort; no invalid access precedes abort.	bd74ee65415f194337752423ed8119028c9ee48861c67172d8439c8373be4fc2	OWNER-ROLE::DENSE-APPEND-MOVE::SEQ-APPEND-01::OD-1-RESERVE-FIRST::CAPACITY_OVERFLOW_TRAP	NONE	NOT_APPLICABLE	OD-3-INCLUDE-ZST,OD-3-DEFER-ZST	NO
dense-contract-registry-v1	DENSE-APPEND-MOVE::SEQ-APPEND-01::OD-1-RESERVE-FIRST::OOM_ABORT	DENSE-APPEND-MOVE	DENSE-APPEND-MOVE.SEQ-APPEND-01.OUT.OOM_ABORT	SEQ-APPEND-01	OD-1-RESERVE-FIRST	OD1_MUTATOR	REQUIRED_IN_LOCK	1ed7d2e2b88b1c9f4bfe26e00b93dd8632e053c0f43337b72acd41ed0a5cdeb1,30171c509b7e1518f8092ba59f419250bba061d8899ad323ca63e5da4590f38a,be908e27754994b93405b6073cfb3761e53790f0967806be5f8e5fe49f4c681d,f156958e3c5dee6922ce7b414299be7fd788945176c3222dba2733b0d4611d93	The current allocator reports OOM on a divergent allocation edge.	DEST and SRC are valid dense owners; no incompatible borrow is live.	DEST owner; SRC owner	ZERO Outcome branch calls: ZERO.	PRE_ABORT_NO_NORMAL_RESULT	NO_RECOVERABLE_POSTSTATE	NONE_NO_NORMAL_RESULT	NONE_NO_NORMAL_RESULT	NONE_NO_NORMAL_RESULT	NONE_CREDITED_AFTER_ABORT	NO_RECOVERABLE_POSTSTATE	NO_RECOVERABLE_POSTSTATE	NO_RECOVERABLE_POSTSTATE	NONE_AFTER_ABORT	ValidDense or the candidate lifecycle's exact partial-state invariant; every owner has one role and no dead slot is accessed before abort.	O(len(SRC)) direct owner transfers; at most one growth allocation; no clone or per-item allocation.	ST-DENSE,EX-NORMAL,EX-ABORT,AB-SEAL,AB-GENERIC,OW-INIT,OW-RELOCATE,OW-DROP,FL-ARITH,FL-ALLOC,BR-INVALIDATE,EX-ABANDON,FL-ATOMIC,FL-CAPACITY,FT-STATE,ST-AOS,ST-HOLE	BORROW_BEARING_STORED_TRANSITION	S-GROW-SAME-ADDRESS,S-GROW-MOVED,S-GROW-FAIL,S-NESTED-OWNER,S-ZST-AFFINE	PRE_ABORT_NO_NORMAL_RESULT	DECLARED_PRESTATE_OWNERS=live	NO_RECOVERABLE_POSTSTATE	ALLOCATIONS=declared_prestate	NO_RECOVERABLE_POSTSTATE	BORROWS=declared_prestate	NO_RECOVERABLE_POSTSTATE	FACTS=declared_prestate	NO_RECOVERABLE_POSTSTATE	ZERO	TRAP_OR_ABORT	ValidDense and every partial-state invariant hold immediately before abort; no invalid access precedes abort.	bd74ee65415f194337752423ed8119028c9ee48861c67172d8439c8373be4fc2	OWNER-ROLE::DENSE-APPEND-MOVE::SEQ-APPEND-01::OD-1-RESERVE-FIRST::OOM_ABORT	NONE	NOT_APPLICABLE	OD-3-INCLUDE-ZST,OD-3-DEFER-ZST	NO
dense-contract-registry-v1	DENSE-APPEND-MOVE::SEQ-APPEND-01::OD-1-RECOVERABLE-MUTATORS::SUCCESS_NO_GROW	DENSE-APPEND-MOVE	DENSE-APPEND-MOVE.SEQ-APPEND-01.OUT.SUCCESS_NO_GROW	SEQ-APPEND-01	OD-1-RECOVERABLE-MUTATORS	OD1_MUTATOR	REQUIRED_IN_LOCK	1ed7d2e2b88b1c9f4bfe26e00b93dd8632e053c0f43337b72acd41ed0a5cdeb1,30171c509b7e1518f8092ba59f419250bba061d8899ad323ca63e5da4590f38a,be908e27754994b93405b6073cfb3761e53790f0967806be5f8e5fe49f4c681d,f156958e3c5dee6922ce7b414299be7fd788945176c3222dba2733b0d4611d93	Required capacity is already available.	DEST and SRC are valid dense owners; no incompatible borrow is live.	DEST owner; SRC owner	ZERO Outcome branch calls: ZERO.	VALUE_OR_RANGE_COMMIT	DEST contains old DEST followed by every old SRC owner; SRC is valid empty and retains its allocation unless transferred by the frozen capacity rule.	Exactly the ownership-bearing results named here, and no others: DEST contains old DEST followed by every old SRC owner; SRC is valid empty and retains its allocation unless transferred by the frozen capacity rule.	Exactly the caller-owned results named by post_state; NONE when post_state names only borrows or scalars.	Pre-state owners not explicitly returned, destroyed, or consumed remain in the exact post_state role; set difference is total and duplicate-free.	Exactly the owners explicitly named destroyed by post_state; NONE otherwise.	ALLOC(BASE')=A0	BORROWS=declared result only	old facts invalid;new facts valid(A0,V1)	The normal branch reaches the declared post_state directly; any earlier normal exit follows the selected candidate lifecycle row, never writer discipline.	NOT_APPLICABLE_NORMAL_RESULT	O(len(SRC)) direct owner transfers; at most one growth allocation; no clone or per-item allocation.	ST-DENSE,EX-NORMAL,EX-ABORT,AB-SEAL,AB-GENERIC,OW-INIT,OW-RELOCATE,OW-DROP,FL-ARITH,FL-ALLOC,BR-INVALIDATE,EX-ABANDON,FL-ATOMIC,FL-CAPACITY,FT-STATE,ST-AOS,ST-HOLE	BORROW_BEARING_STORED_TRANSITION	S-GROW-SAME-ADDRESS,S-GROW-MOVED,S-GROW-FAIL,S-NESTED-OWNER,S-ZST-AFFINE	VALUE_OR_RANGE_COMMIT	BASE=live;OFFERED=live	BASE'=live;OFFERED consumed as declared	ALLOC(BASE)=A0	ALLOC(BASE')=A0	BORROWS=none	BORROWS=declared result only	FACTS=valid(A0,V0)	old facts invalid;new facts valid(A0,V1)	ZERO	Ok(BASE', declared result)	Every offered owner has exactly one declared destination.	bd74ee65415f194337752423ed8119028c9ee48861c67172d8439c8373be4fc2	OWNER-ROLE::DENSE-APPEND-MOVE::SEQ-APPEND-01::OD-1-RECOVERABLE-MUTATORS::SUCCESS_NO_GROW	NONE	NOT_APPLICABLE	OD-3-INCLUDE-ZST,OD-3-DEFER-ZST	NO
dense-contract-registry-v1	DENSE-APPEND-MOVE::SEQ-APPEND-01::OD-1-RECOVERABLE-MUTATORS::SUCCESS_GROW	DENSE-APPEND-MOVE	DENSE-APPEND-MOVE.SEQ-APPEND-01.OUT.SUCCESS_GROW	SEQ-APPEND-01	OD-1-RECOVERABLE-MUTATORS	OD1_MUTATOR	REQUIRED_IN_LOCK	1ed7d2e2b88b1c9f4bfe26e00b93dd8632e053c0f43337b72acd41ed0a5cdeb1,30171c509b7e1518f8092ba59f419250bba061d8899ad323ca63e5da4590f38a,be908e27754994b93405b6073cfb3761e53790f0967806be5f8e5fe49f4c681d,f156958e3c5dee6922ce7b414299be7fd788945176c3222dba2733b0d4611d93	All recoverable preparation succeeds before the first destructive commit.	DEST and SRC are valid dense owners; no incompatible borrow is live.	DEST owner; SRC owner	ZERO Outcome branch calls: ZERO.	LAST_RECOVERABLE_POINT_BEFORE_ANY_OWNER_MOVE	DEST contains old DEST followed by every old SRC owner; SRC is valid empty and retains its allocation unless transferred by the frozen capacity rule.	Exactly the ownership-bearing results named here, and no others: DEST contains old DEST followed by every old SRC owner; SRC is valid empty and retains its allocation unless transferred by the frozen capacity rule.	Exactly the caller-owned results named by post_state; NONE when post_state names only borrows or scalars.	Pre-state owners not explicitly returned, destroyed, or consumed remain in the exact post_state role; set difference is total and duplicate-free.	Exactly the owners explicitly named destroyed by post_state; NONE otherwise.	ALLOC(BASE')=A1;A0 released once	BORROWS=declared result only	old facts invalid;new facts valid(A1,V1)	The normal branch reaches the declared post_state directly; any earlier normal exit follows the selected candidate lifecycle row, never writer discipline.	NOT_APPLICABLE_NORMAL_RESULT	O(len(SRC)) direct owner transfers; at most one growth allocation; no clone or per-item allocation.	ST-DENSE,EX-NORMAL,EX-ABORT,AB-SEAL,AB-GENERIC,OW-INIT,OW-RELOCATE,OW-DROP,FL-ARITH,FL-ALLOC,BR-INVALIDATE,EX-ABANDON,FL-ATOMIC,FL-CAPACITY,FT-STATE,ST-AOS,ST-HOLE	BORROW_BEARING_STORED_TRANSITION	S-GROW-SAME-ADDRESS,S-GROW-MOVED,S-GROW-FAIL,S-NESTED-OWNER,S-ZST-AFFINE	LAST_RECOVERABLE_POINT_BEFORE_ANY_OWNER_MOVE	BASE=live;OFFERED=live	BASE'=live;OFFERED consumed as declared	ALLOC(BASE)=A0	ALLOC(BASE')=A1;A0 released once	BORROWS=none	BORROWS=declared result only	FACTS=valid(A0,V0)	old facts invalid;new facts valid(A1,V1)	ZERO	Ok(BASE', declared result)	All old and offered owners reach exactly one post-state role.	bd74ee65415f194337752423ed8119028c9ee48861c67172d8439c8373be4fc2	OWNER-ROLE::DENSE-APPEND-MOVE::SEQ-APPEND-01::OD-1-RECOVERABLE-MUTATORS::SUCCESS_GROW	NONE	NOT_APPLICABLE	OD-3-INCLUDE-ZST,OD-3-DEFER-ZST	NO
dense-contract-registry-v1	DENSE-APPEND-MOVE::SEQ-APPEND-01::OD-1-RECOVERABLE-MUTATORS::CAPACITY_ERROR_RETURN	DENSE-APPEND-MOVE	DENSE-APPEND-MOVE.SEQ-APPEND-01.OUT.CAPACITY_ERROR_RETURN	SEQ-APPEND-01	OD-1-RECOVERABLE-MUTATORS	OD1_MUTATOR	REQUIRED_IN_LOCK	1ed7d2e2b88b1c9f4bfe26e00b93dd8632e053c0f43337b72acd41ed0a5cdeb1,30171c509b7e1518f8092ba59f419250bba061d8899ad323ca63e5da4590f38a,be908e27754994b93405b6073cfb3761e53790f0967806be5f8e5fe49f4c681d,f156958e3c5dee6922ce7b414299be7fd788945176c3222dba2733b0d4611d93	Checked preparation arithmetic fails before commitment.	DEST and SRC are valid dense owners; no incompatible borrow is live.	DEST owner; SRC owner	ZERO Outcome branch calls: ZERO.	PRECOMMIT_RECOVERABLE	The complete pre_state is unchanged; no destructive commitment occurred.	The error result owns exactly the error value plus every owner named by returned_owners.	BASE plus every affine owner named in offered_owners; no clone, destruction, or transfer.	Every pre-state owner is returned in its original role.	NONE	ALLOC(BASE)=A0	BORROWS=unchanged	FACTS=unchanged	NONE; precommit state is already valid.	NOT_APPLICABLE_RECOVERABLE_RESULT	O(len(SRC)) direct owner transfers; at most one growth allocation; no clone or per-item allocation.	ST-DENSE,EX-NORMAL,EX-ABORT,AB-SEAL,AB-GENERIC,OW-INIT,OW-RELOCATE,OW-DROP,FL-ARITH,FL-ALLOC,BR-INVALIDATE,EX-ABANDON,FL-ATOMIC,FL-CAPACITY,FT-STATE,ST-AOS,ST-HOLE	BORROW_BEARING_STORED_TRANSITION	S-GROW-SAME-ADDRESS,S-GROW-MOVED,S-GROW-FAIL,S-NESTED-OWNER,S-ZST-AFFINE	PRECOMMIT_RECOVERABLE	BASE=live;OFFERED=live	BASE=live;OFFERED=live	ALLOC(BASE)=A0	ALLOC(BASE)=A0	BORROWS=compatible	BORROWS=unchanged	FACTS=valid(A0,V0)	FACTS=unchanged	ZERO	Err(CapacityError, unchanged BASE, every offered affine owner)	BASE1=BASE0; OFFERED1=OFFERED0; allocation root, len, capacity, order, borrows, and facts are unchanged.	bd74ee65415f194337752423ed8119028c9ee48861c67172d8439c8373be4fc2	OWNER-ROLE::DENSE-APPEND-MOVE::SEQ-APPEND-01::OD-1-RECOVERABLE-MUTATORS::CAPACITY_ERROR_RETURN	NONE	NOT_APPLICABLE	OD-3-INCLUDE-ZST,OD-3-DEFER-ZST	NO
dense-contract-registry-v1	DENSE-APPEND-MOVE::SEQ-APPEND-01::OD-1-RECOVERABLE-MUTATORS::ALLOCATION_ERROR_RETURN	DENSE-APPEND-MOVE	DENSE-APPEND-MOVE.SEQ-APPEND-01.OUT.ALLOCATION_ERROR_RETURN	SEQ-APPEND-01	OD-1-RECOVERABLE-MUTATORS	OD1_MUTATOR	REQUIRED_IN_LOCK	1ed7d2e2b88b1c9f4bfe26e00b93dd8632e053c0f43337b72acd41ed0a5cdeb1,30171c509b7e1518f8092ba59f419250bba061d8899ad323ca63e5da4590f38a,be908e27754994b93405b6073cfb3761e53790f0967806be5f8e5fe49f4c681d,f156958e3c5dee6922ce7b414299be7fd788945176c3222dba2733b0d4611d93	Allocation fails before commitment.	DEST and SRC are valid dense owners; no incompatible borrow is live.	DEST owner; SRC owner	ZERO Outcome branch calls: ZERO.	PRECOMMIT_RECOVERABLE	The complete pre_state is unchanged; no destructive commitment occurred.	The error result owns exactly the error value plus every owner named by returned_owners.	BASE plus every affine owner named in offered_owners; no clone, destruction, or transfer.	Every pre-state owner is returned in its original role.	NONE	ALLOC(BASE)=A0	BORROWS=unchanged	FACTS=unchanged	NONE; precommit state is already valid.	NOT_APPLICABLE_RECOVERABLE_RESULT	O(len(SRC)) direct owner transfers; at most one growth allocation; no clone or per-item allocation.	ST-DENSE,EX-NORMAL,EX-ABORT,AB-SEAL,AB-GENERIC,OW-INIT,OW-RELOCATE,OW-DROP,FL-ARITH,FL-ALLOC,BR-INVALIDATE,EX-ABANDON,FL-ATOMIC,FL-CAPACITY,FT-STATE,ST-AOS,ST-HOLE	BORROW_BEARING_STORED_TRANSITION	S-GROW-SAME-ADDRESS,S-GROW-MOVED,S-GROW-FAIL,S-NESTED-OWNER,S-ZST-AFFINE	PRECOMMIT_RECOVERABLE	BASE=live;OFFERED=live	BASE=live;OFFERED=live	ALLOC(BASE)=A0	ALLOC(BASE)=A0	BORROWS=compatible	BORROWS=unchanged	FACTS=valid(A0,V0)	FACTS=unchanged	ZERO	Err(AllocationError, unchanged BASE, every offered affine owner)	BASE1=BASE0; OFFERED1=OFFERED0; allocation root, len, capacity, order, borrows, and facts are unchanged.	bd74ee65415f194337752423ed8119028c9ee48861c67172d8439c8373be4fc2	OWNER-ROLE::DENSE-APPEND-MOVE::SEQ-APPEND-01::OD-1-RECOVERABLE-MUTATORS::ALLOCATION_ERROR_RETURN	NONE	NOT_APPLICABLE	OD-3-INCLUDE-ZST,OD-3-DEFER-ZST	NO
dense-contract-registry-v1	DENSE-BOX-INIT-EVIDENCE::BOX-INIT-01::COMMON-NON-OD1::EXCLUDED_NO_CALL	DENSE-BOX-INIT-EVIDENCE	DENSE-BOX-INIT-EVIDENCE.BOX-INIT-01.OUT.EXCLUDED_NO_CALL	BOX-INIT-01	COMMON-NON-OD1	EXCLUDED_SURFACE	EXCLUDED_BLOCKS_NAMED_CLAIM	155ab7bf00aaf6c5f9bd4b69e791c29a7f5ad70d2adb31a4c843ec3de790a377,2a2405caedc4b7f9a63bcf06b809768010ca596e72d4d35d4c2111a73ef8b04d,2f40d169329ea139acb49935b3a2983405541980408c518238882cf6b355e2e8,38eaf1823f1138aa938bc35b57b294c16342ff1cb59ed18be7ed2558808d481e,3e8793e2c656f96687cb88fd31dfbd9b0fbfcb2112129dc0b39778e7a198db13,40f3ee31943254620263bf54dabf715deb00b58ba8f1300eea8c60ff816dad1a,44217e8425f3c2dd47051c04a4c2d1e0c5ab051ff82cc46973130352d83412da,4486f8688c3c6c55c5e288165c90e79f8d4a33d2fb67877af61b88127bb10820,632df0d8ea93395ee8938df8661dbdb5298bac96656357e5c5af0f89e8e34878,8ab404ff9092795b66907cd5bf28dd79ebf41a4a3e0d09694e4b9cf20793b2db,9003ffe11c95b58e14ea9e49030d372212e1b8ca9a744e4eeeb66ac1f1dc694a,b83f977578143fe1cde17d358f077f556cac7ba87068a35d378cafd70b6ed51a,edac47862fd460ec7ee616decde46b6c90d50d699c46234fa884dc88079f2d77,f7a4b841b87ed4a0d7562980505363e28e4f5c9a6074d46ac9e88e9799265aa6,f9a918c5a213ae7f4e31c47339f707a46c424706d31ae655b8f4ad2adab8adb6	Any attempt to spell or invoke this evidence-only surface.	Box-specific partial initialization evidence is requested.	NONE	ZERO Outcome branch calls: ZERO.	NO_CALL	STATIC_EXCLUSION_TO_F-RECURSIVE	Exactly the ownership-bearing results named here, and no others: STATIC_EXCLUSION_TO_F-RECURSIVE	Exactly the caller-owned results named by post_state; NONE when post_state names only borrows or scalars.	Pre-state owners not explicitly returned, destroyed, or consumed remain in the exact post_state role; set difference is total and duplicate-free.	Exactly the owners explicitly named destroyed by post_state; NONE otherwise.	NONE	NONE	NONE	The normal branch reaches the declared post_state directly; any earlier normal exit follows the selected candidate lifecycle row, never writer discipline.	NOT_APPLICABLE_NORMAL_RESULT	No dense-family runtime path.	NONE	NONE_REGION_FREE_BORROW_FREE_BASE	S-RAW-SURFACE-NEGATIVE	NO_CALL	NO_ADMITTED_INPUT	NO_ADMITTED_RESULT	NONE	NONE	NONE	NONE	NONE	NONE	ZERO	STATIC_REJECTION	No accepted program reaches a payload or allocation transition.	ed38e7bbfa0c9df36274097545bf0ecca008cf95209130cb29b2e63553b50ad1	OWNER-ROLE::DENSE-BOX-INIT-EVIDENCE::BOX-INIT-01::COMMON-NON-OD1::EXCLUDED_NO_CALL	NONE	NOT_APPLICABLE	OD-3-INCLUDE-ZST,OD-3-DEFER-ZST	NO
