schema_version	owner_role_id	contract_id	member_contract_id	outcome_id	transition_semantics_id	before_owner_roles	after_owner_roles	owner_universe_equation	normal_result_owner_equation	candidate_execution_authorized
dense-contract-registry-v1	OWNER-ROLE::DENSE-ALIGN-EVIDENCE::RAW-UNSAFE-ALIGN-01::COMMON-NON-OD1::EXCLUDED_NO_CALL	DENSE-ALIGN-EVIDENCE::RAW-UNSAFE-ALIGN-01::COMMON-NON-OD1::EXCLUDED_NO_CALL	DENSE-ALIGN-EVIDENCE	DENSE-ALIGN-EVIDENCE.RAW-UNSAFE-ALIGN-01.OUT.EXCLUDED_NO_CALL	STATIC_REJECT.EXCLUDED_NO_CALL	"{""destroyed_owners"":""EMPTY"",""live_slots"":""EMPTY"",""nested_input_owners"":""EMPTY"",""protocol_owned_state"":""EMPTY"",""retained_external_owners"":""EMPTY"",""returned_owners"":""EMPTY""}"	"{""destroyed_owners"":""EMPTY"",""live_slots"":""EMPTY"",""nested_input_owners"":""EMPTY"",""protocol_owned_state"":""EMPTY"",""retained_external_owners"":""EMPTY"",""returned_owners"":""EMPTY""}"	DISJOINT_UNION(BEFORE.live_slots,BEFORE.nested_input_owners,BEFORE.returned_owners,BEFORE.retained_external_owners,BEFORE.destroyed_owners,BEFORE.protocol_owned_state)=DISJOINT_UNION(AFTER.live_slots,AFTER.nested_input_owners,AFTER.returned_owners,AFTER.retained_external_owners,AFTER.destroyed_owners,AFTER.protocol_owned_state)	AFTER is the exact normal result partition; extra or missing affine roles are rejected	NO
dense-contract-registry-v1	OWNER-ROLE::DENSE-APPEND-MOVE::SEQ-APPEND-01::OD-1-RESERVE-FIRST::SUCCESS_NO_GROW	DENSE-APPEND-MOVE::SEQ-APPEND-01::OD-1-RESERVE-FIRST::SUCCESS_NO_GROW	DENSE-APPEND-MOVE	DENSE-APPEND-MOVE.SEQ-APPEND-01.OUT.SUCCESS_NO_GROW	APPEND.SUCCESS_NO_GROW	"{""destroyed_owners"":""EMPTY"",""live_slots"":""ORDERED_SET(BASE.PAYLOAD[0..L))"",""nested_input_owners"":""DISJOINT_UNION(SOURCE.PAYLOAD[0..S))"",""protocol_owned_state"":""SET(BASE,SOURCE)"",""retained_external_owners"":""EMPTY"",""returned_owners"":""EMPTY""}"	"{""destroyed_owners"":""EMPTY"",""live_slots"":""ORDERED_SET(BEFORE.live_slots ++ SOURCE.PAYLOAD[0..S))"",""nested_input_owners"":""EMPTY"",""protocol_owned_state"":""EMPTY"",""retained_external_owners"":""EMPTY"",""returned_owners"":""SET(BASE,SOURCE.EMPTY)""}"	DISJOINT_UNION(BEFORE.live_slots,BEFORE.nested_input_owners,BEFORE.returned_owners,BEFORE.retained_external_owners,BEFORE.destroyed_owners,BEFORE.protocol_owned_state)=DISJOINT_UNION(AFTER.live_slots,AFTER.nested_input_owners,AFTER.returned_owners,AFTER.retained_external_owners,AFTER.destroyed_owners,AFTER.protocol_owned_state)	AFTER is the exact normal result partition; extra or missing affine roles are rejected	NO
dense-contract-registry-v1	OWNER-ROLE::DENSE-APPEND-MOVE::SEQ-APPEND-01::OD-1-RESERVE-FIRST::SUCCESS_GROW	DENSE-APPEND-MOVE::SEQ-APPEND-01::OD-1-RESERVE-FIRST::SUCCESS_GROW	DENSE-APPEND-MOVE	DENSE-APPEND-MOVE.SEQ-APPEND-01.OUT.SUCCESS_GROW	APPEND.SUCCESS_GROW	"{""destroyed_owners"":""EMPTY"",""live_slots"":""ORDERED_SET(BASE.PAYLOAD[0..L))"",""nested_input_owners"":""DISJOINT_UNION(SOURCE.PAYLOAD[0..S))"",""protocol_owned_state"":""SET(BASE,SOURCE)"",""retained_external_owners"":""EMPTY"",""returned_owners"":""EMPTY""}"	"{""destroyed_owners"":""EMPTY"",""live_slots"":""ORDERED_SET(BEFORE.live_slots ++ SOURCE.PAYLOAD[0..S))"",""nested_input_owners"":""EMPTY"",""protocol_owned_state"":""EMPTY"",""retained_external_owners"":""EMPTY"",""returned_owners"":""SET(BASE,SOURCE.EMPTY)""}"	DISJOINT_UNION(BEFORE.live_slots,BEFORE.nested_input_owners,BEFORE.returned_owners,BEFORE.retained_external_owners,BEFORE.destroyed_owners,BEFORE.protocol_owned_state)=DISJOINT_UNION(AFTER.live_slots,AFTER.nested_input_owners,AFTER.returned_owners,AFTER.retained_external_owners,AFTER.destroyed_owners,AFTER.protocol_owned_state)	AFTER is the exact normal result partition; extra or missing affine roles are rejected	NO
dense-contract-registry-v1	OWNER-ROLE::DENSE-APPEND-MOVE::SEQ-APPEND-01::OD-1-RESERVE-FIRST::CAPACITY_OVERFLOW_TRAP	DENSE-APPEND-MOVE::SEQ-APPEND-01::OD-1-RESERVE-FIRST::CAPACITY_OVERFLOW_TRAP	DENSE-APPEND-MOVE	DENSE-APPEND-MOVE.SEQ-APPEND-01.OUT.CAPACITY_OVERFLOW_TRAP	APPEND.CAPACITY_OVERFLOW_TRAP	"{""destroyed_owners"":""EMPTY"",""live_slots"":""ORDERED_SET(BASE.PAYLOAD[0..L))"",""nested_input_owners"":""DISJOINT_UNION(SOURCE.PAYLOAD[0..S))"",""protocol_owned_state"":""SET(BASE,SOURCE)"",""retained_external_owners"":""EMPTY"",""returned_owners"":""EMPTY""}"	"{""destroyed_owners"":""EMPTY"",""live_slots"":""ORDERED_SET(BASE.PAYLOAD[0..L))"",""nested_input_owners"":""DISJOINT_UNION(SOURCE.PAYLOAD[0..S))"",""protocol_owned_state"":""SET(BASE,SOURCE)"",""retained_external_owners"":""EMPTY"",""returned_owners"":""EMPTY""}"	DISJOINT_UNION(BEFORE.live_slots,BEFORE.nested_input_owners,BEFORE.returned_owners,BEFORE.retained_external_owners,BEFORE.destroyed_owners,BEFORE.protocol_owned_state)=DISJOINT_UNION(AFTER.live_slots,AFTER.nested_input_owners,AFTER.returned_owners,AFTER.retained_external_owners,AFTER.destroyed_owners,AFTER.protocol_owned_state)	NO_NORMAL_RESULT; PRE_ABORT_PARTITION_IS_EXACT	NO
dense-contract-registry-v1	OWNER-ROLE::DENSE-APPEND-MOVE::SEQ-APPEND-01::OD-1-RESERVE-FIRST::OOM_ABORT	DENSE-APPEND-MOVE::SEQ-APPEND-01::OD-1-RESERVE-FIRST::OOM_ABORT	DENSE-APPEND-MOVE	DENSE-APPEND-MOVE.SEQ-APPEND-01.OUT.OOM_ABORT	APPEND.OOM_ABORT	"{""destroyed_owners"":""EMPTY"",""live_slots"":""ORDERED_SET(BASE.PAYLOAD[0..L))"",""nested_input_owners"":""DISJOINT_UNION(SOURCE.PAYLOAD[0..S))"",""protocol_owned_state"":""SET(BASE,SOURCE)"",""retained_external_owners"":""EMPTY"",""returned_owners"":""EMPTY""}"	"{""destroyed_owners"":""EMPTY"",""live_slots"":""ORDERED_SET(BASE.PAYLOAD[0..L))"",""nested_input_owners"":""DISJOINT_UNION(SOURCE.PAYLOAD[0..S))"",""protocol_owned_state"":""SET(BASE,SOURCE)"",""retained_external_owners"":""EMPTY"",""returned_owners"":""EMPTY""}"	DISJOINT_UNION(BEFORE.live_slots,BEFORE.nested_input_owners,BEFORE.returned_owners,BEFORE.retained_external_owners,BEFORE.destroyed_owners,BEFORE.protocol_owned_state)=DISJOINT_UNION(AFTER.live_slots,AFTER.nested_input_owners,AFTER.returned_owners,AFTER.retained_external_owners,AFTER.destroyed_owners,AFTER.protocol_owned_state)	NO_NORMAL_RESULT; PRE_ABORT_PARTITION_IS_EXACT	NO
dense-contract-registry-v1	OWNER-ROLE::DENSE-APPEND-MOVE::SEQ-APPEND-01::OD-1-RECOVERABLE-MUTATORS::SUCCESS_NO_GROW	DENSE-APPEND-MOVE::SEQ-APPEND-01::OD-1-RECOVERABLE-MUTATORS::SUCCESS_NO_GROW	DENSE-APPEND-MOVE	DENSE-APPEND-MOVE.SEQ-APPEND-01.OUT.SUCCESS_NO_GROW	APPEND.SUCCESS_NO_GROW	"{""destroyed_owners"":""EMPTY"",""live_slots"":""ORDERED_SET(BASE.PAYLOAD[0..L))"",""nested_input_owners"":""DISJOINT_UNION(SOURCE.PAYLOAD[0..S))"",""protocol_owned_state"":""SET(BASE,SOURCE)"",""retained_external_owners"":""EMPTY"",""returned_owners"":""EMPTY""}"	"{""destroyed_owners"":""EMPTY"",""live_slots"":""ORDERED_SET(BEFORE.live_slots ++ SOURCE.PAYLOAD[0..S))"",""nested_input_owners"":""EMPTY"",""protocol_owned_state"":""EMPTY"",""retained_external_owners"":""EMPTY"",""returned_owners"":""SET(BASE,SOURCE.EMPTY)""}"	DISJOINT_UNION(BEFORE.live_slots,BEFORE.nested_input_owners,BEFORE.returned_owners,BEFORE.retained_external_owners,BEFORE.destroyed_owners,BEFORE.protocol_owned_state)=DISJOINT_UNION(AFTER.live_slots,AFTER.nested_input_owners,AFTER.returned_owners,AFTER.retained_external_owners,AFTER.destroyed_owners,AFTER.protocol_owned_state)	AFTER is the exact normal result partition; extra or missing affine roles are rejected	NO
dense-contract-registry-v1	OWNER-ROLE::DENSE-APPEND-MOVE::SEQ-APPEND-01::OD-1-RECOVERABLE-MUTATORS::SUCCESS_GROW	DENSE-APPEND-MOVE::SEQ-APPEND-01::OD-1-RECOVERABLE-MUTATORS::SUCCESS_GROW	DENSE-APPEND-MOVE	DENSE-APPEND-MOVE.SEQ-APPEND-01.OUT.SUCCESS_GROW	APPEND.SUCCESS_GROW	"{""destroyed_owners"":""EMPTY"",""live_slots"":""ORDERED_SET(BASE.PAYLOAD[0..L))"",""nested_input_owners"":""DISJOINT_UNION(SOURCE.PAYLOAD[0..S))"",""protocol_owned_state"":""SET(BASE,SOURCE)"",""retained_external_owners"":""EMPTY"",""returned_owners"":""EMPTY""}"	"{""destroyed_owners"":""EMPTY"",""live_slots"":""ORDERED_SET(BEFORE.live_slots ++ SOURCE.PAYLOAD[0..S))"",""nested_input_owners"":""EMPTY"",""protocol_owned_state"":""EMPTY"",""retained_external_owners"":""EMPTY"",""returned_owners"":""SET(BASE,SOURCE.EMPTY)""}"	DISJOINT_UNION(BEFORE.live_slots,BEFORE.nested_input_owners,BEFORE.returned_owners,BEFORE.retained_external_owners,BEFORE.destroyed_owners,BEFORE.protocol_owned_state)=DISJOINT_UNION(AFTER.live_slots,AFTER.nested_input_owners,AFTER.returned_owners,AFTER.retained_external_owners,AFTER.destroyed_owners,AFTER.protocol_owned_state)	AFTER is the exact normal result partition; extra or missing affine roles are rejected	NO
dense-contract-registry-v1	OWNER-ROLE::DENSE-APPEND-MOVE::SEQ-APPEND-01::OD-1-RECOVERABLE-MUTATORS::CAPACITY_ERROR_RETURN	DENSE-APPEND-MOVE::SEQ-APPEND-01::OD-1-RECOVERABLE-MUTATORS::CAPACITY_ERROR_RETURN	DENSE-APPEND-MOVE	DENSE-APPEND-MOVE.SEQ-APPEND-01.OUT.CAPACITY_ERROR_RETURN	APPEND.CAPACITY_ERROR_RETURN	"{""destroyed_owners"":""EMPTY"",""live_slots"":""ORDERED_SET(BASE.PAYLOAD[0..L))"",""nested_input_owners"":""DISJOINT_UNION(SOURCE.PAYLOAD[0..S))"",""protocol_owned_state"":""SET(BASE,SOURCE)"",""retained_external_owners"":""EMPTY"",""returned_owners"":""EMPTY""}"	"{""destroyed_owners"":""EMPTY"",""live_slots"":""ORDERED_SET(BASE.PAYLOAD[0..L))"",""nested_input_owners"":""EMPTY"",""protocol_owned_state"":""EMPTY"",""retained_external_owners"":""EMPTY"",""returned_owners"":""DISJOINT_UNION(SET(BASE,SOURCE),DISJOINT_UNION(SOURCE.PAYLOAD[0..S)))""}"	DISJOINT_UNION(BEFORE.live_slots,BEFORE.nested_input_owners,BEFORE.returned_owners,BEFORE.retained_external_owners,BEFORE.destroyed_owners,BEFORE.protocol_owned_state)=DISJOINT_UNION(AFTER.live_slots,AFTER.nested_input_owners,AFTER.returned_owners,AFTER.retained_external_owners,AFTER.destroyed_owners,AFTER.protocol_owned_state)	AFTER is the exact normal result partition; extra or missing affine roles are rejected	NO
dense-contract-registry-v1	OWNER-ROLE::DENSE-APPEND-MOVE::SEQ-APPEND-01::OD-1-RECOVERABLE-MUTATORS::ALLOCATION_ERROR_RETURN	DENSE-APPEND-MOVE::SEQ-APPEND-01::OD-1-RECOVERABLE-MUTATORS::ALLOCATION_ERROR_RETURN	DENSE-APPEND-MOVE	DENSE-APPEND-MOVE.SEQ-APPEND-01.OUT.ALLOCATION_ERROR_RETURN	APPEND.ALLOCATION_ERROR_RETURN	"{""destroyed_owners"":""EMPTY"",""live_slots"":""ORDERED_SET(BASE.PAYLOAD[0..L))"",""nested_input_owners"":""DISJOINT_UNION(SOURCE.PAYLOAD[0..S))"",""protocol_owned_state"":""SET(BASE,SOURCE)"",""retained_external_owners"":""EMPTY"",""returned_owners"":""EMPTY""}"	"{""destroyed_owners"":""EMPTY"",""live_slots"":""ORDERED_SET(BASE.PAYLOAD[0..L))"",""nested_input_owners"":""EMPTY"",""protocol_owned_state"":""EMPTY"",""retained_external_owners"":""EMPTY"",""returned_owners"":""DISJOINT_UNION(SET(BASE,SOURCE),DISJOINT_UNION(SOURCE.PAYLOAD[0..S)))""}"	DISJOINT_UNION(BEFORE.live_slots,BEFORE.nested_input_owners,BEFORE.returned_owners,BEFORE.retained_external_owners,BEFORE.destroyed_owners,BEFORE.protocol_owned_state)=DISJOINT_UNION(AFTER.live_slots,AFTER.nested_input_owners,AFTER.returned_owners,AFTER.retained_external_owners,AFTER.destroyed_owners,AFTER.protocol_owned_state)	AFTER is the exact normal result partition; extra or missing affine roles are rejected	NO
dense-contract-registry-v1	OWNER-ROLE::DENSE-BOX-INIT-EVIDENCE::BOX-INIT-01::COMMON-NON-OD1::EXCLUDED_NO_CALL	DENSE-BOX-INIT-EVIDENCE::BOX-INIT-01::COMMON-NON-OD1::EXCLUDED_NO_CALL	DENSE-BOX-INIT-EVIDENCE	DENSE-BOX-INIT-EVIDENCE.BOX-INIT-01.OUT.EXCLUDED_NO_CALL	STATIC_REJECT.EXCLUDED_NO_CALL	"{""destroyed_owners"":""EMPTY"",""live_slots"":""EMPTY"",""nested_input_owners"":""EMPTY"",""protocol_owned_state"":""EMPTY"",""retained_external_owners"":""EMPTY"",""returned_owners"":""EMPTY""}"	"{""destroyed_owners"":""EMPTY"",""live_slots"":""EMPTY"",""nested_input_owners"":""EMPTY"",""protocol_owned_state"":""EMPTY"",""retained_external_owners"":""EMPTY"",""returned_owners"":""EMPTY""}"	DISJOINT_UNION(BEFORE.live_slots,BEFORE.nested_input_owners,BEFORE.returned_owners,BEFORE.retained_external_owners,BEFORE.destroyed_owners,BEFORE.protocol_owned_state)=DISJOINT_UNION(AFTER.live_slots,AFTER.nested_input_owners,AFTER.returned_owners,AFTER.retained_external_owners,AFTER.destroyed_owners,AFTER.protocol_owned_state)	AFTER is the exact normal result partition; extra or missing affine roles are rejected	NO
