performance_unit_id	contract_id	member_contract_id	outcome_id	cluster_id	policy_variant_id	profile_id	source_contract_status	source_contract_sha256	derivation_kind	disposition	representative_operation_gate_id	structural_gate_ids	functional_oracle_id	exact_reason	status
PERFUNIT-5013077DBC91E758EA5D	DENSE-ALIGN-EVIDENCE::RAW-UNSAFE-ALIGN-01::COMMON-NON-OD1::EXCLUDED_NO_CALL	DENSE-ALIGN-EVIDENCE	DENSE-ALIGN-EVIDENCE.RAW-UNSAFE-ALIGN-01.OUT.EXCLUDED_NO_CALL	RAW-UNSAFE-ALIGN-01	COMMON-NON-OD1	EXCLUDED_SURFACE	EXCLUDED_BLOCKS_NAMED_CLAIM	5013077dbc91e758ea5d6629913c24f8621aa2dde88578742410d93b9c45442c	EXCLUDED	EXCLUDED	NONE	NONE	NONE	Exact excluded surface has no executable route and blocks any performance claim that would require it. Contract DENSE-ALIGN-EVIDENCE::RAW-UNSAFE-ALIGN-01::COMMON-NON-OD1::EXCLUDED_NO_CALL has frozen outcome EXCLUDED_NO_CALL, profile EXCLUDED_SURFACE, policy COMMON-NON-OD1, and source row 5013077dbc91e758ea5d6629913c24f8621aa2dde88578742410d93b9c45442c.	FROZEN_PROTOCOL
PERFUNIT-4798B4DF8D0120087EF0	DENSE-APPEND-MOVE::SEQ-APPEND-01::OD-1-RESERVE-FIRST::SUCCESS_NO_GROW	DENSE-APPEND-MOVE	DENSE-APPEND-MOVE.SEQ-APPEND-01.OUT.SUCCESS_NO_GROW	SEQ-APPEND-01	OD-1-RESERVE-FIRST	OD1_MUTATOR	REQUIRED_IN_LOCK	4798b4df8d0120087ef0b32e5ac2d641106971a01da4549ea2445ec3ef193c6d	REPRESENTATIVE	TIMED_PRIMARY	OPG-CA1AFBFA77519CE2D186	SG-EXACT-ORACLE,SG-OWNER-EVENTS,SG-ALLOCATION	NONE	Exact normal outcome is an independent same-shape Rust-floor representative; every target and workload shape keeps its own upper-ratio gate. Contract DENSE-APPEND-MOVE::SEQ-APPEND-01::OD-1-RESERVE-FIRST::SUCCESS_NO_GROW has frozen outcome SUCCESS_NO_GROW, profile OD1_MUTATOR, policy OD-1-RESERVE-FIRST, and source row 4798b4df8d0120087ef0b32e5ac2d641106971a01da4549ea2445ec3ef193c6d.	FROZEN_PROTOCOL
PERFUNIT-C4A58A93151CF3E5750E	DENSE-APPEND-MOVE::SEQ-APPEND-01::OD-1-RESERVE-FIRST::SUCCESS_GROW	DENSE-APPEND-MOVE	DENSE-APPEND-MOVE.SEQ-APPEND-01.OUT.SUCCESS_GROW	SEQ-APPEND-01	OD-1-RESERVE-FIRST	OD1_MUTATOR	REQUIRED_IN_LOCK	c4a58a93151cf3e5750e714149af1c12cf8e63fb03ecde2600d949061226db6e	REPRESENTATIVE	TIMED_PRIMARY	OPG-CA1AFBFA77519CE2D186	SG-EXACT-ORACLE,SG-OWNER-EVENTS,SG-ALLOCATION	NONE	Exact normal outcome is an independent same-shape Rust-floor representative; every target and workload shape keeps its own upper-ratio gate. Contract DENSE-APPEND-MOVE::SEQ-APPEND-01::OD-1-RESERVE-FIRST::SUCCESS_GROW has frozen outcome SUCCESS_GROW, profile OD1_MUTATOR, policy OD-1-RESERVE-FIRST, and source row c4a58a93151cf3e5750e714149af1c12cf8e63fb03ecde2600d949061226db6e.	FROZEN_PROTOCOL
PERFUNIT-6EEA90838F66DB9E0A8C	DENSE-APPEND-MOVE::SEQ-APPEND-01::OD-1-RESERVE-FIRST::CAPACITY_OVERFLOW_TRAP	DENSE-APPEND-MOVE	DENSE-APPEND-MOVE.SEQ-APPEND-01.OUT.CAPACITY_OVERFLOW_TRAP	SEQ-APPEND-01	OD-1-RESERVE-FIRST	OD1_MUTATOR	REQUIRED_IN_LOCK	6eea90838f66db9e0a8c350df71a07845180c448a3e005e620a3f297962896bb	FUNCTIONAL	FUNCTIONAL_ONLY	NONE	NONE	DENSE-SOUNDNESS-EXACT-CONTRACT	Exact failure, rejection, trap, or abort outcome is covered by the exact soundness oracle and failure-injection gate; it is never pooled into successful timing. Contract DENSE-APPEND-MOVE::SEQ-APPEND-01::OD-1-RESERVE-FIRST::CAPACITY_OVERFLOW_TRAP has frozen outcome CAPACITY_OVERFLOW_TRAP, profile OD1_MUTATOR, policy OD-1-RESERVE-FIRST, and source row 6eea90838f66db9e0a8c350df71a07845180c448a3e005e620a3f297962896bb.	FROZEN_PROTOCOL
PERFUNIT-5EEC60270C58F87A5A88	DENSE-APPEND-MOVE::SEQ-APPEND-01::OD-1-RESERVE-FIRST::OOM_ABORT	DENSE-APPEND-MOVE	DENSE-APPEND-MOVE.SEQ-APPEND-01.OUT.OOM_ABORT	SEQ-APPEND-01	OD-1-RESERVE-FIRST	OD1_MUTATOR	REQUIRED_IN_LOCK	5eec60270c58f87a5a88620ff8ce017f6668e6c19c8e9e1fddec551be789335c	FUNCTIONAL	FUNCTIONAL_ONLY	NONE	NONE	DENSE-SOUNDNESS-EXACT-CONTRACT	Exact failure, rejection, trap, or abort outcome is covered by the exact soundness oracle and failure-injection gate; it is never pooled into successful timing. Contract DENSE-APPEND-MOVE::SEQ-APPEND-01::OD-1-RESERVE-FIRST::OOM_ABORT has frozen outcome OOM_ABORT, profile OD1_MUTATOR, policy OD-1-RESERVE-FIRST, and source row 5eec60270c58f87a5a88620ff8ce017f6668e6c19c8e9e1fddec551be789335c.	FROZEN_PROTOCOL
PERFUNIT-7E57DAC5B0F6C8F58F84	DENSE-APPEND-MOVE::SEQ-APPEND-01::OD-1-RECOVERABLE-MUTATORS::SUCCESS_NO_GROW	DENSE-APPEND-MOVE	DENSE-APPEND-MOVE.SEQ-APPEND-01.OUT.SUCCESS_NO_GROW	SEQ-APPEND-01	OD-1-RECOVERABLE-MUTATORS	OD1_MUTATOR	REQUIRED_IN_LOCK	7e57dac5b0f6c8f58f8422257aee111283e2ca2d314d0b5fbe86fa2e36615c25	REPRESENTATIVE	TIMED_PRIMARY	OPG-5E3BDC6389F32E176B29	SG-EXACT-ORACLE,SG-OWNER-EVENTS,SG-ALLOCATION	NONE	Exact normal outcome is an independent same-shape Rust-floor representative; every target and workload shape keeps its own upper-ratio gate. Contract DENSE-APPEND-MOVE::SEQ-APPEND-01::OD-1-RECOVERABLE-MUTATORS::SUCCESS_NO_GROW has frozen outcome SUCCESS_NO_GROW, profile OD1_MUTATOR, policy OD-1-RECOVERABLE-MUTATORS, and source row 7e57dac5b0f6c8f58f8422257aee111283e2ca2d314d0b5fbe86fa2e36615c25.	FROZEN_PROTOCOL
PERFUNIT-00E043C0ABC3BFBDEB45	DENSE-APPEND-MOVE::SEQ-APPEND-01::OD-1-RECOVERABLE-MUTATORS::SUCCESS_GROW	DENSE-APPEND-MOVE	DENSE-APPEND-MOVE.SEQ-APPEND-01.OUT.SUCCESS_GROW	SEQ-APPEND-01	OD-1-RECOVERABLE-MUTATORS	OD1_MUTATOR	REQUIRED_IN_LOCK	00e043c0abc3bfbdeb4564174b09b8d7cb2b949395a63032c6038b90161f1b5a	REPRESENTATIVE	TIMED_PRIMARY	OPG-5E3BDC6389F32E176B29	SG-EXACT-ORACLE,SG-OWNER-EVENTS,SG-ALLOCATION	NONE	Exact normal outcome is an independent same-shape Rust-floor representative; every target and workload shape keeps its own upper-ratio gate. Contract DENSE-APPEND-MOVE::SEQ-APPEND-01::OD-1-RECOVERABLE-MUTATORS::SUCCESS_GROW has frozen outcome SUCCESS_GROW, profile OD1_MUTATOR, policy OD-1-RECOVERABLE-MUTATORS, and source row 00e043c0abc3bfbdeb4564174b09b8d7cb2b949395a63032c6038b90161f1b5a.	FROZEN_PROTOCOL
PERFUNIT-9F17571BC26B203A4C55	DENSE-APPEND-MOVE::SEQ-APPEND-01::OD-1-RECOVERABLE-MUTATORS::CAPACITY_ERROR_RETURN	DENSE-APPEND-MOVE	DENSE-APPEND-MOVE.SEQ-APPEND-01.OUT.CAPACITY_ERROR_RETURN	SEQ-APPEND-01	OD-1-RECOVERABLE-MUTATORS	OD1_MUTATOR	REQUIRED_IN_LOCK	9f17571bc26b203a4c558ea6d3a55d5c67849f55f4ffacd590235f992e434186	FUNCTIONAL	FUNCTIONAL_ONLY	NONE	NONE	DENSE-SOUNDNESS-EXACT-CONTRACT	Exact failure, rejection, trap, or abort outcome is covered by the exact soundness oracle and failure-injection gate; it is never pooled into successful timing. Contract DENSE-APPEND-MOVE::SEQ-APPEND-01::OD-1-RECOVERABLE-MUTATORS::CAPACITY_ERROR_RETURN has frozen outcome CAPACITY_ERROR_RETURN, profile OD1_MUTATOR, policy OD-1-RECOVERABLE-MUTATORS, and source row 9f17571bc26b203a4c558ea6d3a55d5c67849f55f4ffacd590235f992e434186.	FROZEN_PROTOCOL
PERFUNIT-894F4F461B1E12284E68	DENSE-APPEND-MOVE::SEQ-APPEND-01::OD-1-RECOVERABLE-MUTATORS::ALLOCATION_ERROR_RETURN	DENSE-APPEND-MOVE	DENSE-APPEND-MOVE.SEQ-APPEND-01.OUT.ALLOCATION_ERROR_RETURN	SEQ-APPEND-01	OD-1-RECOVERABLE-MUTATORS	OD1_MUTATOR	REQUIRED_IN_LOCK	894f4f461b1e12284e68352d075371ba54286dcb716fd053e4263e1ab5388e77	FUNCTIONAL	FUNCTIONAL_ONLY	NONE	NONE	DENSE-SOUNDNESS-EXACT-CONTRACT	Exact failure, rejection, trap, or abort outcome is covered by the exact soundness oracle and failure-injection gate; it is never pooled into successful timing. Contract DENSE-APPEND-MOVE::SEQ-APPEND-01::OD-1-RECOVERABLE-MUTATORS::ALLOCATION_ERROR_RETURN has frozen outcome ALLOCATION_ERROR_RETURN, profile OD1_MUTATOR, policy OD-1-RECOVERABLE-MUTATORS, and source row 894f4f461b1e12284e68352d075371ba54286dcb716fd053e4263e1ab5388e77.	FROZEN_PROTOCOL
PERFUNIT-8BF292E310BD8CDB0AEE	DENSE-BOX-INIT-EVIDENCE::BOX-INIT-01::COMMON-NON-OD1::EXCLUDED_NO_CALL	DENSE-BOX-INIT-EVIDENCE	DENSE-BOX-INIT-EVIDENCE.BOX-INIT-01.OUT.EXCLUDED_NO_CALL	BOX-INIT-01	COMMON-NON-OD1	EXCLUDED_SURFACE	EXCLUDED_BLOCKS_NAMED_CLAIM	8bf292e310bd8cdb0aee5a0bf77256909204fd80b44ff0335e50287774e862a2	EXCLUDED	EXCLUDED	NONE	NONE	NONE	Exact excluded surface has no executable route and blocks any performance claim that would require it. Contract DENSE-BOX-INIT-EVIDENCE::BOX-INIT-01::COMMON-NON-OD1::EXCLUDED_NO_CALL has frozen outcome EXCLUDED_NO_CALL, profile EXCLUDED_SURFACE, policy COMMON-NON-OD1, and source row 8bf292e310bd8cdb0aee5a0bf77256909204fd80b44ff0335e50287774e862a2.	FROZEN_PROTOCOL
