schedule_id	shape_id	operation_order	operation_count_rule	reset_rule	status
SCHED-ARITHMETIC-32-LAST-FIRST	ARITHMETIC-32-LAST-FIRST	i686 last-valid and first-invalid add, multiply, layout, isize, and usize tuples.	Exact operation_count from the immutable descriptor	Fresh subject per observation; no hidden rebuild inside timer.	FROZEN_PROTOCOL
SCHED-ARITHMETIC-64-LAST-FIRST	ARITHMETIC-64-LAST-FIRST	64-bit last-valid and first-invalid add, multiply, layout, isize, and usize tuples.	Exact operation_count from the immutable descriptor	Fresh subject per observation; no hidden rebuild inside timer.	FROZEN_PROTOCOL
SCHED-BASE	BASE	One exact canonical operation outcome at 4096 logical payload bytes.	Exact operation_count from the immutable descriptor	Fresh subject per observation; no hidden rebuild inside timer.	FROZEN_PROTOCOL
SCHED-BYTE-262144	BYTE-262144	Exactly 262144 logical payload bytes.	Exact operation_count from the immutable descriptor	Fresh subject per observation; no hidden rebuild inside timer.	FROZEN_PROTOCOL
SCHED-BYTE-4096	BYTE-4096	Exactly 4096 logical payload bytes.	Exact operation_count from the immutable descriptor	Fresh subject per observation; no hidden rebuild inside timer.	FROZEN_PROTOCOL
SCHED-BYTE-4194304	BYTE-4194304	Exactly 4194304 logical payload bytes.	Exact operation_count from the immutable descriptor	Fresh subject per observation; no hidden rebuild inside timer.	FROZEN_PROTOCOL
SCHED-BYTE-64	BYTE-64	Exactly 64 logical payload bytes.	Exact operation_count from the immutable descriptor	Fresh subject per observation; no hidden rebuild inside timer.	FROZEN_PROTOCOL
SCHED-BYTE-67108864	BYTE-67108864	Exactly 67108864 logical payload bytes.	Exact operation_count from the immutable descriptor	Fresh subject per observation; no hidden rebuild inside timer.	FROZEN_PROTOCOL
SCHED-CLONE-FROM-DST-LONGER	CLONE-FROM-DST-LONGER	destination length=source length+floor(source length/2).	Exact operation_count from the immutable descriptor	Fresh subject per observation; no hidden rebuild inside timer.	FROZEN_PROTOCOL
SCHED-CLONE-FROM-DST-SHORTER	CLONE-FROM-DST-SHORTER	destination length=floor(source length/2).	Exact operation_count from the immutable descriptor	Fresh subject per observation; no hidden rebuild inside timer.	FROZEN_PROTOCOL
SCHED-CLONE-FROM-EQUAL	CLONE-FROM-EQUAL	destination length=source length.	Exact operation_count from the immutable descriptor	Fresh subject per observation; no hidden rebuild inside timer.	FROZEN_PROTOCOL
SCHED-EDIT-BACK	EDIT-BACK	Last valid index, or insertion index len.	Exact operation_count from the immutable descriptor	Fresh subject per observation; no hidden rebuild inside timer.	FROZEN_PROTOCOL
SCHED-EDIT-FRONT	EDIT-FRONT	Index 0 on a nonempty valid owner.	Exact operation_count from the immutable descriptor	Fresh subject per observation; no hidden rebuild inside timer.	FROZEN_PROTOCOL
SCHED-EDIT-MIDDLE	EDIT-MIDDLE	Index floor(len/2) on a nonempty valid owner.	Exact operation_count from the immutable descriptor	Fresh subject per observation; no hidden rebuild inside timer.	FROZEN_PROTOCOL
SCHED-PAYLOAD-AFFINE24	PAYLOAD-AFFINE24	Timed separating witness for AFFINE24.	Exact operation_count from the immutable descriptor	Fresh subject per observation; no hidden rebuild inside timer.	FROZEN_PROTOCOL
SCHED-PAYLOAD-AFFINE256	PAYLOAD-AFFINE256	Timed separating witness for AFFINE256.	Exact operation_count from the immutable descriptor	Fresh subject per observation; no hidden rebuild inside timer.	FROZEN_PROTOCOL
SCHED-PAYLOAD-AFFINE64	PAYLOAD-AFFINE64	Timed separating witness for AFFINE64.	Exact operation_count from the immutable descriptor	Fresh subject per observation; no hidden rebuild inside timer.	FROZEN_PROTOCOL
SCHED-PAYLOAD-BEHAVIOR	PAYLOAD-BEHAVIOR	Timed separating witness for BEHAVIOR.	Exact operation_count from the immutable descriptor	Fresh subject per observation; no hidden rebuild inside timer.	FROZEN_PROTOCOL
