obligation_id	record_kind	role	workload_or_operation	closure_owner_or_gate_stage	owner_lock_disposition	implicated_rebind_disposition	binding_kind	member_contract_id	outcome_id	control_or_witness_id	primary_canary_id	crosscut_canary_ids	canary_source_sha256	binding_authority
G0-ROLE-742C30A07931DF19	CAPABILITY_MATRIX	B	Fixed buffer of Copy scalars	ALL-FAMILY-LOCKS	PROTECTED_CONTROL	PROTECTED_CONTROL	CONTROL	NONE	NONE	B-FIX	C-FIX	C-FAIL	1cea3dfce3ff2683100c0e25a181a4c9be8eb7dc47c5084e2a6e0d0520324427	EXACT_G0_ROLE_TO_DENSE_MEMBER_OR_CONTROL_ASSIGNMENT
G0-ROLE-4D63ABD62AE8F235	CAPABILITY_MATRIX	M	Fixed AoS record buffer	F-DENSE	REQUIRED_IN_LOCK	NOT_APPLICABLE_REOPENING_ONLY	MEMBER	DENSE-FIXED-VIEW	BIND_FROM_DECLARATIVE_CONTRACT_REGISTRY	NONE	C-FIX	C-FAIL	1cea3dfce3ff2683100c0e25a181a4c9be8eb7dc47c5084e2a6e0d0520324427	EXACT_G0_ROLE_TO_DENSE_MEMBER_OR_CONTROL_ASSIGNMENT
G0-ROLE-4D63ABD62AE8F235	CAPABILITY_MATRIX	M	Fixed AoS record buffer	F-DENSE	REQUIRED_IN_LOCK	NOT_APPLICABLE_REOPENING_ONLY	MEMBER	DENSE-FIXED-EACH	BIND_FROM_DECLARATIVE_CONTRACT_REGISTRY	NONE	C-FIX	C-FAIL	1cea3dfce3ff2683100c0e25a181a4c9be8eb7dc47c5084e2a6e0d0520324427	EXACT_G0_ROLE_TO_DENSE_MEMBER_OR_CONTROL_ASSIGNMENT
G0-ROLE-4D63ABD62AE8F235	CAPABILITY_MATRIX	M	Fixed AoS record buffer	F-DENSE	REQUIRED_IN_LOCK	NOT_APPLICABLE_REOPENING_ONLY	MEMBER	DENSE-FIXED-MAP	BIND_FROM_DECLARATIVE_CONTRACT_REGISTRY	NONE	C-FIX	C-FAIL	1cea3dfce3ff2683100c0e25a181a4c9be8eb7dc47c5084e2a6e0d0520324427	EXACT_G0_ROLE_TO_DENSE_MEMBER_OR_CONTROL_ASSIGNMENT
G0-ROLE-F5CADFB4D644C236	CAPABILITY_MATRIX	M	Unknown-length append	F-DENSE	REQUIRED_IN_LOCK	NOT_APPLICABLE_REOPENING_ONLY	MEMBER	DENSE-PUSH	BIND_FROM_DECLARATIVE_CONTRACT_REGISTRY	NONE	C-SEQ	C-FAIL	861c14964d0e402e5b1fae1bc370851691ea15b6ef398b649c7691e58f1e0963	EXACT_G0_ROLE_TO_DENSE_MEMBER_OR_CONTROL_ASSIGNMENT
G0-ROLE-F5CADFB4D644C236	CAPABILITY_MATRIX	M	Unknown-length append	F-DENSE	REQUIRED_IN_LOCK	NOT_APPLICABLE_REOPENING_ONLY	MEMBER	DENSE-EXTEND-ITER	BIND_FROM_DECLARATIVE_CONTRACT_REGISTRY	NONE	C-SEQ	C-FAIL	861c14964d0e402e5b1fae1bc370851691ea15b6ef398b649c7691e58f1e0963	EXACT_G0_ROLE_TO_DENSE_MEMBER_OR_CONTROL_ASSIGNMENT
G0-ROLE-F5CADFB4D644C236	CAPABILITY_MATRIX	M	Unknown-length append	F-DENSE	REQUIRED_IN_LOCK	NOT_APPLICABLE_REOPENING_ONLY	MEMBER	DENSE-COLLECT	BIND_FROM_DECLARATIVE_CONTRACT_REGISTRY	NONE	C-SEQ	C-FAIL	861c14964d0e402e5b1fae1bc370851691ea15b6ef398b649c7691e58f1e0963	EXACT_G0_ROLE_TO_DENSE_MEMBER_OR_CONTROL_ASSIGNMENT
G0-ROLE-DF3265C016EE8C06	CAPABILITY_MATRIX	M	Append affine value	F-DENSE	REQUIRED_IN_LOCK	NOT_APPLICABLE_REOPENING_ONLY	MEMBER	DENSE-PUSH	BIND_FROM_DECLARATIVE_CONTRACT_REGISTRY	NONE	C-SEQ	C-FAIL	861c14964d0e402e5b1fae1bc370851691ea15b6ef398b649c7691e58f1e0963	EXACT_G0_ROLE_TO_DENSE_MEMBER_OR_CONTROL_ASSIGNMENT
G0-ROLE-DF3265C016EE8C06	CAPABILITY_MATRIX	M	Append affine value	F-DENSE	REQUIRED_IN_LOCK	NOT_APPLICABLE_REOPENING_ONLY	MEMBER	DENSE-APPEND-MOVE	BIND_FROM_DECLARATIVE_CONTRACT_REGISTRY	NONE	C-SEQ	C-FAIL	861c14964d0e402e5b1fae1bc370851691ea15b6ef398b649c7691e58f1e0963	EXACT_G0_ROLE_TO_DENSE_MEMBER_OR_CONTROL_ASSIGNMENT
G0-ROLE-72D36A5F3282DF41	CAPABILITY_MATRIX	M	Grow/shrink contiguous sequence	F-DENSE	REQUIRED_IN_LOCK	NOT_APPLICABLE_REOPENING_ONLY	MEMBER	DENSE-RESERVE	BIND_FROM_DECLARATIVE_CONTRACT_REGISTRY	NONE	C-SEQ	C-FAIL	861c14964d0e402e5b1fae1bc370851691ea15b6ef398b649c7691e58f1e0963	EXACT_G0_ROLE_TO_DENSE_MEMBER_OR_CONTROL_ASSIGNMENT
G0-ROLE-72D36A5F3282DF41	CAPABILITY_MATRIX	M	Grow/shrink contiguous sequence	F-DENSE	REQUIRED_IN_LOCK	NOT_APPLICABLE_REOPENING_ONLY	MEMBER	DENSE-RESERVE-EXACT	BIND_FROM_DECLARATIVE_CONTRACT_REGISTRY	NONE	C-SEQ	C-FAIL	861c14964d0e402e5b1fae1bc370851691ea15b6ef398b649c7691e58f1e0963	EXACT_G0_ROLE_TO_DENSE_MEMBER_OR_CONTROL_ASSIGNMENT
G0-ROLE-72D36A5F3282DF41	CAPABILITY_MATRIX	M	Grow/shrink contiguous sequence	F-DENSE	REQUIRED_IN_LOCK	NOT_APPLICABLE_REOPENING_ONLY	MEMBER	DENSE-TRY-RESERVE	BIND_FROM_DECLARATIVE_CONTRACT_REGISTRY	NONE	C-SEQ	C-FAIL	861c14964d0e402e5b1fae1bc370851691ea15b6ef398b649c7691e58f1e0963	EXACT_G0_ROLE_TO_DENSE_MEMBER_OR_CONTROL_ASSIGNMENT
G0-ROLE-72D36A5F3282DF41	CAPABILITY_MATRIX	M	Grow/shrink contiguous sequence	F-DENSE	REQUIRED_IN_LOCK	NOT_APPLICABLE_REOPENING_ONLY	MEMBER	DENSE-TRY-RESERVE-EXACT	BIND_FROM_DECLARATIVE_CONTRACT_REGISTRY	NONE	C-SEQ	C-FAIL	861c14964d0e402e5b1fae1bc370851691ea15b6ef398b649c7691e58f1e0963	EXACT_G0_ROLE_TO_DENSE_MEMBER_OR_CONTROL_ASSIGNMENT
G0-ROLE-72D36A5F3282DF41	CAPABILITY_MATRIX	M	Grow/shrink contiguous sequence	F-DENSE	REQUIRED_IN_LOCK	NOT_APPLICABLE_REOPENING_ONLY	MEMBER	DENSE-SHRINK-TO	BIND_FROM_DECLARATIVE_CONTRACT_REGISTRY	NONE	C-SEQ	C-FAIL	861c14964d0e402e5b1fae1bc370851691ea15b6ef398b649c7691e58f1e0963	EXACT_G0_ROLE_TO_DENSE_MEMBER_OR_CONTROL_ASSIGNMENT
G0-ROLE-72D36A5F3282DF41	CAPABILITY_MATRIX	M	Grow/shrink contiguous sequence	F-DENSE	REQUIRED_IN_LOCK	NOT_APPLICABLE_REOPENING_ONLY	MEMBER	DENSE-SHRINK-TO-FIT	BIND_FROM_DECLARATIVE_CONTRACT_REGISTRY	NONE	C-SEQ	C-FAIL	861c14964d0e402e5b1fae1bc370851691ea15b6ef398b649c7691e58f1e0963	EXACT_G0_ROLE_TO_DENSE_MEMBER_OR_CONTROL_ASSIGNMENT
G0-ROLE-D056CF94DE68B8B8	CAPABILITY_MATRIX	M	Pop affine value	F-DENSE	REQUIRED_IN_LOCK	NOT_APPLICABLE_REOPENING_ONLY	MEMBER	DENSE-POP	BIND_FROM_DECLARATIVE_CONTRACT_REGISTRY	NONE	C-SEQ	C-FAIL	861c14964d0e402e5b1fae1bc370851691ea15b6ef398b649c7691e58f1e0963	EXACT_G0_ROLE_TO_DENSE_MEMBER_OR_CONTROL_ASSIGNMENT
G0-ROLE-D056CF94DE68B8B8	CAPABILITY_MATRIX	M	Pop affine value	F-DENSE	REQUIRED_IN_LOCK	NOT_APPLICABLE_REOPENING_ONLY	MEMBER	DENSE-POP-IF	BIND_FROM_DECLARATIVE_CONTRACT_REGISTRY	NONE	C-SEQ	C-FAIL	861c14964d0e402e5b1fae1bc370851691ea15b6ef398b649c7691e58f1e0963	EXACT_G0_ROLE_TO_DENSE_MEMBER_OR_CONTROL_ASSIGNMENT
