parent_evidence_identity	cluster_id	selector_kind	parent_value_sha256	child_ordinal	child_identity	child_kind	child_value	child_value_sha256	anchored_evidence_identity_ids	applicable_target_ids	f_dense_member_contract_ids	target_authority	member_authority	expansion_grammar
683613a873061a91f9c48d85d5f046ce29b591b06314f614f33cffc453219e35	ARR-VIEW-01	CLUSTER_RUST_SURFACES_SELECTOR	3b2f97d35ab836e6368ca1f75d40b4252cdbd09ca2245a2aea9cec45e4111064	1	e698b50ae78e08e4fecadc2716c541fb8adb8f2d5907239709a90406cc41ff4e	SELECTOR_CLAUSE	array::as_slice	b7e08e3ca3e85b1cda05d87a106c10203e9bc659aee252c2f41d85e49e068470	89086968dadb5460df698e561685b1d7ab4b75af4dbb631d8bcb8303fa8fb10d	F-DENSE	DENSE-FIXED-VIEW	EXACT_CLOSED_CHILD_TARGET_ASSIGNMENT:1cc4cdadbff24d57e7e76e7cd592f38de6117699902ad4efed0a80e4ab6ba1fc	EXACT_CLOSED_CHILD_MEMBER_ASSIGNMENT:1cc4cdadbff24d57e7e76e7cd592f38de6117699902ad4efed0a80e4ab6ba1fc	DENSE-SELECTOR-EXPANSION-v4-CLOSED
683613a873061a91f9c48d85d5f046ce29b591b06314f614f33cffc453219e35	ARR-VIEW-01	CLUSTER_RUST_SURFACES_SELECTOR	3b2f97d35ab836e6368ca1f75d40b4252cdbd09ca2245a2aea9cec45e4111064	2	b1a8051e967f1d6929300873a4d6445982de7973fafad13a95d74330888975a9	SELECTOR_CLAUSE	array::as_mut_slice	81ec4b2e04f88c4dd1696ad73d0e490464b1eb74471fe8372193322925dc4453	5d16e9d4c39e5c2cc84015345e9e453f393daaa20c67851fd3e6b88841b17fc0	F-DENSE	DENSE-FIXED-VIEW	EXACT_CLOSED_CHILD_TARGET_ASSIGNMENT:b4b625de74a28196288db43fcbdbc9ae0d0b96157ab42e6ac99a33132faf53be	EXACT_CLOSED_CHILD_MEMBER_ASSIGNMENT:b4b625de74a28196288db43fcbdbc9ae0d0b96157ab42e6ac99a33132faf53be	DENSE-SELECTOR-EXPANSION-v4-CLOSED
df854999d47995a52b0eb70eeb931243eb4d227bd222e2d1e1ce0c1c64833644	ARR-VIEW-01	CLUSTER_IMPLEMENTATION_PRIVILEGE_SELECTOR	5eaee28e06e7231e586199781c0d35c4ab2292986473a1f2ac50b8c44fb60509	1	f15022408dcce431618a45b497ce045ef12079a81867f5e37eca9502032f99c2	SELECTOR_CLAUSE	Safe reference construction	f36a1a0840f91669ad2116e8ba1b1cebf96c0e30d2c4e4fb9ddf6b0424a3d37d	NONE	F-DENSE	DENSE-FIXED-VIEW	EXACT_CLOSED_CHILD_TARGET_ASSIGNMENT:ca8f379a3a2cdc327b8e6de40ecc6d569183b42665c02d7aa4b84b61a20286ca	EXACT_CLOSED_CHILD_MEMBER_ASSIGNMENT:ca8f379a3a2cdc327b8e6de40ecc6d569183b42665c02d7aa4b84b61a20286ca	DENSE-SELECTOR-EXPANSION-v4-CLOSED
df854999d47995a52b0eb70eeb931243eb4d227bd222e2d1e1ce0c1c64833644	ARR-VIEW-01	CLUSTER_IMPLEMENTATION_PRIVILEGE_SELECTOR	5eaee28e06e7231e586199781c0d35c4ab2292986473a1f2ac50b8c44fb60509	2	7bc0d29f88c9c405c6626655b331ccc4cc3500ea4361ad44ea9122a07e41a259	SELECTOR_CLAUSE	no raw caller obligation	bdee5014024c590e0daf05749569336cfa75558cf1ce5455b864c7824e825ff9	NONE	F-DENSE	DENSE-FIXED-VIEW	EXACT_CLOSED_CHILD_TARGET_ASSIGNMENT:4526fd20daf3ed9fa56f070592bfc75f32edfbeef382ed30fccbaac0867dfca1	EXACT_CLOSED_CHILD_MEMBER_ASSIGNMENT:4526fd20daf3ed9fa56f070592bfc75f32edfbeef382ed30fccbaac0867dfca1	DENSE-SELECTOR-EXPANSION-v4-CLOSED
713e575e2cfcb202278b8d2bb59bed0c686974e75057293d708a0fd91294eb62	ARR-VIEW-01	CLUSTER_SOURCE_REFS_SELECTOR	0edbc3a9bd930d5021a160977f0c7591d161cbd24b7a143288d877706cd70f4b	1	f72b3004990fd27608c759b129f98338e96e37924d54a842fbb2092306d5edaa	SELECTOR_CLAUSE	RUST-1.97.0-API-INVENTORY.tsv item_path=std::array members=as_slice,as_mut_slice	b2b15cf67bb777f91d7ea6c4553c59cd8736ca848d6eadcce4e6c70a2021bb8a	NONE	F-DENSE	DENSE-FIXED-VIEW	EXACT_CLOSED_CHILD_TARGET_ASSIGNMENT:b97632a4e74d881dbf89ade6eeb8719130bd9edec0df9876615b7336817daddb	EXACT_CLOSED_CHILD_MEMBER_ASSIGNMENT:b97632a4e74d881dbf89ade6eeb8719130bd9edec0df9876615b7336817daddb	DENSE-SELECTOR-EXPANSION-v4-CLOSED
713e575e2cfcb202278b8d2bb59bed0c686974e75057293d708a0fd91294eb62	ARR-VIEW-01	CLUSTER_SOURCE_REFS_SELECTOR	0edbc3a9bd930d5021a160977f0c7591d161cbd24b7a143288d877706cd70f4b	2	23f2d1e1c80e155329dfc0c12e7ea11815ae54a93e250d0f678c13bb3ae4bfaa	SELECTOR_CLAUSE	https://doc.rust-lang.org/1.97.0/std/primitive.array.html	755458831fe7ce212f75aa8efcb51d10fcdf300e30010c2999a1ecf233973a9d	NONE	F-DENSE	DENSE-FIXED-VIEW	EXACT_CLOSED_CHILD_TARGET_ASSIGNMENT:a4331c61a75df68c12121163871a7bf7bee6c45241926e479e108df4f085a18b	EXACT_CLOSED_CHILD_MEMBER_ASSIGNMENT:a4331c61a75df68c12121163871a7bf7bee6c45241926e479e108df4f085a18b	DENSE-SELECTOR-EXPANSION-v4-CLOSED
a84ebc057d67bc3b00b29281190ab6dab71abf825e633ac6201fb92882d00211	ARR-EACH-01	CLUSTER_RUST_SURFACES_SELECTOR	bf76d8d2e5201747aab4918ceb541bcba5a07702d2e70148e288f837b52eed0a	1	38d6e2e0b3ee1582f1e143f054e633259c7e6946f2d8cd5ffd70e9d57449c910	SELECTOR_CLAUSE	array::each_ref	06ed41d7989e1cde1a099c823905ff09a8229c7eb6886727737257e7f00ed4d2	7acc4f84183b6b3827d0f110f4791ade549644995cad8b77018cb34157e9bf48	F-DENSE	DENSE-FIXED-EACH	EXACT_CLOSED_CHILD_TARGET_ASSIGNMENT:991f107fe8e520069fdb695debcf3b00d9d431b3bd51bd0bd77c87f4578d0a65	EXACT_CLOSED_CHILD_MEMBER_ASSIGNMENT:991f107fe8e520069fdb695debcf3b00d9d431b3bd51bd0bd77c87f4578d0a65	DENSE-SELECTOR-EXPANSION-v4-CLOSED
a84ebc057d67bc3b00b29281190ab6dab71abf825e633ac6201fb92882d00211	ARR-EACH-01	CLUSTER_RUST_SURFACES_SELECTOR	bf76d8d2e5201747aab4918ceb541bcba5a07702d2e70148e288f837b52eed0a	2	43c5cd1530a56c82ee8b4c5467ea27ed0098ffe0c2920da5dfd3a889e6a7c736	SELECTOR_CLAUSE	array::each_mut	90dc37e139d70238a3b7d0edaa824bf006d9041a91e7e889ba12323b4a90fb10	bec6d4313e6603e5f20091e969b0f2785bbc775a1922c92099e3a4546fe65f9b	F-DENSE	DENSE-FIXED-EACH	EXACT_CLOSED_CHILD_TARGET_ASSIGNMENT:3577f8766a9d1accde068665748aa478f97c5996ea438ca5b30aeb8c1cb613f1	EXACT_CLOSED_CHILD_MEMBER_ASSIGNMENT:3577f8766a9d1accde068665748aa478f97c5996ea438ca5b30aeb8c1cb613f1	DENSE-SELECTOR-EXPANSION-v4-CLOSED
7b17a328b1aaa4c75335f9b48c7401d098c80c1db461bbd2495ed4bc73605eee	ARR-EACH-01	CLUSTER_IMPLEMENTATION_PRIVILEGE_SELECTOR	2d1a2292c3a9dff32ccc0765d16ba48b26dd19f897d0531d3366c0f572ccf3e7	1	f814e559d78d1ffd655215d28e71b7fbedf4996447a23b62292dfb85894c5131	SELECTOR_CLAUSE	Safe disjointness derived from fixed indices	2d1a2292c3a9dff32ccc0765d16ba48b26dd19f897d0531d3366c0f572ccf3e7	NONE	F-DENSE	DENSE-FIXED-EACH	EXACT_CLOSED_CHILD_TARGET_ASSIGNMENT:a9e1ed6d7f4dd3ed1306b9f2688aa6183439a6d6157aed738bf174e7d226b19f	EXACT_CLOSED_CHILD_MEMBER_ASSIGNMENT:a9e1ed6d7f4dd3ed1306b9f2688aa6183439a6d6157aed738bf174e7d226b19f	DENSE-SELECTOR-EXPANSION-v4-CLOSED
64ae3656afc59212c5b31dfebd04196ac65c0a8d57b0c10c8445e66355853ba2	ARR-EACH-01	CLUSTER_SOURCE_REFS_SELECTOR	838b03d2284dbf63efd0d30619484a8369105cd2696c568f5fcde72c2dbd6c5a	1	8b354b0d660a7ef1dd3b1d700203be2cea7b61941d61097f3e4a3ef992345b3b	SELECTOR_CLAUSE	RUST-1.97.0-API-INVENTORY.tsv item_path=std::array members=each_ref,each_mut	ba4b4daae8aeecda4b3d7144c05e60f3bb4bbde3a5665c99c5b2f10d783360a9	NONE	F-DENSE	DENSE-FIXED-EACH	EXACT_CLOSED_CHILD_TARGET_ASSIGNMENT:784d02c1c3741ba47b2f122a071b9d423f0457e8e6f8954770da28582a85640d	EXACT_CLOSED_CHILD_MEMBER_ASSIGNMENT:784d02c1c3741ba47b2f122a071b9d423f0457e8e6f8954770da28582a85640d	DENSE-SELECTOR-EXPANSION-v4-CLOSED
