schema_version	cost_evidence_id	context_id	contract_id	member_contract_id	outcome_id	source_status	action_class_id	context_cost_variant_id	resource_ceiling	source_ceiling_sha256	outer_allocator_route_applicability	behavior_route_applicability	od3_cost_disposition	od4_allocation_contract	stored_borrow_cost_disposition	zero_payload_traffic_required	zero_allocation_required	behavior_premise_kind	exact_behavior_calls	exact_commitment_point	exact_cleanup	route_multiplicity_lower_bounds	route_multiplicity_authority_ids	route_multiplicity_authority_sha256s	route_multiplicity_evidence_status	normalized_symbolic_vector_sha256	route_level_structural_status	mechanized_cost_algebra_status	measured_status	protected_control_ids	protected_control_status	blocker_ids	exact_registry_sha256	structural_cost_row_sha256
privileged-basis-exact-derivation-v1	COST::9b35308322bf239e8584af282e09a6276e4d7a16691a191f4c0d39440cf37c7d	CTX::9b35308322bf239e8584af282e09a6276e4d7a16691a191f4c0d39440cf37c7d	DENSE-ALIGN-EVIDENCE::RAW-UNSAFE-ALIGN-01::COMMON-NON-OD1::EXCLUDED_NO_CALL	DENSE-ALIGN-EVIDENCE	DENSE-ALIGN-EVIDENCE.RAW-UNSAFE-ALIGN-01.OUT.EXCLUDED_NO_CALL	EXCLUDED_BLOCKS_NAMED_CLAIM	NEGATIVE	9b35308322bf239e8584af282e09a6276e4d7a16691a191f4c0d39440cf37c7d	No runtime path.	fc289134b74c4500534ba66e382bf53e5a7f82181eec2e0562d068c5af3d2f79	FORBIDDEN_BY_CONTEXT_POLICY	FORBIDDEN_BY_CONTEXT_POLICY	SOURCE_NEGATIVE_NO_RUNTIME_ROUTE	NOT_APPLICABLE	NONE	YES_STATIC_NO_RUNTIME	YES_CONTEXT_POLICY	NONE	ZERO	NO_CALL	The normal branch reaches the declared post_state directly; any earlier normal exit follows the selected candidate lifecycle row, never writer discipline.	NONE	NONE	NONE	NONE	4c3a4f523ef90c4c1a9dd126e2305318f00facf64ae39bbb8c3674348bc77457	NEGATIVE_ROUTE_ZERO_POSITIVE_CREDIT_COVERED	NOT_PRODUCED_SOURCE_CEILING_AND_ROUTE_RULES_NOT_NORMALIZED_TO_ALGEBRA	NOT_AUTHORIZED_NOT_RUN	B-FIX,B-P2	PENDING_EXTERNAL_NO_PASS_CREDIT	MECHANIZED-COST-ALGEBRA-NOT-PRODUCED,PERFORMANCE-NOT-AUTHORIZED	3016206708a63b858b655e81de0e5c08e21055b0c4aa4c1ce37c2561c73e3418	b626850c5fa75a5fabe619b38ba24a00fb7903e271917765cdb5ad93c6898bd1
privileged-basis-exact-derivation-v1	COST::b4d9df6dfde2956f650155f015d9344d727f3dbf09829bde34053a71bbe783f4	CTX::b4d9df6dfde2956f650155f015d9344d727f3dbf09829bde34053a71bbe783f4	DENSE-APPEND-MOVE::SEQ-APPEND-01::OD-1-RESERVE-FIRST::SUCCESS_NO_GROW	DENSE-APPEND-MOVE	DENSE-APPEND-MOVE.SEQ-APPEND-01.OUT.SUCCESS_NO_GROW	REQUIRED_IN_LOCK	MOVE_GROW	b4d9df6dfde2956f650155f015d9344d727f3dbf09829bde34053a71bbe783f4	O(len(SRC)) direct owner transfers; at most one growth allocation; no clone or per-item allocation.	72d491727e7c122dc01de7f01729b355759a18d1943abe64e9a055642707f3e2	FORBIDDEN_BY_EXACT_OUTCOME	NOT_APPLICABLE	POSITIVE_SIZE_SOURCE_CEILING_APPLIES	NOT_APPLICABLE	NONE	NO_EXACT_ZERO_CLAIM	YES_CONTEXT_POLICY	NONE	ZERO	VALUE_OR_RANGE_COMMIT	The normal branch reaches the declared post_state directly; any earlier normal exit follows the selected candidate lifecycle row, never writer discipline.	NONE	NONE	NONE	NONE	51b27110e540595fd61f570f87f160865b079c44a79947a07e375e1c1aadef3e	PAPER_CONDITIONAL_PARTITION_STRUCTURAL_CEILING_COVERED_RUNTIME_COST_UNOBSERVED	NOT_PRODUCED_SOURCE_CEILING_AND_ROUTE_RULES_NOT_NORMALIZED_TO_ALGEBRA	NOT_AUTHORIZED_NOT_RUN	B-FIX,B-P2	PENDING_EXTERNAL_NO_PASS_CREDIT	MECHANIZED-COST-ALGEBRA-NOT-PRODUCED,PERFORMANCE-NOT-AUTHORIZED	3016206708a63b858b655e81de0e5c08e21055b0c4aa4c1ce37c2561c73e3418	12eec309f17b9c1879630784e1a843017390416547bf01ad15319e9aea50b2fb
privileged-basis-exact-derivation-v1	COST::7671c35f86092885b1974ff2efd91348f68971fb2234846959b09357f6b1a4f1	CTX::7671c35f86092885b1974ff2efd91348f68971fb2234846959b09357f6b1a4f1	DENSE-APPEND-MOVE::SEQ-APPEND-01::OD-1-RESERVE-FIRST::SUCCESS_NO_GROW	DENSE-APPEND-MOVE	DENSE-APPEND-MOVE.SEQ-APPEND-01.OUT.SUCCESS_NO_GROW	REQUIRED_IN_LOCK	MOVE_GROW	7671c35f86092885b1974ff2efd91348f68971fb2234846959b09357f6b1a4f1	O(len(SRC)) direct owner transfers; at most one growth allocation; no clone or per-item allocation.	72d491727e7c122dc01de7f01729b355759a18d1943abe64e9a055642707f3e2	FORBIDDEN_FOR_ZST_PAYLOAD_STORAGE	NOT_APPLICABLE	ZERO_PAYLOAD_BYTES_ZERO_PAYLOAD_ALLOCATOR_LOGICAL_TRANSFERS_RETAINED	NOT_APPLICABLE	NONE	YES_ZERO_PHYSICAL_BYTES_LOGICAL_TRANSFERS_RETAINED	YES_CONTEXT_POLICY	NONE	ZERO	VALUE_OR_RANGE_COMMIT	The normal branch reaches the declared post_state directly; any earlier normal exit follows the selected candidate lifecycle row, never writer discipline.	NONE	NONE	NONE	NONE	7c97ad02fad145cfb4876c4efc3761b120c124f9656e09db138433d13f25ff66	PAPER_CONDITIONAL_PARTITION_STRUCTURAL_CEILING_COVERED_RUNTIME_COST_UNOBSERVED	NOT_PRODUCED_SOURCE_CEILING_AND_ROUTE_RULES_NOT_NORMALIZED_TO_ALGEBRA	NOT_AUTHORIZED_NOT_RUN	B-FIX,B-P2	PENDING_EXTERNAL_NO_PASS_CREDIT	MECHANIZED-COST-ALGEBRA-NOT-PRODUCED,PERFORMANCE-NOT-AUTHORIZED	3016206708a63b858b655e81de0e5c08e21055b0c4aa4c1ce37c2561c73e3418	9ed259d9bc23ffef1e469fc7044059029dbcf7160ee80dd7887bcb3b2a7b64ae
privileged-basis-exact-derivation-v1	COST::65da7efa574f7d3d347cef5b14b2aad0505853531fb2ad735a56a025098b4313	CTX::65da7efa574f7d3d347cef5b14b2aad0505853531fb2ad735a56a025098b4313	DENSE-APPEND-MOVE::SEQ-APPEND-01::OD-1-RESERVE-FIRST::SUCCESS_NO_GROW	DENSE-APPEND-MOVE	DENSE-APPEND-MOVE.SEQ-APPEND-01.OUT.SUCCESS_NO_GROW	REQUIRED_IN_LOCK	MOVE_GROW	65da7efa574f7d3d347cef5b14b2aad0505853531fb2ad735a56a025098b4313	O(len(SRC)) direct owner transfers; at most one growth allocation; no clone or per-item allocation.	72d491727e7c122dc01de7f01729b355759a18d1943abe64e9a055642707f3e2	FORBIDDEN_BY_EXACT_OUTCOME	NOT_APPLICABLE	POSITIVE_SIZE_SOURCE_CEILING_APPLIES	NOT_APPLICABLE	NONE	NO_EXACT_ZERO_CLAIM	YES_CONTEXT_POLICY	NONE	ZERO	VALUE_OR_RANGE_COMMIT	The normal branch reaches the declared post_state directly; any earlier normal exit follows the selected candidate lifecycle row, never writer discipline.	NONE	NONE	NONE	NONE	51b27110e540595fd61f570f87f160865b079c44a79947a07e375e1c1aadef3e	PAPER_CONDITIONAL_PARTITION_STRUCTURAL_CEILING_COVERED_RUNTIME_COST_UNOBSERVED	NOT_PRODUCED_SOURCE_CEILING_AND_ROUTE_RULES_NOT_NORMALIZED_TO_ALGEBRA	NOT_AUTHORIZED_NOT_RUN	B-FIX,B-P2	PENDING_EXTERNAL_NO_PASS_CREDIT	MECHANIZED-COST-ALGEBRA-NOT-PRODUCED,PERFORMANCE-NOT-AUTHORIZED	3016206708a63b858b655e81de0e5c08e21055b0c4aa4c1ce37c2561c73e3418	b32fd474a5f7bef1ef132d50b2dc777030000df0ee5fe76b6bb93966b87a58fa
privileged-basis-exact-derivation-v1	COST::36a7f2442ebb14d96d739b2cbadc298e74778c8b05b559b1fab747772f5dd4c3	CTX::36a7f2442ebb14d96d739b2cbadc298e74778c8b05b559b1fab747772f5dd4c3	DENSE-APPEND-MOVE::SEQ-APPEND-01::OD-1-RESERVE-FIRST::SUCCESS_NO_GROW	DENSE-APPEND-MOVE	DENSE-APPEND-MOVE.SEQ-APPEND-01.OUT.SUCCESS_NO_GROW	REQUIRED_IN_LOCK	MOVE_GROW	36a7f2442ebb14d96d739b2cbadc298e74778c8b05b559b1fab747772f5dd4c3	O(len(SRC)) direct owner transfers; at most one growth allocation; no clone or per-item allocation.	72d491727e7c122dc01de7f01729b355759a18d1943abe64e9a055642707f3e2	FORBIDDEN_BY_CONTEXT_POLICY	FORBIDDEN_BY_CONTEXT_POLICY	STATIC_REJECTION_ZERO_RUNTIME	NOT_APPLICABLE	NONE	YES_STATIC_NO_RUNTIME	YES_CONTEXT_POLICY	NONE	ZERO	VALUE_OR_RANGE_COMMIT	The normal branch reaches the declared post_state directly; any earlier normal exit follows the selected candidate lifecycle row, never writer discipline.	NONE	NONE	NONE	NONE	47d18d679518a64d08cc6c4d76860a8e435214ea8735f4c73b86b1f2b80b2370	PAPER_ROUTE_LEVEL_STRUCTURAL_CEILING_COVERED	NOT_PRODUCED_SOURCE_CEILING_AND_ROUTE_RULES_NOT_NORMALIZED_TO_ALGEBRA	NOT_AUTHORIZED_NOT_RUN	B-FIX,B-P2	PENDING_EXTERNAL_NO_PASS_CREDIT	MECHANIZED-COST-ALGEBRA-NOT-PRODUCED,PERFORMANCE-NOT-AUTHORIZED	3016206708a63b858b655e81de0e5c08e21055b0c4aa4c1ce37c2561c73e3418	cf3cfe9100124e9b4a883ad504590fe537969f411427283b6f09761a92033629
privileged-basis-exact-derivation-v1	COST::27f5c461af238a3a381886c5b0b180c258a9892525b33c38a7d090690eecdcba	CTX::27f5c461af238a3a381886c5b0b180c258a9892525b33c38a7d090690eecdcba	DENSE-APPEND-MOVE::SEQ-APPEND-01::OD-1-RESERVE-FIRST::SUCCESS_GROW	DENSE-APPEND-MOVE	DENSE-APPEND-MOVE.SEQ-APPEND-01.OUT.SUCCESS_GROW	REQUIRED_IN_LOCK	MOVE_GROW	27f5c461af238a3a381886c5b0b180c258a9892525b33c38a7d090690eecdcba	O(len(SRC)) direct owner transfers; at most one growth allocation; no clone or per-item allocation.	72d491727e7c122dc01de7f01729b355759a18d1943abe64e9a055642707f3e2	REQUIRED_BY_EXACT_OUTCOME	NOT_APPLICABLE	POSITIVE_SIZE_SOURCE_CEILING_APPLIES	NOT_APPLICABLE	NONE	NO_EXACT_ZERO_CLAIM	NO_EXACT_ZERO_CLAIM	NONE	ZERO	NEW_ALLOCATION_OWNED_BEFORE_RELOCATION;OFFERED_COMMIT_AFTER_CAPACITY	The normal branch reaches the declared post_state directly; any earlier normal exit follows the selected candidate lifecycle row, never writer discipline.	NONE	NONE	NONE	NONE	66aab59ee3ab62cea42bacbe82478ec90a3a1be7135c8c00c307321b65a6ef5a	PAPER_CONDITIONAL_PARTITION_STRUCTURAL_CEILING_COVERED_RUNTIME_COST_UNOBSERVED	NOT_PRODUCED_SOURCE_CEILING_AND_ROUTE_RULES_NOT_NORMALIZED_TO_ALGEBRA	NOT_AUTHORIZED_NOT_RUN	B-FIX,B-P2	PENDING_EXTERNAL_NO_PASS_CREDIT	MECHANIZED-COST-ALGEBRA-NOT-PRODUCED,PERFORMANCE-NOT-AUTHORIZED	3016206708a63b858b655e81de0e5c08e21055b0c4aa4c1ce37c2561c73e3418	cc3fffd2e6a4d6e2dca9ce820609581e0333bbda0a82e92a12fcd02d3b10c2b0
privileged-basis-exact-derivation-v1	COST::7a1d80c33fd3965e2f5df42c97f63042fa970e1edb1aa1f5df4125421083f614	CTX::7a1d80c33fd3965e2f5df42c97f63042fa970e1edb1aa1f5df4125421083f614	DENSE-APPEND-MOVE::SEQ-APPEND-01::OD-1-RESERVE-FIRST::SUCCESS_GROW	DENSE-APPEND-MOVE	DENSE-APPEND-MOVE.SEQ-APPEND-01.OUT.SUCCESS_GROW	REQUIRED_IN_LOCK	MOVE_GROW	7a1d80c33fd3965e2f5df42c97f63042fa970e1edb1aa1f5df4125421083f614	O(len(SRC)) direct owner transfers; at most one growth allocation; no clone or per-item allocation.	72d491727e7c122dc01de7f01729b355759a18d1943abe64e9a055642707f3e2	FORBIDDEN_BY_CONTEXT_POLICY	FORBIDDEN_BY_CONTEXT_POLICY	ZST_ALLOCATOR_OUTCOME_INAPPLICABLE_ZERO_RUNTIME	NOT_APPLICABLE	NONE	YES_STATIC_NO_RUNTIME	YES_CONTEXT_POLICY	NONE	ZERO	NEW_ALLOCATION_OWNED_BEFORE_RELOCATION;OFFERED_COMMIT_AFTER_CAPACITY	The normal branch reaches the declared post_state directly; any earlier normal exit follows the selected candidate lifecycle row, never writer discipline.	NONE	NONE	NONE	NONE	2cfaf52b1a682b15bf76e9699f963d4cb6034391bd6e5b388d2ea676937d5864	PAPER_ROUTE_LEVEL_STRUCTURAL_CEILING_COVERED	NOT_PRODUCED_SOURCE_CEILING_AND_ROUTE_RULES_NOT_NORMALIZED_TO_ALGEBRA	NOT_AUTHORIZED_NOT_RUN	B-FIX,B-P2	PENDING_EXTERNAL_NO_PASS_CREDIT	MECHANIZED-COST-ALGEBRA-NOT-PRODUCED,PERFORMANCE-NOT-AUTHORIZED	3016206708a63b858b655e81de0e5c08e21055b0c4aa4c1ce37c2561c73e3418	2ecf8db63e50acda17c0c782b1ff9915943be93aabe1d732a3abd475026be228
privileged-basis-exact-derivation-v1	COST::f65f53104b454c8e0d4c74f9ec599700e0a8272e28642cd2e3cd4524825e854e	CTX::f65f53104b454c8e0d4c74f9ec599700e0a8272e28642cd2e3cd4524825e854e	DENSE-APPEND-MOVE::SEQ-APPEND-01::OD-1-RESERVE-FIRST::SUCCESS_GROW	DENSE-APPEND-MOVE	DENSE-APPEND-MOVE.SEQ-APPEND-01.OUT.SUCCESS_GROW	REQUIRED_IN_LOCK	MOVE_GROW	f65f53104b454c8e0d4c74f9ec599700e0a8272e28642cd2e3cd4524825e854e	O(len(SRC)) direct owner transfers; at most one growth allocation; no clone or per-item allocation.	72d491727e7c122dc01de7f01729b355759a18d1943abe64e9a055642707f3e2	REQUIRED_BY_EXACT_OUTCOME	NOT_APPLICABLE	POSITIVE_SIZE_SOURCE_CEILING_APPLIES	NOT_APPLICABLE	NONE	NO_EXACT_ZERO_CLAIM	NO_EXACT_ZERO_CLAIM	NONE	ZERO	NEW_ALLOCATION_OWNED_BEFORE_RELOCATION;OFFERED_COMMIT_AFTER_CAPACITY	The normal branch reaches the declared post_state directly; any earlier normal exit follows the selected candidate lifecycle row, never writer discipline.	NONE	NONE	NONE	NONE	66aab59ee3ab62cea42bacbe82478ec90a3a1be7135c8c00c307321b65a6ef5a	PAPER_CONDITIONAL_PARTITION_STRUCTURAL_CEILING_COVERED_RUNTIME_COST_UNOBSERVED	NOT_PRODUCED_SOURCE_CEILING_AND_ROUTE_RULES_NOT_NORMALIZED_TO_ALGEBRA	NOT_AUTHORIZED_NOT_RUN	B-FIX,B-P2	PENDING_EXTERNAL_NO_PASS_CREDIT	MECHANIZED-COST-ALGEBRA-NOT-PRODUCED,PERFORMANCE-NOT-AUTHORIZED	3016206708a63b858b655e81de0e5c08e21055b0c4aa4c1ce37c2561c73e3418	4e950219a189d6fda3fc9e18bbf79c089bab65afdc9e17544b19a739039064d4
privileged-basis-exact-derivation-v1	COST::9f7c9a4c272327004924efed296641949c05853d09698333a724153ec5a0d9e6	CTX::9f7c9a4c272327004924efed296641949c05853d09698333a724153ec5a0d9e6	DENSE-APPEND-MOVE::SEQ-APPEND-01::OD-1-RESERVE-FIRST::SUCCESS_GROW	DENSE-APPEND-MOVE	DENSE-APPEND-MOVE.SEQ-APPEND-01.OUT.SUCCESS_GROW	REQUIRED_IN_LOCK	MOVE_GROW	9f7c9a4c272327004924efed296641949c05853d09698333a724153ec5a0d9e6	O(len(SRC)) direct owner transfers; at most one growth allocation; no clone or per-item allocation.	72d491727e7c122dc01de7f01729b355759a18d1943abe64e9a055642707f3e2	FORBIDDEN_BY_CONTEXT_POLICY	FORBIDDEN_BY_CONTEXT_POLICY	STATIC_REJECTION_ZERO_RUNTIME	NOT_APPLICABLE	NONE	YES_STATIC_NO_RUNTIME	YES_CONTEXT_POLICY	NONE	ZERO	NEW_ALLOCATION_OWNED_BEFORE_RELOCATION;OFFERED_COMMIT_AFTER_CAPACITY	The normal branch reaches the declared post_state directly; any earlier normal exit follows the selected candidate lifecycle row, never writer discipline.	NONE	NONE	NONE	NONE	47d18d679518a64d08cc6c4d76860a8e435214ea8735f4c73b86b1f2b80b2370	PAPER_ROUTE_LEVEL_STRUCTURAL_CEILING_COVERED	NOT_PRODUCED_SOURCE_CEILING_AND_ROUTE_RULES_NOT_NORMALIZED_TO_ALGEBRA	NOT_AUTHORIZED_NOT_RUN	B-FIX,B-P2	PENDING_EXTERNAL_NO_PASS_CREDIT	MECHANIZED-COST-ALGEBRA-NOT-PRODUCED,PERFORMANCE-NOT-AUTHORIZED	3016206708a63b858b655e81de0e5c08e21055b0c4aa4c1ce37c2561c73e3418	babbcb16d6fb643d5a54d2a03ecb5d6f137ec4027c1f153c201026aea5502268
privileged-basis-exact-derivation-v1	COST::6ee73274013c65b688bbcaa76adcd9d27dec063ef4d19285f763a578e614399b	CTX::6ee73274013c65b688bbcaa76adcd9d27dec063ef4d19285f763a578e614399b	DENSE-APPEND-MOVE::SEQ-APPEND-01::OD-1-RESERVE-FIRST::CAPACITY_OVERFLOW_TRAP	DENSE-APPEND-MOVE	DENSE-APPEND-MOVE.SEQ-APPEND-01.OUT.CAPACITY_OVERFLOW_TRAP	REQUIRED_IN_LOCK	MOVE_GROW	6ee73274013c65b688bbcaa76adcd9d27dec063ef4d19285f763a578e614399b	O(len(SRC)) direct owner transfers; at most one growth allocation; no clone or per-item allocation.	72d491727e7c122dc01de7f01729b355759a18d1943abe64e9a055642707f3e2	FORBIDDEN_BY_EXACT_OUTCOME	NOT_APPLICABLE	POSITIVE_SIZE_SOURCE_CEILING_APPLIES	NOT_APPLICABLE	NONE	NO_EXACT_ZERO_CLAIM	YES_CONTEXT_POLICY	NONE	ZERO	PRE_ABORT_NO_NORMAL_RESULT	NONE_AFTER_ABORT	NONE	NONE	NONE	NONE	f6edd9389a78ca1caa7531841d10468a36c269db5c0e331f9e15aa1f71190c59	PAPER_ROUTE_LEVEL_STRUCTURAL_CEILING_COVERED	NOT_PRODUCED_SOURCE_CEILING_AND_ROUTE_RULES_NOT_NORMALIZED_TO_ALGEBRA	NOT_AUTHORIZED_NOT_RUN	B-FIX,B-P2	PENDING_EXTERNAL_NO_PASS_CREDIT	MECHANIZED-COST-ALGEBRA-NOT-PRODUCED,PERFORMANCE-NOT-AUTHORIZED	3016206708a63b858b655e81de0e5c08e21055b0c4aa4c1ce37c2561c73e3418	c5e99beff0b8dcc382209db2203a2017ea7af38d2751f1e4aedc15e5cf577a08
