schema_version	authority_entry_id	contract_id	member_contract_id	outcome_id	route_id	disposition	choice_set_id	choice_alternative_id	predicate_id	blocker_ids	authority_basis	authority_status	authority_entry_sha256
dense-outcome-route-authority-v1	OUTCOME-ROUTE::DENSE-ALIGN-EVIDENCE::RAW-UNSAFE-ALIGN-01::COMMON-NON-OD1::EXCLUDED_NO_CALL::CORE-COPY	DENSE-ALIGN-EVIDENCE::RAW-UNSAFE-ALIGN-01::COMMON-NON-OD1::EXCLUDED_NO_CALL	DENSE-ALIGN-EVIDENCE	DENSE-ALIGN-EVIDENCE.RAW-UNSAFE-ALIGN-01.OUT.EXCLUDED_NO_CALL	CORE-COPY	FORBIDDEN	NONE	NONE	NONE	NONE	EXCLUDED_OUTCOME_HAS_NO_RUNTIME_ROUTE	FROZEN_RESEARCH_AUTHORITY_PENDING_OWNER_REVIEW	0a46ee2fd7f3c6ea927c47fcd7e7691c515f7c286f43d6443afb984e2928d2b1
dense-outcome-route-authority-v1	OUTCOME-ROUTE::DENSE-ALIGN-EVIDENCE::RAW-UNSAFE-ALIGN-01::COMMON-NON-OD1::EXCLUDED_NO_CALL::CORE-EMPTY-CARRIER	DENSE-ALIGN-EVIDENCE::RAW-UNSAFE-ALIGN-01::COMMON-NON-OD1::EXCLUDED_NO_CALL	DENSE-ALIGN-EVIDENCE	DENSE-ALIGN-EVIDENCE.RAW-UNSAFE-ALIGN-01.OUT.EXCLUDED_NO_CALL	CORE-EMPTY-CARRIER	FORBIDDEN	NONE	NONE	NONE	NONE	EXCLUDED_OUTCOME_HAS_NO_RUNTIME_ROUTE	FROZEN_RESEARCH_AUTHORITY_PENDING_OWNER_REVIEW	e3dcc9202e53b80758b4b77b083b04d276801980dc3d9c8cc8ff66f2d994c1c2
dense-outcome-route-authority-v1	OUTCOME-ROUTE::DENSE-ALIGN-EVIDENCE::RAW-UNSAFE-ALIGN-01::COMMON-NON-OD1::EXCLUDED_NO_CALL::CORE-PARTITION-BORROW	DENSE-ALIGN-EVIDENCE::RAW-UNSAFE-ALIGN-01::COMMON-NON-OD1::EXCLUDED_NO_CALL	DENSE-ALIGN-EVIDENCE	DENSE-ALIGN-EVIDENCE.RAW-UNSAFE-ALIGN-01.OUT.EXCLUDED_NO_CALL	CORE-PARTITION-BORROW	FORBIDDEN	NONE	NONE	NONE	NONE	EXCLUDED_OUTCOME_HAS_NO_RUNTIME_ROUTE	FROZEN_RESEARCH_AUTHORITY_PENDING_OWNER_REVIEW	57a6ed6560a74dc8429a647f65c6088d96e8d9a590d9eddb9ca2079eb2299810
dense-outcome-route-authority-v1	OUTCOME-ROUTE::DENSE-ALIGN-EVIDENCE::RAW-UNSAFE-ALIGN-01::COMMON-NON-OD1::EXCLUDED_NO_CALL::CORE-REPACKAGE-FULL-STORAGE	DENSE-ALIGN-EVIDENCE::RAW-UNSAFE-ALIGN-01::COMMON-NON-OD1::EXCLUDED_NO_CALL	DENSE-ALIGN-EVIDENCE	DENSE-ALIGN-EVIDENCE.RAW-UNSAFE-ALIGN-01.OUT.EXCLUDED_NO_CALL	CORE-REPACKAGE-FULL-STORAGE	FORBIDDEN	NONE	NONE	NONE	NONE	EXCLUDED_OUTCOME_HAS_NO_RUNTIME_ROUTE	FROZEN_RESEARCH_AUTHORITY_PENDING_OWNER_REVIEW	b82ee6bb77fc4566ca56dc468d2933a8233ccee60df3fe881a5dd7ed0c7be161
dense-outcome-route-authority-v1	OUTCOME-ROUTE::DENSE-ALIGN-EVIDENCE::RAW-UNSAFE-ALIGN-01::COMMON-NON-OD1::EXCLUDED_NO_CALL::CORE-REPLACE	DENSE-ALIGN-EVIDENCE::RAW-UNSAFE-ALIGN-01::COMMON-NON-OD1::EXCLUDED_NO_CALL	DENSE-ALIGN-EVIDENCE	DENSE-ALIGN-EVIDENCE.RAW-UNSAFE-ALIGN-01.OUT.EXCLUDED_NO_CALL	CORE-REPLACE	FORBIDDEN	NONE	NONE	NONE	NONE	EXCLUDED_OUTCOME_HAS_NO_RUNTIME_ROUTE	FROZEN_RESEARCH_AUTHORITY_PENDING_OWNER_REVIEW	8a4ef94d92499f338b605c7c4f07dfea463968729fc9a3b17cc1e3e0d77fbe83
dense-outcome-route-authority-v1	OUTCOME-ROUTE::DENSE-ALIGN-EVIDENCE::RAW-UNSAFE-ALIGN-01::COMMON-NON-OD1::EXCLUDED_NO_CALL::CORE-RESHAPE-PARTITION	DENSE-ALIGN-EVIDENCE::RAW-UNSAFE-ALIGN-01::COMMON-NON-OD1::EXCLUDED_NO_CALL	DENSE-ALIGN-EVIDENCE	DENSE-ALIGN-EVIDENCE.RAW-UNSAFE-ALIGN-01.OUT.EXCLUDED_NO_CALL	CORE-RESHAPE-PARTITION	FORBIDDEN	NONE	NONE	NONE	NONE	EXCLUDED_OUTCOME_HAS_NO_RUNTIME_ROUTE	FROZEN_RESEARCH_AUTHORITY_PENDING_OWNER_REVIEW	8548d0f6d00f7c51492033cda1ddf30e5a5f6b382e075a223e57cddb7fd32023
dense-outcome-route-authority-v1	OUTCOME-ROUTE::DENSE-ALIGN-EVIDENCE::RAW-UNSAFE-ALIGN-01::COMMON-NON-OD1::EXCLUDED_NO_CALL::CORE-SWAP	DENSE-ALIGN-EVIDENCE::RAW-UNSAFE-ALIGN-01::COMMON-NON-OD1::EXCLUDED_NO_CALL	DENSE-ALIGN-EVIDENCE	DENSE-ALIGN-EVIDENCE.RAW-UNSAFE-ALIGN-01.OUT.EXCLUDED_NO_CALL	CORE-SWAP	FORBIDDEN	NONE	NONE	NONE	NONE	EXCLUDED_OUTCOME_HAS_NO_RUNTIME_ROUTE	FROZEN_RESEARCH_AUTHORITY_PENDING_OWNER_REVIEW	0270c36aa65da2f93d5b8016dd691e784e3ddb90ad2266993f73aed191cb995d
dense-outcome-route-authority-v1	OUTCOME-ROUTE::DENSE-ALIGN-EVIDENCE::RAW-UNSAFE-ALIGN-01::COMMON-NON-OD1::EXCLUDED_NO_CALL::CORE-TAKE-PUT	DENSE-ALIGN-EVIDENCE::RAW-UNSAFE-ALIGN-01::COMMON-NON-OD1::EXCLUDED_NO_CALL	DENSE-ALIGN-EVIDENCE	DENSE-ALIGN-EVIDENCE.RAW-UNSAFE-ALIGN-01.OUT.EXCLUDED_NO_CALL	CORE-TAKE-PUT	FORBIDDEN	NONE	NONE	NONE	NONE	EXCLUDED_OUTCOME_HAS_NO_RUNTIME_ROUTE	FROZEN_RESEARCH_AUTHORITY_PENDING_OWNER_REVIEW	7078224c66f156ec20d389eb8a98040a2a4f4f2528b43f106b947881b0c05169
dense-outcome-route-authority-v1	OUTCOME-ROUTE::DENSE-ALIGN-EVIDENCE::RAW-UNSAFE-ALIGN-01::COMMON-NON-OD1::EXCLUDED_NO_CALL::CORE-TYPED-PLACE	DENSE-ALIGN-EVIDENCE::RAW-UNSAFE-ALIGN-01::COMMON-NON-OD1::EXCLUDED_NO_CALL	DENSE-ALIGN-EVIDENCE	DENSE-ALIGN-EVIDENCE.RAW-UNSAFE-ALIGN-01.OUT.EXCLUDED_NO_CALL	CORE-TYPED-PLACE	FORBIDDEN	NONE	NONE	NONE	NONE	EXCLUDED_OUTCOME_HAS_NO_RUNTIME_ROUTE	FROZEN_RESEARCH_AUTHORITY_PENDING_OWNER_REVIEW	693cd7751ea08718dc52425b3d712b0aeba1db75f7cd23bd71bc899bdc5ca45e
dense-outcome-route-authority-v1	OUTCOME-ROUTE::DENSE-ALIGN-EVIDENCE::RAW-UNSAFE-ALIGN-01::COMMON-NON-OD1::EXCLUDED_NO_CALL::FAIL-CHECKED-ARITH	DENSE-ALIGN-EVIDENCE::RAW-UNSAFE-ALIGN-01::COMMON-NON-OD1::EXCLUDED_NO_CALL	DENSE-ALIGN-EVIDENCE	DENSE-ALIGN-EVIDENCE.RAW-UNSAFE-ALIGN-01.OUT.EXCLUDED_NO_CALL	FAIL-CHECKED-ARITH	FORBIDDEN	NONE	NONE	NONE	NONE	EXCLUDED_OUTCOME_HAS_NO_RUNTIME_ROUTE	FROZEN_RESEARCH_AUTHORITY_PENDING_OWNER_REVIEW	308e3ee68c0da4775ac6f3b552402b4cf26bc6be4f38c9cea2bdb153ab4aa20c
