schema_version	dimension_id	category	requirement_status	requirement_basis
gate-admission-pareto-v2	ORDINARY_SOURCE_NONFORGEABILITY	SECURITY	REQUIRED	CONSTITUTION_W3_D0A_D14
gate-admission-pareto-v2	ONE_ADMISSION_PREDICATE	ARCHITECTURE	REQUIRED	D14
gate-admission-pareto-v2	ONE_AUTHORIZATION_AUDIT_SCHEMA	ARCHITECTURE	REQUIRED	D14
gate-admission-pareto-v2	CLOSED_SEMANTIC_VOCABULARY	SECURITY	REQUIRED	D1_D14
gate-admission-pareto-v2	EXACT_SCOPE_CONES_AND_FINAL_BINDING	SECURITY	REQUIRED	D1A_D14
gate-admission-pareto-v2	FRAME_TEMPLATE_AUTHORITY_CEILING	SECURITY	REQUIRED	D1_D4_D14
gate-admission-pareto-v2	NO_HIGH_LEVEL_PRIVILEGE_LAUNDERING	DERIVABILITY	REQUIRED	D4_D12_D14
gate-admission-pareto-v2	EXACT_MINIMAL_PRIVILEGE_CUT_ACCOUNTING	DERIVABILITY	REQUIRED	D12_D14
gate-admission-pareto-v2	NO_UNTRUSTED_IN_PROCESS_PLUGIN	SECURITY	REQUIRED	CONSTITUTION_W3_D14
gate-admission-pareto-v2	FRAME_INSTANCE_WITHOUT_AUTH_RELEASE	RELEASE_BOUNDARY	OWNER_CHOICE	D4_D11_D12_D14
gate-admission-pareto-v2	GENERIC_UNAPPROVED_DIRECT_FRAME	LOWER_BOUND	LIMIT	D1_D4_D11
gate-admission-pareto-v2	PINNED_BUILD_BYTE_REPRODUCIBILITY	REPRODUCIBILITY	REQUIRED	D7C
gate-admission-pareto-v2	OFFLINE_HERMETIC_BUILD	REPRODUCIBILITY	DESIRABLE	D14_RESEARCH_GOAL
gate-admission-pareto-v2	HISTORICAL_REPRODUCTION	REPRODUCIBILITY	REQUIRED	D7C
gate-admission-pareto-v2	SAME_POLICY_LOCAL_EXTENSION_GRANT_REVOCATION	CURRENTNESS	NOT_REQUIRED	NO_OWNER_RULING
gate-admission-pareto-v2	GLOBAL_FRESHNESS	CURRENTNESS	NOT_REQUIRED	NO_OWNER_RULING
gate-admission-pareto-v2	EMITTED_BINARY_RECALL	CURRENTNESS	NOT_REQUIRED	NO_OWNER_RULING
gate-admission-pareto-v2	WITHIN_SCOPE_EXTENSION_GRANT_REPLAY	SECURITY	LIMIT	STATELESS_AUTHENTICATION_BOUNDARY
gate-admission-pareto-v2	KEY_COMPROMISE_RECOVERY	SECURITY	REQUIRED	D1A_D14
gate-admission-pareto-v2	KEY_ROTATION_WITHOUT_SEMANTIC_CHANGE	IDENTITY	REQUIRED	IDENTITY_SEPARATION
gate-admission-pareto-v2	KEY_ROTATION_WITHOUT_GRANT_REISSUE	OPERATIONS	DESIRABLE	PARETO_ACCOUNTING
gate-admission-pareto-v2	COMPILER_UPDATE_WITHOUT_SEMANTIC_CHURN	IDENTITY	REQUIRED	D7C_D14
gate-admission-pareto-v2	APPROVAL_CHANGE_PRESERVES_CONTENT_ID	IDENTITY	REQUIRED	D7C_D14
gate-admission-pareto-v2	AUTH_CHANGE_RECEIPT_REUSE	CACHE	REQUIRED	D7C_D14
gate-admission-pareto-v2	SEMANTIC_POLICY_MIGRATION_BLAST_RADIUS	COST	COST	D12_PARETO_ACCOUNTING
gate-admission-pareto-v2	AUTHORIZATION_SUPPLY_CHAIN_EXPOSURE	COST	COST	D12_PARETO_ACCOUNTING
gate-admission-pareto-v2	STAGE_INDEXED_FINAL_BINDING	SECURITY	REQUIRED	D1A_D14
gate-admission-pareto-v2	DYNAMIC_PROVIDER_POLICY_BINDING	SECURITY	REQUIRED	D4_D14
gate-admission-pareto-v2	ADMISSION_INVOCATION_SEPARATION	SECURITY	REQUIRED	D1_D14
gate-admission-pareto-v2	EXTERNAL_FRAME_REPACKAGING_RESISTANCE	DERIVABILITY	REQUIRED	D4_D12_D14
gate-admission-pareto-v2	NO_ORDINARY_RUNTIME_TAX	PERFORMANCE	REQUIRED	CONSTITUTION_P0_D14
gate-admission-pareto-v2	ADMISSION_AND_LOAD_VERIFICATION_COST	COST	COST	D12_PARETO_ACCOUNTING
gate-admission-pareto-v2	AUTHORIZATION_VERIFIER_TCB	COST	COST	D12_PARETO_ACCOUNTING
gate-admission-pareto-v2	MUTABLE_PROTECTED_AUTH_STATE	COST	COST	D12_PARETO_ACCOUNTING
gate-admission-pareto-v2	ATOMIC_AUTH_STATE_PERSISTENCE	COST	COST	D12_PARETO_ACCOUNTING
gate-admission-pareto-v2	EXTENSION_DISTRIBUTION_BURDEN	COST	COST	D12_PARETO_ACCOUNTING
gate-admission-pareto-v2	SCOPE_CHURN	COST	COST	D12_PARETO_ACCOUNTING
gate-admission-pareto-v2	GRANT_REVIEW_AND_ARTIFACT_COST	COST	COST	D0A_D12
gate-admission-pareto-v2	BOOTSTRAP_ROOT_INSTALLATION	TRUST_BOUNDARY	LIMIT	D1A_D14
gate-admission-pareto-v2	RUST_DELTA	COMPARATOR	REQUIRED	CONSTITUTION_R0_D3
gate-admission-pareto-v2	PARETO_IF_EXTENSION_REQUIRED	DECISION	DECISION	OWNER_CHOICE_YES
gate-admission-pareto-v2	PARETO_IF_RELEASE_UPDATE_ACCEPTED	DECISION	DECISION	OWNER_CHOICE_NO
