operation_id	project	version	revision	source_anchors	representation	admission	owner_traffic	failure_cleanup	provenance	concurrency	reference_events	forbidden_delta	unresolved	falsifier
H-LOOKUP	Hashbrown	0.17.1	c62a63a61b7caf2de8f9ecb7b06a66b0ab6bdf3d	src/raw.rs:557-580,660-685,1192-1208,2008-2044;src/control/mod.rs;src/control/tag.rs	One allocation contains distinct payload and replicated control regions; only FULL slots contain live payloads.	A same-root same-version FULL control observation admits equality and payload access; EMPTY terminates the probe.	No payload owner moves; hash and equality receive borrows only.	Callback abort and miss preserve table state; mutation invalidates occupancy and probe facts.	Returned buckets and borrows remain rooted in the table allocation, not the hash or integer index.	No shared concurrency in the audited route.	Existing group loads, tag tests, equality on matching FULL slots, probe advance, and EMPTY stop only.	No extra payload initialization, load, check, scan, allocation, indirection, atomic, metadata field, or owner movement.	Exact group-operation semantics remain a separate machine-leaf obligation; no generated code was inspected.	Reject if control metadata can authorize EMPTY or DELETED payload, or if admission needs Hashbrown recognition or a new runtime check.
H-INSERT	Hashbrown	0.17.1	c62a63a61b7caf2de8f9ecb7b06a66b0ab6bdf3d	src/raw.rs:1024-1046,1120-1187,1795-1842,1907-1919,2458-2464,2682-2712;src/map.rs:2827-2831,4162-4260	EMPTY or DELETED control selects uninitialized payload storage; growth may replace the whole physical root.	A version-bounded vacant token admits exactly one commit to the corresponding payload place.	Offered key and value remain caller-owned until commit, then each moves once; the result borrows the new value.	Precommit callback or allocation failure preserves or returns owners; abandonment after opening the slot requires fixed closure without a scan or temporary tag.	Vacant and result tokens are tied to the exact table root and version; growth re-roots results and invalidates old tokens.	No shared concurrency in the audited route.	Probe, optional one growth allocation, reference relocation, one control update, one payload write, and exact counter changes.	No zero fill, dummy payload, second allocation, extra owner move, rollback scan, persistent tag, or result indirection.	Exact allocation leaf and formal transition safety remain unproved.	Reject if metadata becomes FULL before any rule prevents access to unwritten payload, or if failure loses an offered owner.
H-REPLACE	Hashbrown	0.17.1	c62a63a61b7caf2de8f9ecb7b06a66b0ab6bdf3d	src/raw.rs:1091-1110;src/map.rs:1806-1821,4045-4051,4126-4153	One FULL slot remains occupied while its value owner changes; callback replacement may temporarily remove the whole item.	The matching occupied-entry token admits one exact replace or replace/remove protocol.	New value moves in, old value moves out, stored key stays, and the duplicate offered key is destroyed exactly once; callback branches retain one item owner.	Equality abort changes nothing; callback success, remove, abort, and abandonment need branch-exact disposition and a valid final table state.	Returned old value is owned; any new borrow derives from the same live slot under the new mutation version.	No shared concurrency in the audited route.	One value replacement or one take plus optional restore; no allocation on the reference path.	No key move, clone, zeroing, extra tag, allocation, scan, or persistent protocol state.	Callback-abort cleanup and formal effect rules remain unproved.	Reject if a copied pointer can duplicate the temporarily extracted owner or any callback branch lacks one exact disposition.
H-REMOVE	Hashbrown	0.17.1	c62a63a61b7caf2de8f9ecb7b06a66b0ab6bdf3d	src/raw.rs:770-797,817-823,3224-3288;src/map.rs:3881-3905	A FULL payload slot becomes EMPTY or DELETED; group-local state chooses whether probe reachability needs a tombstone.	A same-root occupied-entry token admits moving the exact payload owner out before metadata ceases to authorize access.	Stored key-value ownership moves once to the result; no in-place payload destruction occurs.	Miss changes nothing; found removal has no recoverable failure after transfer; consumed entry guards and all derived borrows invalidate.	The result is owned and the guard-to-slot relation is root- and version-bounded.	No shared concurrency in the audited route.	One owner read, group-local emptiness tests, one control update, item decrement, and conditional growth counter update.	No zeroing, payload copy, allocation, whole-table scan, tag, atomic, or extra owner movement.	Exact EMPTY-versus-DELETED proof and fact invalidation remain paper obligations.	Reject if the removed payload remains accessible or lookup correctness requires an added scan or metadata bit.
H-REHASH	Hashbrown	0.17.1	c62a63a61b7caf2de8f9ecb7b06a66b0ab6bdf3d	src/raw.rs:2682-2712,2739-2792,2885-2957,2984-3076	Resize uses old and new sparse roots; in-place rehash temporarily interprets DELETED as an unprocessed live payload inside a non-escapable phase.	Only the rehash phase may admit transition-local DELETED-live payload; ordinary sparse access may not.	Every live item has exactly one owner; resize relocates once, while in-place branches restore, relocate, or swap one displaced owner until placed.	Resize allocation or hashing failure preserves old owners and releases raw new storage; in-place partial progress needs exact processed and unprocessed cleanup.	Resize re-roots all results; in-place results retain the physical root but receive new versioned occupancy facts.	No shared concurrency in the audited route.	Reference branch selection, one allocation only for resize, reference scans and relocations, or one in-place control scan and displacement loop.	No zero fill, second payload copy, extra allocation, persistent phase tag, whole-table rollback copy, or extra scan beyond the selected algorithm.	Formal partial-progress cleanup and exact allocation/group leaves remain unproved.	Reject if ordinary DELETED grants payload access, a phase can escape, or failure duplicates, drops, or leaks a displaced owner.
M-ALLOC	mimalloc	3.3.2	tag-object=5687270e7fbb15d494a46b0d048f978bad973e4f;source=30b2d9d89099bee08e9f67a1ffb3e12e7ba45227	src/alloc.c:29-158,202-209;src/page.c:588-735,858-877,965-1038;include/mimalloc/types.h:327-393	A page is partitioned into blocks; a free block initializes only an intrusive next word and the remaining payload bytes may be uninitialized.	Thread-local page authority plus a non-null free head admits popping exactly one block.	The page transfers one raw-block owner to the caller; no payload owner is copied or relocated.	Fast commit cannot fail after the pop; slow allocation may collect, extend, retry once, or return null without returning a block owner.	The returned block is rooted in the physical page allocation, not separate metadata, heap association, or address-map slot.	Fast allocation is thread-local and uses no atomic operation.	Direct size-class page load, one head test, next load, head store, used increment, one internal-pointer clearing store, and return.	No whole-block initialization, permanent slot tag, per-block backpointer, atomic, scan, synchronization, extra allocation, payload copy, or owner relocation on the fast path.	Exact release assembly and timing were not inspected; configured debug, secure, tracking, guarded, and zeroing paths differ.	Reject if safe uninitialized payload requires zeroing or a tag, or if returning one block loses its page-root identity.
M-LOCAL-FREE	mimalloc	3.3.2	tag-object=5687270e7fbb15d494a46b0d048f978bad973e4f;source=30b2d9d89099bee08e9f67a1ffb3e12e7ba45227	src/free.c:26-51,157-210;src/page.c:366-496	A live caller block changes role to a local intrusive free node in the same physical slot.	The unique block owner and matching page-thread authority admit non-atomic local free-list and used-count mutation.	The caller owner moves once into page.local_free; typed destruction must finish before the raw block transfer.	Checks precede mutation; valid local linking cannot fail; rare empty-page retirement or full-page queue transition has exact page disposition.	The allocation pointer maps to the physical page root; queue or heap movement does not change that root.	Same-thread authority permits non-atomic local updates.	Address-to-page lookup, thread-ID test, intrusive link write, local-head store, used decrement, and rare retire or unfull transition.	No atomic push, fence, global lock, added registry lookup, scan, zeroing, fill, per-block tag, or extra owner move.	Configured diagnostics and instrumentation vary; no generated code was inspected.	Reject if local free pays remote synchronization or if payload remains live after its storage becomes free-list metadata.
M-REMOTE-FREE	mimalloc	3.3.2	tag-object=5687270e7fbb15d494a46b0d048f978bad973e4f;source=30b2d9d89099bee08e9f67a1ffb3e12e7ba45227	src/free.c:56-100,177-210,241-390;src/page.c:142-260;src/arena.c:623-743,1032-1107,1191-1299;src/page-map.c:396-421	The freed block overlays its payload with an intrusive link; atomic xthread_free combines list head and page-ownership state.	Before successful CAS the remote caller retains the block; successful CAS atomically transfers it and may claim an abandoned page.	One block owner moves to the remote list, later to local_free and free; collection decrements used once and final release consumes the page root only after all blocks return.	Weak CAS may retry; detach and collection traverse at most capacity; abandoned-page handling chooses release, reclaim, re-advertise, or unown; corrupt unsafe state is not an admissible result.	A live block keeps constant page data and the physical page root alive across separate metadata and heap reassociation; final release unregisters the map first.	Remote publication and capture use acquire-release CAS; page dispatch is relaxed; abandoned-map readers use a source-specific quiescence protocol.	Address lookup, thread branch, link write, one successful per-page CAS plus retries, deferred bounded traversal, splice, count update, and conditional lifecycle work.	No per-block count, hazard slot, epoch record, global lock, immediate full scan, extra allocation, backpointer, permanent tag, or mandatory synchronization beyond source events.	Source memory-order TODOs, weak-CAS progress, bitmap busy-wait progress, and platform page-map proofs remain open.	Reject if reclamation policy is baked into the language, ownership transfers before successful CAS, or final release can race a live block or map reader.
S-INSERT-SPLIT	SQLite	3.53.3	fossil=d4c0e51e4aeb96955b99185ab9cde75c339e2c29c3f3f12428d364a10d782c62;git=92a6c5c3636faa021ecc3be5403a00f50f65eda7	src/btree.c:7074-7256,7428-7500,8007-8101,8205-9258,9409-9709;src/pager.c:6094-6172	A page byte root contains header, cell-pointer array, gap, variable cell ranges, freeblocks, and optional overflow; scratch tails may be uninitialized.	Initialized MemPage metadata and bounds admit exact cell subranges; writeability is published only after old bytes are journaled.	Page pins, overflow pages, cell bytes, and scratch roots move through a bounded balance; allocation failure may leave a rollback-required database rather than return every change locally.	Local failure releases every acquired pin and scratch allocation, but balance failure may leave topology inconsistent and requires transaction rollback; depth is capped at twenty and sibling sets are fixed.	Cell pointers may root in cache pages or several scratch roots; page numbers and cursor slots are logical identities only; subrange invalidation preserves nonoverlapping bytes.	BtShared mutex, write transaction, table lock, and pager file policy serialize this slice; no lock-free atomics are present.	Exact cell copies, overflow-page allocation, journal-before-write, fixed sibling scans, page allocation or freeing, rekeying, pointer-map work, and bounded scratch allocation.	No unused-tail zeroing, cell tag, per-cell allocation, whole-page copy from coarse borrowing, whole-tree scan, extra snapshot, lock, atomic, fence, owner move, or loss of fast insertion shape.	Higher-level proof that every balancing error reaches rollback was outside scope; formal byte-range safety is unproved.	Reject if rollback-required state can escape, scratch provenance is lost, or whole-root exclusivity forces a copy that precise subranges avoid.
S-DELETE-BALANCE	SQLite	3.53.3	fossil=d4c0e51e4aeb96955b99185ab9cde75c339e2c29c3f3f12428d364a10d782c62;git=92a6c5c3636faa021ecc3be5403a00f50f65eda7	src/btree.c:6836-7045,7267-7309,8245-9027,9841-10040	A removed cell range becomes page free space; stale bytes remain unless secure-delete policy chooses zeroing; predecessor cells can carry overflow-chain ownership across page roots.	Valid cursor, cell index, initialized page metadata, exact bounds, journaled writeability, and no conflicting reader admit deletion.	Overflow pages transfer to the database freelist; predecessor cell plus overflow relation moves without duplication; unused sibling pages transfer to freelist; pins are released exactly.	Failure may occur after frees, removal, transfer, or sibling rewrites; local cleanup releases pins and scratch while pager rollback repairs database state; traversal is bounded by payload length and tree depth.	Cell pointers root in pinned page buffers or scratch, not page numbers; secure delete and freeblock overlay have different exact invalidation footprints.	Mutex, transaction, table lock, and no-conflicting-reader policy apply; no language reclamation policy is implied.	Native overflow-chain traversal, freelist updates, fixed sibling rebalance, pins, journaling, optional pointer map, and policy-selected zeroing.	No unconditional zeroing or destructor traversal, duplicate overflow owner, cell box or tag, whole-tree scan, coarse-borrow page copy, extra disk write, per-mutation undo closure, lock, atomic, fence, or metadata.	Typed affine row cleanup and higher-level rollback enforcement were outside this byte-record slice.	Reject if overflow ownership duplicates during predecessor transfer or if local restoration is mandatory and adds undo work absent from SQLite.
S-ROLLBACK	SQLite	3.53.3	fossil=d4c0e51e4aeb96955b99185ab9cde75c339e2c29c3f3f12428d364a10d782c62;git=92a6c5c3636faa021ecc3be5403a00f50f65eda7	src/pager.c:134-357,2261-3051,3190-3557,6034-6172,6788-6857,7023-7119;src/btree.c:2474-2499	Pager states own database, journal or WAL, cache pages, bitsets, savepoints, locks, and one reusable page scratch buffer.	Writer state plus journal-before-write admits mutable pages; rollback playback is admitted only in a writer or hot-recovery state with required locks.	Old page images reside in journal or WAL rather than per-mutation closures; replay overwrites existing cache roots, invalidates derived metadata, finalizes resources, and returns to reader state on success.	Journal offsets advance monotonically; malformed tail has defined stop behavior; I/O or allocation failure enters persistent PAGER_ERROR and does not finalize the journal; later recovery may finish.	Journal page numbers are logical selectors; physical roots are cache allocations, scratch, file storage, MemPage extras, and backup destinations; overwrite invalidates every old derived fact.	VFS locks, pager state, and WAL writer policy serialize recovery; rollback-journal and WAL are library-selected policies.	Native first-write journal records, checksums and syncs, sequential replay or WAL undo, dirty-list traversal, one scratch page, reinitialization callback, and journal finalization.	No extra snapshot, inverse closure, graph node, allocation, second pass, tag, unrelated zeroing, double old/new retention, sync, lock, atomic, fence, fixed journal policy, or writer theorem.	VFS and WAL internals, crash proof, exact filesystem events, and fail-closed reinitializer behavior remain UNKNOWN.	Reject if failed playback can expose a stable pager, if every mutation needs local inverse cleanup, or if one journal or WAL policy becomes language semantics.
X-PROTECTED-LOAD	Crossbeam Epoch	0.9.18	9c3182abebb36bdc9446d75d4644190fef70fa01	crossbeam-epoch/src/default.rs:13-41;crossbeam-epoch/src/internal.rs:269-296,379-455;crossbeam-epoch/src/atomic.rs:285-300,366-384,1291-1505;crossbeam-epoch/src/guard.rs:9-71,390-407	Atomic and Shared are word-sized tagged addresses; Guard points to a stable participant Local allocation in a collector domain.	First pin publishes a pinned epoch and barrier; Atomic.load borrows the guard lifetime but performs no runtime collector, validity, publication, or interference check.	Pin creates one scoped guard; load moves no pointee owner and returns a copyable observer; last guard unpins.	No recoverable failure; lazy registration may allocate; abandonment drops the guard only.	Payload borrows root in the pointee allocation, while guard and collector roots are separate; Atomic stores no collector identity.	Pin and unpin establish reclamation observation with architecture-specific barriers; caller-selected pointer ordering handles publication; payload interference is separate.	Existing first-pin counter and barrier work, infrequent cold collection, and exactly one caller-selected atomic load per protected load.	No per-load allocation, count, hazard publication, collector lookup, dynamic root check, extra fence, indirection, or metadata field.	Same-domain association, portable x86 fence justification, pointer validity, publication, and payload interference remain external source obligations.	Reject if guard presence alone grants dereference or a B route adds a per-load event beyond the source atomic load.
