crate	module_path	mode	rule_id	domain_id	domain	domain_partition	entry_digest
alloc	alloc	detailed	DOM-MODULE-ROOT	D25	prelude and reexports	RED	c3ec6849c504e9ef9df4039c5c7dba02dff312f3e0a82cf5e74cd43329aefda0
alloc	alloc::alloc	detailed	DOM-ALLOC-ALLOC	D07	heap allocation and runtime	FRAME+LATER	9056ea366b591dc9834ade414519a8504d80c209bdca3e6495fa29acd659a60f
alloc	alloc::borrow	detailed	DOM-BEHAVIOR-BORROW-ALLOC	D08	shared ownership and conversions	LIB+LATER	0b9979680f0a55ea529e4259beb983d3b4acda2a4e83cd0be867bafc3705a86b
alloc	alloc::boxed	detailed	DOM-DATA-BOX-ALLOC	D07	unique ownership and data structures	G0+LATER	13ebde64c3859bb7b9ddd9212ba76c0aa46c2056d31ba714bebf30743c73b73e
alloc	alloc::bstr	detailed	DOM-TEXT-BSTR-ALLOC	D11	bytes and text	LIB+LATER	432a92386dd7804037d355dd196f75d626981e241d73035e551f2470b4bb7016
alloc	alloc::collections	detailed	DOM-DATA-COLLECTIONS-ALLOC	D09	sequential and associative data structures	G0	960efab4fa0e1e17d68ad89afeba265cb39cfc97b215c71d53558876c2e2057a
alloc	alloc::collections::binary_heap	detailed	DOM-DATA-COLLECTIONS-ALLOC	D09	sequential and associative data structures	G0	a978a60bb0f50dfe3e8c795e9e093b347b4711cb6d2b2dd67e7b195e1c11be02
alloc	alloc::collections::btree_map	detailed	DOM-DATA-COLLECTIONS-ALLOC	D09	sequential and associative data structures	G0	2704f99d251c7ce85f88427d6e1dbbeb68ebb56069fe80ff67f252e9f11a79e3
alloc	alloc::collections::btree_set	detailed	DOM-DATA-COLLECTIONS-ALLOC	D09	sequential and associative data structures	G0	b4d9198be8af7a7b039965bd9c8859daf23e326fadb0c06c1cef3a57332fca50
alloc	alloc::collections::linked_list	detailed	DOM-DATA-COLLECTIONS-ALLOC	D09	sequential and associative data structures	G0	faa86c590cbcd9e4b8e78ff52a4467f541afa9a617cf77145a9eaf37f48f6c7c
alloc	alloc::collections::vec_deque	detailed	DOM-DATA-COLLECTIONS-ALLOC	D09	sequential and associative data structures	G0	7ad8b148d3709fabc9a165d2f08403fd1b5845a3a3a40f51ed07785086f9c3bb
alloc	alloc::ffi	detailed	DOM-FFI-ALLOC	D18	FFI, ABI, and OS resources	FRAME+LIB+LATER	a2e3a74520419d9f08def3805b3debd4329b6edf98ab4639bafeb5223e67550e
alloc	alloc::ffi::c_str	detailed	DOM-FFI-ALLOC	D18	FFI, ABI, and OS resources	FRAME+LIB+LATER	3855ce3d542b89fef95faf07635f4c202442033331366d5fa2fc45e0e65339d6
alloc	alloc::fmt	detailed	DOM-FMT-ALLOC	D12	formatting and presentation	LIB+LATER	c9d269198ed8732301ed161582f3f0bda36e4dc827889b41efe434e8e10cd6b6
alloc	alloc::intrinsics	detailed	DOM-TARGET-INTRINSICS-ALLOC	D24	target intrinsics and dispatch	FRAME+LATER+NG	ee0fb959dfd022da2a097f650025ea2aaa589fd123635f996c4de8fd9eeca0ad
alloc	alloc::rc	detailed	DOM-SHARED-RC-ALLOC	D08	shared ownership and weak identity	LATER	f6706522724513ce20c7d1061356bc3efda4e9483f717abca76c1badfcbda098
alloc	alloc::slice	detailed	DOM-DATA-SLICE-ALLOC	D09	sequential data structures	G0+LIB	63c9bcc83170b3eb7029b830b3b1d8124f1761025e0e0a75cf100a581bf01380
alloc	alloc::str	detailed	DOM-TEXT-STR-ALLOC	D11	bytes and text	G0+LIB+LATER	d5722d3b4b03a16bfbbbbaa842580ab95d225177481e4ad0f3a6eb513549e7f3
alloc	alloc::str::pattern	detailed	DOM-TEXT-STR-ALLOC	D11	bytes and text	G0+LIB+LATER	efd7467e3d24d835a06471aca2139aa6f7a74fe5f732c90444f52835abf533c3
alloc	alloc::string	detailed	DOM-TEXT-STRING-ALLOC	D11	bytes and text	G0+LIB+LATER	5ecc19825f90707bc64bab49e1c414e2e670124fb32451d3cacd3d53d4295f40
alloc	alloc::sync	detailed	DOM-SHARED-ARC-ALLOC	D08	shared ownership and weak identity	LATER	d4008ea2ba80d01e7878362d2f3135cfc015c4bd4a4c4d5891f256bbcabc9fa4
alloc	alloc::task	detailed	DOM-LANG-TASK-ALLOC	D23	async, tasks, and pinning	LATER	33a681679fe9ca7390ee6d5a0718c7f8aede9e19376128c30fa43011ecb45609
alloc	alloc::vec	detailed	DOM-DATA-VEC-ALLOC	D09	sequential data structures	G0	e556a4af7d167af7aea3675bf075dc0eb2025057daeb7082ae507b4e44979fd7
core	core	detailed	DOM-MODULE-ROOT	D25	prelude and reexports	RED	dd483bce1098bb92da69877952057ca0616c3dd019c6e6d3e1da0589cdcd3768
