comparison	arm	workers	pass	words	rows	sample	wall_ns	cpu_ns	grants
null	baseline	1	1	16384	512	0	11159000	11133000	0
null	baseline	1	1	16384	512	1	11197000	11187000	0
null	baseline	1	1	16384	512	2	10993000	10927000	0
null	baseline	1	1	16384	512	3	10857000	10815000	0
null	baseline	1	1	16384	512	4	10567000	10525000	0
null	baseline	1	1	16384	512	5	10556000	10514000	0
null	candidate	1	1	16384	512	0	10579000	10585000	0
null	candidate	1	1	16384	512	1	10539000	10519000	0
null	candidate	1	1	16384	512	2	10494000	10476000	0
null	candidate	1	1	16384	512	3	10653000	10639000	0
null	candidate	1	1	16384	512	4	10524000	10526000	0
null	candidate	1	1	16384	512	5	10727000	10713000	0
null	baseline	2	1	16384	512	0	5484000	10881000	1
null	baseline	2	1	16384	512	1	5426000	10801000	1
null	baseline	2	1	16384	512	2	5387000	8029000	1
null	baseline	2	1	16384	512	3	5433000	10819000	1
null	baseline	2	1	16384	512	4	5471000	10816000	1
null	baseline	2	1	16384	512	5	5380000	9529000	1
null	candidate	2	1	16384	512	0	5458000	10837000	1
null	candidate	2	1	16384	512	1	5514000	10826000	1
null	candidate	2	1	16384	512	2	5440000	10820000	1
null	candidate	2	1	16384	512	3	5377000	7382000	1
null	candidate	2	1	16384	512	4	5429000	10789000	1
null	candidate	2	1	16384	512	5	5389000	10777000	1
null	baseline	4	1	16384	512	0	2842000	9430000	3
null	baseline	4	1	16384	512	1	2843000	10505000	4
null	baseline	4	1	16384	512	2	2836000	11702000	12
null	baseline	4	1	16384	512	3	2773000	10914000	3
null	baseline	4	1	16384	512	4	2820000	11001000	4
null	baseline	4	1	16384	512	5	2815000	10237000	13
null	candidate	4	1	16384	512	0	2906000	11195000	14
null	candidate	4	1	16384	512	1	2840000	11091000	5
null	candidate	4	1	16384	512	2	2809000	10981000	14
null	candidate	4	1	16384	512	3	2804000	11004000	14
null	candidate	4	1	16384	512	4	2833000	10957000	5
null	candidate	4	1	16384	512	5	2831000	11042000	6
null	baseline	8	1	16384	512	0	1932000	13212000	35
null	baseline	8	1	16384	512	1	1825000	12522000	36
null	baseline	8	1	16384	512	2	1578000	9059000	26
null	baseline	8	1	16384	512	3	1689000	14321000	50
null	baseline	8	1	16384	512	4	1681000	12497000	24
null	baseline	8	1	16384	512	5	1610000	12440000	36
null	candidate	8	1	16384	512	0	1830000	12792000	29
null	candidate	8	1	16384	512	1	1611000	12364000	17
null	candidate	8	1	16384	512	2	1625000	12555000	36
null	candidate	8	1	16384	512	3	1692000	12694000	32
null	candidate	8	1	16384	512	4	1676000	12366000	27
null	candidate	8	1	16384	512	5	1726000	12581000	33
null	baseline	1	1	17	2	0	0	5000	0
null	baseline	1	1	17	2	1	0	1000	0
null	baseline	1	1	17	2	2	0	2000	0
null	baseline	1	1	17	2	3	0	1000	0
null	baseline	1	1	17	2	4	0	0	0
null	baseline	1	1	17	2	5	0	2000	0
null	candidate	1	1	17	2	0	0	2000	0
null	candidate	1	1	17	2	1	0	1000	0
null	candidate	1	1	17	2	2	0	1000	0
null	candidate	1	1	17	2	3	0	2000	0
null	candidate	1	1	17	2	4	0	1000	0
null	candidate	1	1	17	2	5	0	1000	0
null	baseline	4	1	17	2	0	0	3000	0
null	baseline	4	1	17	2	1	0	1000	0
null	baseline	4	1	17	2	2	0	1000	0
null	baseline	4	1	17	2	3	0	1000	0
null	baseline	4	1	17	2	4	0	2000	0
null	baseline	4	1	17	2	5	0	1000	0
null	candidate	4	1	17	2	0	0	5000	0
null	candidate	4	1	17	2	1	0	1000	0
