runtime	kernel	workers	k	n	tile	seed	pass	calls	core_mean_ns	core_min_ns	core_max_ns	cycle_mean_ns	cycle_min_ns	cycle_max_ns
weak	lanes4	0	3	33	65536	100740	0	256	62.793	50	120	154.684	130	270
weak	lanes8	0	3	33	65536	100740	0	256	41.902	40	91	117.914	110	211
weak	lanes16	0	3	33	65536	100740	0	256	39.352	30	80	115.055	110	211
weak	wf	0	3	33	257	100740	0	256	291.207	140	5699	586.965	370	5949
recovered	wf	0	3	33	257	100740	0	256	108.012	100	350	276.387	260	630
recovered	wf	2	3	33	257	100740	0	256	100.582	90	180	261.914	260	430
recovered	wf	4	3	33	257	100740	0	256	100.844	90	191	261.824	250	450
shared	wf	0	3	33	257	100740	0	256	100.512	90	180	233.062	230	451
shared	wf	2	3	33	257	100740	0	256	175.539	140	471	378.809	310	701
shared	wf	4	3	33	257	100740	0	256	100.258	90	160	232.223	230	380
weak	wf	0	3	33	4096	100740	0	256	187.895	160	280	441.254	400	702
recovered	wf	0	3	33	4096	100740	0	256	252.410	160	17436	511.992	371	17856
recovered	wf	2	3	33	4096	100740	0	256	178.527	140	260	432.180	340	651
recovered	wf	4	3	33	4096	100740	0	256	101.199	100	210	262.629	260	450
shared	wf	0	3	33	4096	100740	0	256	174.035	140	260	377.508	311	611
shared	wf	2	3	33	4096	100740	0	256	100.422	90	180	234.504	230	431
shared	wf	4	3	33	4096	100740	0	256	179.785	140	250	393.898	311	591
weak	wf	0	3	33	65536	100740	0	256	100.734	90	210	270.414	250	3876
recovered	wf	0	3	33	65536	100740	0	256	138.203	100	2463	336.215	260	2784
recovered	wf	2	3	33	65536	100740	0	256	100.617	90	180	262.062	260	431
recovered	wf	4	3	33	65536	100740	0	256	101.863	90	181	262.840	260	430
shared	wf	0	3	33	65536	100740	0	256	100.426	90	160	230.383	220	400
shared	wf	2	3	33	65536	100740	0	256	178.230	150	241	387.309	311	591
shared	wf	4	3	33	65536	100740	0	256	100.703	90	191	479.379	220	63425
weak	direct	0	3	33	65536	100740	0	256	156.496	130	200	267.742	220	611
shared	wf	0	3	33	65536	100740	1	256	100.465	90	160	232.066	230	401
recovered	wf	4	3	33	65536	100740	1	256	100.773	100	180	262.695	260	451
recovered	wf	2	3	33	65536	100740	1	256	100.629	90	191	262.770	260	451
recovered	wf	0	3	33	65536	100740	1	256	100.855	100	190	261.723	250	441
weak	wf	0	3	33	65536	100740	1	256	100.734	90	200	254.199	250	441
shared	wf	4	3	33	4096	100740	1	256	100.652	90	180	232.531	230	401
shared	wf	2	3	33	4096	100740	1	256	124.730	90	2504	270.059	230	2744
shared	wf	0	3	33	4096	100740	1	256	100.465	90	170	231.594	230	411
recovered	wf	4	3	33	4096	100740	1	256	101.484	90	200	270.945	260	821
recovered	wf	2	3	33	4096	100740	1	256	101.660	90	181	263.449	260	461
recovered	wf	0	3	33	4096	100740	1	256	100.984	100	181	269.848	260	741
weak	wf	0	3	33	4096	100740	1	256	102.695	100	180	256.992	250	431
shared	wf	4	3	33	257	100740	1	256	100.969	100	170	231.715	230	411
shared	wf	2	3	33	257	100740	1	256	178.781	140	370	387.992	311	661
shared	wf	0	3	33	257	100740	1	256	182.781	140	240	393.246	320	561
recovered	wf	4	3	33	257	100740	1	256	100.609	100	160	262.473	260	421
recovered	wf	2	3	33	257	100740	1	256	100.816	100	170	263.352	260	430
recovered	wf	0	3	33	257	100740	1	256	125.512	90	2324	311.621	250	2764
weak	wf	0	3	33	257	100740	1	256	109.535	90	340	271.145	240	630
weak	lanes16	0	3	33	65536	100740	1	256	39.629	30	80	114.742	110	230
weak	lanes8	0	3	33	65536	100740	1	256	43.457	40	110	123.184	110	341
weak	lanes4	0	3	33	65536	100740	1	256	72.523	50	140	176.316	141	320
weak	direct	0	3	33	65536	100740	1	256	102.730	80	371	195.016	160	2424
shared	wf	4	3	33	65536	100740	1	256	100.328	90	160	238.984	230	410
shared	wf	2	3	33	65536	100740	1	256	121.660	90	2043	266.559	230	2474
weak	lanes16	0	3	33	65536	100740	2	256	39.277	30	80	114.859	110	220
weak	wf	0	3	33	257	100740	2	256	113.133	90	350	288.547	240	2744
recovered	wf	0	3	33	257	100740	2	256	101.324	100	180	261.980	260	420
recovered	wf	2	3	33	257	100740	2	256	101.023	100	191	261.848	260	431
recovered	wf	4	3	33	257	100740	2	256	101.641	100	180	263.859	260	441
shared	wf	0	3	33	257	100740	2	256	112.906	90	341	256.277	230	621
shared	wf	2	3	33	257	100740	2	256	115.441	90	501	269.871	221	2684
shared	wf	4	3	33	257	100740	2	256	362.590	150	25898	652.836	320	26128
weak	wf	0	3	33	4096	100740	2	256	100.566	90	191	247.477	240	471
recovered	wf	0	3	33	4096	100740	2	256	202.566	150	3876	465.695	361	4476
recovered	wf	2	3	33	4096	100740	2	256	100.926	90	180	264.613	260	430
recovered	wf	4	3	33	4096	100740	2	256	101.680	100	180	266.020	260	411
shared	wf	0	3	33	4096	100740	2	256	176.711	140	261	384.746	310	601
shared	wf	2	3	33	4096	100740	2	256	103.082	90	291	234.211	220	511
shared	wf	4	3	33	4096	100740	2	256	100.418	90	170	231.199	220	420
weak	wf	0	3	33	65536	100740	2	256	100.145	90	190	248.449	240	440
recovered	wf	0	3	33	65536	100740	2	256	100.496	90	190	261.824	260	451
recovered	wf	2	3	33	65536	100740	2	256	100.578	90	171	261.762	260	421
recovered	wf	4	3	33	65536	100740	2	256	100.785	100	180	262.578	260	440
shared	wf	0	3	33	65536	100740	2	256	175.691	140	260	380.742	310	541
shared	wf	2	3	33	65536	100740	2	256	100.492	90	180	232.848	230	471
shared	wf	4	3	33	65536	100740	2	256	173.117	100	320	378.668	230	691
weak	direct	0	3	33	65536	100740	2	256	86.336	80	110	162.555	160	271
weak	lanes4	0	3	33	65536	100740	2	256	54.367	40	120	142.559	120	481
weak	lanes8	0	3	33	65536	100740	2	256	115.367	40	17526	204.051	110	17716
recovered	wf	2	3	33	65536	100740	3	256	100.531	90	181	261.645	260	431
recovered	wf	0	3	33	65536	100740	3	256	115.789	100	481	298.930	260	2614
weak	wf	0	3	33	65536	100740	3	256	100.352	90	190	254.793	250	450
shared	wf	4	3	33	4096	100740	3	256	114.707	91	541	265.371	220	2203
shared	wf	2	3	33	4096	100740	3	256	124.566	90	1973	276.117	230	2403
shared	wf	0	3	33	4096	100740	3	256	174.988	140	340	380.371	310	741
recovered	wf	4	3	33	4096	100740	3	256	101.367	100	180	263.672	260	430
recovered	wf	2	3	33	4096	100740	3	256	101.477	100	180	266.785	260	420
recovered	wf	0	3	33	4096	100740	3	256	100.566	90	180	262.758	260	430
weak	wf	0	3	33	4096	100740	3	256	101.051	100	171	255.926	250	440
shared	wf	4	3	33	257	100740	3	256	100.465	90	180	232.055	230	430
shared	wf	2	3	33	257	100740	3	256	176.016	140	241	380.758	310	621
shared	wf	0	3	33	257	100740	3	256	173.355	140	251	376.188	310	561
recovered	wf	4	3	33	257	100740	3	256	100.410	90	170	261.320	250	431
recovered	wf	2	3	33	257	100740	3	256	101.438	90	220	264.176	260	481
recovered	wf	0	3	33	257	100740	3	256	109.270	100	421	357.602	260	21081
weak	wf	0	3	33	257	100740	3	256	100.625	90	181	255.188	250	491
weak	lanes16	0	3	33	65536	100740	3	256	44.371	30	120	129.559	110	310
weak	lanes8	0	3	33	65536	100740	3	256	97.582	40	3325	201.207	110	3445
weak	lanes4	0	3	33	65536	100740	3	256	50.078	40	130	127.727	120	310
weak	direct	0	3	33	65536	100740	3	256	85.945	80	130	162.426	160	280
shared	wf	4	3	33	65536	100740	3	256	100.422	90	180	231.551	230	431
shared	wf	2	3	33	65536	100740	3	256	189.777	160	271	418.438	361	601
shared	wf	0	3	33	65536	100740	3	256	100.469	90	191	232.543	230	431
recovered	wf	4	3	33	65536	100740	3	256	111.488	90	361	283.785	260	661
recovered	wf	0	3	33	257	100740	4	256	170.098	100	3164	427.617	260	3706
recovered	wf	2	3	33	257	100740	4	256	104.957	90	271	271.062	260	500
recovered	wf	4	3	33	257	100740	4	256	101.789	100	310	264.297	260	641
shared	wf	0	3	33	257	100740	4	256	116.352	91	231	274.234	230	2554
shared	wf	2	3	33	257	100740	4	256	100.539	90	160	230.586	220	400
shared	wf	4	3	33	257	100740	4	256	100.422	90	171	232.145	230	391
weak	wf	0	3	33	4096	100740	4	256	100.977	100	181	249.117	240	421
recovered	wf	0	3	33	4096	100740	4	256	109.457	100	500	278.309	260	871
recovered	wf	2	3	33	4096	100740	4	256	100.898	90	170	261.641	260	410
recovered	wf	4	3	33	4096	100740	4	256	100.586	90	161	262.383	260	411
shared	wf	0	3	33	4096	100740	4	256	100.430	90	170	234.250	230	581
shared	wf	2	3	33	4096	100740	4	256	173.520	140	210	376.910	310	511
shared	wf	4	3	33	4096	100740	4	256	100.852	90	271	233.516	230	421
weak	wf	0	3	33	65536	100740	4	256	101.367	100	191	248.543	240	431
recovered	wf	0	3	33	65536	100740	4	256	181.438	140	240	433.184	361	621
recovered	wf	2	3	33	65536	100740	4	256	100.812	100	170	261.832	260	421
recovered	wf	4	3	33	65536	100740	4	256	100.980	100	201	265.348	260	551
shared	wf	0	3	33	65536	100740	4	256	100.363	90	160	234.840	230	401
shared	wf	2	3	33	65536	100740	4	256	100.430	90	180	231.676	230	400
shared	wf	4	3	33	65536	100740	4	256	178.348	140	270	388.125	310	600
weak	direct	0	3	33	65536	100740	4	256	150.305	120	271	275.516	230	420
weak	lanes4	0	3	33	65536	100740	4	256	48.230	40	110	123.578	120	241
weak	lanes8	0	3	33	65536	100740	4	256	41.652	40	80	132.176	130	220
weak	lanes16	0	3	33	65536	100740	4	256	39.234	30	80	114.855	110	230
weak	wf	0	3	33	257	100740	4	256	102.301	100	190	251.047	240	441
weak	lanes8	0	3	4097	65536	108659	0	256	1688.734	1352	4908	3560.461	3034	10496
weak	lanes16	0	3	4097	65536	108659	0	256	1507.457	1051	16034	3367.438	2704	17907
weak	wf	0	3	4097	257	108659	0	256	10354.016	9714	32399	34031.938	32188	55883
recovered	wf	0	3	4097	257	108659	0	256	13333.012	9754	34862	41392.117	33961	80359
recovered	wf	2	3	4097	257	108659	0	256	10007.578	9605	23836	53656.039	49734	84095
recovered	wf	4	3	4097	257	108659	0	256	10581.527	7671	528992	56442.000	49654	555652
shared	wf	0	3	4097	257	108659	0	256	19097.398	16915	35723	61483.551	53580	89152
shared	wf	2	3	4097	257	108659	0	256	17001.773	10155	41612	58579.938	48723	93269
shared	wf	4	3	4097	257	108659	0	256	16619.922	9379	112392	59856.668	32098	168891
weak	wf	0	3	4097	4096	108659	0	256	11546.375	8342	499944	26073.871	20731	516899
recovered	wf	0	3	4097	4096	108659	0	256	8609.707	8363	24767	23642.684	22864	88631
recovered	wf	2	3	4097	4096	108659	0	256	9305.512	8442	56844	32474.633	23175	80340
recovered	wf	4	3	4097	4096	108659	0	256	8858.383	8462	41552	32829.996	31256	129062
shared	wf	0	3	4097	4096	108659	0	256	10691.582	8332	162281	23423.312	19268	181460
