kind,capacity,load_eighths,variant,sample,queries,nanoseconds,checksum,backing_bytes
sample,256,2,tagged,0,393216,3430000,4004332875610147908,10240
sample,256,2,split,0,393216,3254000,4004332875610147908,8448
sample,256,2,split_check_each,0,393216,3298000,4004332875610147908,8448
sample,256,2,split_validate_batch,0,393216,3281000,4004332875610147908,8448
sample,256,2,split,1,393216,3116000,4004332875610147908,8448
sample,256,2,split_check_each,1,393216,3252000,4004332875610147908,8448
sample,256,2,split_validate_batch,1,393216,3250000,4004332875610147908,8448
sample,256,2,tagged,1,393216,3451000,4004332875610147908,10240
sample,256,2,split_check_each,2,393216,3341000,4004332875610147908,8448
sample,256,2,split_validate_batch,2,393216,3165000,4004332875610147908,8448
sample,256,2,tagged,2,393216,3355000,4004332875610147908,10240
sample,256,2,split,2,393216,3324000,4004332875610147908,8448
sample,256,2,split_validate_batch,3,393216,3157000,4004332875610147908,8448
sample,256,2,tagged,3,393216,3373000,4004332875610147908,10240
sample,256,2,split,3,393216,3224000,4004332875610147908,8448
sample,256,2,split_check_each,3,393216,3290000,4004332875610147908,8448
sample,256,2,tagged,4,393216,3510000,4004332875610147908,10240
sample,256,2,split,4,393216,3236000,4004332875610147908,8448
sample,256,2,split_check_each,4,393216,3248000,4004332875610147908,8448
sample,256,2,split_validate_batch,4,393216,3232000,4004332875610147908,8448
sample,256,2,split,5,393216,3293000,4004332875610147908,8448
sample,256,2,split_check_each,5,393216,3321000,4004332875610147908,8448
sample,256,2,split_validate_batch,5,393216,3170000,4004332875610147908,8448
sample,256,2,tagged,5,393216,3500000,4004332875610147908,10240
sample,256,2,split_check_each,6,393216,3264000,4004332875610147908,8448
sample,256,2,split_validate_batch,6,393216,3133000,4004332875610147908,8448
sample,256,2,tagged,6,393216,3446000,4004332875610147908,10240
sample,256,2,split,6,393216,3253000,4004332875610147908,8448
sample,256,7,tagged,0,393216,7353000,535003103478764976,10240
sample,256,7,split,0,393216,7104000,535003103478764976,8448
