kind,capacity,load_eighths,variant,sample,queries,nanoseconds,checksum,reported_capacity
sample,256,2,rust_standard,0,393216,3031750,4004332875610147908,224
sample,256,2,rust_standard,1,393216,3026875,4004332875610147908,224
sample,256,2,rust_standard,2,393216,3093375,4004332875610147908,224
sample,256,2,rust_standard,3,393216,3087000,4004332875610147908,224
sample,256,2,rust_standard,4,393216,3078166,4004332875610147908,224
sample,256,2,rust_standard,5,393216,3141750,4004332875610147908,224
sample,256,2,rust_standard,6,393216,3129875,4004332875610147908,224
sample,256,7,rust_standard,0,393216,5913042,535003103478764976,224
sample,256,7,rust_standard,1,393216,5756750,535003103478764976,224
sample,256,7,rust_standard,2,393216,5634916,535003103478764976,224
sample,256,7,rust_standard,3,393216,5571916,535003103478764976,224
sample,256,7,rust_standard,4,393216,5947125,535003103478764976,224
sample,256,7,rust_standard,5,393216,5477333,535003103478764976,224
sample,256,7,rust_standard,6,393216,5522417,535003103478764976,224
sample,65536,2,rust_standard,0,393216,3271292,18303152891940532880,57344
sample,65536,2,rust_standard,1,393216,3226625,18303152891940532880,57344
sample,65536,2,rust_standard,2,393216,3175208,18303152891940532880,57344
sample,65536,2,rust_standard,3,393216,3144291,18303152891940532880,57344
sample,65536,2,rust_standard,4,393216,3630125,18303152891940532880,57344
sample,65536,2,rust_standard,5,393216,3482875,18303152891940532880,57344
sample,65536,2,rust_standard,6,393216,3271791,18303152891940532880,57344
sample,65536,7,rust_standard,0,393216,6351500,15870448984799080076,57344
sample,65536,7,rust_standard,1,393216,6368833,15870448984799080076,57344
sample,65536,7,rust_standard,2,393216,6514500,15870448984799080076,57344
sample,65536,7,rust_standard,3,393216,6407375,15870448984799080076,57344
sample,65536,7,rust_standard,4,393216,6315000,15870448984799080076,57344
sample,65536,7,rust_standard,5,393216,6216667,15870448984799080076,57344
sample,65536,7,rust_standard,6,393216,6315209,15870448984799080076,57344
