cohort,implementation,contract,variant,operation,capacity,sample,repetitions,operations,elapsed_ns,checksum,digest,requests,peak_bytes
0,owning-growth,retained,whitefoot,lookup,256,0,64,262144,772588,15406439159171514368,7835046105847459488,8256,13312
0,owning-growth,retained,interleaved,lookup,256,0,64,262144,728081,15406439159171514368,7835046105847459488,8256,11264
0,owning-growth,retained,split,lookup,256,0,64,262144,729790,15406439159171514368,7835046105847459488,8256,9472
0,owning-growth,retained,whitefoot,lookup,256,1,64,262144,773790,15406439159171514368,12636395056238259104,8256,13312
0,owning-growth,retained,interleaved,lookup,256,1,64,262144,728213,15406439159171514368,12636395056238259104,8256,11264
0,owning-growth,retained,split,lookup,256,1,64,262144,729375,15406439159171514368,12636395056238259104,8256,9472
0,owning-growth,retained,whitefoot,lookup,256,2,64,262144,778585,15406439159171514368,5108038417128779696,8256,13312
0,owning-growth,retained,interleaved,lookup,256,2,64,262144,735499,15406439159171514368,5108038417128779696,8256,11264
0,owning-growth,retained,split,lookup,256,2,64,262144,730794,15406439159171514368,5108038417128779696,8256,9472
0,owning-growth,retained,whitefoot,lookup,256,3,64,262144,777706,15406439159171514368,16848939090334181552,8256,13312
0,owning-growth,retained,interleaved,lookup,256,3,64,262144,753708,15406439159171514368,16848939090334181552,8256,11264
0,owning-growth,retained,split,lookup,256,3,64,262144,748331,15406439159171514368,16848939090334181552,8256,9472
0,owning-growth,retained,whitefoot,lookup,256,4,64,262144,776328,15406439159171514368,16286268131356312368,8256,13312
0,owning-growth,retained,interleaved,lookup,256,4,64,262144,731083,15406439159171514368,16286268131356312368,8256,11264
0,owning-growth,retained,split,lookup,256,4,64,262144,736750,15406439159171514368,16286268131356312368,8256,9472
0,owning-growth,retained,whitefoot,lookup,256,5,64,262144,772913,15406439159171514368,9120727054633088000,8256,13312
0,owning-growth,retained,interleaved,lookup,256,5,64,262144,730709,15406439159171514368,9120727054633088000,8256,11264
0,owning-growth,retained,split,lookup,256,5,64,262144,731753,15406439159171514368,9120727054633088000,8256,9472
0,owning-growth,retained,whitefoot,lookup,256,6,64,262144,776751,15406439159171514368,5762771361541884512,8256,13312
0,owning-growth,retained,interleaved,lookup,256,6,64,262144,727750,15406439159171514368,5762771361541884512,8256,11264
0,owning-growth,retained,split,lookup,256,6,64,262144,737255,15406439159171514368,5762771361541884512,8256,9472
0,owning-growth,retained,whitefoot,lookup,256,7,64,262144,775287,15406439159171514368,1624341757828425648,8256,13312
