cohort,contract,variant,rounds,sample,calls,elapsed_ns,checksum
0,normal,whitefoot,1,0,4096,2078000,8241301767429094575
0,normal,c_heap,1,0,4096,2043000,8241301767429094575
0,normal,c_heap,1,1,4096,1963000,8241301767429094575
0,normal,whitefoot,1,1,4096,1981000,8241301767429094575
0,normal,whitefoot,1,2,4096,1786000,8241301767429094575
0,normal,c_heap,1,2,4096,1792000,8241301767429094575
0,normal,c_heap,1,3,4096,1744000,8241301767429094575
0,normal,whitefoot,1,3,4096,1794000,8241301767429094575
0,normal,whitefoot,1,4,4096,1608000,8241301767429094575
0,normal,c_heap,1,4,4096,1613000,8241301767429094575
0,normal,c_heap,1,5,4096,1569000,8241301767429094575
0,normal,whitefoot,1,5,4096,1654000,8241301767429094575
0,normal,whitefoot,1,6,4096,1506000,8241301767429094575
0,normal,c_heap,1,6,4096,1477000,8241301767429094575
0,normal,whitefoot,16,0,4096,21674000,7666817075468251504
0,normal,c_heap,16,0,4096,18718000,7666817075468251504
0,normal,c_heap,16,1,4096,17517000,7666817075468251504
0,normal,whitefoot,16,1,4096,18224000,7666817075468251504
0,normal,whitefoot,16,2,4096,17970000,7666817075468251504
0,normal,c_heap,16,2,4096,17708000,7666817075468251504
0,normal,c_heap,16,3,4096,17568000,7666817075468251504
0,normal,whitefoot,16,3,4096,18223000,7666817075468251504
0,normal,whitefoot,16,4,4096,17948000,7666817075468251504
0,normal,c_heap,16,4,4096,17680000,7666817075468251504
0,normal,c_heap,16,5,4096,17829000,7666817075468251504
0,normal,whitefoot,16,5,4096,18278000,7666817075468251504
0,normal,whitefoot,16,6,4096,18288000,7666817075468251504
0,normal,c_heap,16,6,4096,17547000,7666817075468251504
0,retained,whitefoot,1,0,4096,1208000,8241301767429094575
0,retained,c_heap_boundary,1,0,4096,1106000,8241301767429094575
0,retained,c_heap_boundary,1,1,4096,1091000,8241301767429094575
0,retained,whitefoot,1,1,4096,1150000,8241301767429094575
0,retained,whitefoot,1,2,4096,1115000,8241301767429094575
0,retained,c_heap_boundary,1,2,4096,1107000,8241301767429094575
0,retained,c_heap_boundary,1,3,4096,1098000,8241301767429094575
0,retained,whitefoot,1,3,4096,1128000,8241301767429094575
0,retained,whitefoot,1,4,4096,1232000,8241301767429094575
0,retained,c_heap_boundary,1,4,4096,1103000,8241301767429094575
0,retained,c_heap_boundary,1,5,4096,1100000,8241301767429094575
0,retained,whitefoot,1,5,4096,1128000,8241301767429094575
0,retained,whitefoot,1,6,4096,1119000,8241301767429094575
0,retained,c_heap_boundary,1,6,4096,1104000,8241301767429094575
0,retained,whitefoot,16,0,4096,18023000,7666817075468251504
0,retained,c_heap_boundary,16,0,4096,17559000,7666817075468251504
0,retained,c_heap_boundary,16,1,4096,17781000,7666817075468251504
0,retained,whitefoot,16,1,4096,17984000,7666817075468251504
0,retained,whitefoot,16,2,4096,18162000,7666817075468251504
0,retained,c_heap_boundary,16,2,4096,17699000,7666817075468251504
0,retained,c_heap_boundary,16,3,4096,17686000,7666817075468251504
0,retained,whitefoot,16,3,4096,18560000,7666817075468251504
0,retained,whitefoot,16,4,4096,18130000,7666817075468251504
0,retained,c_heap_boundary,16,4,4096,17852000,7666817075468251504
0,retained,c_heap_boundary,16,5,4096,17565000,7666817075468251504
0,retained,whitefoot,16,5,4096,18084000,7666817075468251504
0,retained,whitefoot,16,6,4096,17992000,7666817075468251504
0,retained,c_heap_boundary,16,6,4096,17554000,7666817075468251504
0,borrowed,whitefoot,1,0,4096,1258000,8241301767429094575
0,borrowed,c_heap_boundary,1,0,4096,1746000,8241301767429094575
0,borrowed,c_heap_boundary,1,1,4096,1101000,8241301767429094575
0,borrowed,whitefoot,1,1,4096,1102000,8241301767429094575
0,borrowed,whitefoot,1,2,4096,1078000,8241301767429094575
0,borrowed,c_heap_boundary,1,2,4096,1147000,8241301767429094575
0,borrowed,c_heap_boundary,1,3,4096,1138000,8241301767429094575
0,borrowed,whitefoot,1,3,4096,1139000,8241301767429094575
0,borrowed,whitefoot,1,4,4096,1085000,8241301767429094575
0,borrowed,c_heap_boundary,1,4,4096,1100000,8241301767429094575
0,borrowed,c_heap_boundary,1,5,4096,1085000,8241301767429094575
0,borrowed,whitefoot,1,5,4096,1092000,8241301767429094575
0,borrowed,whitefoot,1,6,4096,1077000,8241301767429094575
0,borrowed,c_heap_boundary,1,6,4096,1107000,8241301767429094575
0,borrowed,whitefoot,16,0,4096,17433000,7666817075468251504
0,borrowed,c_heap_boundary,16,0,4096,17599000,7666817075468251504
0,borrowed,c_heap_boundary,16,1,4096,17567000,7666817075468251504
0,borrowed,whitefoot,16,1,4096,17396000,7666817075468251504
0,borrowed,whitefoot,16,2,4096,17575000,7666817075468251504
0,borrowed,c_heap_boundary,16,2,4096,17647000,7666817075468251504
0,borrowed,c_heap_boundary,16,3,4096,17732000,7666817075468251504
0,borrowed,whitefoot,16,3,4096,17524000,7666817075468251504
0,borrowed,whitefoot,16,4,4096,18152000,7666817075468251504
0,borrowed,c_heap_boundary,16,4,4096,17568000,7666817075468251504
0,borrowed,c_heap_boundary,16,5,4096,17507000,7666817075468251504
0,borrowed,whitefoot,16,5,4096,17570000,7666817075468251504
0,borrowed,whitefoot,16,6,4096,17549000,7666817075468251504
0,borrowed,c_heap_boundary,16,6,4096,17819000,7666817075468251504
0,behavior,whitefoot,1,0,4096,1760000,8241301767429094575
0,behavior,c_heap_boundary,1,0,4096,1105000,8241301767429094575
0,behavior,c_heap_boundary,1,1,4096,1111000,8241301767429094575
0,behavior,whitefoot,1,1,4096,1729000,8241301767429094575
0,behavior,whitefoot,1,2,4096,1726000,8241301767429094575
0,behavior,c_heap_boundary,1,2,4096,1105000,8241301767429094575
0,behavior,c_heap_boundary,1,3,4096,1100000,8241301767429094575
0,behavior,whitefoot,1,3,4096,1747000,8241301767429094575
0,behavior,whitefoot,1,4,4096,1720000,8241301767429094575
0,behavior,c_heap_boundary,1,4,4096,1099000,8241301767429094575
0,behavior,c_heap_boundary,1,5,4096,1095000,8241301767429094575
0,behavior,whitefoot,1,5,4096,1726000,8241301767429094575
0,behavior,whitefoot,1,6,4096,1719000,8241301767429094575
0,behavior,c_heap_boundary,1,6,4096,1101000,8241301767429094575
0,behavior,whitefoot,16,0,4096,27894000,7666817075468251504
0,behavior,c_heap_boundary,16,0,4096,17598000,7666817075468251504
