cohort,implementation,contract,variant,operation,capacity,sample,repetitions,operations,elapsed_ns,checksum,digest,requests,peak_bytes
0,owning-growth,retained,whitefoot,lookup,256,0,64,262144,804127,15406439159171514368,7835046105847459488,8256,13312
0,owning-growth,retained,interleaved,lookup,256,0,64,262144,759205,15406439159171514368,7835046105847459488,8256,11264
0,owning-growth,retained,split,lookup,256,0,64,262144,762583,15406439159171514368,7835046105847459488,8256,9472
0,owning-growth,retained,whitefoot,lookup,256,1,64,262144,804213,15406439159171514368,12636395056238259104,8256,13312
0,owning-growth,retained,interleaved,lookup,256,1,64,262144,758535,15406439159171514368,12636395056238259104,8256,11264
0,owning-growth,retained,split,lookup,256,1,64,262144,763037,15406439159171514368,12636395056238259104,8256,9472
0,owning-growth,retained,whitefoot,lookup,256,2,64,262144,803711,15406439159171514368,5108038417128779696,8256,13312
0,owning-growth,retained,interleaved,lookup,256,2,64,262144,761332,15406439159171514368,5108038417128779696,8256,11264
0,owning-growth,retained,split,lookup,256,2,64,262144,761878,15406439159171514368,5108038417128779696,8256,9472
0,owning-growth,retained,whitefoot,lookup,256,3,64,262144,808881,15406439159171514368,16848939090334181552,8256,13312
0,owning-growth,retained,interleaved,lookup,256,3,64,262144,759915,15406439159171514368,16848939090334181552,8256,11264
0,owning-growth,retained,split,lookup,256,3,64,262144,762703,15406439159171514368,16848939090334181552,8256,9472
0,owning-growth,retained,whitefoot,lookup,256,4,64,262144,807664,15406439159171514368,16286268131356312368,8256,13312
0,owning-growth,retained,interleaved,lookup,256,4,64,262144,759876,15406439159171514368,16286268131356312368,8256,11264
0,owning-growth,retained,split,lookup,256,4,64,262144,762501,15406439159171514368,16286268131356312368,8256,9472
0,owning-growth,retained,whitefoot,lookup,256,5,64,262144,803705,15406439159171514368,9120727054633088000,8256,13312
0,owning-growth,retained,interleaved,lookup,256,5,64,262144,754834,15406439159171514368,9120727054633088000,8256,11264
0,owning-growth,retained,split,lookup,256,5,64,262144,761332,15406439159171514368,9120727054633088000,8256,9472
0,owning-growth,retained,whitefoot,lookup,256,6,64,262144,801957,15406439159171514368,5762771361541884512,8256,13312
0,owning-growth,retained,interleaved,lookup,256,6,64,262144,758502,15406439159171514368,5762771361541884512,8256,11264
0,owning-growth,retained,split,lookup,256,6,64,262144,758546,15406439159171514368,5762771361541884512,8256,9472
0,owning-growth,retained,whitefoot,lookup,256,7,64,262144,804705,15406439159171514368,1624341757828425648,8256,13312
0,owning-growth,retained,interleaved,lookup,256,7,64,262144,749960,15406439159171514368,1624341757828425648,8256,11264
0,owning-growth,retained,split,lookup,256,7,64,262144,751376,15406439159171514368,1624341757828425648,8256,9472
0,owning-growth,retained,whitefoot,lookup,256,8,64,262144,795961,15406439159171514368,12269272641764206400,8256,13312
0,owning-growth,retained,interleaved,lookup,256,8,64,262144,750996,15406439159171514368,12269272641764206400,8256,11264
0,owning-growth,retained,split,lookup,256,8,64,262144,751627,15406439159171514368,12269272641764206400,8256,9472
0,owning-growth,retained,whitefoot,lookup,256,9,64,262144,796376,15406439159171514368,5992509345126799584,8256,13312
0,owning-growth,retained,interleaved,lookup,256,9,64,262144,751667,15406439159171514368,5992509345126799584,8256,11264
0,owning-growth,retained,split,lookup,256,9,64,262144,757838,15406439159171514368,5992509345126799584,8256,9472
0,owning-growth,retained,whitefoot,lookup,256,10,64,262144,798877,15406439159171514368,18073023074693822304,8256,13312
0,owning-growth,retained,interleaved,lookup,256,10,64,262144,777624,15406439159171514368,18073023074693822304,8256,11264
0,owning-growth,retained,split,lookup,256,10,64,262144,756416,15406439159171514368,18073023074693822304,8256,9472
0,owning-growth,retained,whitefoot,lookup,256,11,64,262144,839791,15406439159171514368,4901604239908314144,8256,13312
0,owning-growth,retained,interleaved,lookup,256,11,64,262144,765127,15406439159171514368,4901604239908314144,8256,11264
0,owning-growth,retained,split,lookup,256,11,64,262144,754001,15406439159171514368,4901604239908314144,8256,9472
0,owning-growth,retained,whitefoot,lookup,256,12,64,262144,795004,15406439159171514368,4218347057476397696,8256,13312
