cohort,contract,variant,rounds,sample,calls,elapsed_ns,checksum
0,normal,whitefoot,1,0,4096,1132000,8241301767429094575
0,normal,c_heap,1,0,4096,1102000,8241301767429094575
0,normal,c_heap,1,1,4096,1088000,8241301767429094575
0,normal,whitefoot,1,1,4096,1160000,8241301767429094575
0,normal,whitefoot,1,2,4096,1103000,8241301767429094575
0,normal,c_heap,1,2,4096,1096000,8241301767429094575
0,normal,c_heap,1,3,4096,1095000,8241301767429094575
0,normal,whitefoot,1,3,4096,1173000,8241301767429094575
0,normal,whitefoot,1,4,4096,1150000,8241301767429094575
0,normal,c_heap,1,4,4096,1166000,8241301767429094575
0,normal,c_heap,1,5,4096,1167000,8241301767429094575
0,normal,whitefoot,1,5,4096,1137000,8241301767429094575
0,normal,whitefoot,1,6,4096,1132000,8241301767429094575
0,normal,c_heap,1,6,4096,1117000,8241301767429094575
0,normal,whitefoot,16,0,4096,17959000,7666817075468251504
0,normal,c_heap,16,0,4096,17653000,7666817075468251504
0,normal,c_heap,16,1,4096,17499000,7666817075468251504
0,normal,whitefoot,16,1,4096,18476000,7666817075468251504
0,normal,whitefoot,16,2,4096,18151000,7666817075468251504
0,normal,c_heap,16,2,4096,17553000,7666817075468251504
0,normal,c_heap,16,3,4096,17441000,7666817075468251504
0,normal,whitefoot,16,3,4096,17906000,7666817075468251504
0,normal,whitefoot,16,4,4096,17831000,7666817075468251504
0,normal,c_heap,16,4,4096,17503000,7666817075468251504
0,normal,c_heap,16,5,4096,17480000,7666817075468251504
0,normal,whitefoot,16,5,4096,17912000,7666817075468251504
0,normal,whitefoot,16,6,4096,17883000,7666817075468251504
0,normal,c_heap,16,6,4096,17521000,7666817075468251504
0,retained,whitefoot,1,0,4096,1126000,8241301767429094575
0,retained,c_heap_boundary,1,0,4096,1105000,8241301767429094575
0,retained,c_heap_boundary,1,1,4096,1095000,8241301767429094575
0,retained,whitefoot,1,1,4096,1122000,8241301767429094575
0,retained,whitefoot,1,2,4096,1118000,8241301767429094575
0,retained,c_heap_boundary,1,2,4096,1100000,8241301767429094575
0,retained,c_heap_boundary,1,3,4096,1095000,8241301767429094575
0,retained,whitefoot,1,3,4096,1126000,8241301767429094575
0,retained,whitefoot,1,4,4096,1112000,8241301767429094575
0,retained,c_heap_boundary,1,4,4096,1103000,8241301767429094575
0,retained,c_heap_boundary,1,5,4096,1091000,8241301767429094575
0,retained,whitefoot,1,5,4096,1128000,8241301767429094575
0,retained,whitefoot,1,6,4096,1115000,8241301767429094575
0,retained,c_heap_boundary,1,6,4096,1102000,8241301767429094575
0,retained,whitefoot,16,0,4096,17829000,7666817075468251504
0,retained,c_heap_boundary,16,0,4096,17472000,7666817075468251504
0,retained,c_heap_boundary,16,1,4096,17599000,7666817075468251504
0,retained,whitefoot,16,1,4096,17846000,7666817075468251504
0,retained,whitefoot,16,2,4096,17980000,7666817075468251504
0,retained,c_heap_boundary,16,2,4096,17623000,7666817075468251504
0,retained,c_heap_boundary,16,3,4096,17659000,7666817075468251504
0,retained,whitefoot,16,3,4096,17896000,7666817075468251504
0,retained,whitefoot,16,4,4096,17800000,7666817075468251504
0,retained,c_heap_boundary,16,4,4096,17478000,7666817075468251504
0,retained,c_heap_boundary,16,5,4096,17478000,7666817075468251504
0,retained,whitefoot,16,5,4096,18197000,7666817075468251504
0,retained,whitefoot,16,6,4096,17850000,7666817075468251504
0,retained,c_heap_boundary,16,6,4096,17709000,7666817075468251504
0,borrowed,whitefoot,1,0,4096,1091000,8241301767429094575
0,borrowed,c_heap_boundary,1,0,4096,1102000,8241301767429094575
0,borrowed,c_heap_boundary,1,1,4096,1096000,8241301767429094575
0,borrowed,whitefoot,1,1,4096,1088000,8241301767429094575
0,borrowed,whitefoot,1,2,4096,1077000,8241301767429094575
0,borrowed,c_heap_boundary,1,2,4096,1100000,8241301767429094575
0,borrowed,c_heap_boundary,1,3,4096,1094000,8241301767429094575
0,borrowed,whitefoot,1,3,4096,1090000,8241301767429094575
0,borrowed,whitefoot,1,4,4096,1072000,8241301767429094575
0,borrowed,c_heap_boundary,1,4,4096,1099000,8241301767429094575
0,borrowed,c_heap_boundary,1,5,4096,1087000,8241301767429094575
0,borrowed,whitefoot,1,5,4096,1088000,8241301767429094575
0,borrowed,whitefoot,1,6,4096,1072000,8241301767429094575
0,borrowed,c_heap_boundary,1,6,4096,1102000,8241301767429094575
0,borrowed,whitefoot,16,0,4096,17532000,7666817075468251504
0,borrowed,c_heap_boundary,16,0,4096,17663000,7666817075468251504
0,borrowed,c_heap_boundary,16,1,4096,17471000,7666817075468251504
0,borrowed,whitefoot,16,1,4096,17287000,7666817075468251504
0,borrowed,whitefoot,16,2,4096,17334000,7666817075468251504
0,borrowed,c_heap_boundary,16,2,4096,17449000,7666817075468251504
0,borrowed,c_heap_boundary,16,3,4096,17462000,7666817075468251504
0,borrowed,whitefoot,16,3,4096,17296000,7666817075468251504
0,borrowed,whitefoot,16,4,4096,17307000,7666817075468251504
0,borrowed,c_heap_boundary,16,4,4096,17682000,7666817075468251504
0,borrowed,c_heap_boundary,16,5,4096,17618000,7666817075468251504
0,borrowed,whitefoot,16,5,4096,17427000,7666817075468251504
0,borrowed,whitefoot,16,6,4096,17529000,7666817075468251504
0,borrowed,c_heap_boundary,16,6,4096,17543000,7666817075468251504
0,behavior,whitefoot,1,0,4096,1740000,8241301767429094575
0,behavior,c_heap_boundary,1,0,4096,1101000,8241301767429094575
0,behavior,c_heap_boundary,1,1,4096,1089000,8241301767429094575
0,behavior,whitefoot,1,1,4096,1717000,8241301767429094575
0,behavior,whitefoot,1,2,4096,1722000,8241301767429094575
0,behavior,c_heap_boundary,1,2,4096,1098000,8241301767429094575
0,behavior,c_heap_boundary,1,3,4096,1096000,8241301767429094575
0,behavior,whitefoot,1,3,4096,1742000,8241301767429094575
0,behavior,whitefoot,1,4,4096,1739000,8241301767429094575
0,behavior,c_heap_boundary,1,4,4096,1102000,8241301767429094575
0,behavior,c_heap_boundary,1,5,4096,1091000,8241301767429094575
0,behavior,whitefoot,1,5,4096,1738000,8241301767429094575
0,behavior,whitefoot,1,6,4096,1740000,8241301767429094575
0,behavior,c_heap_boundary,1,6,4096,1099000,8241301767429094575
0,behavior,whitefoot,16,0,4096,27762000,7666817075468251504
0,behavior,c_heap_boundary,16,0,4096,17517000,7666817075468251504
0,behavior,c_heap_boundary,16,1,4096,17559000,7666817075468251504
0,behavior,whitefoot,16,1,4096,27932000,7666817075468251504
0,behavior,whitefoot,16,2,4096,27693000,7666817075468251504
0,behavior,c_heap_boundary,16,2,4096,17572000,7666817075468251504
0,behavior,c_heap_boundary,16,3,4096,17682000,7666817075468251504
0,behavior,whitefoot,16,3,4096,28381000,7666817075468251504
