variant,initial,count,sample,iterations,elapsed_ns,checksum,inplace_reallocs
whitefoot,16,32,0,65536,6198000,10759138741007220736,0
c_loop,16,32,0,65536,5172000,10759138741007220736,0
c_bulk,16,32,0,65536,5160000,10759138741007220736,0
c_realloc,16,32,0,65536,6266000,10759138741007220736,0
c_loop,16,32,1,65536,5107000,10759138741007220736,0
c_bulk,16,32,1,65536,5106000,10759138741007220736,0
c_realloc,16,32,1,65536,6314000,10759138741007220736,0
whitefoot,16,32,1,65536,6096000,10759138741007220736,0
c_bulk,16,32,2,65536,5161000,10759138741007220736,0
c_realloc,16,32,2,65536,6305000,10759138741007220736,0
whitefoot,16,32,2,65536,6121000,10759138741007220736,0
c_loop,16,32,2,65536,5133000,10759138741007220736,0
c_realloc,16,32,3,65536,6349000,10759138741007220736,0
whitefoot,16,32,3,65536,6190000,10759138741007220736,0
c_loop,16,32,3,65536,5196000,10759138741007220736,0
c_bulk,16,32,3,65536,5145000,10759138741007220736,0
whitefoot,16,32,4,65536,6126000,10759138741007220736,0
c_loop,16,32,4,65536,5178000,10759138741007220736,0
c_bulk,16,32,4,65536,5312000,10759138741007220736,0
c_realloc,16,32,4,65536,6390000,10759138741007220736,0
c_loop,16,32,5,65536,5208000,10759138741007220736,0
c_bulk,16,32,5,65536,5245000,10759138741007220736,0
c_realloc,16,32,5,65536,6397000,10759138741007220736,0
whitefoot,16,32,5,65536,6182000,10759138741007220736,0
c_bulk,16,32,6,65536,5214000,10759138741007220736,0
c_realloc,16,32,6,65536,6376000,10759138741007220736,0
whitefoot,16,32,6,65536,6109000,10759138741007220736,0
c_loop,16,32,6,65536,5326000,10759138741007220736,0
whitefoot,4096,8192,0,1024,22489000,10421745176945886208,0
c_loop,4096,8192,0,1024,16285000,10421745176945886208,0
c_bulk,4096,8192,0,1024,16290000,10421745176945886208,0
c_realloc,4096,8192,0,1024,16278000,10421745176945886208,0
c_loop,4096,8192,1,1024,16289000,10421745176945886208,0
c_bulk,4096,8192,1,1024,16127000,10421745176945886208,0
c_realloc,4096,8192,1,1024,16296000,10421745176945886208,0
whitefoot,4096,8192,1,1024,17299000,10421745176945886208,0
c_bulk,4096,8192,2,1024,16068000,10421745176945886208,0
c_realloc,4096,8192,2,1024,16374000,10421745176945886208,0
whitefoot,4096,8192,2,1024,19024000,10421745176945886208,0
c_loop,4096,8192,2,1024,16318000,10421745176945886208,0
c_realloc,4096,8192,3,1024,16254000,10421745176945886208,0
whitefoot,4096,8192,3,1024,17370000,10421745176945886208,0
c_loop,4096,8192,3,1024,16383000,10421745176945886208,0
c_bulk,4096,8192,3,1024,16307000,10421745176945886208,0
whitefoot,4096,8192,4,1024,17191000,10421745176945886208,0
c_loop,4096,8192,4,1024,16582000,10421745176945886208,0
c_bulk,4096,8192,4,1024,16437000,10421745176945886208,0
c_realloc,4096,8192,4,1024,16373000,10421745176945886208,0
c_loop,4096,8192,5,1024,16237000,10421745176945886208,0
c_bulk,4096,8192,5,1024,16170000,10421745176945886208,0
c_realloc,4096,8192,5,1024,16393000,10421745176945886208,0
whitefoot,4096,8192,5,1024,17384000,10421745176945886208,0
c_bulk,4096,8192,6,1024,16157000,10421745176945886208,0
c_realloc,4096,8192,6,1024,16342000,10421745176945886208,0
whitefoot,4096,8192,6,1024,17374000,10421745176945886208,0
c_loop,4096,8192,6,1024,16182000,10421745176945886208,0
whitefoot,524288,1048576,0,8,17247000,14738153940617003016,0
c_loop,524288,1048576,0,8,16767000,14738153940617003016,0
c_bulk,524288,1048576,0,8,16782000,14738153940617003016,0
c_realloc,524288,1048576,0,8,16508000,14738153940617003016,8
c_loop,524288,1048576,1,8,16950000,14738153940617003016,0
c_bulk,524288,1048576,1,8,16760000,14738153940617003016,0
c_realloc,524288,1048576,1,8,16422000,14738153940617003016,8
whitefoot,524288,1048576,1,8,17496000,14738153940617003016,0
c_bulk,524288,1048576,2,8,16859000,14738153940617003016,0
c_realloc,524288,1048576,2,8,17200000,14738153940617003016,8
whitefoot,524288,1048576,2,8,17204000,14738153940617003016,0
c_loop,524288,1048576,2,8,16858000,14738153940617003016,0
c_realloc,524288,1048576,3,8,15965000,14738153940617003016,8
whitefoot,524288,1048576,3,8,17874000,14738153940617003016,0
c_loop,524288,1048576,3,8,16127000,14738153940617003016,0
c_bulk,524288,1048576,3,8,16200000,14738153940617003016,0
whitefoot,524288,1048576,4,8,17233000,14738153940617003016,0
c_loop,524288,1048576,4,8,16310000,14738153940617003016,0
c_bulk,524288,1048576,4,8,16362000,14738153940617003016,0
c_realloc,524288,1048576,4,8,16383000,14738153940617003016,8
c_loop,524288,1048576,5,8,16552000,14738153940617003016,0
c_bulk,524288,1048576,5,8,16748000,14738153940617003016,0
c_realloc,524288,1048576,5,8,16342000,14738153940617003016,8
whitefoot,524288,1048576,5,8,17399000,14738153940617003016,0
c_bulk,524288,1048576,6,8,16237000,14738153940617003016,0
c_realloc,524288,1048576,6,8,16227000,14738153940617003016,8
whitefoot,524288,1048576,6,8,17220000,14738153940617003016,0
c_loop,524288,1048576,6,8,16354000,14738153940617003016,0
