cohort,contract,variant,operation,capacity,sample,repetitions,operations,elapsed_ns,checksum,digest,requests,peak_bytes
0,normal,whitefoot,lookup,256,0,64,262144,685543,15406439159171514368,7835046105847459488,8256,13312
0,normal,interleaved,lookup,256,0,64,262144,750623,15406439159171514368,7835046105847459488,8256,11264
0,normal,split,lookup,256,0,64,262144,751413,15406439159171514368,7835046105847459488,8256,9472
0,normal,whitefoot,lookup,256,1,64,262144,683379,15406439159171514368,12636395056238259104,8256,13312
0,normal,interleaved,lookup,256,1,64,262144,750840,15406439159171514368,12636395056238259104,8256,11264
0,normal,split,lookup,256,1,64,262144,754833,15406439159171514368,12636395056238259104,8256,9472
0,normal,whitefoot,lookup,256,2,64,262144,683740,15406439159171514368,5108038417128779696,8256,13312
0,normal,interleaved,lookup,256,2,64,262144,750252,15406439159171514368,5108038417128779696,8256,11264
0,normal,split,lookup,256,2,64,262144,752999,15406439159171514368,5108038417128779696,8256,9472
0,normal,whitefoot,lookup,256,3,64,262144,663751,15406439159171514368,16848939090334181552,8256,13312
0,normal,interleaved,lookup,256,3,64,262144,751248,15406439159171514368,16848939090334181552,8256,11264
0,normal,split,lookup,256,3,64,262144,803339,15406439159171514368,16848939090334181552,8256,9472
0,normal,whitefoot,lookup,256,4,64,262144,662543,15406439159171514368,16286268131356312368,8256,13312
0,normal,interleaved,lookup,256,4,64,262144,728913,15406439159171514368,16286268131356312368,8256,11264
0,normal,split,lookup,256,4,64,262144,730539,15406439159171514368,16286268131356312368,8256,9472
0,normal,whitefoot,lookup,256,5,64,262144,663334,15406439159171514368,9120727054633088000,8256,13312
0,normal,interleaved,lookup,256,5,64,262144,728833,15406439159171514368,9120727054633088000,8256,11264
0,normal,split,lookup,256,5,64,262144,730463,15406439159171514368,9120727054633088000,8256,9472
0,normal,whitefoot,lookup,256,6,64,262144,683588,15406439159171514368,5762771361541884512,8256,13312
0,normal,interleaved,lookup,256,6,64,262144,728584,15406439159171514368,5762771361541884512,8256,11264
0,normal,split,lookup,256,6,64,262144,778043,15406439159171514368,5762771361541884512,8256,9472
0,normal,whitefoot,lookup,256,7,64,262144,693502,15406439159171514368,1624341757828425648,8256,13312
0,normal,interleaved,lookup,256,7,64,262144,729044,15406439159171514368,1624341757828425648,8256,11264
0,normal,split,lookup,256,7,64,262144,761042,15406439159171514368,1624341757828425648,8256,9472
0,normal,whitefoot,lookup,256,8,64,262144,664086,15406439159171514368,12269272641764206400,8256,13312
0,normal,interleaved,lookup,256,8,64,262144,728042,15406439159171514368,12269272641764206400,8256,11264
0,normal,split,lookup,256,8,64,262144,729338,15406439159171514368,12269272641764206400,8256,9472
0,normal,whitefoot,lookup,256,9,64,262144,664792,15406439159171514368,5992509345126799584,8256,13312
0,normal,interleaved,lookup,256,9,64,262144,727956,15406439159171514368,5992509345126799584,8256,11264
0,normal,split,lookup,256,9,64,262144,732913,15406439159171514368,5992509345126799584,8256,9472
0,normal,whitefoot,lookup,256,10,64,262144,663002,15406439159171514368,18073023074693822304,8256,13312
0,normal,interleaved,lookup,256,10,64,262144,729962,15406439159171514368,18073023074693822304,8256,11264
0,normal,split,lookup,256,10,64,262144,729044,15406439159171514368,18073023074693822304,8256,9472
0,normal,whitefoot,lookup,256,11,64,262144,663459,15406439159171514368,4901604239908314144,8256,13312
0,normal,interleaved,lookup,256,11,64,262144,728914,15406439159171514368,4901604239908314144,8256,11264
0,normal,split,lookup,256,11,64,262144,729001,15406439159171514368,4901604239908314144,8256,9472
0,normal,whitefoot,lookup,256,12,64,262144,671961,15406439159171514368,4218347057476397696,8256,13312
0,normal,interleaved,lookup,256,12,64,262144,728084,15406439159171514368,4218347057476397696,8256,11264
0,normal,split,lookup,256,12,64,262144,731291,15406439159171514368,4218347057476397696,8256,9472
0,normal,whitefoot,lookup,256,13,64,262144,663583,15406439159171514368,5237384556868179408,8256,13312
0,normal,interleaved,lookup,256,13,64,262144,728622,15406439159171514368,5237384556868179408,8256,11264
0,normal,split,lookup,256,13,64,262144,730162,15406439159171514368,5237384556868179408,8256,9472
0,normal,whitefoot,insert,256,0,64,8192,27374,0,7835046105847459488,8256,13312
0,normal,interleaved,insert,256,0,64,8192,23206,0,7835046105847459488,8256,11264
0,normal,split,insert,256,0,64,8192,23415,0,7835046105847459488,8256,9472
0,normal,whitefoot,insert,256,1,64,8192,26877,0,12636395056238259104,8256,13312
0,normal,interleaved,insert,256,1,64,8192,23207,0,12636395056238259104,8256,11264
0,normal,split,insert,256,1,64,8192,23458,0,12636395056238259104,8256,9472
0,normal,whitefoot,insert,256,2,64,8192,27081,0,5108038417128779696,8256,13312
0,normal,interleaved,insert,256,2,64,8192,23335,0,5108038417128779696,8256,11264
0,normal,split,insert,256,2,64,8192,23251,0,5108038417128779696,8256,9472
0,normal,whitefoot,insert,256,3,64,8192,26879,0,16848939090334181552,8256,13312
0,normal,interleaved,insert,256,3,64,8192,23416,0,16848939090334181552,8256,11264
0,normal,split,insert,256,3,64,8192,22959,0,16848939090334181552,8256,9472
0,normal,whitefoot,insert,256,4,64,8192,27041,0,16286268131356312368,8256,13312
0,normal,interleaved,insert,256,4,64,8192,23375,0,16286268131356312368,8256,11264
0,normal,split,insert,256,4,64,8192,23167,0,16286268131356312368,8256,9472
0,normal,whitefoot,insert,256,5,64,8192,27001,0,9120727054633088000,8256,13312
0,normal,interleaved,insert,256,5,64,8192,23167,0,9120727054633088000,8256,11264
0,normal,split,insert,256,5,64,8192,23040,0,9120727054633088000,8256,9472
0,normal,whitefoot,insert,256,6,64,8192,27044,0,5762771361541884512,8256,13312
0,normal,interleaved,insert,256,6,64,8192,23540,0,5762771361541884512,8256,11264
0,normal,split,insert,256,6,64,8192,23251,0,5762771361541884512,8256,9472
0,normal,whitefoot,insert,256,7,64,8192,27081,0,1624341757828425648,8256,13312
0,normal,interleaved,insert,256,7,64,8192,23458,0,1624341757828425648,8256,11264
0,normal,split,insert,256,7,64,8192,23418,0,1624341757828425648,8256,9472
0,normal,whitefoot,insert,256,8,64,8192,27084,0,12269272641764206400,8256,13312
0,normal,interleaved,insert,256,8,64,8192,23420,0,12269272641764206400,8256,11264
0,normal,split,insert,256,8,64,8192,23581,0,12269272641764206400,8256,9472
0,normal,whitefoot,insert,256,9,64,8192,27120,0,5992509345126799584,8256,13312
0,normal,interleaved,insert,256,9,64,8192,23208,0,5992509345126799584,8256,11264
0,normal,split,insert,256,9,64,8192,23414,0,5992509345126799584,8256,9472
0,normal,whitefoot,insert,256,10,64,8192,27001,0,18073023074693822304,8256,13312
