control,cohort,variant,rounds,sample,calls,elapsed_ns,checksum
ordinary,0,whitefoot,1,0,4096,1170000,8241301767429094575
ordinary,0,c_heap,1,0,4096,1170000,8241301767429094575
ordinary,0,c_heap,1,1,4096,1202000,8241301767429094575
ordinary,0,whitefoot,1,1,4096,1129000,8241301767429094575
ordinary,0,whitefoot,1,2,4096,1109000,8241301767429094575
ordinary,0,c_heap,1,2,4096,1096000,8241301767429094575
ordinary,0,c_heap,1,3,4096,1084000,8241301767429094575
ordinary,0,whitefoot,1,3,4096,1077000,8241301767429094575
ordinary,0,whitefoot,1,4,4096,1089000,8241301767429094575
ordinary,0,c_heap,1,4,4096,1102000,8241301767429094575
ordinary,0,c_heap,1,5,4096,1095000,8241301767429094575
ordinary,0,whitefoot,1,5,4096,1092000,8241301767429094575
ordinary,0,whitefoot,1,6,4096,1076000,8241301767429094575
ordinary,0,c_heap,1,6,4096,1102000,8241301767429094575
ordinary,0,whitefoot,16,0,4096,17384000,7666817075468251504
ordinary,0,c_heap,16,0,4096,17534000,7666817075468251504
ordinary,0,c_heap,16,1,4096,17451000,7666817075468251504
ordinary,0,whitefoot,16,1,4096,17257000,7666817075468251504
ordinary,0,whitefoot,16,2,4096,17212000,7666817075468251504
ordinary,0,c_heap,16,2,4096,17488000,7666817075468251504
ordinary,0,c_heap,16,3,4096,17574000,7666817075468251504
ordinary,0,whitefoot,16,3,4096,17794000,7666817075468251504
ordinary,0,whitefoot,16,4,4096,17740000,7666817075468251504
ordinary,0,c_heap,16,4,4096,18049000,7666817075468251504
ordinary,0,c_heap,16,5,4096,17846000,7666817075468251504
ordinary,0,whitefoot,16,5,4096,17829000,7666817075468251504
ordinary,0,whitefoot,16,6,4096,17604000,7666817075468251504
ordinary,0,c_heap,16,6,4096,18162000,7666817075468251504
boundary,0,whitefoot,1,0,4096,1118000,8241301767429094575
boundary,0,c_heap_boundary,1,0,4096,1167000,8241301767429094575
boundary,0,c_heap_boundary,1,1,4096,1125000,8241301767429094575
boundary,0,whitefoot,1,1,4096,1113000,8241301767429094575
boundary,0,whitefoot,1,2,4096,1102000,8241301767429094575
boundary,0,c_heap_boundary,1,2,4096,1141000,8241301767429094575
boundary,0,c_heap_boundary,1,3,4096,1132000,8241301767429094575
boundary,0,whitefoot,1,3,4096,1111000,8241301767429094575
boundary,0,whitefoot,1,4,4096,1089000,8241301767429094575
boundary,0,c_heap_boundary,1,4,4096,1132000,8241301767429094575
boundary,0,c_heap_boundary,1,5,4096,1154000,8241301767429094575
boundary,0,whitefoot,1,5,4096,1102000,8241301767429094575
boundary,0,whitefoot,1,6,4096,1096000,8241301767429094575
boundary,0,c_heap_boundary,1,6,4096,1136000,8241301767429094575
boundary,0,whitefoot,16,0,4096,17699000,7666817075468251504
boundary,0,c_heap_boundary,16,0,4096,18016000,7666817075468251504
boundary,0,c_heap_boundary,16,1,4096,18087000,7666817075468251504
boundary,0,whitefoot,16,1,4096,17201000,7666817075468251504
boundary,0,whitefoot,16,2,4096,17392000,7666817075468251504
boundary,0,c_heap_boundary,16,2,4096,17537000,7666817075468251504
boundary,0,c_heap_boundary,16,3,4096,17591000,7666817075468251504
boundary,0,whitefoot,16,3,4096,17148000,7666817075468251504
boundary,0,whitefoot,16,4,4096,17133000,7666817075468251504
boundary,0,c_heap_boundary,16,4,4096,17528000,7666817075468251504
boundary,0,c_heap_boundary,16,5,4096,17518000,7666817075468251504
boundary,0,whitefoot,16,5,4096,17175000,7666817075468251504
boundary,0,whitefoot,16,6,4096,17165000,7666817075468251504
boundary,0,c_heap_boundary,16,6,4096,17532000,7666817075468251504
ordinary,1,whitefoot,1,0,4096,1083000,8241301767429094575
ordinary,1,c_heap,1,0,4096,1099000,8241301767429094575
ordinary,1,c_heap,1,1,4096,1078000,8241301767429094575
ordinary,1,whitefoot,1,1,4096,1082000,8241301767429094575
ordinary,1,whitefoot,1,2,4096,1059000,8241301767429094575
ordinary,1,c_heap,1,2,4096,1089000,8241301767429094575
ordinary,1,c_heap,1,3,4096,1076000,8241301767429094575
ordinary,1,whitefoot,1,3,4096,1077000,8241301767429094575
ordinary,1,whitefoot,1,4,4096,1060000,8241301767429094575
ordinary,1,c_heap,1,4,4096,1092000,8241301767429094575
ordinary,1,c_heap,1,5,4096,1073000,8241301767429094575
ordinary,1,whitefoot,1,5,4096,1078000,8241301767429094575
ordinary,1,whitefoot,1,6,4096,1062000,8241301767429094575
ordinary,1,c_heap,1,6,4096,1092000,8241301767429094575
ordinary,1,whitefoot,16,0,4096,17279000,7666817075468251504
ordinary,1,c_heap,16,0,4096,18123000,7666817075468251504
ordinary,1,c_heap,16,1,4096,17729000,7666817075468251504
ordinary,1,whitefoot,16,1,4096,17245000,7666817075468251504
ordinary,1,whitefoot,16,2,4096,17228000,7666817075468251504
ordinary,1,c_heap,16,2,4096,17526000,7666817075468251504
ordinary,1,c_heap,16,3,4096,17464000,7666817075468251504
ordinary,1,whitefoot,16,3,4096,17238000,7666817075468251504
ordinary,1,whitefoot,16,4,4096,17314000,7666817075468251504
ordinary,1,c_heap,16,4,4096,17775000,7666817075468251504
ordinary,1,c_heap,16,5,4096,17520000,7666817075468251504
ordinary,1,whitefoot,16,5,4096,17262000,7666817075468251504
