variant,rounds,sample,calls,elapsed_ns,checksum
whitefoot,1,0,4096,3904000,8241301767429094575
c_heap_boundary,1,0,4096,1941000,8241301767429094575
c_heap_boundary,1,1,4096,1792000,8241301767429094575
whitefoot,1,1,4096,5245000,8241301767429094575
whitefoot,1,2,4096,4848000,8241301767429094575
c_heap_boundary,1,2,4096,1613000,8241301767429094575
c_heap_boundary,1,3,4096,1608000,8241301767429094575
whitefoot,1,3,4096,4378000,8241301767429094575
whitefoot,1,4,4096,4433000,8241301767429094575
c_heap_boundary,1,4,4096,1374000,8241301767429094575
c_heap_boundary,1,5,4096,1311000,8241301767429094575
whitefoot,1,5,4096,3996000,8241301767429094575
whitefoot,1,6,4096,3940000,8241301767429094575
c_heap_boundary,1,6,4096,1225000,8241301767429094575
whitefoot,16,0,4096,54465000,7666817075468251504
c_heap_boundary,16,0,4096,17823000,7666817075468251504
c_heap_boundary,16,1,4096,17730000,7666817075468251504
whitefoot,16,1,4096,53597000,7666817075468251504
whitefoot,16,2,4096,53284000,7666817075468251504
c_heap_boundary,16,2,4096,18065000,7666817075468251504
c_heap_boundary,16,3,4096,17632000,7666817075468251504
whitefoot,16,3,4096,54051000,7666817075468251504
whitefoot,16,4,4096,54433000,7666817075468251504
c_heap_boundary,16,4,4096,17962000,7666817075468251504
c_heap_boundary,16,5,4096,17716000,7666817075468251504
whitefoot,16,5,4096,54069000,7666817075468251504
whitefoot,16,6,4096,53396000,7666817075468251504
c_heap_boundary,16,6,4096,17718000,7666817075468251504
