variant,rounds,sample,calls,elapsed_ns,checksum
whitefoot,1,0,4096,3325000,8241301767429094575
c_heap_boundary,1,0,4096,1139000,8241301767429094575
c_heap_boundary,1,1,4096,1125000,8241301767429094575
whitefoot,1,1,4096,3298000,8241301767429094575
whitefoot,1,2,4096,3269000,8241301767429094575
c_heap_boundary,1,2,4096,1189000,8241301767429094575
c_heap_boundary,1,3,4096,1144000,8241301767429094575
whitefoot,1,3,4096,3200000,8241301767429094575
whitefoot,1,4,4096,3204000,8241301767429094575
c_heap_boundary,1,4,4096,1114000,8241301767429094575
c_heap_boundary,1,5,4096,1103000,8241301767429094575
whitefoot,1,5,4096,3261000,8241301767429094575
whitefoot,1,6,4096,3284000,8241301767429094575
c_heap_boundary,1,6,4096,1178000,8241301767429094575
whitefoot,16,0,4096,50506000,7666817075468251504
c_heap_boundary,16,0,4096,17531000,7666817075468251504
c_heap_boundary,16,1,4096,17506000,7666817075468251504
whitefoot,16,1,4096,49873000,7666817075468251504
whitefoot,16,2,4096,49868000,7666817075468251504
c_heap_boundary,16,2,4096,17545000,7666817075468251504
c_heap_boundary,16,3,4096,17552000,7666817075468251504
whitefoot,16,3,4096,49892000,7666817075468251504
whitefoot,16,4,4096,50325000,7666817075468251504
c_heap_boundary,16,4,4096,17504000,7666817075468251504
c_heap_boundary,16,5,4096,17574000,7666817075468251504
whitefoot,16,5,4096,49831000,7666817075468251504
whitefoot,16,6,4096,50391000,7666817075468251504
c_heap_boundary,16,6,4096,18118000,7666817075468251504
