variant,rounds,sample,calls,elapsed_ns,checksum
whitefoot,1,0,4096,3142000,8241301767429094575
c_heap,1,0,4096,1095000,8241301767429094575
c_heap,1,1,4096,1085000,8241301767429094575
whitefoot,1,1,4096,3110000,8241301767429094575
whitefoot,1,2,4096,3101000,8241301767429094575
c_heap,1,2,4096,1084000,8241301767429094575
c_heap,1,3,4096,1069000,8241301767429094575
whitefoot,1,3,4096,3115000,8241301767429094575
whitefoot,1,4,4096,3229000,8241301767429094575
c_heap,1,4,4096,1160000,8241301767429094575
c_heap,1,5,4096,1153000,8241301767429094575
whitefoot,1,5,4096,3306000,8241301767429094575
whitefoot,1,6,4096,3355000,8241301767429094575
c_heap,1,6,4096,1119000,8241301767429094575
whitefoot,16,0,4096,50963000,7666817075468251504
c_heap,16,0,4096,18130000,7666817075468251504
c_heap,16,1,4096,17967000,7666817075468251504
whitefoot,16,1,4096,51159000,7666817075468251504
whitefoot,16,2,4096,50107000,7666817075468251504
c_heap,16,2,4096,57017000,7666817075468251504
c_heap,16,3,4096,21347000,7666817075468251504
whitefoot,16,3,4096,52304000,7666817075468251504
whitefoot,16,4,4096,50830000,7666817075468251504
c_heap,16,4,4096,18386000,7666817075468251504
c_heap,16,5,4096,17882000,7666817075468251504
whitefoot,16,5,4096,51211000,7666817075468251504
whitefoot,16,6,4096,50661000,7666817075468251504
c_heap,16,6,4096,17754000,7666817075468251504
