cohort,contract,variant,rounds,sample,calls,elapsed_ns,checksum
0,normal,whitefoot,1,0,4096,1131000,8241301767429094575
0,normal,c_heap,1,0,4096,1099000,8241301767429094575
0,normal,c_heap,1,1,4096,1069000,8241301767429094575
0,normal,whitefoot,1,1,4096,1131000,8241301767429094575
0,normal,whitefoot,1,2,4096,1100000,8241301767429094575
0,normal,c_heap,1,2,4096,1104000,8241301767429094575
0,normal,c_heap,1,3,4096,1099000,8241301767429094575
0,normal,whitefoot,1,3,4096,1197000,8241301767429094575
0,normal,whitefoot,1,4,4096,1134000,8241301767429094575
0,normal,c_heap,1,4,4096,1102000,8241301767429094575
0,normal,c_heap,1,5,4096,1070000,8241301767429094575
0,normal,whitefoot,1,5,4096,1128000,8241301767429094575
0,normal,whitefoot,1,6,4096,1096000,8241301767429094575
0,normal,c_heap,1,6,4096,1101000,8241301767429094575
0,normal,whitefoot,16,0,4096,17881000,7666817075468251504
0,normal,c_heap,16,0,4096,17503000,7666817075468251504
0,normal,c_heap,16,1,4096,17718000,7666817075468251504
0,normal,whitefoot,16,1,4096,18496000,7666817075468251504
0,normal,whitefoot,16,2,4096,18442000,7666817075468251504
0,normal,c_heap,16,2,4096,17794000,7666817075468251504
0,normal,c_heap,16,3,4096,17467000,7666817075468251504
0,normal,whitefoot,16,3,4096,17814000,7666817075468251504
0,normal,whitefoot,16,4,4096,17822000,7666817075468251504
0,normal,c_heap,16,4,4096,17450000,7666817075468251504
0,normal,c_heap,16,5,4096,17497000,7666817075468251504
0,normal,whitefoot,16,5,4096,17788000,7666817075468251504
0,normal,whitefoot,16,6,4096,18028000,7666817075468251504
0,normal,c_heap,16,6,4096,17506000,7666817075468251504
0,retained,whitefoot,1,0,4096,1133000,8241301767429094575
0,retained,c_heap_boundary,1,0,4096,1107000,8241301767429094575
0,retained,c_heap_boundary,1,1,4096,1092000,8241301767429094575
0,retained,whitefoot,1,1,4096,1129000,8241301767429094575
0,retained,whitefoot,1,2,4096,1112000,8241301767429094575
0,retained,c_heap_boundary,1,2,4096,1102000,8241301767429094575
0,retained,c_heap_boundary,1,3,4096,1113000,8241301767429094575
0,retained,whitefoot,1,3,4096,1168000,8241301767429094575
0,retained,whitefoot,1,4,4096,1152000,8241301767429094575
0,retained,c_heap_boundary,1,4,4096,1148000,8241301767429094575
0,retained,c_heap_boundary,1,5,4096,1109000,8241301767429094575
0,retained,whitefoot,1,5,4096,1131000,8241301767429094575
0,retained,whitefoot,1,6,4096,1116000,8241301767429094575
0,retained,c_heap_boundary,1,6,4096,1104000,8241301767429094575
0,retained,whitefoot,16,0,4096,18026000,7666817075468251504
0,retained,c_heap_boundary,16,0,4096,17594000,7666817075468251504
0,retained,c_heap_boundary,16,1,4096,17495000,7666817075468251504
0,retained,whitefoot,16,1,4096,17911000,7666817075468251504
0,retained,whitefoot,16,2,4096,17978000,7666817075468251504
0,retained,c_heap_boundary,16,2,4096,17535000,7666817075468251504
0,retained,c_heap_boundary,16,3,4096,17510000,7666817075468251504
0,retained,whitefoot,16,3,4096,17884000,7666817075468251504
0,retained,whitefoot,16,4,4096,17897000,7666817075468251504
0,retained,c_heap_boundary,16,4,4096,17691000,7666817075468251504
0,retained,c_heap_boundary,16,5,4096,17542000,7666817075468251504
0,retained,whitefoot,16,5,4096,17871000,7666817075468251504
0,retained,whitefoot,16,6,4096,17935000,7666817075468251504
0,retained,c_heap_boundary,16,6,4096,17479000,7666817075468251504
0,borrowed,whitefoot,1,0,4096,1131000,8241301767429094575
0,borrowed,c_heap_boundary,1,0,4096,1104000,8241301767429094575
0,borrowed,c_heap_boundary,1,1,4096,1095000,8241301767429094575
0,borrowed,whitefoot,1,1,4096,1091000,8241301767429094575
0,borrowed,whitefoot,1,2,4096,1076000,8241301767429094575
0,borrowed,c_heap_boundary,1,2,4096,1104000,8241301767429094575
0,borrowed,c_heap_boundary,1,3,4096,1094000,8241301767429094575
0,borrowed,whitefoot,1,3,4096,1092000,8241301767429094575
0,borrowed,whitefoot,1,4,4096,1081000,8241301767429094575
0,borrowed,c_heap_boundary,1,4,4096,1104000,8241301767429094575
0,borrowed,c_heap_boundary,1,5,4096,1090000,8241301767429094575
0,borrowed,whitefoot,1,5,4096,1089000,8241301767429094575
0,borrowed,whitefoot,1,6,4096,1077000,8241301767429094575
0,borrowed,c_heap_boundary,1,6,4096,1104000,8241301767429094575
0,borrowed,whitefoot,16,0,4096,17351000,7666817075468251504
0,borrowed,c_heap_boundary,16,0,4096,17494000,7666817075468251504
0,borrowed,c_heap_boundary,16,1,4096,17488000,7666817075468251504
0,borrowed,whitefoot,16,1,4096,17356000,7666817075468251504
0,borrowed,whitefoot,16,2,4096,17357000,7666817075468251504
0,borrowed,c_heap_boundary,16,2,4096,17538000,7666817075468251504
0,borrowed,c_heap_boundary,16,3,4096,17499000,7666817075468251504
0,borrowed,whitefoot,16,3,4096,17642000,7666817075468251504
0,borrowed,whitefoot,16,4,4096,17357000,7666817075468251504
0,borrowed,c_heap_boundary,16,4,4096,17650000,7666817075468251504
0,borrowed,c_heap_boundary,16,5,4096,18033000,7666817075468251504
0,borrowed,whitefoot,16,5,4096,17637000,7666817075468251504
0,borrowed,whitefoot,16,6,4096,17367000,7666817075468251504
0,borrowed,c_heap_boundary,16,6,4096,17952000,7666817075468251504
1,borrowed,whitefoot,1,0,4096,1156000,8241301767429094575
1,borrowed,c_heap_boundary,1,0,4096,1140000,8241301767429094575
1,borrowed,c_heap_boundary,1,1,4096,1115000,8241301767429094575
1,borrowed,whitefoot,1,1,4096,1090000,8241301767429094575
1,borrowed,whitefoot,1,2,4096,1098000,8241301767429094575
1,borrowed,c_heap_boundary,1,2,4096,1108000,8241301767429094575
1,borrowed,c_heap_boundary,1,3,4096,1107000,8241301767429094575
1,borrowed,whitefoot,1,3,4096,1095000,8241301767429094575
1,borrowed,whitefoot,1,4,4096,1079000,8241301767429094575
1,borrowed,c_heap_boundary,1,4,4096,1103000,8241301767429094575
1,borrowed,c_heap_boundary,1,5,4096,1089000,8241301767429094575
1,borrowed,whitefoot,1,5,4096,1093000,8241301767429094575
1,borrowed,whitefoot,1,6,4096,1081000,8241301767429094575
1,borrowed,c_heap_boundary,1,6,4096,1120000,8241301767429094575
1,borrowed,whitefoot,16,0,4096,17363000,7666817075468251504
1,borrowed,c_heap_boundary,16,0,4096,17592000,7666817075468251504
1,borrowed,c_heap_boundary,16,1,4096,18475000,7666817075468251504
1,borrowed,whitefoot,16,1,4096,17773000,7666817075468251504
1,borrowed,whitefoot,16,2,4096,17362000,7666817075468251504
1,borrowed,c_heap_boundary,16,2,4096,17990000,7666817075468251504
1,borrowed,c_heap_boundary,16,3,4096,17739000,7666817075468251504
1,borrowed,whitefoot,16,3,4096,17355000,7666817075468251504
1,borrowed,whitefoot,16,4,4096,17365000,7666817075468251504
1,borrowed,c_heap_boundary,16,4,4096,17502000,7666817075468251504
1,borrowed,c_heap_boundary,16,5,4096,18086000,7666817075468251504
1,borrowed,whitefoot,16,5,4096,17950000,7666817075468251504
1,borrowed,whitefoot,16,6,4096,17982000,7666817075468251504
1,borrowed,c_heap_boundary,16,6,4096,17876000,7666817075468251504
1,retained,whitefoot,1,0,4096,1133000,8241301767429094575
1,retained,c_heap_boundary,1,0,4096,1111000,8241301767429094575
1,retained,c_heap_boundary,1,1,4096,1104000,8241301767429094575
1,retained,whitefoot,1,1,4096,1142000,8241301767429094575
1,retained,whitefoot,1,2,4096,1126000,8241301767429094575
1,retained,c_heap_boundary,1,2,4096,1169000,8241301767429094575
1,retained,c_heap_boundary,1,3,4096,1138000,8241301767429094575
1,retained,whitefoot,1,3,4096,1173000,8241301767429094575
1,retained,whitefoot,1,4,4096,1160000,8241301767429094575
1,retained,c_heap_boundary,1,4,4096,1147000,8241301767429094575
1,retained,c_heap_boundary,1,5,4096,1140000,8241301767429094575
1,retained,whitefoot,1,5,4096,1168000,8241301767429094575
1,retained,whitefoot,1,6,4096,1160000,8241301767429094575
1,retained,c_heap_boundary,1,6,4096,1155000,8241301767429094575
1,retained,whitefoot,16,0,4096,17982000,7666817075468251504
1,retained,c_heap_boundary,16,0,4096,18162000,7666817075468251504
1,retained,c_heap_boundary,16,1,4096,17912000,7666817075468251504
1,retained,whitefoot,16,1,4096,18453000,7666817075468251504
1,retained,whitefoot,16,2,4096,18323000,7666817075468251504
1,retained,c_heap_boundary,16,2,4096,17882000,7666817075468251504
1,retained,c_heap_boundary,16,3,4096,17755000,7666817075468251504
1,retained,whitefoot,16,3,4096,17886000,7666817075468251504
1,retained,whitefoot,16,4,4096,18572000,7666817075468251504
1,retained,c_heap_boundary,16,4,4096,17518000,7666817075468251504
1,retained,c_heap_boundary,16,5,4096,17479000,7666817075468251504
1,retained,whitefoot,16,5,4096,17949000,7666817075468251504
1,retained,whitefoot,16,6,4096,17888000,7666817075468251504
1,retained,c_heap_boundary,16,6,4096,17513000,7666817075468251504
1,normal,whitefoot,1,0,4096,1127000,8241301767429094575
1,normal,c_heap,1,0,4096,1100000,8241301767429094575
1,normal,c_heap,1,1,4096,1069000,8241301767429094575
1,normal,whitefoot,1,1,4096,1128000,8241301767429094575
1,normal,whitefoot,1,2,4096,1097000,8241301767429094575
1,normal,c_heap,1,2,4096,1100000,8241301767429094575
1,normal,c_heap,1,3,4096,1076000,8241301767429094575
1,normal,whitefoot,1,3,4096,1123000,8241301767429094575
1,normal,whitefoot,1,4,4096,1096000,8241301767429094575
