cohort,contract,variant,rounds,sample,calls,elapsed_ns,checksum
0,original,whitefoot,1,0,4096,3203000,8241301767429094575
0,original,c_heap,1,0,4096,1141000,8241301767429094575
0,original,c_heap,1,1,4096,1107000,8241301767429094575
0,original,whitefoot,1,1,4096,3235000,8241301767429094575
0,original,whitefoot,1,2,4096,3205000,8241301767429094575
0,original,c_heap,1,2,4096,1157000,8241301767429094575
0,original,c_heap,1,3,4096,1091000,8241301767429094575
0,original,whitefoot,1,3,4096,3199000,8241301767429094575
0,original,whitefoot,1,4,4096,3196000,8241301767429094575
0,original,c_heap,1,4,4096,1170000,8241301767429094575
0,original,c_heap,1,5,4096,1155000,8241301767429094575
0,original,whitefoot,1,5,4096,3359000,8241301767429094575
0,original,whitefoot,1,6,4096,3310000,8241301767429094575
0,original,c_heap,1,6,4096,1150000,8241301767429094575
0,original,whitefoot,16,0,4096,52964000,7666817075468251504
0,original,c_heap,16,0,4096,18248000,7666817075468251504
0,original,c_heap,16,1,4096,18550000,7666817075468251504
0,original,whitefoot,16,1,4096,52581000,7666817075468251504
0,original,whitefoot,16,2,4096,53103000,7666817075468251504
0,original,c_heap,16,2,4096,18411000,7666817075468251504
0,original,c_heap,16,3,4096,18566000,7666817075468251504
0,original,whitefoot,16,3,4096,52608000,7666817075468251504
0,original,whitefoot,16,4,4096,52526000,7666817075468251504
0,original,c_heap,16,4,4096,19013000,7666817075468251504
0,original,c_heap,16,5,4096,18971000,7666817075468251504
0,original,whitefoot,16,5,4096,52323000,7666817075468251504
0,original,whitefoot,16,6,4096,52918000,7666817075468251504
0,original,c_heap,16,6,4096,18421000,7666817075468251504
0,retained,whitefoot,1,0,4096,3196000,8241301767429094575
0,retained,c_heap_boundary,1,0,4096,1121000,8241301767429094575
0,retained,c_heap_boundary,1,1,4096,1112000,8241301767429094575
0,retained,whitefoot,1,1,4096,3298000,8241301767429094575
0,retained,whitefoot,1,2,4096,3242000,8241301767429094575
0,retained,c_heap_boundary,1,2,4096,1139000,8241301767429094575
0,retained,c_heap_boundary,1,3,4096,1132000,8241301767429094575
0,retained,whitefoot,1,3,4096,3479000,8241301767429094575
0,retained,whitefoot,1,4,4096,3220000,8241301767429094575
0,retained,c_heap_boundary,1,4,4096,1241000,8241301767429094575
0,retained,c_heap_boundary,1,5,4096,1160000,8241301767429094575
0,retained,whitefoot,1,5,4096,3302000,8241301767429094575
0,retained,whitefoot,1,6,4096,3336000,8241301767429094575
0,retained,c_heap_boundary,1,6,4096,1129000,8241301767429094575
0,retained,whitefoot,16,0,4096,52614000,7666817075468251504
0,retained,c_heap_boundary,16,0,4096,18368000,7666817075468251504
0,retained,c_heap_boundary,16,1,4096,18465000,7666817075468251504
0,retained,whitefoot,16,1,4096,52714000,7666817075468251504
0,retained,whitefoot,16,2,4096,52346000,7666817075468251504
0,retained,c_heap_boundary,16,2,4096,18251000,7666817075468251504
0,retained,c_heap_boundary,16,3,4096,18729000,7666817075468251504
0,retained,whitefoot,16,3,4096,52383000,7666817075468251504
0,retained,whitefoot,16,4,4096,52335000,7666817075468251504
0,retained,c_heap_boundary,16,4,4096,18252000,7666817075468251504
0,retained,c_heap_boundary,16,5,4096,17959000,7666817075468251504
0,retained,whitefoot,16,5,4096,52587000,7666817075468251504
0,retained,whitefoot,16,6,4096,52076000,7666817075468251504
0,retained,c_heap_boundary,16,6,4096,18516000,7666817075468251504
0,placed,whitefoot,1,0,4096,1451000,8241301767429094575
0,placed,c_heap_boundary,1,0,4096,1166000,8241301767429094575
0,placed,c_heap_boundary,1,1,4096,1128000,8241301767429094575
0,placed,whitefoot,1,1,4096,1391000,8241301767429094575
0,placed,whitefoot,1,2,4096,1429000,8241301767429094575
0,placed,c_heap_boundary,1,2,4096,1177000,8241301767429094575
0,placed,c_heap_boundary,1,3,4096,1142000,8241301767429094575
0,placed,whitefoot,1,3,4096,1399000,8241301767429094575
0,placed,whitefoot,1,4,4096,1382000,8241301767429094575
0,placed,c_heap_boundary,1,4,4096,1133000,8241301767429094575
0,placed,c_heap_boundary,1,5,4096,1122000,8241301767429094575
0,placed,whitefoot,1,5,4096,1405000,8241301767429094575
0,placed,whitefoot,1,6,4096,1434000,8241301767429094575
0,placed,c_heap_boundary,1,6,4096,1143000,8241301767429094575
0,placed,whitefoot,16,0,4096,22561000,7666817075468251504
0,placed,c_heap_boundary,16,0,4096,18342000,7666817075468251504
0,placed,c_heap_boundary,16,1,4096,18494000,7666817075468251504
0,placed,whitefoot,16,1,4096,22610000,7666817075468251504
0,placed,whitefoot,16,2,4096,22460000,7666817075468251504
0,placed,c_heap_boundary,16,2,4096,19049000,7666817075468251504
0,placed,c_heap_boundary,16,3,4096,18275000,7666817075468251504
0,placed,whitefoot,16,3,4096,22517000,7666817075468251504
0,placed,whitefoot,16,4,4096,22407000,7666817075468251504
0,placed,c_heap_boundary,16,4,4096,18227000,7666817075468251504
0,placed,c_heap_boundary,16,5,4096,17942000,7666817075468251504
0,placed,whitefoot,16,5,4096,22507000,7666817075468251504
0,placed,whitefoot,16,6,4096,24242000,7666817075468251504
0,placed,c_heap_boundary,16,6,4096,18644000,7666817075468251504
0,borrowed,whitefoot,1,0,4096,1127000,8241301767429094575
0,borrowed,c_heap_boundary,1,0,4096,1135000,8241301767429094575
0,borrowed,c_heap_boundary,1,1,4096,1126000,8241301767429094575
0,borrowed,whitefoot,1,1,4096,1153000,8241301767429094575
0,borrowed,whitefoot,1,2,4096,1152000,8241301767429094575
0,borrowed,c_heap_boundary,1,2,4096,1178000,8241301767429094575
0,borrowed,c_heap_boundary,1,3,4096,1157000,8241301767429094575
0,borrowed,whitefoot,1,3,4096,1165000,8241301767429094575
0,borrowed,whitefoot,1,4,4096,1148000,8241301767429094575
0,borrowed,c_heap_boundary,1,4,4096,1172000,8241301767429094575
0,borrowed,c_heap_boundary,1,5,4096,1156000,8241301767429094575
0,borrowed,whitefoot,1,5,4096,1150000,8241301767429094575
0,borrowed,whitefoot,1,6,4096,1116000,8241301767429094575
0,borrowed,c_heap_boundary,1,6,4096,1180000,8241301767429094575
0,borrowed,whitefoot,16,0,4096,17841000,7666817075468251504
0,borrowed,c_heap_boundary,16,0,4096,18551000,7666817075468251504
0,borrowed,c_heap_boundary,16,1,4096,18711000,7666817075468251504
0,borrowed,whitefoot,16,1,4096,18410000,7666817075468251504
0,borrowed,whitefoot,16,2,4096,18421000,7666817075468251504
0,borrowed,c_heap_boundary,16,2,4096,18861000,7666817075468251504
