variant,rounds,sample,calls,elapsed_ns,checksum
whitefoot,1,0,4096,3677000,8241301767429094575
c_heap,1,0,4096,1222000,8241301767429094575
c_heap,1,1,4096,1200000,8241301767429094575
whitefoot,1,1,4096,3663000,8241301767429094575
whitefoot,1,2,4096,3552000,8241301767429094575
c_heap,1,2,4096,1152000,8241301767429094575
c_heap,1,3,4096,1138000,8241301767429094575
whitefoot,1,3,4096,3457000,8241301767429094575
whitefoot,1,4,4096,3394000,8241301767429094575
c_heap,1,4,4096,1135000,8241301767429094575
c_heap,1,5,4096,1093000,8241301767429094575
whitefoot,1,5,4096,3465000,8241301767429094575
whitefoot,1,6,4096,3325000,8241301767429094575
c_heap,1,6,4096,1081000,8241301767429094575
whitefoot,16,0,4096,53427000,7666817075468251504
c_heap,16,0,4096,17776000,7666817075468251504
c_heap,16,1,4096,18151000,7666817075468251504
whitefoot,16,1,4096,54249000,7666817075468251504
whitefoot,16,2,4096,53570000,7666817075468251504
c_heap,16,2,4096,18198000,7666817075468251504
c_heap,16,3,4096,17948000,7666817075468251504
whitefoot,16,3,4096,53864000,7666817075468251504
whitefoot,16,4,4096,53438000,7666817075468251504
c_heap,16,4,4096,17907000,7666817075468251504
c_heap,16,5,4096,17720000,7666817075468251504
whitefoot,16,5,4096,53458000,7666817075468251504
whitefoot,16,6,4096,53888000,7666817075468251504
c_heap,16,6,4096,17804000,7666817075468251504
