compiler,control,cohort,variant,rounds,sample,calls,elapsed_ns,checksum
baseline,ordinary,0,whitefoot,1,0,4096,3430000,8241301767429094575
baseline,ordinary,0,c_heap,1,0,4096,1134000,8241301767429094575
baseline,ordinary,0,c_heap,1,1,4096,1120000,8241301767429094575
baseline,ordinary,0,whitefoot,1,1,4096,3361000,8241301767429094575
baseline,ordinary,0,whitefoot,1,2,4096,3331000,8241301767429094575
baseline,ordinary,0,c_heap,1,2,4096,1108000,8241301767429094575
baseline,ordinary,0,c_heap,1,3,4096,1088000,8241301767429094575
baseline,ordinary,0,whitefoot,1,3,4096,3390000,8241301767429094575
baseline,ordinary,0,whitefoot,1,4,4096,3372000,8241301767429094575
baseline,ordinary,0,c_heap,1,4,4096,1117000,8241301767429094575
baseline,ordinary,0,c_heap,1,5,4096,1095000,8241301767429094575
baseline,ordinary,0,whitefoot,1,5,4096,3407000,8241301767429094575
baseline,ordinary,0,whitefoot,1,6,4096,3395000,8241301767429094575
baseline,ordinary,0,c_heap,1,6,4096,1119000,8241301767429094575
baseline,ordinary,0,whitefoot,16,0,4096,54144000,7666817075468251504
baseline,ordinary,0,c_heap,16,0,4096,17895000,7666817075468251504
baseline,ordinary,0,c_heap,16,1,4096,18057000,7666817075468251504
baseline,ordinary,0,whitefoot,16,1,4096,54451000,7666817075468251504
baseline,ordinary,0,whitefoot,16,2,4096,54249000,7666817075468251504
baseline,ordinary,0,c_heap,16,2,4096,18049000,7666817075468251504
baseline,ordinary,0,c_heap,16,3,4096,17850000,7666817075468251504
baseline,ordinary,0,whitefoot,16,3,4096,54282000,7666817075468251504
baseline,ordinary,0,whitefoot,16,4,4096,53920000,7666817075468251504
baseline,ordinary,0,c_heap,16,4,4096,18108000,7666817075468251504
baseline,ordinary,0,c_heap,16,5,4096,17984000,7666817075468251504
baseline,ordinary,0,whitefoot,16,5,4096,54128000,7666817075468251504
baseline,ordinary,0,whitefoot,16,6,4096,54802000,7666817075468251504
baseline,ordinary,0,c_heap,16,6,4096,18189000,7666817075468251504
current,ordinary,0,whitefoot,1,0,4096,3357000,8241301767429094575
current,ordinary,0,c_heap,1,0,4096,1165000,8241301767429094575
current,ordinary,0,c_heap,1,1,4096,1149000,8241301767429094575
current,ordinary,0,whitefoot,1,1,4096,3353000,8241301767429094575
current,ordinary,0,whitefoot,1,2,4096,3362000,8241301767429094575
current,ordinary,0,c_heap,1,2,4096,1125000,8241301767429094575
current,ordinary,0,c_heap,1,3,4096,1102000,8241301767429094575
current,ordinary,0,whitefoot,1,3,4096,3365000,8241301767429094575
current,ordinary,0,whitefoot,1,4,4096,3232000,8241301767429094575
current,ordinary,0,c_heap,1,4,4096,1104000,8241301767429094575
current,ordinary,0,c_heap,1,5,4096,1075000,8241301767429094575
current,ordinary,0,whitefoot,1,5,4096,3165000,8241301767429094575
current,ordinary,0,whitefoot,1,6,4096,3289000,8241301767429094575
current,ordinary,0,c_heap,1,6,4096,1156000,8241301767429094575
current,ordinary,0,whitefoot,16,0,4096,53699000,7666817075468251504
current,ordinary,0,c_heap,16,0,4096,19163000,7666817075468251504
current,ordinary,0,c_heap,16,1,4096,19414000,7666817075468251504
current,ordinary,0,whitefoot,16,1,4096,54692000,7666817075468251504
current,ordinary,0,whitefoot,16,2,4096,52652000,7666817075468251504
current,ordinary,0,c_heap,16,2,4096,18576000,7666817075468251504
current,ordinary,0,c_heap,16,3,4096,18902000,7666817075468251504
current,ordinary,0,whitefoot,16,3,4096,53846000,7666817075468251504
current,ordinary,0,whitefoot,16,4,4096,53678000,7666817075468251504
current,ordinary,0,c_heap,16,4,4096,19112000,7666817075468251504
current,ordinary,0,c_heap,16,5,4096,19121000,7666817075468251504
current,ordinary,0,whitefoot,16,5,4096,53032000,7666817075468251504
current,ordinary,0,whitefoot,16,6,4096,53976000,7666817075468251504
current,ordinary,0,c_heap,16,6,4096,18939000,7666817075468251504
baseline,boundary,0,whitefoot,1,0,4096,3700000,8241301767429094575
baseline,boundary,0,c_heap_boundary,1,0,4096,1111000,8241301767429094575
baseline,boundary,0,c_heap_boundary,1,1,4096,1098000,8241301767429094575
baseline,boundary,0,whitefoot,1,1,4096,3481000,8241301767429094575
baseline,boundary,0,whitefoot,1,2,4096,3426000,8241301767429094575
baseline,boundary,0,c_heap_boundary,1,2,4096,1144000,8241301767429094575
baseline,boundary,0,c_heap_boundary,1,3,4096,1120000,8241301767429094575
baseline,boundary,0,whitefoot,1,3,4096,3540000,8241301767429094575
baseline,boundary,0,whitefoot,1,4,4096,3636000,8241301767429094575
baseline,boundary,0,c_heap_boundary,1,4,4096,1266000,8241301767429094575
baseline,boundary,0,c_heap_boundary,1,5,4096,1209000,8241301767429094575
baseline,boundary,0,whitefoot,1,5,4096,3411000,8241301767429094575
baseline,boundary,0,whitefoot,1,6,4096,3392000,8241301767429094575
baseline,boundary,0,c_heap_boundary,1,6,4096,1136000,8241301767429094575
baseline,boundary,0,whitefoot,16,0,4096,57342000,7666817075468251504
baseline,boundary,0,c_heap_boundary,16,0,4096,19105000,7666817075468251504
baseline,boundary,0,c_heap_boundary,16,1,4096,19148000,7666817075468251504
baseline,boundary,0,whitefoot,16,1,4096,57143000,7666817075468251504
baseline,boundary,0,whitefoot,16,2,4096,56775000,7666817075468251504
baseline,boundary,0,c_heap_boundary,16,2,4096,18631000,7666817075468251504
baseline,boundary,0,c_heap_boundary,16,3,4096,18652000,7666817075468251504
baseline,boundary,0,whitefoot,16,3,4096,55603000,7666817075468251504
baseline,boundary,0,whitefoot,16,4,4096,56971000,7666817075468251504
baseline,boundary,0,c_heap_boundary,16,4,4096,19178000,7666817075468251504
baseline,boundary,0,c_heap_boundary,16,5,4096,18419000,7666817075468251504
baseline,boundary,0,whitefoot,16,5,4096,56251000,7666817075468251504
baseline,boundary,0,whitefoot,16,6,4096,57212000,7666817075468251504
baseline,boundary,0,c_heap_boundary,16,6,4096,18826000,7666817075468251504
current,boundary,0,whitefoot,1,0,4096,3344000,8241301767429094575
current,boundary,0,c_heap_boundary,1,0,4096,1170000,8241301767429094575
current,boundary,0,c_heap_boundary,1,1,4096,1153000,8241301767429094575
current,boundary,0,whitefoot,1,1,4096,3345000,8241301767429094575
current,boundary,0,whitefoot,1,2,4096,3333000,8241301767429094575
current,boundary,0,c_heap_boundary,1,2,4096,1202000,8241301767429094575
current,boundary,0,c_heap_boundary,1,3,4096,1272000,8241301767429094575
current,boundary,0,whitefoot,1,3,4096,3322000,8241301767429094575
current,boundary,0,whitefoot,1,4,4096,3226000,8241301767429094575
current,boundary,0,c_heap_boundary,1,4,4096,1137000,8241301767429094575
current,boundary,0,c_heap_boundary,1,5,4096,1122000,8241301767429094575
current,boundary,0,whitefoot,1,5,4096,3436000,8241301767429094575
current,boundary,0,whitefoot,1,6,4096,3523000,8241301767429094575
current,boundary,0,c_heap_boundary,1,6,4096,1299000,8241301767429094575
current,boundary,0,whitefoot,16,0,4096,54302000,7666817075468251504
current,boundary,0,c_heap_boundary,16,0,4096,18909000,7666817075468251504
current,boundary,0,c_heap_boundary,16,1,4096,18586000,7666817075468251504
current,boundary,0,whitefoot,16,1,4096,53386000,7666817075468251504
current,boundary,0,whitefoot,16,2,4096,54940000,7666817075468251504
current,boundary,0,c_heap_boundary,16,2,4096,19142000,7666817075468251504
current,boundary,0,c_heap_boundary,16,3,4096,18745000,7666817075468251504
current,boundary,0,whitefoot,16,3,4096,53851000,7666817075468251504
current,boundary,0,whitefoot,16,4,4096,53977000,7666817075468251504
current,boundary,0,c_heap_boundary,16,4,4096,18545000,7666817075468251504
current,boundary,0,c_heap_boundary,16,5,4096,18790000,7666817075468251504
current,boundary,0,whitefoot,16,5,4096,53389000,7666817075468251504
current,boundary,0,whitefoot,16,6,4096,52090000,7666817075468251504
current,boundary,0,c_heap_boundary,16,6,4096,17945000,7666817075468251504
baseline,ordinary,1,whitefoot,1,0,4096,3489000,8241301767429094575
baseline,ordinary,1,c_heap,1,0,4096,1167000,8241301767429094575
baseline,ordinary,1,c_heap,1,1,4096,1145000,8241301767429094575
baseline,ordinary,1,whitefoot,1,1,4096,3420000,8241301767429094575
baseline,ordinary,1,whitefoot,1,2,4096,3355000,8241301767429094575
baseline,ordinary,1,c_heap,1,2,4096,1110000,8241301767429094575
baseline,ordinary,1,c_heap,1,3,4096,1100000,8241301767429094575
baseline,ordinary,1,whitefoot,1,3,4096,3413000,8241301767429094575
baseline,ordinary,1,whitefoot,1,4,4096,3433000,8241301767429094575
baseline,ordinary,1,c_heap,1,4,4096,1136000,8241301767429094575
baseline,ordinary,1,c_heap,1,5,4096,1117000,8241301767429094575
baseline,ordinary,1,whitefoot,1,5,4096,3465000,8241301767429094575
baseline,ordinary,1,whitefoot,1,6,4096,3435000,8241301767429094575
baseline,ordinary,1,c_heap,1,6,4096,1131000,8241301767429094575
baseline,ordinary,1,whitefoot,16,0,4096,70638000,7666817075468251504
baseline,ordinary,1,c_heap,16,0,4096,19528000,7666817075468251504
baseline,ordinary,1,c_heap,16,1,4096,35245000,7666817075468251504
baseline,ordinary,1,whitefoot,16,1,4096,81452000,7666817075468251504
baseline,ordinary,1,whitefoot,16,2,4096,99743000,7666817075468251504
baseline,ordinary,1,c_heap,16,2,4096,26808000,7666817075468251504
baseline,ordinary,1,c_heap,16,3,4096,34197000,7666817075468251504
baseline,ordinary,1,whitefoot,16,3,4096,66275000,7666817075468251504
baseline,ordinary,1,whitefoot,16,4,4096,73313000,7666817075468251504
baseline,ordinary,1,c_heap,16,4,4096,18572000,7666817075468251504
baseline,ordinary,1,c_heap,16,5,4096,25912000,7666817075468251504
baseline,ordinary,1,whitefoot,16,5,4096,56465000,7666817075468251504
