study,replay,contract,payload_bytes,policy,path,count,cohort,material_band,classification,null_raw_median,null_raw_min,null_raw_max,null_normalized_median,null_normalized_min,null_normalized_max,null_swap_median,null_swap_min,null_swap_max,null_hole_median,null_hole_min,null_hole_max,ab_raw_median,ab_raw_min,ab_raw_max,ab_normalized_median,ab_normalized_min,ab_normalized_max,ab_swap_median,ab_swap_min,ab_swap_max,ab_hole_median,ab_hole_min,ab_hole_max,a_wf_swap_median,a_wf_swap_min,a_wf_swap_max,b_wf_swap_median,b_wf_swap_min,b_wf_swap_max,a_wf_hole_median,a_wf_hole_min,a_wf_hole_max,b_wf_hole_median,b_wf_hole_min,b_wf_hole_max,a_wf_median_ns,b_wf_median_ns
indexed,initial,normal,256,retained,growth-cleanup,16,0,0.051948052,equivalent,1.026315789,0.987500000,1.056818182,0.992822967,0.953052326,1.033333333,1.036144578,1.022727273,1.072289157,1.037037037,1.024390244,1.086419753,1.013157895,1.000000000,1.058139535,1.013157895,0.989596083,1.046115222,1.000000000,0.976470588,1.023809524,1.000000000,0.921348315,1.012345679,0.915662651,0.904761905,0.988505747,0.927710843,0.895348837,1.034090909,0.938271605,0.853932584,1.011764706,0.939024390,0.939024390,1.070588235,77000,77000
indexed,initial,normal,256,retained,growth-cleanup,16,1,0.051948052,equivalent,0.976470588,0.974358974,0.987341772,0.998214286,0.985958486,1.011133140,0.988095238,0.976470588,0.988636364,0.976190476,0.967032967,1.000000000,1.013157895,1.000000000,1.026315789,1.012048193,1.000000000,1.026315789,1.000000000,0.988095238,1.023255814,1.000000000,0.987951807,1.045977011,0.916666667,0.904761905,0.953488372,0.928571429,0.916666667,0.954545455,0.939024390,0.915662651,0.951219512,0.939024390,0.923076923,0.963855422,77000,78000
indexed,initial,normal,256,retained,growth-cleanup,256,0,0.054054054,equivalent,1.051948052,1.025641026,1.088607595,1.014378479,0.965620915,1.038461538,1.037037037,1.000000000,1.086419753,1.040540541,1.026666667,1.080000000,1.012820513,1.000000000,1.025974026,1.012658228,1.000000000,1.023809524,1.000000000,1.000000000,1.012345679,1.000000000,1.000000000,1.013513514,0.951219512,0.950617284,1.000000000,0.963414634,0.951219512,1.023809524,1.054054054,1.040000000,1.105263158,1.054054054,1.053333333,1.131578947,78000,79000
indexed,initial,normal,256,retained,growth-cleanup,256,1,0.054054054,equivalent,1.000000000,0.962962963,1.012987013,1.000633513,0.951665675,1.012345679,1.000000000,0.987804878,1.012345679,1.000000000,0.987179487,1.013513514,1.012820513,1.000000000,1.051282051,1.012345679,1.000000000,1.013736264,1.000000000,0.987804878,1.047058824,1.013513514,1.000000000,1.090909091,0.962962963,0.951219512,0.975308642,0.966292135,0.962962963,0.976190476,1.054054054,1.054054054,1.067567568,1.064935065,1.023809524,1.067567568,78000,80000
indexed,initial,normal,256,retained,growth-cleanup,4096,0,0.033478894,equivalent,1.014030612,0.946492271,1.033591731,0.988363356,0.963582439,1.010477080,1.020915033,0.936678614,1.072655218,1.016034985,0.947010870,1.034124629,1.009090909,1.000000000,1.016861219,1.011758264,0.999859586,1.123684211,0.997371879,0.889929742,1.005291005,1.004444444,0.941666667,1.008915305,1.013140604,0.912177986,1.027595269,1.025000000,1.019762846,1.032981530,1.143906021,1.070833333,1.161961367,1.149629630,1.141592920,1.157584683,771000,779000
indexed,initial,normal,256,retained,growth-cleanup,4096,1,0.033478894,equivalent,1.002583979,0.842050209,1.050583658,0.985191083,0.800104993,1.018393451,1.028720627,0.980670103,1.052424640,1.033478894,0.989720999,1.057522124,1.007761966,0.974905897,1.016795866,1.005065904,0.954085043,1.014130608,1.002638522,0.998684211,1.021822850,1.001481481,0.992657856,1.025110783,1.017127800,1.014511873,1.025000000,1.022280472,0.976130653,1.031454784,1.141802068,1.133235725,1.180740741,1.148367953,1.122478386,1.160766962,774000,777000
indexed,initial,normal,256,retained,reserved-mixed,16,0,0.033980583,equivalent,1.007407407,1.000000000,1.059701493,1.003429355,0.941441441,1.041074089,1.027522936,0.972093023,1.062200957,1.023809524,0.985645933,1.033816425,1.007407407,0.992647059,1.007462687,1.002610229,0.987920168,1.002665245,1.004784689,0.995283019,1.014354067,1.004854369,1.000000000,1.004854369,0.645933014,0.641148325,0.650943396,0.645933014,0.636792453,0.649289100,0.655339806,0.650485437,0.663461538,0.655339806,0.652173913,0.658653846,135000,135000
indexed,initial,normal,256,retained,reserved-mixed,16,1,0.033980583,equivalent,1.000000000,0.971223022,1.007407407,0.997692412,0.987942570,1.014354067,1.000000000,0.972093023,1.009569378,1.000000000,0.995169082,1.014563107,1.037313433,1.021897810,1.066666667,1.003851709,0.993511760,1.014454491,1.028571429,1.028301887,1.066985646,1.033980583,1.029126214,1.058252427,0.642857143,0.638095238,0.655660377,0.648148148,0.637614679,0.665137615,0.655339806,0.650485437,0.668269231,0.657276995,0.652582160,0.662100457,135000,140000
indexed,initial,normal,256,retained,reserved-mixed,256,0,0.033333333,equivalent,1.035714286,0.993055556,1.050000000,1.002304147,0.965470679,1.016129032,1.033333333,1.023696682,1.037914692,1.029268293,0.981481481,1.034146341,0.992957746,0.985815603,1.035460993,0.988371331,0.985815603,1.040391760,1.000000000,0.995260664,1.014285714,0.995145631,0.957943925,1.009661836,0.671428571,0.666666667,0.682464455,0.666666667,0.657276995,0.695238095,0.687804878,0.654205607,0.695652174,0.682926829,0.678048780,0.712195122,141000,140000
indexed,initial,normal,256,retained,reserved-mixed,256,1,0.033333333,equivalent,1.000000000,0.927152318,1.028571429,1.002319250,0.931567329,1.013891159,0.995260664,0.959090909,1.047393365,0.995145631,0.976525822,1.024271845,1.000000000,0.927152318,1.106382979,0.995238095,0.935982340,1.042458629,1.004784689,0.990566038,1.061320755,1.004761905,1.000000000,1.019512195,0.671428571,0.665094340,0.712264151,0.671428571,0.643835616,0.693333333,0.687804878,0.671428571,0.733009709,0.687804878,0.669856459,0.739336493,141000,141000
