trial,contract,element_bytes,path,capacity,count,cohort,min_elapsed_ns,quantization_margin,screening_margin,null_raw,null_c,null_normalized,ab_raw,ab_c,ab_normalized,a_wf_c,b_wf_c,null_staged,ab_staged,a_wf_staged,b_wf_staged
initial,normal,8,grow,4096,3584,0,272000,0.0148146130907802,0.0349650349650349,0.983660130718954,0.982758620689655,1.01852357198214,0.983164983164983,1,0.976712962962963,1.02739726027397,1,0.982876712328767,1,1.03125,1.02120141342756
initial,normal,8,grow,4096,3584,1,272000,0.0148146130907802,0.0349650349650349,1,1.04693140794224,0.965034965034965,1.02020202020202,1.07692307692308,0.946060840280462,1.06115107913669,0.993506493506494,1.01030927835052,1.03114186851211,1.03484320557491,1.01677852348993
initial,normal,8,rehash,4096,3584,0,667000,0.0060150240330421,0.03,1.00439238653001,0.998687664041995,0.999390051139005,1,1.00804289544236,0.998823931826052,0.953083109919571,0.949224259520451,1,0.998556998556999,0.985250737463127,0.992625368731563
initial,normal,8,rehash,4096,3584,1,667000,0.0060150240330421,0.03,1.00448430493274,1.00554785020804,0.998985915492958,1,1.0065703022339,0.993084370677732,0.950069348127601,0.934993084370678,1.00674763832659,0.992700729927007,0.972972972972973,0.988919667590028
initial,normal,8,setup-cleanup,4096,3584,0,128000,0.031744063488127,0.031744063488127,1.00751879699248,0.97841726618705,1.03076923076923,1,1,1.00552871712292,0.948905109489051,0.956204379562044,,,,
initial,normal,8,setup-cleanup,4096,3584,1,128000,0.031744063488127,0.031744063488127,1,1,1.00556650246305,0.978260869565217,1,0.991920655262718,0.956204379562044,0.942028985507246,,,,
initial,normal,8,replace,64,56,0,39000,0.10803324099723,0.10803324099723,0.982142857142857,1,0.988354037267081,0.971014492753623,0.982456140350877,1,1.2280701754386,1.2280701754386,,,,
initial,normal,8,replace,64,56,1,39000,0.10803324099723,0.10803324099723,1,1,0.99957965531736,1,1,1.01408450704225,1.24137931034483,1.24137931034483,,,,
initial,normal,8,churn,64,56,0,184000,0.0219773657021709,0.039647577092511,0.981627296587926,0.988066825775656,0.986096039066739,1.02816901408451,1.00540540540541,1.01371322060977,0.933497536945813,0.953658536585366,,,,
initial,normal,8,churn,64,56,1,184000,0.0219773657021709,0.039647577092511,0.960352422907489,0.979020979020979,0.970202191347566,1.04090909090909,1,1.00874426605505,0.919117647058823,1.0046403712297,,,,
initial,normal,8,hit,64,56,0,31000,0.137777777777778,0.137777777777778,1,1.03225806451613,0.981996726677578,1.05714285714286,1.06451612903226,0.999183673469388,1,1.02040816326531,,,,
initial,normal,8,hit,64,56,1,31000,0.137777777777778,0.137777777777778,1,1.02941176470588,0.999547306473517,1.02127659574468,1,1.01619834710744,1,1.02083333333333,,,,
initial,normal,8,edit-first-word,64,56,0,31000,0.137777777777778,0.137777777777778,1,1.02127659574468,0.980392156862745,1,1,0.980769230769231,1.12765957446809,1.15217391304348,,,,
initial,normal,8,edit-first-word,64,56,1,31000,0.137777777777778,0.137777777777778,1,1,0.979166666666667,1.03846153846154,1.04255319148936,0.99017199017199,1.15217391304348,1.14285714285714,,,,
initial,normal,256,grow,4096,3584,0,505000,0.00795225497606444,0.03,0.998839907192575,0.994186046511628,1.00000911618579,0.690315315315315,0.973634651600753,0.718640093786635,1.666015625,1.19723865877712,0.998670212765957,0.934755332496863,1.10744810744811,0.812834224598931
initial,normal,256,grow,4096,3584,1,505000,0.00795225497606444,0.03,1,0.998054474708171,1.00590328600068,0.712280701754386,0.992172211350294,0.719118442401298,1.669921875,1.18908382066277,0.996062992125984,0.990716180371353,1.12813738441215,0.807228915662651
initial,normal,256,rehash,4096,3584,0,948000,0.00422832509486426,0.03,0.979116465863454,1.00720164609054,0.9861358594858,0.859211584875302,0.971980676328502,0.907648825295884,1.22995169082126,1.10693069306931,1.00504625735913,0.966638865721435,1.04052936311001,0.931609674728941
