run,comparison,cohort,arm,image,contract,pair_bytes,path,count,variant,sample,rounds,traces,elapsed_ns,checksum,requests,requested_bytes,peak_nodes,peak_bytes
initial,aa,0,a,baseline,normal,16,build-cleanup,8,whitefoot,0,0,512,86000,3077802767231718459,512,258048,1,504
initial,aa,0,a,baseline,normal,16,build-cleanup,8,source-c,0,0,512,76000,3077802767231718459,512,258048,1,504
initial,aa,0,a,baseline,normal,16,build-cleanup,8,direct-c,0,0,512,57000,3077802767231718459,512,192512,1,376
initial,aa,0,a,baseline,normal,16,build-cleanup,8,avl-c,0,0,512,163000,3077802767231718459,4096,163840,8,320
initial,aa,0,a,baseline,normal,16,build-cleanup,8,avl-c,1,0,512,159000,17924797446048753971,4096,163840,8,320
initial,aa,0,a,baseline,normal,16,build-cleanup,8,direct-c,1,0,512,54000,17924797446048753971,512,192512,1,376
initial,aa,0,a,baseline,normal,16,build-cleanup,8,source-c,1,0,512,75000,17924797446048753971,512,258048,1,504
initial,aa,0,a,baseline,normal,16,build-cleanup,8,whitefoot,1,0,512,82000,17924797446048753971,512,258048,1,504
initial,aa,0,a,baseline,normal,16,build-cleanup,8,whitefoot,2,0,512,79000,17882887548535675786,512,258048,1,504
initial,aa,0,a,baseline,normal,16,build-cleanup,8,source-c,2,0,512,75000,17882887548535675786,512,258048,1,504
initial,aa,0,a,baseline,normal,16,build-cleanup,8,direct-c,2,0,512,54000,17882887548535675786,512,192512,1,376
initial,aa,0,a,baseline,normal,16,build-cleanup,8,avl-c,2,0,512,160000,17882887548535675786,4096,163840,8,320
initial,aa,0,a,baseline,normal,16,build-cleanup,8,avl-c,3,0,512,166000,6351210585211105274,4096,163840,8,320
initial,aa,0,a,baseline,normal,16,build-cleanup,8,direct-c,3,0,512,56000,6351210585211105274,512,192512,1,376
initial,aa,0,a,baseline,normal,16,build-cleanup,8,source-c,3,0,512,78000,6351210585211105274,512,258048,1,504
initial,aa,0,a,baseline,normal,16,build-cleanup,8,whitefoot,3,0,512,85000,6351210585211105274,512,258048,1,504
initial,aa,0,a,baseline,normal,16,build-cleanup,8,whitefoot,4,0,512,85000,3370865382716160821,512,258048,1,504
initial,aa,0,a,baseline,normal,16,build-cleanup,8,source-c,4,0,512,77000,3370865382716160821,512,258048,1,504
initial,aa,0,a,baseline,normal,16,build-cleanup,8,direct-c,4,0,512,55000,3370865382716160821,512,192512,1,376
initial,aa,0,a,baseline,normal,16,build-cleanup,8,avl-c,4,0,512,126000,3370865382716160821,4096,163840,8,320
initial,aa,0,a,baseline,normal,16,build-cleanup,8,avl-c,5,0,512,125000,4150792512825776551,4096,163840,8,320
initial,aa,0,a,baseline,normal,16,build-cleanup,8,direct-c,5,0,512,55000,4150792512825776551,512,192512,1,376
initial,aa,0,a,baseline,normal,16,build-cleanup,8,source-c,5,0,512,76000,4150792512825776551,512,258048,1,504
initial,aa,0,a,baseline,normal,16,build-cleanup,8,whitefoot,5,0,512,80000,4150792512825776551,512,258048,1,504
initial,aa,0,a,baseline,normal,16,build-cleanup,256,whitefoot,0,0,16,162000,11187340223651816348,496,249984,31,15624
initial,aa,0,a,baseline,normal,16,build-cleanup,256,source-c,0,0,16,173000,11187340223651816348,496,249984,31,15624
initial,aa,0,a,baseline,normal,16,build-cleanup,256,direct-c,0,0,16,114000,11187340223651816348,496,186496,31,11656
initial,aa,0,a,baseline,normal,16,build-cleanup,256,avl-c,0,0,16,217000,11187340223651816348,4096,163840,256,10240
initial,aa,0,a,baseline,normal,16,build-cleanup,256,avl-c,1,0,16,209000,15298068925535932056,4096,163840,256,10240
initial,aa,0,a,baseline,normal,16,build-cleanup,256,direct-c,1,0,16,95000,15298068925535932056,496,186496,31,11656
initial,aa,0,a,baseline,normal,16,build-cleanup,256,source-c,1,0,16,153000,15298068925535932056,496,249984,31,15624
initial,aa,0,a,baseline,normal,16,build-cleanup,256,whitefoot,1,0,16,155000,15298068925535932056,496,249984,31,15624
initial,aa,0,a,baseline,normal,16,build-cleanup,256,whitefoot,2,0,16,152000,12471564500656326582,496,249984,31,15624
initial,aa,0,a,baseline,normal,16,build-cleanup,256,source-c,2,0,16,152000,12471564500656326582,496,249984,31,15624
initial,aa,0,a,baseline,normal,16,build-cleanup,256,direct-c,2,0,16,96000,12471564500656326582,496,186496,31,11656
initial,aa,0,a,baseline,normal,16,build-cleanup,256,avl-c,2,0,16,207000,12471564500656326582,4096,163840,256,10240
