contract,pair_bytes,path,count,variant,sample,rounds,traces,elapsed_ns,checksum,requests,requested_bytes,peak_nodes,peak_bytes
normal,16,build-cleanup,8,whitefoot,0,0,512,82000,3077802767231718459,512,258048,1,504
normal,16,build-cleanup,8,source-c,0,0,512,75000,3077802767231718459,512,258048,1,504
normal,16,build-cleanup,8,direct-c,0,0,512,64000,3077802767231718459,512,192512,1,376
normal,16,build-cleanup,8,avl-c,0,0,512,174000,3077802767231718459,4096,163840,8,320
normal,16,build-cleanup,8,avl-c,1,0,512,160000,17924797446048753971,4096,163840,8,320
normal,16,build-cleanup,8,direct-c,1,0,512,54000,17924797446048753971,512,192512,1,376
normal,16,build-cleanup,8,source-c,1,0,512,75000,17924797446048753971,512,258048,1,504
normal,16,build-cleanup,8,whitefoot,1,0,512,81000,17924797446048753971,512,258048,1,504
normal,16,build-cleanup,8,whitefoot,2,0,512,80000,17882887548535675786,512,258048,1,504
normal,16,build-cleanup,8,source-c,2,0,512,75000,17882887548535675786,512,258048,1,504
normal,16,build-cleanup,8,direct-c,2,0,512,55000,17882887548535675786,512,192512,1,376
normal,16,build-cleanup,8,avl-c,2,0,512,160000,17882887548535675786,4096,163840,8,320
normal,16,build-cleanup,8,avl-c,3,0,512,165000,6351210585211105274,4096,163840,8,320
normal,16,build-cleanup,8,direct-c,3,0,512,55000,6351210585211105274,512,192512,1,376
normal,16,build-cleanup,8,source-c,3,0,512,76000,6351210585211105274,512,258048,1,504
normal,16,build-cleanup,8,whitefoot,3,0,512,81000,6351210585211105274,512,258048,1,504
normal,16,build-cleanup,8,whitefoot,4,0,512,79000,3370865382716160821,512,258048,1,504
normal,16,build-cleanup,8,source-c,4,0,512,73000,3370865382716160821,512,258048,1,504
normal,16,build-cleanup,8,direct-c,4,0,512,53000,3370865382716160821,512,192512,1,376
normal,16,build-cleanup,8,avl-c,4,0,512,122000,3370865382716160821,4096,163840,8,320
normal,16,build-cleanup,8,avl-c,5,0,512,120000,4150792512825776551,4096,163840,8,320
normal,16,build-cleanup,8,direct-c,5,0,512,52000,4150792512825776551,512,192512,1,376
normal,16,build-cleanup,8,source-c,5,0,512,73000,4150792512825776551,512,258048,1,504
normal,16,build-cleanup,8,whitefoot,5,0,512,78000,4150792512825776551,512,258048,1,504
normal,16,build-cleanup,256,whitefoot,0,0,16,157000,11187340223651816348,496,249984,31,15624
normal,16,build-cleanup,256,source-c,0,0,16,159000,11187340223651816348,496,249984,31,15624
normal,16,build-cleanup,256,direct-c,0,0,16,108000,11187340223651816348,496,186496,31,11656
normal,16,build-cleanup,256,avl-c,0,0,16,205000,11187340223651816348,4096,163840,256,10240
normal,16,build-cleanup,256,avl-c,1,0,16,196000,15298068925535932056,4096,163840,256,10240
