element_bytes,path,count,variant,rounds,comparisons,element_assignments,assigned_bytes
8,pop-push,16,swap-c,1,221,514,4112
8,pop-push,16,hole-c,1,221,402,3216
8,pop-push,256,swap-c,1,7860,14959,119672
8,pop-push,256,hole-c,1,7860,8737,69896
8,pop-push,4096,swap-c,1,195042,350278,2802224
8,pop-push,4096,hole-c,1,195042,176830,1414640
8,replace-top,16,swap-c,1,151,320,2560
8,replace-top,16,hole-c,1,151,284,2272
8,replace-top,256,swap-c,1,5823,10217,81736
8,replace-top,256,hole-c,1,5823,6303,50424
8,replace-top,4096,swap-c,1,148521,247226,1977808
8,replace-top,4096,hole-c,1,148521,128826,1030608
8,grow-pop,16,swap-c,0,81,206,1648
8,grow-pop,16,hole-c,0,81,192,1536
8,grow-pop,256,swap-c,0,3389,6551,52408
8,grow-pop,256,hole-c,0,3389,4227,33816
8,grow-pop,4096,swap-c,0,87325,155474,1243792
8,grow-pop,4096,hole-c,0,87325,84588,676704
8,heapify-pop,16,swap-c,0,80,179,1432
8,heapify-pop,16,hole-c,0,80,157,1256
8,heapify-pop,256,swap-c,0,3300,5978,47824
8,heapify-pop,256,hole-c,0,3300,3610,28880
8,heapify-pop,4096,swap-c,0,85670,144677,1157416
8,heapify-pop,4096,hole-c,0,85670,74163,593304
8,setup-cleanup,16,swap-c,0,0,32,256
8,setup-cleanup,16,hole-c,0,0,32,256
8,setup-cleanup,256,swap-c,0,0,512,4096
8,setup-cleanup,256,hole-c,0,0,512,4096
8,setup-cleanup,4096,swap-c,0,0,8192,65536
8,setup-cleanup,4096,hole-c,0,0,8192,65536
256,pop-push,16,swap-c,1,221,514,131584
256,pop-push,16,hole-c,1,221,402,102912
256,pop-push,256,swap-c,1,7860,14959,3829504
256,pop-push,256,hole-c,1,7860,8737,2236672
256,pop-push,4096,swap-c,1,195042,350278,89671168
256,pop-push,4096,hole-c,1,195042,176830,45268480
256,replace-top,16,swap-c,1,151,320,81920
256,replace-top,16,hole-c,1,151,284,72704
256,replace-top,256,swap-c,1,5823,10217,2615552
256,replace-top,256,hole-c,1,5823,6303,1613568
256,replace-top,4096,swap-c,1,148521,247226,63289856
256,replace-top,4096,hole-c,1,148521,128826,32979456
256,grow-pop,16,swap-c,0,81,206,52736
256,grow-pop,16,hole-c,0,81,192,49152
256,grow-pop,256,swap-c,0,3389,6551,1677056
256,grow-pop,256,hole-c,0,3389,4227,1082112
256,grow-pop,4096,swap-c,0,87325,155474,39801344
256,grow-pop,4096,hole-c,0,87325,84588,21654528
256,heapify-pop,16,swap-c,0,80,179,45824
256,heapify-pop,16,hole-c,0,80,157,40192
256,heapify-pop,256,swap-c,0,3300,5978,1530368
256,heapify-pop,256,hole-c,0,3300,3610,924160
256,heapify-pop,4096,swap-c,0,85670,144677,37037312
256,heapify-pop,4096,hole-c,0,85670,74163,18985728
256,setup-cleanup,16,swap-c,0,0,32,8192
256,setup-cleanup,16,hole-c,0,0,32,8192
256,setup-cleanup,256,swap-c,0,0,512,131072
256,setup-cleanup,256,hole-c,0,0,512,131072
256,setup-cleanup,4096,swap-c,0,0,8192,2097152
256,setup-cleanup,4096,hole-c,0,0,8192,2097152
