contract,cohort,element_bytes,path,count,variant,sample,rounds,traces,elapsed_ns,checksum,requests,requested_bytes,peak_bytes
normal,0,8,pop-push,16,whitefoot,0,1024,1,232000,8802986469230538106,2,160,160
normal,0,8,pop-push,16,swap-c,0,1024,1,224000,8802986469230538106,2,160,160
normal,0,8,pop-push,16,hole-c,0,1024,1,217000,8802986469230538106,2,160,160
normal,0,8,pop-push,16,swap-c,1,1024,1,221000,546220320913094185,2,160,160
normal,0,8,pop-push,16,hole-c,1,1024,1,221000,546220320913094185,2,160,160
normal,0,8,pop-push,16,whitefoot,1,1024,1,228000,546220320913094185,2,160,160
normal,0,8,pop-push,16,hole-c,2,1024,1,222000,10865441034341119791,2,160,160
normal,0,8,pop-push,16,whitefoot,2,1024,1,228000,10865441034341119791,2,160,160
normal,0,8,pop-push,16,swap-c,2,1024,1,223000,10865441034341119791,2,160,160
normal,0,8,pop-push,16,whitefoot,3,1024,1,230000,4549251514383245661,2,160,160
normal,0,8,pop-push,16,swap-c,3,1024,1,228000,4549251514383245661,2,160,160
normal,0,8,pop-push,16,hole-c,3,1024,1,222000,4549251514383245661,2,160,160
normal,0,8,pop-push,16,swap-c,4,1024,1,226000,4867084062998922311,2,160,160
normal,0,8,pop-push,16,hole-c,4,1024,1,219000,4867084062998922311,2,160,160
normal,0,8,pop-push,16,whitefoot,4,1024,1,230000,4867084062998922311,2,160,160
normal,0,8,pop-push,16,hole-c,5,1024,1,219000,7631367174159121005,2,160,160
normal,0,8,pop-push,16,whitefoot,5,1024,1,222000,7631367174159121005,2,160,160
normal,0,8,pop-push,16,swap-c,5,1024,1,222000,7631367174159121005,2,160,160
normal,0,8,pop-push,16,whitefoot,6,1024,1,219000,6979187586533935622,2,160,160
normal,0,8,pop-push,16,swap-c,6,1024,1,223000,6979187586533935622,2,160,160
normal,0,8,pop-push,16,hole-c,6,1024,1,220000,6979187586533935622,2,160,160
normal,0,8,pop-push,256,whitefoot,0,64,1,562000,2095109327339511907,2,2080,2080
normal,0,8,pop-push,256,swap-c,0,64,1,471000,2095109327339511907,2,2080,2080
normal,0,8,pop-push,256,hole-c,0,64,1,511000,2095109327339511907,2,2080,2080
normal,0,8,pop-push,256,swap-c,1,64,1,470000,16455454719554808492,2,2080,2080
normal,0,8,pop-push,256,hole-c,1,64,1,507000,16455454719554808492,2,2080,2080
normal,0,8,pop-push,256,whitefoot,1,64,1,559000,16455454719554808492,2,2080,2080
normal,0,8,pop-push,256,hole-c,2,64,1,503000,16373568125155802891,2,2080,2080
normal,0,8,pop-push,256,whitefoot,2,64,1,560000,16373568125155802891,2,2080,2080
normal,0,8,pop-push,256,swap-c,2,64,1,461000,16373568125155802891,2,2080,2080
normal,0,8,pop-push,256,whitefoot,3,64,1,543000,7429390027182612459,2,2080,2080
normal,0,8,pop-push,256,swap-c,3,64,1,452000,7429390027182612459,2,2080,2080
normal,0,8,pop-push,256,hole-c,3,64,1,494000,7429390027182612459,2,2080,2080
normal,0,8,pop-push,256,swap-c,4,64,1,468000,18092097932617642437,2,2080,2080
normal,0,8,pop-push,256,hole-c,4,64,1,504000,18092097932617642437,2,2080,2080
normal,0,8,pop-push,256,whitefoot,4,64,1,555000,18092097932617642437,2,2080,2080
normal,0,8,pop-push,256,hole-c,5,64,1,493000,15087179797192433590,2,2080,2080
normal,0,8,pop-push,256,whitefoot,5,64,1,557000,15087179797192433590,2,2080,2080
normal,0,8,pop-push,256,swap-c,5,64,1,462000,15087179797192433590,2,2080,2080
normal,0,8,pop-push,256,whitefoot,6,64,1,550000,15404695102081171840,2,2080,2080
normal,0,8,pop-push,256,swap-c,6,64,1,453000,15404695102081171840,2,2080,2080
normal,0,8,pop-push,256,hole-c,6,64,1,497000,15404695102081171840,2,2080,2080
normal,0,8,pop-push,4096,whitefoot,0,4,1,807000,1166752097681235270,2,32800,32800
normal,0,8,pop-push,4096,swap-c,0,4,1,829000,1166752097681235270,2,32800,32800
normal,0,8,pop-push,4096,hole-c,0,4,1,837000,1166752097681235270,2,32800,32800
normal,0,8,pop-push,4096,swap-c,1,4,1,813000,15666601388703494727,2,32800,32800
normal,0,8,pop-push,4096,hole-c,1,4,1,831000,15666601388703494727,2,32800,32800
normal,0,8,pop-push,4096,whitefoot,1,4,1,818000,15666601388703494727,2,32800,32800
normal,0,8,pop-push,4096,hole-c,2,4,1,829000,15365377611342539708,2,32800,32800
normal,0,8,pop-push,4096,whitefoot,2,4,1,840000,15365377611342539708,2,32800,32800
normal,0,8,pop-push,4096,swap-c,2,4,1,824000,15365377611342539708,2,32800,32800
normal,0,8,pop-push,4096,whitefoot,3,4,1,838000,11906956114676506359,2,32800,32800
normal,0,8,pop-push,4096,swap-c,3,4,1,816000,11906956114676506359,2,32800,32800
normal,0,8,pop-push,4096,hole-c,3,4,1,827000,11906956114676506359,2,32800,32800
normal,0,8,pop-push,4096,swap-c,4,4,1,800000,14536087914124351449,2,32800,32800
normal,0,8,pop-push,4096,hole-c,4,4,1,802000,14536087914124351449,2,32800,32800
normal,0,8,pop-push,4096,whitefoot,4,4,1,800000,14536087914124351449,2,32800,32800
normal,0,8,pop-push,4096,hole-c,5,4,1,800000,8355236259534966868,2,32800,32800
normal,0,8,pop-push,4096,whitefoot,5,4,1,804000,8355236259534966868,2,32800,32800
normal,0,8,pop-push,4096,swap-c,5,4,1,797000,8355236259534966868,2,32800,32800
normal,0,8,pop-push,4096,whitefoot,6,4,1,797000,6727515430832971233,2,32800,32800
normal,0,8,pop-push,4096,swap-c,6,4,1,794000,6727515430832971233,2,32800,32800
normal,0,8,pop-push,4096,hole-c,6,4,1,802000,6727515430832971233,2,32800,32800
normal,0,8,replace-top,16,whitefoot,0,1024,1,22000,8802986469230538106,2,160,160
normal,0,8,replace-top,16,swap-c,0,1024,1,21000,8802986469230538106,2,160,160
normal,0,8,replace-top,16,hole-c,0,1024,1,24000,8802986469230538106,2,160,160
normal,0,8,replace-top,16,swap-c,1,1024,1,22000,546220320913094185,2,160,160
normal,0,8,replace-top,16,hole-c,1,1024,1,24000,546220320913094185,2,160,160
normal,0,8,replace-top,16,whitefoot,1,1024,1,21000,546220320913094185,2,160,160
normal,0,8,replace-top,16,hole-c,2,1024,1,23000,10865441034341119791,2,160,160
normal,0,8,replace-top,16,whitefoot,2,1024,1,21000,10865441034341119791,2,160,160
normal,0,8,replace-top,16,swap-c,2,1024,1,22000,10865441034341119791,2,160,160
normal,0,8,replace-top,16,whitefoot,3,1024,1,21000,4549251514383245661,2,160,160
normal,0,8,replace-top,16,swap-c,3,1024,1,22000,4549251514383245661,2,160,160
normal,0,8,replace-top,16,hole-c,3,1024,1,23000,4549251514383245661,2,160,160
normal,0,8,replace-top,16,swap-c,4,1024,1,21000,4867084062998922311,2,160,160
normal,0,8,replace-top,16,hole-c,4,1024,1,23000,4867084062998922311,2,160,160
normal,0,8,replace-top,16,whitefoot,4,1024,1,21000,4867084062998922311,2,160,160
normal,0,8,replace-top,16,hole-c,5,1024,1,24000,7631367174159121005,2,160,160
normal,0,8,replace-top,16,whitefoot,5,1024,1,22000,7631367174159121005,2,160,160
normal,0,8,replace-top,16,swap-c,5,1024,1,22000,7631367174159121005,2,160,160
normal,0,8,replace-top,16,whitefoot,6,1024,1,21000,6979187586533935622,2,160,160
normal,0,8,replace-top,16,swap-c,6,1024,1,21000,6979187586533935622,2,160,160
normal,0,8,replace-top,16,hole-c,6,1024,1,23000,6979187586533935622,2,160,160
normal,0,8,replace-top,256,whitefoot,0,64,1,52000,2095109327339511907,2,2080,2080
normal,0,8,replace-top,256,swap-c,0,64,1,50000,2095109327339511907,2,2080,2080
normal,0,8,replace-top,256,hole-c,0,64,1,51000,2095109327339511907,2,2080,2080
normal,0,8,replace-top,256,swap-c,1,64,1,50000,16455454719554808492,2,2080,2080
normal,0,8,replace-top,256,hole-c,1,64,1,51000,16455454719554808492,2,2080,2080
normal,0,8,replace-top,256,whitefoot,1,64,1,50000,16455454719554808492,2,2080,2080
normal,0,8,replace-top,256,hole-c,2,64,1,50000,16373568125155802891,2,2080,2080
normal,0,8,replace-top,256,whitefoot,2,64,1,50000,16373568125155802891,2,2080,2080
normal,0,8,replace-top,256,swap-c,2,64,1,49000,16373568125155802891,2,2080,2080
normal,0,8,replace-top,256,whitefoot,3,64,1,51000,7429390027182612459,2,2080,2080
normal,0,8,replace-top,256,swap-c,3,64,1,49000,7429390027182612459,2,2080,2080
normal,0,8,replace-top,256,hole-c,3,64,1,49000,7429390027182612459,2,2080,2080
normal,0,8,replace-top,256,swap-c,4,64,1,48000,18092097932617642437,2,2080,2080
normal,0,8,replace-top,256,hole-c,4,64,1,49000,18092097932617642437,2,2080,2080
normal,0,8,replace-top,256,whitefoot,4,64,1,50000,18092097932617642437,2,2080,2080
normal,0,8,replace-top,256,hole-c,5,64,1,50000,15087179797192433590,2,2080,2080
normal,0,8,replace-top,256,whitefoot,5,64,1,49000,15087179797192433590,2,2080,2080
normal,0,8,replace-top,256,swap-c,5,64,1,48000,15087179797192433590,2,2080,2080
normal,0,8,replace-top,256,whitefoot,6,64,1,49000,15404695102081171840,2,2080,2080
normal,0,8,replace-top,256,swap-c,6,64,1,48000,15404695102081171840,2,2080,2080
normal,0,8,replace-top,256,hole-c,6,64,1,49000,15404695102081171840,2,2080,2080
normal,0,8,replace-top,4096,whitefoot,0,4,1,348000,1166752097681235270,2,32800,32800
normal,0,8,replace-top,4096,swap-c,0,4,1,322000,1166752097681235270,2,32800,32800
normal,0,8,replace-top,4096,hole-c,0,4,1,336000,1166752097681235270,2,32800,32800
normal,0,8,replace-top,4096,swap-c,1,4,1,328000,15666601388703494727,2,32800,32800
normal,0,8,replace-top,4096,hole-c,1,4,1,335000,15666601388703494727,2,32800,32800
normal,0,8,replace-top,4096,whitefoot,1,4,1,349000,15666601388703494727,2,32800,32800
normal,0,8,replace-top,4096,hole-c,2,4,1,325000,15365377611342539708,2,32800,32800
normal,0,8,replace-top,4096,whitefoot,2,4,1,351000,15365377611342539708,2,32800,32800
normal,0,8,replace-top,4096,swap-c,2,4,1,328000,15365377611342539708,2,32800,32800
normal,0,8,replace-top,4096,whitefoot,3,4,1,350000,11906956114676506359,2,32800,32800
normal,0,8,replace-top,4096,swap-c,3,4,1,320000,11906956114676506359,2,32800,32800
normal,0,8,replace-top,4096,hole-c,3,4,1,335000,11906956114676506359,2,32800,32800
normal,0,8,replace-top,4096,swap-c,4,4,1,323000,14536087914124351449,2,32800,32800
normal,0,8,replace-top,4096,hole-c,4,4,1,331000,14536087914124351449,2,32800,32800
normal,0,8,replace-top,4096,whitefoot,4,4,1,346000,14536087914124351449,2,32800,32800
normal,0,8,replace-top,4096,hole-c,5,4,1,327000,8355236259534966868,2,32800,32800
normal,0,8,replace-top,4096,whitefoot,5,4,1,350000,8355236259534966868,2,32800,32800
normal,0,8,replace-top,4096,swap-c,5,4,1,323000,8355236259534966868,2,32800,32800
normal,0,8,replace-top,4096,whitefoot,6,4,1,349000,6727515430832971233,2,32800,32800
normal,0,8,replace-top,4096,swap-c,6,4,1,324000,6727515430832971233,2,32800,32800
normal,0,8,replace-top,4096,hole-c,6,4,1,333000,6727515430832971233,2,32800,32800
normal,0,8,grow-pop,16,whitefoot,0,0,1024,484000,12874972562093525024,6144,352256,224
normal,0,8,grow-pop,16,swap-c,0,0,1024,493000,12874972562093525024,6144,352256,224
normal,0,8,grow-pop,16,hole-c,0,0,1024,493000,12874972562093525024,6144,352256,224
normal,0,8,grow-pop,16,swap-c,1,0,1024,487000,13934894463070337316,6144,352256,224
normal,0,8,grow-pop,16,hole-c,1,0,1024,489000,13934894463070337316,6144,352256,224
normal,0,8,grow-pop,16,whitefoot,1,0,1024,474000,13934894463070337316,6144,352256,224
normal,0,8,grow-pop,16,hole-c,2,0,1024,495000,2749389875711152388,6144,352256,224
normal,0,8,grow-pop,16,whitefoot,2,0,1024,470000,2749389875711152388,6144,352256,224
normal,0,8,grow-pop,16,swap-c,2,0,1024,487000,2749389875711152388,6144,352256,224
normal,0,8,grow-pop,16,whitefoot,3,0,1024,469000,15427617459488570974,6144,352256,224
normal,0,8,grow-pop,16,swap-c,3,0,1024,483000,15427617459488570974,6144,352256,224
normal,0,8,grow-pop,16,hole-c,3,0,1024,482000,15427617459488570974,6144,352256,224
normal,0,8,grow-pop,16,swap-c,4,0,1024,484000,7936345058778930982,6144,352256,224
