run,contract,cohort,element_bytes,path,count,variant,sample,rounds,traces,elapsed_ns,checksum,requests,requested_bytes,peak_bytes
0,normal,0,8,prefilled-lookup,16,whitefoot,0,2048,1,54000,17074057321065934799,1,528,528
0,normal,0,8,prefilled-lookup,16,window-c,0,2048,1,47000,17074057321065934799,1,528,528
0,normal,0,8,prefilled-lookup,16,tagged-c,0,2048,1,47000,17074057321065934799,1,400,400
0,normal,0,8,prefilled-lookup,16,window-c,1,2048,1,54000,13596376654297646837,1,528,528
0,normal,0,8,prefilled-lookup,16,tagged-c,1,2048,1,46000,13596376654297646837,1,400,400
0,normal,0,8,prefilled-lookup,16,whitefoot,1,2048,1,56000,13596376654297646837,1,528,528
0,normal,0,8,prefilled-lookup,16,tagged-c,2,2048,1,45000,6813170206868431127,1,400,400
0,normal,0,8,prefilled-lookup,16,whitefoot,2,2048,1,55000,6813170206868431127,1,528,528
0,normal,0,8,prefilled-lookup,16,window-c,2,2048,1,46000,6813170206868431127,1,528,528
0,normal,0,8,prefilled-lookup,16,whitefoot,3,2048,1,55000,9946541101421998661,1,528,528
0,normal,0,8,prefilled-lookup,16,window-c,3,2048,1,46000,9946541101421998661,1,528,528
0,normal,0,8,prefilled-lookup,16,tagged-c,3,2048,1,46000,9946541101421998661,1,400,400
0,normal,0,8,prefilled-lookup,16,window-c,4,2048,1,46000,3163334653992782951,1,528,528
0,normal,0,8,prefilled-lookup,16,tagged-c,4,2048,1,46000,3163334653992782951,1,400,400
0,normal,0,8,prefilled-lookup,16,whitefoot,4,2048,1,55000,3163334653992782951,1,528,528
0,normal,0,8,prefilled-lookup,16,tagged-c,5,2048,1,46000,18132398060934046605,1,400,400
0,normal,0,8,prefilled-lookup,16,whitefoot,5,2048,1,55000,18132398060934046605,1,528,528
0,normal,0,8,prefilled-lookup,16,window-c,5,2048,1,46000,18132398060934046605,1,528,528
0,normal,0,8,prefilled-lookup,16,whitefoot,6,2048,1,57000,11349191613504830895,1,528,528
0,normal,0,8,prefilled-lookup,16,window-c,6,2048,1,46000,11349191613504830895,1,528,528
0,normal,0,8,prefilled-lookup,16,tagged-c,6,2048,1,46000,11349191613504830895,1,400,400
0,normal,0,8,prefilled-lookup,16,window-c,7,2048,1,47000,1260459385414687437,1,528,528
0,normal,0,8,prefilled-lookup,16,tagged-c,7,2048,1,48000,1260459385414687437,1,400,400
0,normal,0,8,prefilled-lookup,16,whitefoot,7,2048,1,54000,1260459385414687437,1,528,528
0,normal,0,8,prefilled-lookup,16,tagged-c,8,2048,1,45000,12923997011695023343,1,400,400
0,normal,0,8,prefilled-lookup,16,whitefoot,8,2048,1,54000,12923997011695023343,1,528,528
0,normal,0,8,prefilled-lookup,16,window-c,8,2048,1,52000,12923997011695023343,1,528,528
0,normal,0,8,prefilled-lookup,16,whitefoot,9,2048,1,54000,9446316344926735381,1,528,528
0,normal,0,8,prefilled-lookup,16,window-c,9,2048,1,45000,9446316344926735381,1,528,528
0,normal,0,8,prefilled-lookup,16,tagged-c,9,2048,1,46000,9446316344926735381,1,400,400
0,normal,0,8,prefilled-lookup,16,window-c,10,2048,1,45000,2663109897497519671,1,528,528
0,normal,0,8,prefilled-lookup,16,tagged-c,10,2048,1,45000,2663109897497519671,1,400,400
0,normal,0,8,prefilled-lookup,16,whitefoot,10,2048,1,54000,2663109897497519671,1,528,528
0,normal,0,8,prefilled-lookup,256,whitefoot,0,128,1,45000,9963566838176908063,1,8208,8208
0,normal,0,8,prefilled-lookup,256,window-c,0,128,1,47000,9963566838176908063,1,8208,8208
0,normal,0,8,prefilled-lookup,256,tagged-c,0,128,1,44000,9963566838176908063,1,6160,6160
0,normal,0,8,prefilled-lookup,256,window-c,1,128,1,44000,5794181020147166629,1,8208,8208
0,normal,0,8,prefilled-lookup,256,tagged-c,1,128,1,44000,5794181020147166629,1,6160,6160
0,normal,0,8,prefilled-lookup,256,whitefoot,1,128,1,43000,5794181020147166629,1,8208,8208
0,normal,0,8,prefilled-lookup,256,tagged-c,2,128,1,43000,16056304167617431591,1,6160,6160
0,normal,0,8,prefilled-lookup,256,whitefoot,2,128,1,43000,16056304167617431591,1,8208,8208
0,normal,0,8,prefilled-lookup,256,window-c,2,128,1,44000,16056304167617431591,1,8208,8208
