run,library,contract,cohort,element_bytes,path,count,variant,sample,rounds,elapsed_ns,checksum,requests,requested_bytes,peak_bytes
initial,original,normal,0,8,reserved,16,whitefoot,0,1024,130000,59701673571133541,2048,172032,168
initial,original,normal,0,8,reserved,16,reverse-c,0,1024,96000,59701673571133541,2048,172032,168
initial,original,normal,0,8,reserved,16,direct-c,0,1024,83000,59701673571133541,2048,172032,168
initial,original,normal,0,8,reserved,16,swap-take-c,0,1024,99000,59701673571133541,2048,172032,168
initial,original,normal,0,8,reserved,16,take-swap-c,0,1024,92000,59701673571133541,2048,172032,168
initial,original,normal,0,8,reserved,16,reverse-c,1,1024,90000,16530413350951497830,2048,172032,168
initial,original,normal,0,8,reserved,16,direct-c,1,1024,78000,16530413350951497830,2048,172032,168
initial,original,normal,0,8,reserved,16,swap-take-c,1,1024,89000,16530413350951497830,2048,172032,168
initial,original,normal,0,8,reserved,16,take-swap-c,1,1024,89000,16530413350951497830,2048,172032,168
initial,original,normal,0,8,reserved,16,whitefoot,1,1024,109000,16530413350951497830,2048,172032,168
initial,original,normal,0,8,reserved,16,direct-c,2,1024,82000,1670218907956885607,2048,172032,168
initial,original,normal,0,8,reserved,16,swap-take-c,2,1024,94000,1670218907956885607,2048,172032,168
initial,original,normal,0,8,reserved,16,take-swap-c,2,1024,92000,1670218907956885607,2048,172032,168
initial,original,normal,0,8,reserved,16,whitefoot,2,1024,110000,1670218907956885607,2048,172032,168
initial,original,normal,0,8,reserved,16,reverse-c,2,1024,96000,1670218907956885607,2048,172032,168
initial,original,normal,0,8,reserved,16,swap-take-c,3,1024,96000,10765589072194551912,2048,172032,168
initial,original,normal,0,8,reserved,16,take-swap-c,3,1024,66000,10765589072194551912,2048,172032,168
initial,original,normal,0,8,reserved,16,whitefoot,3,1024,85000,10765589072194551912,2048,172032,168
initial,original,normal,0,8,reserved,16,reverse-c,3,1024,69000,10765589072194551912,2048,172032,168
initial,original,normal,0,8,reserved,16,direct-c,3,1024,58000,10765589072194551912,2048,172032,168
initial,original,normal,0,8,reserved,16,take-swap-c,4,1024,67000,7808198825975105641,2048,172032,168
initial,original,normal,0,8,reserved,16,whitefoot,4,1024,86000,7808198825975105641,2048,172032,168
initial,original,normal,0,8,reserved,16,reverse-c,4,1024,68000,7808198825975105641,2048,172032,168
initial,original,normal,0,8,reserved,16,direct-c,4,1024,58000,7808198825975105641,2048,172032,168
initial,original,normal,0,8,reserved,16,swap-take-c,4,1024,67000,7808198825975105641,2048,172032,168
initial,original,normal,0,8,reserved,16,whitefoot,5,1024,86000,13764731325644853354,2048,172032,168
initial,original,normal,0,8,reserved,16,reverse-c,5,1024,68000,13764731325644853354,2048,172032,168
initial,original,normal,0,8,reserved,16,direct-c,5,1024,57000,13764731325644853354,2048,172032,168
initial,original,normal,0,8,reserved,16,swap-take-c,5,1024,67000,13764731325644853354,2048,172032,168
initial,original,normal,0,8,reserved,16,take-swap-c,5,1024,69000,13764731325644853354,2048,172032,168
