contract,cohort,element_bytes,path,count,variant,sample,rounds,elapsed_ns,checksum,requests,requested_bytes,peak_bytes
normal,0,8,reserved,16,whitefoot,0,1024,143000,59701673571133541,2048,172032,168
normal,0,8,reserved,16,reverse-c,0,1024,90000,59701673571133541,2048,172032,168
normal,0,8,reserved,16,direct-c,0,1024,74000,59701673571133541,2048,172032,168
normal,0,8,reserved,16,reverse-c,1,1024,91000,16530413350951497830,2048,172032,168
normal,0,8,reserved,16,direct-c,1,1024,76000,16530413350951497830,2048,172032,168
normal,0,8,reserved,16,whitefoot,1,1024,130000,16530413350951497830,2048,172032,168
normal,0,8,reserved,16,direct-c,2,1024,75000,1670218907956885607,2048,172032,168
normal,0,8,reserved,16,whitefoot,2,1024,129000,1670218907956885607,2048,172032,168
normal,0,8,reserved,16,reverse-c,2,1024,95000,1670218907956885607,2048,172032,168
normal,0,8,reserved,16,whitefoot,3,1024,126000,10765589072194551912,2048,172032,168
normal,0,8,reserved,16,reverse-c,3,1024,92000,10765589072194551912,2048,172032,168
normal,0,8,reserved,16,direct-c,3,1024,76000,10765589072194551912,2048,172032,168
normal,0,8,reserved,16,reverse-c,4,1024,91000,7808198825975105641,2048,172032,168
normal,0,8,reserved,16,direct-c,4,1024,79000,7808198825975105641,2048,172032,168
normal,0,8,reserved,16,whitefoot,4,1024,131000,7808198825975105641,2048,172032,168
normal,0,8,reserved,16,direct-c,5,1024,81000,13764731325644853354,2048,172032,168
normal,0,8,reserved,16,whitefoot,5,1024,115000,13764731325644853354,2048,172032,168
normal,0,8,reserved,16,reverse-c,5,1024,75000,13764731325644853354,2048,172032,168
normal,0,8,reserved,16,whitefoot,6,1024,114000,8431867046325868651,2048,172032,168
normal,0,8,reserved,16,reverse-c,6,1024,76000,8431867046325868651,2048,172032,168
normal,0,8,reserved,16,direct-c,6,1024,60000,8431867046325868651,2048,172032,168
normal,0,8,reserved,16,reverse-c,7,1024,76000,12634127471829442668,2048,172032,168
normal,0,8,reserved,16,direct-c,7,1024,60000,12634127471829442668,2048,172032,168
normal,0,8,reserved,16,whitefoot,7,1024,113000,12634127471829442668,2048,172032,168
normal,0,8,reserved,16,direct-c,8,1024,58000,10271008492177877101,2048,172032,168
normal,0,8,reserved,16,whitefoot,8,1024,112000,10271008492177877101,2048,172032,168
normal,0,8,reserved,16,reverse-c,8,1024,77000,10271008492177877101,2048,172032,168
normal,0,8,reserved,16,whitefoot,9,1024,118000,2934559836407001198,2048,172032,168
normal,0,8,reserved,16,reverse-c,9,1024,78000,2934559836407001198,2048,172032,168
normal,0,8,reserved,16,direct-c,9,1024,63000,2934559836407001198,2048,172032,168
normal,0,8,reserved,16,reverse-c,10,1024,79000,12399936318824347759,2048,172032,168
