cohort,contract,path,variant,sample,calls,rounds,elapsed_ns,checksum,requests,peak_bytes
0,normal,reserved,whitefoot,0,64,512,11609000,2251442320717783328,98304,768
0,normal,reserved,matched-c,0,64,512,6915000,2251442320717783328,98304,768
0,normal,reserved,legacy-c,0,64,512,6590000,2251442320717783328,98304,768
0,normal,reserved,matched-c,1,64,512,6323000,6706251124355801440,98304,768
0,normal,reserved,legacy-c,1,64,512,6106000,6706251124355801440,98304,768
0,normal,reserved,whitefoot,1,64,512,8953000,6706251124355801440,98304,768
0,normal,reserved,legacy-c,2,64,512,5795000,11161059927993819552,98304,768
0,normal,reserved,whitefoot,2,64,512,8889000,11161059927993819552,98304,768
0,normal,reserved,matched-c,2,64,512,5761000,11161059927993819552,98304,768
0,normal,reserved,whitefoot,3,64,512,8845000,15615868731631837664,98304,768
0,normal,reserved,matched-c,3,64,512,5731000,15615868731631837664,98304,768
0,normal,reserved,legacy-c,3,64,512,5772000,15615868731631837664,98304,768
0,normal,reserved,matched-c,4,64,512,5720000,1623933461560304160,98304,768
0,normal,reserved,legacy-c,4,64,512,5791000,1623933461560304160,98304,768
0,normal,reserved,whitefoot,4,64,512,8787000,1623933461560304160,98304,768
0,normal,reserved,legacy-c,5,64,512,5790000,6078742265198322272,98304,768
0,normal,reserved,whitefoot,5,64,512,8946000,6078742265198322272,98304,768
0,normal,reserved,matched-c,5,64,512,5811000,6078742265198322272,98304,768
0,normal,reserved,whitefoot,6,64,512,8837000,10533551068836340384,98304,768
0,normal,reserved,matched-c,6,64,512,5806000,10533551068836340384,98304,768
0,normal,reserved,legacy-c,6,64,512,5992000,10533551068836340384,98304,768
0,normal,reserved,matched-c,7,64,512,6134000,14988359872474358496,98304,768
0,normal,reserved,legacy-c,7,64,512,6004000,14988359872474358496,98304,768
0,normal,reserved,whitefoot,7,64,512,9048000,14988359872474358496,98304,768
0,normal,reserved,legacy-c,8,64,512,6175000,996424602402824992,98304,768
0,normal,reserved,whitefoot,8,64,512,9082000,996424602402824992,98304,768
0,normal,reserved,matched-c,8,64,512,5815000,996424602402824992,98304,768
0,normal,reserved,whitefoot,9,64,512,8760000,5451233406040843104,98304,768
0,normal,reserved,matched-c,9,64,512,5902000,5451233406040843104,98304,768
0,normal,reserved,legacy-c,9,64,512,5860000,5451233406040843104,98304,768
0,normal,reserved,matched-c,10,64,512,6028000,9906042209678861216,98304,768
0,normal,reserved,legacy-c,10,64,512,5876000,9906042209678861216,98304,768
0,normal,reserved,whitefoot,10,64,512,8909000,9906042209678861216,98304,768
0,normal,reserved,legacy-c,11,64,512,5842000,14360851013316879328,98304,768
0,normal,reserved,whitefoot,11,64,512,8806000,14360851013316879328,98304,768
0,normal,reserved,matched-c,11,64,512,5730000,14360851013316879328,98304,768
0,normal,reserved,whitefoot,12,64,512,8864000,368915743245345824,98304,768
0,normal,reserved,matched-c,12,64,512,5815000,368915743245345824,98304,768
0,normal,reserved,legacy-c,12,64,512,5836000,368915743245345824,98304,768
0,normal,reserved,matched-c,13,64,512,5753000,4823724546883363936,98304,768
0,normal,reserved,legacy-c,13,64,512,5768000,4823724546883363936,98304,768
0,normal,reserved,whitefoot,13,64,512,8876000,4823724546883363936,98304,768
0,normal,reserved,legacy-c,14,64,512,5817000,9278533350521382048,98304,768
0,normal,reserved,whitefoot,14,64,512,8809000,9278533350521382048,98304,768
0,normal,reserved,matched-c,14,64,512,5710000,9278533350521382048,98304,768
