tier,payload,capacity,load,workload,variant,phase,rep,ops,builds,ns_per_op,checksum,minor_faults,major_faults,invol_cs,table_bytes,entry_bytes,query_bytes,seconds
L1,8,512,0.500,hit,a_raw,warmup,0,1048576,0,1.927375793,17589338862363416037,0,0,0,8704,0,4096,0.002021000
L1,8,512,0.500,hit,b_tag,warmup,0,1048576,0,1.879692078,17589338862363416037,0,0,0,12800,0,4096,0.001971000
L1,8,512,0.500,hit,c_box,warmup,0,1048576,0,1.722335815,17589338862363416037,0,0,0,4608,4096,4096,0.001806000
L1,8,512,0.500,hit,d_folded,warmup,0,1048576,0,1.964569092,17589338862363416037,0,0,1,8704,0,4096,0.002060000
L1,8,512,0.500,hit,e_proved,warmup,0,1048576,0,1.950263977,17589338862363416037,0,0,2,12800,0,4096,0.002045000
L1,8,512,0.500,hit,a_raw,warmup,1,1048576,0,1.906394958,8744244498848351370,0,0,0,8704,0,4096,0.001999000
L1,8,512,0.500,hit,e_proved,warmup,1,1048576,0,1.822471619,8744244498848351370,0,0,0,12800,0,4096,0.001911000
L1,8,512,0.500,hit,d_folded,warmup,1,1048576,0,1.884460449,8744244498848351370,0,0,0,8704,0,4096,0.001976000
L1,8,512,0.500,hit,c_box,warmup,1,1048576,0,1.706123352,8744244498848351370,0,0,0,4608,4096,4096,0.001789000
L1,8,512,0.500,hit,b_tag,warmup,1,1048576,0,1.835823059,8744244498848351370,0,0,0,12800,0,4096,0.001925000
L1,8,512,0.500,hit,c_box,measure,0,1048576,0,1.704216003,13607813673022798064,0,0,1,4608,4096,4096,0.001787000
L1,8,512,0.500,hit,d_folded,measure,0,1048576,0,1.797676086,13607813673022798064,0,0,0,8704,0,4096,0.001885000
L1,8,512,0.500,hit,e_proved,measure,0,1048576,0,1.748085022,13607813673022798064,0,0,0,12800,0,4096,0.001833000
L1,8,512,0.500,hit,a_raw,measure,0,1048576,0,1.802444458,13607813673022798064,0,0,0,8704,0,4096,0.001890000
L1,8,512,0.500,hit,b_tag,measure,0,1048576,0,1.774787903,13607813673022798064,0,0,0,12800,0,4096,0.001861000
L1,8,512,0.500,hit,c_box,measure,1,1048576,0,1.683235168,1526585796666603796,0,0,1,4608,4096,4096,0.001765000
L1,8,512,0.500,hit,b_tag,measure,1,1048576,0,1.904487610,1526585796666603796,0,0,0,12800,0,4096,0.001997000
L1,8,512,0.500,hit,a_raw,measure,1,1048576,0,1.856803894,1526585796666603796,0,0,0,8704,0,4096,0.001947000
L1,8,512,0.500,hit,e_proved,measure,1,1048576,0,1.793861389,1526585796666603796,0,0,0,12800,0,4096,0.001881000
L1,8,512,0.500,hit,d_folded,measure,1,1048576,0,1.939773560,1526585796666603796,0,0,0,8704,0,4096,0.002034000
L1,8,512,0.500,hit,e_proved,measure,2,1048576,0,1.760482788,1455953095779767772,0,0,0,12800,0,4096,0.001846000
L1,8,512,0.500,hit,a_raw,measure,2,1048576,0,1.849174500,1455953095779767772,0,0,1,8704,0,4096,0.001939000
