tier,payload,capacity,load,workload,variant,phase,rep,ops,builds,ns_per_op,checksum,minor_faults,major_faults,invol_cs,table_bytes,entry_bytes,query_bytes,seconds
L1,8,512,0.500,hit,a_raw,warmup,0,1048576,0,1.797914505,17589338862363416037,0,0,0,8704,0,4096,0.001885250
L1,8,512,0.500,hit,b_tag,warmup,0,1048576,0,1.768231392,17589338862363416037,0,0,0,12800,0,4096,0.001854125
L1,8,512,0.500,hit,c_box,warmup,0,1048576,0,1.653392792,17589338862363416037,0,0,0,4608,4096,4096,0.001733708
L1,8,512,0.500,hit,d_folded,warmup,0,1048576,0,1.794536591,17589338862363416037,0,0,0,8704,0,4096,0.001881708
L1,8,512,0.500,hit,e_proved,warmup,0,1048576,0,1.749873161,17589338862363416037,0,0,0,12800,0,4096,0.001834875
L1,8,512,0.500,hit,a_raw,warmup,1,1048576,0,1.797914505,8744244498848351370,0,0,0,8704,0,4096,0.001885250
L1,8,512,0.500,hit,e_proved,warmup,1,1048576,0,1.741926193,8744244498848351370,0,0,0,12800,0,4096,0.001826542
L1,8,512,0.500,hit,d_folded,warmup,1,1048576,0,1.801291466,8744244498848351370,0,0,0,8704,0,4096,0.001888791
L1,8,512,0.500,hit,c_box,warmup,1,1048576,0,1.639763832,8744244498848351370,0,0,0,4608,4096,4096,0.001719417
L1,8,512,0.500,hit,b_tag,warmup,1,1048576,0,1.759329796,8744244498848351370,0,0,0,12800,0,4096,0.001844791
L1,8,512,0.500,hit,c_box,measure,0,1048576,0,1.656174660,13607813673022798064,0,0,0,4608,4096,4096,0.001736625
L1,8,512,0.500,hit,d_folded,measure,0,1048576,0,1.805782318,13607813673022798064,0,0,0,8704,0,4096,0.001893500
L1,8,512,0.500,hit,e_proved,measure,0,1048576,0,1.754283905,13607813673022798064,0,0,0,12800,0,4096,0.001839500
L1,8,512,0.500,hit,a_raw,measure,0,1048576,0,1.801609993,13607813673022798064,0,0,0,8704,0,4096,0.001889125
L1,8,512,0.500,hit,b_tag,measure,0,1048576,0,1.750865936,13607813673022798064,0,0,0,12800,0,4096,0.001835916
L1,8,512,0.500,hit,c_box,measure,1,1048576,0,1.633922577,1526585796666603796,0,0,0,4608,4096,4096,0.001713292
L1,8,512,0.500,hit,b_tag,measure,1,1048576,0,1.762351036,1526585796666603796,0,0,0,12800,0,4096,0.001847959
L1,8,512,0.500,hit,a_raw,measure,1,1048576,0,1.794615746,1526585796666603796,0,0,0,8704,0,4096,0.001881791
L1,8,512,0.500,hit,e_proved,measure,1,1048576,0,1.745502472,1526585796666603796,0,0,0,12800,0,4096,0.001830292
L1,8,512,0.500,hit,d_folded,measure,1,1048576,0,1.797636986,1526585796666603796,0,0,0,8704,0,4096,0.001884959
L1,8,512,0.500,hit,e_proved,measure,2,1048576,0,1.750390053,1455953095779767772,0,0,0,12800,0,4096,0.001835417
L1,8,512,0.500,hit,a_raw,measure,2,1048576,0,1.795491219,1455953095779767772,0,0,0,8704,0,4096,0.001882709
L1,8,512,0.500,hit,b_tag,measure,2,1048576,0,1.758536339,1455953095779767772,0,0,0,12800,0,4096,0.001843959
L1,8,512,0.500,hit,c_box,measure,2,1048576,0,1.641233444,1455953095779767772,0,0,0,4608,4096,4096,0.001720958
L1,8,512,0.500,hit,d_folded,measure,2,1048576,0,1.829346657,1455953095779767772,0,0,0,8704,0,4096,0.001918209
L1,8,512,0.500,hit,e_proved,measure,3,1048576,0,1.743158340,8357822235541906284,0,0,0,12800,0,4096,0.001827834
L1,8,512,0.500,hit,d_folded,measure,3,1048576,0,1.791913986,8357822235541906284,0,0,0,8704,0,4096,0.001878958
L1,8,512,0.500,hit,c_box,measure,3,1048576,0,1.638254166,8357822235541906284,0,0,0,4608,4096,4096,0.001717834
L1,8,512,0.500,hit,b_tag,measure,3,1048576,0,1.757979393,8357822235541906284,0,0,0,12800,0,4096,0.001843375
L1,8,512,0.500,hit,a_raw,measure,3,1048576,0,1.792033195,8357822235541906284,0,0,0,8704,0,4096,0.001879083
L1,8,512,0.500,hit,b_tag,measure,4,1048576,0,1.756708145,12692767448059465492,0,0,0,12800,0,4096,0.001842042
L1,8,512,0.500,hit,c_box,measure,4,1048576,0,1.636703491,12692767448059465492,0,0,0,4608,4096,4096,0.001716208
