pass,variant,wall_ms,user_ms,system_ms
1,N.direct,175.440000,70.340000,103.470000
1,N.pool2,107.161000,73.288000,136.807000
1,N.pool4,83.096000,76.295000,230.080000
1,N.pool8,83.608000,81.229000,429.481000
1,WF.narrow.no-overlap,192.567000,78.169000,125.577000
1,WF.narrow.default,198.004000,79.308000,131.297000
1,WF.loop.no-overlap,200.565000,82.334000,129.895000
1,WF.loop.default,201.241000,82.545000,130.979000
1,WF.wide.no-overlap,195.084000,78.519000,127.719000
1,WF.wide.default,191.844000,77.164000,124.435000
1,WF.wide8.no-overlap,188.534000,75.727000,121.364000
1,WF.wide8.default,187.766000,75.756000,120.624000
2,WF.wide8.default,185.938000,75.715000,118.737000
2,WF.wide8.no-overlap,194.483000,77.345000,127.666000
2,WF.wide.default,191.416000,77.679000,124.027000
2,WF.wide.no-overlap,190.924000,77.461000,123.571000
2,WF.loop.default,200.093000,81.803000,130.090000
2,WF.loop.no-overlap,201.934000,82.344000,132.430000
2,WF.narrow.default,193.463000,78.764000,126.575000
2,WF.narrow.no-overlap,194.242000,78.781000,127.649000
2,N.pool8,86.264000,80.862000,449.856000
2,N.pool4,83.353000,75.953000,226.046000
2,N.pool2,99.824000,72.632000,122.151000
2,N.direct,169.249000,69.812000,98.459000
3,N.direct,169.674000,69.955000,98.747000
3,N.pool2,103.122000,72.913000,129.104000
3,N.pool4,83.327000,76.303000,224.406000
3,N.pool8,79.276000,79.199000,344.923000
3,WF.narrow.no-overlap,192.315000,78.399000,125.104000
3,WF.narrow.default,189.452000,77.897000,122.187000
3,WF.loop.no-overlap,201.243000,82.526000,131.857000
3,WF.loop.default,202.827000,81.889000,132.696000
3,WF.wide.no-overlap,229.348000,79.294000,163.740000
3,WF.wide.default,212.518000,77.947000,146.003000
3,WF.wide8.no-overlap,198.451000,78.166000,131.709000
3,WF.wide8.default,202.873000,78.384000,127.273000
4,WF.wide8.default,345.482000,88.365000,171.638000
4,WF.wide8.no-overlap,354.551000,91.384000,187.243000
4,WF.wide.default,328.424000,91.888000,234.640000
4,WF.wide.no-overlap,299.977000,90.322000,237.260000
4,WF.loop.default,318.493000,96.775000,255.628000
4,WF.loop.no-overlap,268.051000,91.510000,217.195000
4,WF.narrow.default,223.474000,82.303000,155.638000
4,WF.narrow.no-overlap,213.391000,84.914000,152.834000
4,N.pool8,94.756000,81.051000,275.189000
4,N.pool4,105.759000,82.606000,285.388000
4,N.pool2,127.881000,77.663000,173.417000
4,N.direct,181.725000,73.690000,105.938000
5,N.direct,177.042000,73.082000,102.778000
5,N.pool2,142.363000,78.907000,201.259000
5,N.pool4,93.220000,79.330000,241.379000
5,N.pool8,98.629000,82.237000,276.947000
5,WF.narrow.no-overlap,202.435000,83.500000,140.627000
5,WF.narrow.default,203.464000,82.925000,137.965000
5,WF.loop.no-overlap,208.796000,86.020000,137.410000
5,WF.loop.default,213.881000,86.718000,142.761000
5,WF.wide.no-overlap,218.713000,87.148000,165.176000
5,WF.wide.default,200.430000,81.158000,131.739000
5,WF.wide8.no-overlap,205.603000,82.522000,140.991000
5,WF.wide8.default,242.991000,85.361000,183.450000
6,WF.wide8.default,253.846000,83.737000,188.859000
6,WF.wide8.no-overlap,221.176000,82.472000,156.224000
6,WF.wide.default,202.187000,81.472000,132.897000
6,WF.wide.no-overlap,218.980000,87.369000,164.679000
6,WF.loop.default,221.870000,88.991000,155.685000
6,WF.loop.no-overlap,222.595000,89.394000,156.990000
6,WF.narrow.default,258.127000,85.909000,199.322000
6,WF.narrow.no-overlap,237.874000,82.838000,172.684000
6,N.pool8,88.876000,81.609000,353.249000
6,N.pool4,98.812000,79.373000,253.546000
6,N.pool2,119.011000,75.799000,155.633000
6,N.direct,181.035000,73.282000,106.262000
7,N.direct,176.592000,72.732000,102.510000
7,N.pool2,133.124000,77.240000,182.646000
7,N.pool4,90.026000,78.221000,246.585000
7,N.pool8,91.122000,82.474000,328.972000
7,WF.narrow.no-overlap,202.183000,81.980000,135.143000
7,WF.narrow.default,204.907000,82.297000,138.246000
7,WF.loop.no-overlap,223.873000,89.036000,157.685000
7,WF.loop.default,220.442000,87.747000,152.207000
7,WF.wide.no-overlap,251.741000,83.575000,188.342000
7,WF.wide.default,239.838000,81.050000,173.725000
7,WF.wide8.no-overlap,233.740000,79.478000,163.783000
7,WF.wide8.default,212.875000,78.335000,145.680000
