cohort,pass,label,wall_ms,user_ms,system_ms
default,1,N.direct,227.692000,83.131000,143.388000
default,1,N.public,240.299000,87.236000,151.854000
default,1,N.body,242.723000,88.393000,153.165000
default,1,WF.narrow,249.426000,93.419000,189.468000
default,1,WF.narrow.seq,259.487000,95.167000,176.158000
default,1,WF.loop,285.841000,108.468000,219.671000
default,1,WF.loop.seq,245.480000,91.059000,153.193000
default,2,WF.loop.seq,258.247000,98.810000,197.665000
default,2,WF.loop,286.630000,107.663000,216.486000
default,2,WF.narrow.seq,275.620000,103.526000,211.351000
default,2,WF.narrow,304.109000,105.157000,231.798000
default,2,N.body,360.359000,108.408000,295.059000
default,2,N.public,291.531000,110.153000,222.365000
default,2,N.direct,254.960000,94.026000,159.709000
default,3,N.direct,245.688000,89.875000,154.260000
default,3,N.public,241.396000,89.519000,165.798000
default,3,N.body,246.018000,89.694000,155.070000
default,3,WF.narrow,251.390000,90.149000,159.737000
default,3,WF.narrow.seq,242.150000,86.907000,154.031000
default,3,WF.loop,262.843000,96.311000,165.304000
default,3,WF.loop.seq,258.728000,95.975000,178.420000
default,4,WF.loop.seq,299.395000,107.973000,232.890000
default,4,WF.loop,360.995000,108.919000,294.002000
default,4,WF.narrow.seq,278.434000,103.637000,214.761000
default,4,WF.narrow,274.424000,98.946000,177.977000
default,4,N.body,326.352000,119.184000,252.943000
default,4,N.public,324.608000,120.104000,251.105000
default,4,N.direct,280.370000,101.935000,176.945000
default,5,N.direct,289.144000,102.187000,179.567000
default,5,N.public,315.142000,116.131000,238.255000
default,5,N.body,298.301000,111.796000,229.607000
default,5,WF.narrow,304.316000,114.501000,233.007000
default,5,WF.narrow.seq,383.200000,124.551000,302.150000
default,5,WF.loop,444.824000,135.231000,360.267000
default,5,WF.loop.seq,362.603000,134.411000,279.967000
default,6,WF.loop.seq,462.379000,173.806000,358.618000
default,6,WF.loop,361.258000,137.252000,277.831000
default,6,WF.narrow.seq,307.643000,116.253000,237.624000
default,6,WF.narrow,301.739000,110.021000,231.791000
default,6,N.body,307.433000,116.291000,236.734000
default,6,N.public,304.157000,115.539000,231.344000
default,6,N.direct,255.165000,93.830000,159.966000
default,7,N.direct,241.247000,89.204000,150.842000
default,7,N.public,323.862000,104.254000,249.809000
default,7,N.body,789.628000,215.813000,624.098000
default,7,WF.narrow,572.828000,216.214000,441.219000
default,7,WF.narrow.seq,396.181000,149.702000,304.409000
default,7,WF.loop,329.248000,125.176000,253.412000
default,7,WF.loop.seq,287.511000,109.490000,219.510000
no-helpers,1,N.direct,278.046000,100.735000,175.588000
no-helpers,1,N.public,274.440000,100.634000,172.366000
no-helpers,1,N.body,261.183000,95.949000,163.530000
no-helpers,1,WF.narrow,263.086000,94.956000,166.404000
no-helpers,1,WF.narrow.seq,264.927000,95.369000,167.735000
no-helpers,1,WF.loop,276.043000,100.171000,174.142000
no-helpers,1,WF.loop.seq,272.461000,99.739000,171.054000
no-helpers,2,WF.loop.seq,261.602000,96.371000,164.052000
no-helpers,2,WF.loop,241.946000,88.945000,151.730000
no-helpers,2,WF.narrow.seq,304.248000,85.492000,217.639000
no-helpers,2,WF.narrow,270.615000,92.794000,176.676000
no-helpers,2,N.body,266.173000,96.037000,168.418000
no-helpers,2,N.public,306.325000,110.963000,193.630000
no-helpers,2,N.direct,289.684000,106.132000,182.140000
no-helpers,3,N.direct,275.512000,101.096000,173.106000
no-helpers,3,N.public,261.843000,96.252000,164.417000
no-helpers,3,N.body,240.128000,89.019000,149.932000
no-helpers,3,WF.narrow,232.135000,84.811000,146.222000
no-helpers,3,WF.narrow.seq,238.210000,86.500000,150.513000
no-helpers,3,WF.loop,233.087000,85.094000,146.718000
no-helpers,3,WF.loop.seq,248.151000,90.874000,156.152000
no-helpers,4,WF.loop.seq,259.462000,94.572000,163.188000
no-helpers,4,WF.loop,245.774000,88.794000,155.469000
no-helpers,4,WF.narrow.seq,233.844000,84.548000,147.878000
no-helpers,4,WF.narrow,226.142000,81.018000,144.018000
no-helpers,4,N.body,336.053000,94.173000,238.565000
no-helpers,4,N.public,270.479000,93.859000,174.900000
no-helpers,4,N.direct,229.774000,83.624000,144.866000
no-helpers,5,N.direct,233.253000,84.661000,147.411000
no-helpers,5,N.public,226.495000,82.612000,142.615000
no-helpers,5,N.body,224.247000,81.744000,141.389000
no-helpers,5,WF.narrow,226.311000,82.528000,142.697000
no-helpers,5,WF.narrow.seq,224.083000,82.393000,140.625000
no-helpers,5,WF.loop,229.874000,84.100000,144.740000
no-helpers,5,WF.loop.seq,272.873000,98.036000,173.458000
no-helpers,6,WF.loop.seq,267.499000,99.555000,166.591000
no-helpers,6,WF.loop,251.830000,92.329000,158.237000
no-helpers,6,WF.narrow.seq,241.955000,87.181000,153.277000
no-helpers,6,WF.narrow,228.751000,82.735000,144.888000
no-helpers,6,N.body,221.729000,81.475000,139.056000
no-helpers,6,N.public,233.233000,85.126000,146.223000
no-helpers,6,N.direct,214.327000,78.378000,134.861000
no-helpers,7,N.direct,228.716000,83.344000,144.172000
no-helpers,7,N.public,253.379000,93.040000,158.925000
no-helpers,7,N.body,231.227000,84.259000,145.741000
no-helpers,7,WF.narrow,247.349000,90.639000,155.580000
no-helpers,7,WF.narrow.seq,227.531000,83.087000,143.318000
no-helpers,7,WF.loop,230.372000,84.640000,144.613000
no-helpers,7,WF.loop.seq,231.379000,84.904000,145.318000
