cohort	attempt	pair	order	variant	wall_ms	user_ms	kernel_ms	worker_limit
compute	1	0	0	compute.seq	4803.003	4734.375	31.250	3
compute	1	0	1	compute.par	2518.097	6500.000	62.500	3
compute	1	0	2	control.compute	1010.271	2375.000	265.625	3
compute	1	1	0	control.compute	952.911	2531.250	171.875	3
compute	1	1	1	compute.seq	4794.940	4656.250	62.500	3
compute	1	1	2	compute.par	2007.710	5796.875	62.500	3
compute	1	2	0	compute.par	2002.663	5875.000	46.875	3
compute	1	2	1	control.compute	948.821	2453.125	109.375	3
compute	1	2	2	compute.seq	4763.956	4718.750	15.625	3
compute	1	3	0	control.compute	949.304	2515.625	187.500	3
compute	1	3	1	compute.par	2002.550	5843.750	93.750	3
compute	1	3	2	compute.seq	4760.342	4703.125	31.250	3
compute	1	4	0	compute.seq	4781.170	4703.125	46.875	3
compute	1	4	1	control.compute	947.998	2484.375	156.250	3
compute	1	4	2	compute.par	1998.432	5843.750	46.875	3
compute	1	5	0	compute.par	2164.106	6156.250	109.375	3
compute	1	5	1	compute.seq	4837.205	4734.375	31.250	3
compute	1	5	2	control.compute	962.883	2468.750	234.375	3
compute	1	6	0	compute.seq	4774.628	4718.750	15.625	3
compute	1	6	1	compute.par	2092.419	6093.750	31.250	3
compute	1	6	2	control.compute	957.485	2453.125	187.500	3
compute	1	7	0	control.compute	956.739	2406.250	218.750	3
compute	1	7	1	compute.seq	4775.681	4687.500	15.625	3
compute	1	7	2	compute.par	2007.218	5859.375	78.125	3
compute	1	8	0	compute.par	2019.849	5859.375	125.000	3
compute	1	8	1	control.compute	947.979	2437.500	140.625	3
compute	1	8	2	compute.seq	4770.827	4718.750	31.250	3
compute	1	9	0	control.compute	945.940	2359.375	250.000	3
compute	1	9	1	compute.par	2005.616	5906.250	15.625	3
compute	1	9	2	compute.seq	4758.209	4703.125	31.250	3
compute	1	10	0	compute.seq	4752.685	4656.250	0.000	3
compute	1	10	1	control.compute	950.113	2453.125	234.375	3
compute	1	10	2	compute.par	2005.185	5859.375	78.125	3
compute	1	11	0	compute.par	1997.823	5875.000	31.250	3
compute	1	11	1	compute.seq	4778.854	4734.375	31.250	3
compute	1	11	2	control.compute	951.598	2312.500	250.000	3
compute	1	12	0	compute.seq	4764.393	4703.125	46.875	3
compute	1	12	1	compute.par	2097.077	6078.125	31.250	3
compute	1	12	2	control.compute	987.955	2531.250	156.250	3
compute	1	13	0	control.compute	984.010	2453.125	203.125	3
compute	1	13	1	compute.seq	4796.206	4656.250	78.125	3
compute	1	13	2	compute.par	2021.565	5875.000	62.500	3
compute	1	14	0	compute.par	2031.395	5812.500	62.500	3
compute	1	14	1	control.compute	957.743	2328.125	328.125	3
compute	1	14	2	compute.seq	4794.198	4734.375	15.625	3
io-warm	1	0	0	io.no-overlap	199.572	15.625	171.875	3
io-warm	1	0	1	io.default	201.958	15.625	171.875	3
io-warm	1	0	2	control.short	170.713	453.125	62.500	3
io-warm	1	1	0	control.short	172.654	359.375	93.750	3
io-warm	1	1	1	io.no-overlap	201.049	31.250	156.250	3
io-warm	1	1	2	io.default	200.449	31.250	171.875	3
io-warm	1	2	0	io.default	202.068	31.250	156.250	3
io-warm	1	2	1	control.short	170.130	312.500	156.250	3
io-warm	1	2	2	io.no-overlap	210.350	0.000	203.125	3
io-warm	1	3	0	control.short	171.732	359.375	109.375	3
io-warm	1	3	1	io.default	197.335	0.000	203.125	3
io-warm	1	3	2	io.no-overlap	200.315	62.500	140.625	3
io-warm	1	4	0	io.no-overlap	196.797	15.625	171.875	3
io-warm	1	4	1	control.short	171.620	406.250	31.250	3
io-warm	1	4	2	io.default	206.986	46.875	140.625	3
io-warm	1	5	0	io.default	204.766	31.250	156.250	3
io-warm	1	5	1	io.no-overlap	197.888	15.625	187.500	3
io-warm	1	5	2	control.short	171.959	343.750	78.125	3
io-warm	1	6	0	io.no-overlap	196.039	46.875	140.625	3
io-warm	1	6	1	io.default	199.997	15.625	187.500	3
io-warm	1	6	2	control.short	171.688	421.875	46.875	3
io-warm	1	7	0	control.short	171.189	390.625	46.875	3
io-warm	1	7	1	io.no-overlap	201.866	31.250	156.250	3
io-warm	1	7	2	io.default	198.614	78.125	125.000	3
io-warm	1	8	0	io.default	210.977	46.875	187.500	3
io-warm	1	8	1	control.short	172.473	359.375	78.125	3
io-warm	1	8	2	io.no-overlap	196.259	62.500	140.625	3
io-warm	1	9	0	control.short	170.774	437.500	62.500	3
io-warm	1	9	1	io.default	198.907	46.875	140.625	3
io-warm	1	9	2	io.no-overlap	196.043	15.625	171.875	3
io-warm	1	10	0	io.no-overlap	200.178	15.625	171.875	3
io-warm	1	10	1	control.short	170.358	437.500	15.625	3
io-warm	1	10	2	io.default	196.210	62.500	125.000	3
io-warm	1	11	0	io.default	204.318	31.250	171.875	3
io-warm	1	11	1	io.no-overlap	196.526	31.250	156.250	3
io-warm	1	11	2	control.short	168.536	390.625	62.500	3
io-warm	1	12	0	io.no-overlap	195.982	31.250	125.000	3
io-warm	1	12	1	io.default	195.199	0.000	171.875	3
io-warm	1	12	2	control.short	170.129	375.000	93.750	3
