cohort	attempt	pair	order	variant	wall_ms	user_ms	kernel_ms
compute	1	0	0	compute.seq	4771.899	4703.125	46.875
compute	1	0	1	compute.par	1919.315	6484.375	93.750
compute	1	1	0	compute.par	2074.169	6593.750	187.500
compute	1	1	1	compute.seq	4863.954	4734.375	78.125
compute	1	2	0	compute.seq	4987.059	4890.625	62.500
compute	1	2	1	compute.par	2627.744	6546.875	140.625
compute	1	3	0	compute.par	2543.570	6671.875	156.250
compute	1	3	1	compute.seq	5134.540	5031.250	31.250
compute	1	4	0	compute.seq	5051.550	5015.625	31.250
compute	1	4	1	compute.par	2573.052	6562.500	156.250
compute	1	5	0	compute.par	2553.285	6484.375	140.625
compute	1	5	1	compute.seq	5136.663	5093.750	31.250
compute	1	6	0	compute.seq	5236.354	5062.500	62.500
compute	1	6	1	compute.par	2493.048	6578.125	187.500
compute	1	7	0	compute.par	2422.975	6593.750	140.625
compute	1	7	1	compute.seq	4917.203	4828.125	31.250
compute	1	8	0	compute.seq	4768.013	4718.750	31.250
compute	1	8	1	compute.par	1734.995	6531.250	109.375
compute	1	9	0	compute.par	1729.918	6531.250	93.750
compute	1	9	1	compute.seq	4795.413	4734.375	31.250
compute	1	10	0	compute.seq	4789.571	4734.375	31.250
compute	1	10	1	compute.par	1755.371	6640.625	109.375
compute	1	11	0	compute.par	2150.814	6578.125	140.625
compute	1	11	1	compute.seq	5059.128	4687.500	93.750
compute	1	12	0	compute.seq	4794.423	4687.500	46.875
compute	1	12	1	compute.par	1745.562	6468.750	125.000
compute	1	13	0	compute.par	1734.632	6453.125	109.375
compute	1	13	1	compute.seq	4793.894	4703.125	46.875
compute	1	14	0	compute.seq	4770.727	4703.125	31.250
compute	1	14	1	compute.par	1720.840	6453.125	125.000
io-warm	1	0	0	io.no-overlap	235.638	46.875	171.875
io-warm	1	0	1	io.default	236.905	62.500	156.250
io-warm	1	1	0	io.default	247.999	78.125	140.625
io-warm	1	1	1	io.no-overlap	236.047	46.875	187.500
io-warm	1	2	0	io.no-overlap	227.967	15.625	203.125
io-warm	1	2	1	io.default	221.072	46.875	171.875
io-warm	1	3	0	io.default	223.768	78.125	140.625
io-warm	1	3	1	io.no-overlap	225.556	46.875	171.875
io-warm	1	4	0	io.no-overlap	237.646	78.125	140.625
io-warm	1	4	1	io.default	224.107	46.875	171.875
io-warm	1	5	0	io.default	222.917	62.500	140.625
io-warm	1	5	1	io.no-overlap	224.574	31.250	171.875
io-warm	1	6	0	io.no-overlap	224.012	46.875	156.250
io-warm	1	6	1	io.default	224.685	31.250	171.875
io-warm	1	7	0	io.default	220.386	15.625	171.875
io-warm	1	7	1	io.no-overlap	227.222	46.875	171.875
io-warm	1	8	0	io.no-overlap	224.714	62.500	171.875
io-warm	1	8	1	io.default	223.790	62.500	156.250
io-warm	1	9	0	io.default	221.859	46.875	171.875
io-warm	1	9	1	io.no-overlap	223.985	46.875	187.500
io-warm	1	10	0	io.no-overlap	243.390	46.875	203.125
io-warm	1	10	1	io.default	223.506	31.250	187.500
io-warm	1	11	0	io.default	221.711	0.000	234.375
io-warm	1	11	1	io.no-overlap	226.561	46.875	187.500
io-warm	1	12	0	io.no-overlap	225.190	31.250	171.875
io-warm	1	12	1	io.default	224.382	93.750	125.000
io-warm	1	13	0	io.default	221.078	46.875	156.250
io-warm	1	13	1	io.no-overlap	226.245	31.250	171.875
io-warm	1	14	0	io.no-overlap	226.214	31.250	187.500
io-warm	1	14	1	io.default	226.502	31.250	187.500
mixed-default	1	0	0	mixed.no-overlap	287.986	250.000	15.625
mixed-default	1	0	1	mixed.default	291.076	218.750	62.500
mixed-default	1	1	0	mixed.default	291.555	234.375	46.875
mixed-default	1	1	1	mixed.no-overlap	289.082	296.875	0.000
mixed-default	1	2	0	mixed.no-overlap	291.360	187.500	93.750
mixed-default	1	2	1	mixed.default	290.842	218.750	78.125
mixed-default	1	3	0	mixed.default	291.233	250.000	31.250
mixed-default	1	3	1	mixed.no-overlap	287.317	250.000	31.250
mixed-default	1	4	0	mixed.no-overlap	289.528	281.250	0.000
mixed-default	1	4	1	mixed.default	291.811	265.625	15.625
mixed-default	1	5	0	mixed.default	289.235	265.625	15.625
mixed-default	1	5	1	mixed.no-overlap	289.638	265.625	15.625
mixed-default	1	6	0	mixed.no-overlap	294.024	218.750	62.500
mixed-default	1	6	1	mixed.default	288.491	218.750	62.500
mixed-default	1	7	0	mixed.default	289.405	265.625	15.625
mixed-default	1	7	1	mixed.no-overlap	290.611	234.375	31.250
mixed-default	1	8	0	mixed.no-overlap	290.348	250.000	46.875
mixed-default	1	8	1	mixed.default	288.052	250.000	31.250
mixed-default	1	9	0	mixed.default	289.741	234.375	46.875
mixed-default	1	9	1	mixed.no-overlap	290.979	234.375	62.500
mixed-default	1	10	0	mixed.no-overlap	288.244	250.000	15.625
mixed-default	1	10	1	mixed.default	289.103	265.625	0.000
mixed-default	1	11	0	mixed.default	291.868	281.250	0.000
mixed-default	1	11	1	mixed.no-overlap	293.781	250.000	31.250
mixed-default	1	12	0	mixed.no-overlap	289.040	218.750	62.500
mixed-default	1	12	1	mixed.default	289.955	265.625	31.250
mixed-default	1	13	0	mixed.default	292.703	203.125	78.125
mixed-default	1	13	1	mixed.no-overlap	287.902	234.375	31.250
mixed-default	1	14	0	mixed.no-overlap	288.151	234.375	31.250
mixed-default	1	14	1	mixed.default	291.693	250.000	31.250
mixed-par	1	0	0	mixed.default	289.706	218.750	62.500
mixed-par	1	0	1	mixed.par	207.367	390.625	125.000
mixed-par	1	1	0	mixed.par	205.547	328.125	265.625
mixed-par	1	1	1	mixed.default	291.480	234.375	46.875
mixed-par	1	2	0	mixed.default	288.401	265.625	15.625
mixed-par	1	2	1	mixed.par	203.911	343.750	125.000
mixed-par	1	3	0	mixed.par	204.626	234.375	218.750
mixed-par	1	3	1	mixed.default	291.732	234.375	93.750
mixed-par	1	4	0	mixed.default	288.568	265.625	0.000
mixed-par	1	4	1	mixed.par	206.366	375.000	187.500
mixed-par	1	5	0	mixed.par	204.944	359.375	125.000
mixed-par	1	5	1	mixed.default	289.890	250.000	31.250
mixed-par	1	6	0	mixed.default	287.731	218.750	62.500
mixed-par	1	6	1	mixed.par	205.127	375.000	125.000
mixed-par	1	7	0	mixed.par	206.112	203.125	218.750
mixed-par	1	7	1	mixed.default	288.987	265.625	15.625
mixed-par	1	8	0	mixed.default	288.035	250.000	31.250
mixed-par	1	8	1	mixed.par	204.743	343.750	171.875
mixed-par	1	9	0	mixed.par	206.821	343.750	140.625
mixed-par	1	9	1	mixed.default	288.970	265.625	15.625
mixed-par	1	10	0	mixed.default	288.161	171.875	93.750
mixed-par	1	10	1	mixed.par	205.036	343.750	109.375
mixed-par	1	11	0	mixed.par	209.017	343.750	125.000
mixed-par	1	11	1	mixed.default	288.815	234.375	46.875
mixed-par	1	12	0	mixed.default	289.574	265.625	15.625
mixed-par	1	12	1	mixed.par	212.236	312.500	140.625
mixed-par	1	13	0	mixed.par	207.740	296.875	109.375
mixed-par	1	13	1	mixed.default	292.456	265.625	0.000
mixed-par	1	14	0	mixed.default	299.740	281.250	15.625
mixed-par	1	14	1	mixed.par	214.381	343.750	140.625
mixed-total	1	0	0	mixed.no-overlap	292.509	265.625	15.625
mixed-total	1	0	1	mixed.par	216.784	312.500	187.500
mixed-total	1	1	0	mixed.par	208.379	328.125	140.625
