cohort	pass	label	wall_ms	user_ms	system_ms
calibration	0	rayon.w4.g16	355.145254	1370.892000	36.862000
calibration	0	rayon.w4.g4	354.057880	1344.233000	63.057000
calibration	0	rayon.w4.g1	353.540914	1357.814000	49.956000
calibration	0	rayon.w2.g16	671.129896	1324.778000	15.997000
calibration	0	rayon.w2.g4	671.621394	1325.684000	15.972000
calibration	0	rayon.w2.g1	672.147224	1329.841000	12.998000
calibration	0	rayon.w1.g16	1321.325582	1320.216000	1.000000
calibration	0	rayon.w1.g4	1321.996941	1319.821000	1.999000
calibration	0	rayon.w1.g1	1324.891349	1322.776000	1.999000
calibration	0	rust-seq	1320.824494	1319.552000	0.999000
calibration	1	rust-seq	1320.451713	1318.113000	1.998000
calibration	1	rayon.w1.g1	1326.436395	1326.288000	0.000000
calibration	1	rayon.w1.g4	1321.906463	1320.704000	0.999000
calibration	1	rayon.w1.g16	1321.362767	1320.131000	1.000000
calibration	1	rayon.w2.g1	672.167572	1326.935000	15.999000
calibration	1	rayon.w2.g4	670.773009	1326.096000	14.011000
calibration	1	rayon.w2.g16	669.674072	1317.893000	19.998000
calibration	1	rayon.w4.g1	356.526538	1334.174000	75.122000
calibration	1	rayon.w4.g4	353.754176	1354.556000	52.291000
calibration	1	rayon.w4.g16	354.520708	1330.993000	76.113000
calibration	2	rayon.w4.g16	352.799892	1350.993000	52.921000
calibration	2	rayon.w4.g4	352.783828	1359.049000	44.968000
calibration	2	rayon.w4.g1	357.359094	1337.877000	71.046000
calibration	2	rayon.w2.g16	670.073733	1328.731000	9.997000
calibration	2	rayon.w2.g4	670.434746	1324.411000	14.993000
calibration	2	rayon.w2.g1	672.180730	1331.036000	12.000000
calibration	2	rayon.w1.g16	1321.222622	1321.035000	0.000000
calibration	2	rayon.w1.g4	1321.860921	1320.688000	0.999000
calibration	2	rayon.w1.g1	1341.669060	1339.458000	1.999000
calibration	2	rust-seq	1321.009020	1318.755000	1.999000
confirmation	0	wf-par.w4	425.538950	1404.296000	68.014000
confirmation	0	wf-par.w2	709.219346	1337.158000	39.974000
confirmation	0	wf-par.w1	1356.160366	1321.237000	34.006000
confirmation	0	wf-seq	1332.260216	1328.985000	2.999000
confirmation	0	rayon.w4.g4	353.969311	1332.014000	74.056000
confirmation	0	rayon.w2.g16	670.373819	1326.376000	13.003000
confirmation	0	rayon.w1.g16	1324.429782	1323.282000	1.000000
confirmation	0	rust-seq	1330.024926	1327.735000	1.999000
confirmation	1	rust-seq	1322.736364	1321.425000	1.000000
confirmation	1	rayon.w1.g16	1321.850097	1320.676000	1.000000
confirmation	1	rayon.w2.g16	670.141821	1325.872000	12.998000
confirmation	1	rayon.w4.g4	354.186554	1338.127000	68.903000
confirmation	1	wf-seq	1329.695704	1327.418000	2.000000
confirmation	1	wf-par.w1	1356.982313	1321.849000	33.970000
confirmation	1	wf-par.w2	707.680807	1345.635000	32.991000
confirmation	1	wf-par.w4	425.517162	1412.825000	56.912000
confirmation	2	wf-par.w4	426.089759	1393.353000	77.796000
confirmation	2	wf-par.w2	705.586481	1340.389000	36.010000
confirmation	2	wf-par.w1	1354.488367	1321.488000	31.987000
confirmation	2	wf-seq	1326.399221	1322.112000	4.000000
confirmation	2	rayon.w4.g4	354.039430	1340.953000	65.850000
confirmation	2	rayon.w2.g16	670.389201	1324.289000	15.003000
confirmation	2	rayon.w1.g16	1321.482153	1320.303000	1.000000
confirmation	2	rust-seq	1320.695032	1319.361000	0.999000
confirmation	3	rust-seq	1320.813275	1319.541000	0.999000
confirmation	3	rayon.w1.g16	1321.323244	1320.170000	1.000000
confirmation	3	rayon.w2.g16	669.571491	1319.750000	17.996000
confirmation	3	rayon.w4.g4	353.330332	1344.702000	60.031000
confirmation	3	wf-seq	1331.701520	1328.386000	2.998000
confirmation	3	wf-par.w1	1359.787994	1320.444000	37.955000
confirmation	3	wf-par.w2	706.972127	1343.372000	34.983000
confirmation	3	wf-par.w4	429.286927	1392.541000	81.914000
confirmation	4	wf-par.w4	423.837995	1390.682000	78.150000
confirmation	4	wf-par.w2	710.121251	1343.816000	35.968000
confirmation	4	wf-par.w1	1355.436642	1321.470000	32.961000
confirmation	4	wf-seq	1326.198093	1322.901000	2.999000
confirmation	4	rayon.w4.g4	354.203410	1346.583000	60.845000
confirmation	4	rayon.w2.g16	670.599596	1321.804000	17.997000
confirmation	4	rayon.w1.g16	1321.099243	1318.974000	1.998000
confirmation	4	rust-seq	1320.565225	1320.310000	0.000000
