cohort	pass	label	wall_ms	user_ms	system_ms
calibration	0	rayon.w4.g16	536.373000	1693.474000	93.446000
calibration	0	rayon.w4.g4	511.216000	1698.206000	95.920000
calibration	0	rayon.w4.g1	493.181000	1705.797000	82.810000
calibration	0	rayon.w2.g16	861.945000	1631.136000	27.745000
calibration	0	rayon.w2.g4	861.535000	1630.783000	27.986000
calibration	0	rayon.w2.g1	844.088000	1629.249000	21.488000
calibration	0	rayon.w1.g16	1607.502000	1589.472000	10.438000
calibration	0	rayon.w1.g4	1611.886000	1590.887000	12.806000
calibration	0	rayon.w1.g1	1606.100000	1588.587000	10.271000
calibration	0	rust-seq	1611.511000	1591.942000	11.235000
calibration	1	rust-seq	1610.601000	1592.301000	10.921000
calibration	1	rayon.w1.g1	1612.772000	1591.138000	11.088000
calibration	1	rayon.w1.g4	1607.502000	1588.816000	11.138000
calibration	1	rayon.w1.g16	1605.408000	1588.085000	10.080000
calibration	1	rayon.w2.g1	841.345000	1621.771000	25.151000
calibration	1	rayon.w2.g4	850.316000	1618.875000	28.230000
calibration	1	rayon.w2.g16	845.111000	1617.673000	22.535000
calibration	1	rayon.w4.g1	488.657000	1692.757000	79.340000
calibration	1	rayon.w4.g4	508.433000	1687.650000	96.206000
calibration	1	rayon.w4.g16	532.756000	1683.769000	90.580000
calibration	2	rayon.w4.g16	532.114000	1681.009000	90.074000
calibration	2	rayon.w4.g4	506.000000	1686.155000	95.712000
calibration	2	rayon.w4.g1	487.923000	1694.144000	73.202000
calibration	2	rayon.w2.g16	844.243000	1616.211000	22.203000
calibration	2	rayon.w2.g4	857.741000	1625.938000	27.668000
calibration	2	rayon.w2.g1	833.848000	1610.656000	25.277000
calibration	2	rayon.w1.g16	1585.007000	1558.845000	18.582000
calibration	2	rayon.w1.g4	1585.030000	1561.192000	16.690000
calibration	2	rayon.w1.g1	1589.303000	1562.990000	18.727000
calibration	2	rust-seq	1580.213000	1556.573000	16.709000
confirmation	0	wf-par.w4	491.494000	1710.472000	96.414000
confirmation	0	wf-par.w2	848.640000	1620.566000	35.280000
confirmation	0	wf-par.w1	1602.574000	1557.008000	35.819000
confirmation	0	wf-seq	1583.739000	1554.664000	21.297000
confirmation	0	rayon.w4.g1	486.490000	1695.449000	78.036000
confirmation	0	rayon.w2.g1	833.458000	1607.711000	23.974000
confirmation	0	rayon.w1.g16	1588.147000	1561.109000	16.765000
confirmation	0	rust-seq	1586.330000	1561.127000	16.746000
confirmation	1	rust-seq	1591.349000	1562.982000	19.672000
confirmation	1	rayon.w1.g16	1583.181000	1557.506000	18.161000
confirmation	1	rayon.w2.g1	837.886000	1611.969000	24.422000
confirmation	1	rayon.w4.g1	488.013000	1694.722000	77.722000
confirmation	1	wf-seq	1586.688000	1556.378000	21.122000
confirmation	1	wf-par.w1	1600.856000	1556.734000	32.310000
confirmation	1	wf-par.w2	844.375000	1617.451000	28.872000
confirmation	1	wf-par.w4	494.775000	1718.799000	95.927000
confirmation	2	wf-par.w4	491.888000	1714.938000	91.615000
confirmation	2	wf-par.w2	845.064000	1618.567000	29.649000
confirmation	2	wf-par.w1	1605.478000	1562.868000	33.071000
confirmation	2	wf-seq	1603.104000	1579.510000	14.186000
confirmation	2	rayon.w4.g1	490.908000	1696.071000	76.860000
confirmation	2	rayon.w2.g1	833.043000	1608.078000	21.928000
confirmation	2	rayon.w1.g16	1584.779000	1558.379000	18.675000
confirmation	2	rust-seq	1585.799000	1556.039000	19.047000
confirmation	3	rust-seq	1582.188000	1557.609000	17.318000
confirmation	3	rayon.w1.g16	1585.557000	1556.555000	21.416000
confirmation	3	rayon.w2.g1	836.017000	1607.772000	23.005000
confirmation	3	rayon.w4.g1	486.268000	1697.243000	77.832000
confirmation	3	wf-seq	1585.541000	1556.429000	20.021000
confirmation	3	wf-par.w1	1605.786000	1558.272000	32.541000
confirmation	3	wf-par.w2	855.288000	1627.921000	34.414000
confirmation	3	wf-par.w4	491.193000	1711.212000	93.944000
confirmation	4	wf-par.w4	493.240000	1712.204000	98.340000
confirmation	4	wf-par.w2	852.291000	1620.176000	26.808000
confirmation	4	wf-par.w1	1688.850000	1561.394000	36.549000
confirmation	4	wf-seq	1583.511000	1557.051000	18.810000
confirmation	4	rayon.w4.g1	489.415000	1695.806000	77.950000
confirmation	4	rayon.w2.g1	834.446000	1606.199000	24.459000
confirmation	4	rayon.w1.g16	1619.895000	1562.228000	18.783000
confirmation	4	rust-seq	1587.199000	1559.460000	18.847000
