pass	label	wall_ms	user_ms	system_ms
0	wf.w4.s1100.b16	5174.858824	19987.100000	356.734000
0	wf.w4.s12.b16	5136.126506	19987.801000	323.770000
0	rayon.w4.g4.b16	5047.933892	19334.346000	781.205000
0	wf.w4.s1100.b4	1337.228325	5009.610000	108.904000
0	wf.w4.s12.b4	1332.110232	5012.306000	88.093000
0	rayon.w4.g4.b4	1264.628711	4831.630000	199.984000
0	wf.w4.s1100.b1	385.863268	1260.031000	58.861000
0	wf.w4.s12.b1	360.549172	1266.828000	24.015000
0	rayon.w4.g4.b1	316.524546	1207.829000	52.165000
1	rayon.w4.g4.b1	317.818690	1207.710000	54.031000
1	wf.w4.s12.b1	358.050312	1268.385000	21.972000
1	wf.w4.s1100.b1	385.373821	1273.369000	43.943000
1	rayon.w4.g4.b4	1308.006786	4838.222000	235.767000
1	wf.w4.s12.b4	1312.608803	4989.337000	102.965000
1	wf.w4.s1100.b4	1339.812405	5027.867000	92.905000
1	rayon.w4.g4.b16	5058.045401	19348.528000	781.980000
1	wf.w4.s12.b16	5159.605452	20015.182000	312.049000
1	wf.w4.s1100.b16	5162.215178	19980.799000	351.767000
2	wf.w4.s1100.b16	5169.812449	19988.666000	356.797000
2	wf.w4.s12.b16	5140.210000	19988.502000	322.830000
2	rayon.w4.g4.b16	5062.669896	19404.606000	729.571000
2	wf.w4.s1100.b4	1342.033478	5015.710000	105.909000
2	wf.w4.s12.b4	1317.656465	5017.917000	76.029000
2	rayon.w4.g4.b4	1266.598061	4838.793000	196.869000
2	wf.w4.s1100.b1	382.286766	1267.157000	47.930000
2	wf.w4.s12.b1	362.472186	1266.647000	24.012000
2	rayon.w4.g4.b1	316.475514	1199.954000	58.997000
3	rayon.w4.g4.b1	319.374237	1211.002000	51.211000
3	wf.w4.s12.b1	371.870977	1278.199000	15.989000
3	wf.w4.s1100.b1	385.825357	1271.847000	44.994000
3	rayon.w4.g4.b4	1273.851853	4842.159000	194.925000
3	wf.w4.s12.b4	1310.305243	5009.525000	79.912000
3	wf.w4.s1100.b4	1344.271929	5017.249000	104.838000
3	rayon.w4.g4.b16	5054.033493	19324.950000	798.584000
3	wf.w4.s12.b16	5133.111654	19961.181000	343.693000
3	wf.w4.s1100.b16	5156.113895	19950.720000	375.693000
4	wf.w4.s1100.b16	5189.937402	19970.055000	389.630000
4	wf.w4.s12.b16	5136.024630	19982.598000	323.944000
4	rayon.w4.g4.b16	5100.616283	19317.147000	858.784000
4	wf.w4.s1100.b4	1347.576927	5011.040000	117.000000
4	wf.w4.s12.b4	1316.288798	5009.726000	89.066000
4	rayon.w4.g4.b4	1265.467456	4834.981000	199.205000
4	wf.w4.s1100.b1	381.703175	1265.975000	49.037000
4	wf.w4.s12.b1	359.398091	1261.950000	28.998000
4	rayon.w4.g4.b1	318.230058	1198.216000	62.853000
