pass	label	wall_ms	user_ms	system_ms
0	wf.w4.s12.rdisabled.b16	5759.971875	22139.552000	571.194000
0	wf.w4.s12.rdefault.b16	5766.007897	22140.180000	590.351000
0	rayon.w4.g4.b16	5639.331875	21548.092000	920.277000
0	wf.w4.s12.rdisabled.b1	402.897819	1397.481000	48.946000
0	wf.w4.s12.rdefault.b1	396.168574	1390.859000	51.957000
0	rayon.w4.g4.b1	353.531279	1310.704000	95.905000
1	rayon.w4.g4.b1	353.108360	1352.487000	53.058000
1	wf.w4.s12.rdefault.b1	402.198133	1404.341000	37.061000
1	wf.w4.s12.rdisabled.b1	406.805649	1399.993000	51.145000
1	rayon.w4.g4.b16	5662.500542	21538.147000	933.876000
1	wf.w4.s12.rdefault.b16	5743.876742	22103.899000	598.240000
1	wf.w4.s12.rdisabled.b16	5753.208981	22113.815000	597.130000
2	wf.w4.s12.rdisabled.b16	5754.070199	22150.414000	564.755000
2	wf.w4.s12.rdefault.b16	5757.742645	22116.960000	618.138000
2	rayon.w4.g4.b16	5671.846880	21512.558000	998.840000
2	wf.w4.s12.rdisabled.b1	397.220876	1391.548000	50.091000
2	wf.w4.s12.rdefault.b1	398.571938	1413.399000	28.107000
2	rayon.w4.g4.b1	354.313602	1352.201000	54.048000
3	rayon.w4.g4.b1	354.256355	1350.506000	56.937000
3	wf.w4.s12.rdefault.b1	398.218975	1403.751000	39.822000
3	wf.w4.s12.rdisabled.b1	397.365163	1408.569000	33.989000
3	rayon.w4.g4.b16	5653.927202	21549.080000	935.742000
3	wf.w4.s12.rdefault.b16	5747.588993	22099.962000	610.302000
3	wf.w4.s12.rdisabled.b16	5741.446756	22094.628000	607.824000
4	wf.w4.s12.rdisabled.b16	5745.975817	22086.216000	628.063000
4	wf.w4.s12.rdefault.b16	5768.508508	22135.703000	581.333000
4	rayon.w4.g4.b16	5639.440634	21452.220000	1004.916000
4	wf.w4.s12.rdisabled.b1	397.815980	1400.899000	38.913000
4	wf.w4.s12.rdefault.b1	397.692925	1400.224000	41.946000
4	rayon.w4.g4.b1	355.657574	1344.196000	63.914000
