pass	label	wall_ms	user_ms	system_ms
0	wf.w4.s12.lanes.b16	4453.786008	17153.035000	449.551000
0	wf.w4.s12.manual.b16	4449.161231	17182.056000	419.757000
0	wf.w4.s12.ordinary.b16	4469.259398	17138.917000	479.053000
0	rayon.w4.g4.b16	4369.947961	16700.102000	723.614000
0	wf.w4.s12.lanes.b1	308.441675	1093.277000	25.098000
0	wf.w4.s12.manual.b1	312.443373	1094.862000	25.925000
0	wf.w4.s12.ordinary.b1	309.845105	1088.830000	30.050000
0	rayon.w4.g4.b1	276.712863	1045.269000	46.832000
1	rayon.w4.g4.b1	274.496878	1035.061000	56.057000
1	wf.w4.s12.ordinary.b1	311.732856	1090.108000	28.949000
1	wf.w4.s12.manual.b1	309.882964	1088.940000	30.053000
1	wf.w4.s12.lanes.b1	314.519512	1078.496000	41.056000
1	rayon.w4.g4.b16	4404.475138	16679.148000	778.446000
1	wf.w4.s12.ordinary.b16	4454.889049	17205.339000	401.681000
1	wf.w4.s12.manual.b16	4463.918026	17132.060000	470.166000
1	wf.w4.s12.lanes.b16	4454.994188	17151.901000	455.369000
2	wf.w4.s12.lanes.b16	4456.014960	17136.787000	469.048000
2	wf.w4.s12.manual.b16	4465.903229	17170.896000	453.917000
2	wf.w4.s12.ordinary.b16	4450.587097	17129.610000	477.738000
2	rayon.w4.g4.b16	4367.831072	16801.169000	616.042000
2	wf.w4.s12.lanes.b1	313.448261	1076.757000	43.110000
2	wf.w4.s12.manual.b1	309.814086	1098.891000	19.998000
2	wf.w4.s12.ordinary.b1	311.907434	1095.626000	26.014000
2	rayon.w4.g4.b1	274.565753	1035.036000	55.322000
3	rayon.w4.g4.b1	274.395637	1051.884000	38.921000
3	wf.w4.s12.ordinary.b1	310.029730	1077.402000	40.977000
3	wf.w4.s12.manual.b1	307.863302	1099.705000	18.926000
3	wf.w4.s12.lanes.b1	317.162632	1095.348000	27.082000
3	rayon.w4.g4.b16	4372.349018	16712.541000	721.031000
3	wf.w4.s12.ordinary.b16	4449.946181	17174.511000	426.615000
3	wf.w4.s12.manual.b16	4457.748517	17148.125000	460.191000
3	wf.w4.s12.lanes.b16	4455.309172	17155.585000	448.224000
4	wf.w4.s12.lanes.b16	4453.699952	17178.357000	425.909000
4	wf.w4.s12.manual.b16	4467.389771	17177.246000	449.189000
4	wf.w4.s12.ordinary.b16	4459.018158	17158.124000	451.292000
4	rayon.w4.g4.b16	4373.746267	16675.789000	754.899000
4	wf.w4.s12.lanes.b1	311.148014	1078.883000	34.122000
4	wf.w4.s12.manual.b1	315.666249	1093.672000	28.754000
4	wf.w4.s12.ordinary.b1	305.520370	1072.335000	44.178000
4	rayon.w4.g4.b1	273.952414	1038.436000	51.871000
