sample,block,cycle,row,position,variant,nanos,len,checksum
0,0,0,2,0,rust-naive,145741875,512000000,69
1,0,0,2,1,rust-assert,148375958,512000000,69
2,0,0,2,2,whitefoot-proof,92314833,512000000,69
3,0,0,2,3,rust-chunks-full,92662500,512000000,69
4,0,0,2,4,rust-unsafe,94837708,512000000,69
5,1,0,6,0,rust-chunks-full,89264041,512000000,69
6,1,0,6,1,rust-unsafe,93178416,512000000,69
7,1,0,6,2,rust-assert,143369750,512000000,69
8,1,0,6,3,whitefoot-proof,89777333,512000000,69
9,1,0,6,4,rust-naive,145833833,512000000,69
10,2,0,5,0,whitefoot-proof,90313625,512000000,69
11,2,0,5,1,rust-unsafe,96221250,512000000,69
12,2,0,5,2,rust-naive,144196709,512000000,69
13,2,0,5,3,rust-chunks-full,88922375,512000000,69
14,2,0,5,4,rust-assert,143228208,512000000,69
15,3,0,0,0,whitefoot-proof,89340500,512000000,69
16,3,0,0,1,rust-naive,144587959,512000000,69
17,3,0,0,2,rust-unsafe,94076667,512000000,69
18,3,0,0,3,rust-assert,145213792,512000000,69
19,3,0,0,4,rust-chunks-full,90333916,512000000,69
20,4,0,8,0,rust-unsafe,95160750,512000000,69
21,4,0,8,1,whitefoot-proof,105489833,512000000,69
22,4,0,8,2,rust-chunks-full,102444583,512000000,69
23,4,0,8,3,rust-naive,143351291,512000000,69
24,4,0,8,4,rust-assert,143750458,512000000,69
25,5,0,4,0,rust-assert,144906000,512000000,69
26,5,0,4,1,rust-chunks-full,91141416,512000000,69
27,5,0,4,2,rust-naive,143323000,512000000,69
28,5,0,4,3,rust-unsafe,92354250,512000000,69
29,5,0,4,4,whitefoot-proof,89238542,512000000,69
30,6,0,9,0,rust-assert,143404666,512000000,69
31,6,0,9,1,rust-naive,143727208,512000000,69
32,6,0,9,2,rust-chunks-full,89457417,512000000,69
33,6,0,9,3,whitefoot-proof,91504750,512000000,69
34,6,0,9,4,rust-unsafe,92572000,512000000,69
35,7,0,1,0,rust-chunks-full,89097375,512000000,69
36,7,0,1,1,rust-assert,143133083,512000000,69
37,7,0,1,2,rust-unsafe,93430959,512000000,69
38,7,0,1,3,rust-naive,144778042,512000000,69
39,7,0,1,4,whitefoot-proof,89611583,512000000,69
40,8,0,3,0,rust-unsafe,92554709,512000000,69
41,8,0,3,1,rust-chunks-full,89628417,512000000,69
42,8,0,3,2,whitefoot-proof,89696166,512000000,69
43,8,0,3,3,rust-assert,146018291,512000000,69
44,8,0,3,4,rust-naive,143264750,512000000,69
45,9,0,7,0,rust-naive,143758709,512000000,69
46,9,0,7,1,whitefoot-proof,89859292,512000000,69
47,9,0,7,2,rust-assert,143096000,512000000,69
48,9,0,7,3,rust-unsafe,93685125,512000000,69
49,9,0,7,4,rust-chunks-full,89782500,512000000,69
50,10,1,3,0,rust-unsafe,93649417,512000000,69
