family	count	source_bytes	repetition	elapsed_us	verdict
fixed	16	824	0	330189	accept
fixed	16	824	1	18824	accept
fixed	16	824	2	16061	accept
growing	16	1452	0	31013	accept
growing	16	1452	1	29914	accept
growing	16	1452	2	29948	accept
control	16	1038	0	18338	accept
control	16	1038	1	18718	accept
control	16	1038	2	18414	accept
fixed	32	1281	0	14253	accept
fixed	32	1281	1	14597	accept
fixed	32	1281	2	14341	accept
growing	32	2812	0	169404	accept
growing	32	2812	1	162286	accept
growing	32	2812	2	164483	accept
control	32	1854	0	41039	accept
control	32	1854	1	40717	accept
control	32	1854	2	40780	accept
fixed	64	2209	0	16595	accept
fixed	64	2209	1	16150	accept
fixed	64	2209	2	16492	accept
growing	64	5532	0	1693329	accept
growing	64	5532	1	1687853	accept
growing	64	5532	2	1691041	accept
control	64	3486	0	166826	accept
control	64	3486	1	166322	accept
control	64	3486	2	165509	accept
