family	count	source_bytes	repetition	elapsed_us	verdict
fixed	16	824	0	13344	accept
fixed	16	824	1	13872	accept
fixed	16	824	2	13708	accept
growing	16	1452	0	18397	accept
growing	16	1452	1	19211	accept
growing	16	1452	2	18923	accept
control	16	1038	0	17787	accept
control	16	1038	1	17872	accept
control	16	1038	2	17150	accept
fixed	64	2209	0	17603	accept
fixed	64	2209	1	16993	accept
fixed	64	2209	2	16520	accept
growing	64	5532	0	174890	accept
growing	64	5532	1	172662	accept
growing	64	5532	2	172838	accept
control	64	3486	0	99501	accept
control	64	3486	1	97779	accept
control	64	3486	2	98753	accept
fixed	128	4066	0	19055	accept
fixed	128	4066	1	18494	accept
fixed	128	4066	2	19197	accept
growing	128	11196	0	1158274	accept
growing	128	11196	1	1159210	accept
growing	128	11196	2	1165247	accept
control	128	6862	0	564437	accept
control	128	6862	1	571361	accept
control	128	6862	2	602140	accept
fixed	256	7779	0	26909	accept
fixed	256	7779	1	26863	accept
fixed	256	7779	2	26716	accept
growing	256	23100	0	9254551	accept
growing	256	23100	1	9848927	accept
growing	256	23100	2	10373213	accept
control	256	13902	0	5019336	accept
control	256	13902	1	4216063	accept
control	256	13902	2	4165184	accept
