fixture	stage	items	entries	elapsed_us
growing-128	closure	257	128	292200
growing-128	proof-formed	128	-	878
growing-128	closure	257	128	288756
growing-128	closure	257	128	294820
growing-128	index	257	65793	52484
growing-128	auto-listed	256	0	805
growing-128	auto-l0	256	65793	1988556
growing-128	proof-auto	128	-	2634368
growing-128	proof-sum	128	-	2635069
growing-128	closure	257	128	287122
growing-128	proof-premises	128	-	2922454
growing-128	closure	257	128	286674
growing-128	index	257	65793	52752
growing-128	proof-residual	128	-	3270170
control-128	closure	257	128	288884
control-128	proof-formed	3	-	103
control-128	closure	257	128	288313
control-128	closure	257	128	289757
control-128	index	257	65793	72772
control-128	auto-listed	6	0	103
control-128	auto-l0	6	65793	125022
control-128	proof-auto	3	-	798759
control-128	proof-sum	3	-	798949
control-128	closure	257	128	366306
control-128	proof-premises	3	-	1165521
control-128	closure	257	128	318295
control-128	index	257	65793	61359
control-128	proof-residual	3	-	1552852
growing-256	closure	513	256	2286431
growing-256	proof-formed	256	-	884
growing-256	closure	513	256	2184579
growing-256	closure	513	256	2407334
growing-256	index	513	262657	430712
growing-256	auto-listed	512	0	2151
growing-256	auto-l0	512	262657	14926492
growing-256	proof-auto	256	-	20016013
growing-256	proof-sum	256	-	20017577
growing-256	closure	513	256	2431002
growing-256	proof-premises	256	-	22448908
growing-256	closure	513	256	2160155
growing-256	index	513	262657	369928
growing-256	proof-residual	256	-	25010818
control-256	closure	513	256	2377496
control-256	proof-formed	3	-	66
control-256	closure	513	256	2625149
control-256	closure	513	256	2374149
control-256	index	513	262657	403017
control-256	auto-listed	6	0	74
control-256	auto-l0	6	262657	310963
control-256	proof-auto	3	-	5772968
control-256	proof-sum	3	-	5773163
control-256	closure	513	256	2178996
control-256	proof-premises	3	-	7952338
control-256	closure	513	256	2176923
control-256	index	513	262657	385238
control-256	proof-residual	3	-	10583027
