comparison	fixture	source_bytes	pair	compiler	elapsed_us	verdict
base-c1	fixed-16	824	0	baseline	16248	accept
base-c1	fixed-16	824	0	candidate	14464	accept
base-c1	fixed-16	824	1	candidate	13655	accept
base-c1	fixed-16	824	1	baseline	13474	accept
base-c1	fixed-16	824	2	baseline	13546	accept
base-c1	fixed-16	824	2	candidate	13384	accept
base-c1	fixed-16	824	3	candidate	12782	accept
base-c1	fixed-16	824	3	baseline	13336	accept
base-c1	fixed-16	824	4	baseline	13380	accept
base-c1	fixed-16	824	4	candidate	13446	accept
base-c1	growing-16	1452	0	baseline	17303	accept
base-c1	growing-16	1452	0	candidate	18056	accept
base-c1	growing-16	1452	1	candidate	17556	accept
base-c1	growing-16	1452	1	baseline	16749	accept
base-c1	growing-16	1452	2	baseline	17369	accept
base-c1	growing-16	1452	2	candidate	20081	accept
base-c1	growing-16	1452	3	candidate	18995	accept
base-c1	growing-16	1452	3	baseline	18355	accept
base-c1	growing-16	1452	4	baseline	18085	accept
base-c1	growing-16	1452	4	candidate	18299	accept
base-c1	control-16	1038	0	baseline	15094	accept
base-c1	control-16	1038	0	candidate	15236	accept
base-c1	control-16	1038	1	candidate	14972	accept
base-c1	control-16	1038	1	baseline	14769	accept
base-c1	control-16	1038	2	baseline	14897	accept
base-c1	control-16	1038	2	candidate	14943	accept
base-c1	control-16	1038	3	candidate	14776	accept
base-c1	control-16	1038	3	baseline	14532	accept
base-c1	control-16	1038	4	baseline	14506	accept
base-c1	control-16	1038	4	candidate	14775	accept
base-c1	fixed-64	2209	0	baseline	15423	accept
base-c1	fixed-64	2209	0	candidate	15712	accept
base-c1	fixed-64	2209	1	candidate	15353	accept
base-c1	fixed-64	2209	1	baseline	16166	accept
base-c1	fixed-64	2209	2	baseline	16368	accept
base-c1	fixed-64	2209	2	candidate	15479	accept
base-c1	fixed-64	2209	3	candidate	15181	accept
base-c1	fixed-64	2209	3	baseline	18971	accept
base-c1	fixed-64	2209	4	baseline	15172	accept
base-c1	fixed-64	2209	4	candidate	15274	accept
base-c1	growing-64	5532	0	baseline	117827	accept
base-c1	growing-64	5532	0	candidate	188339	accept
base-c1	growing-64	5532	1	candidate	185794	accept
base-c1	growing-64	5532	1	baseline	120409	accept
base-c1	growing-64	5532	2	baseline	119475	accept
base-c1	growing-64	5532	2	candidate	184871	accept
base-c1	growing-64	5532	3	candidate	182698	accept
base-c1	growing-64	5532	3	baseline	120831	accept
base-c1	growing-64	5532	4	baseline	117974	accept
base-c1	growing-64	5532	4	candidate	194074	accept
